siRNA Identifier	Gene Identifier	Gene Symbol	Gene Description	Deviation	Overall Strong Inhibitor Gene Hit	Has Phenotype	Phenotype Annotation Level	Phenotype 1
SI00684173	ENSG00000116793	PHTF1	putative homeodomain transcription factor 1	2.78	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00752892	ENSG00000116830	TTF2	"transcription termination factor, RNA polymerase II"	2.2713	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00398055	ENSG00000116922	C1orf109	chromosome 1 open reading frame 109	2.7907	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00752045	ENSG00000117472	TSPAN1	tetraspanin 1	1.2197	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00373506	ENSG00000117505	DR1	"down-regulator of transcription 1, TBP-binding (negative cofactor 2)"	1.4641	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03023279	ENSG00000117650	NEK2	NIMA (never in mitosis gene a)-related kinase 2	2.085	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00398454	ENSG00000117791	MOSC2	MOCO sulphurase C-terminal domain containing 2	1.4937	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00008015	ENSG00000118194	C5orf30	troponin T type 2 (cardiac)	3.122	yes	yes	multiple replicates of reagent	strong inhibition of secretion
123406	ENSG00000118292	C1orf54	chromosome 1 open reading frame 54		yes			
123407	ENSG00000118292	C1orf54	chromosome 1 open reading frame 54		yes			
225990	ENSG00000118369	USP35	ubiquitin specific peptidase 35	4.4191	yes	yes	multiple replicates of reagent	strong inhibition of secretion
225991	ENSG00000118369	USP35	ubiquitin specific peptidase 35	3.0543	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00076237	ENSG00000118513	MYB	v-myb myeloblastosis viral oncogene homolog (avian)	1.3573	yes	yes	multiple replicates of reagent	strong inhibition of secretion
115652	ENSG00000118513	MYB	v-myb myeloblastosis viral oncogene homolog (avian)		yes			
115654	ENSG00000118513	MYB	v-myb myeloblastosis viral oncogene homolog (avian)		yes			
SI00029687	ENSG00000118523	CTGF	connective tissue growth factor	2.7646	yes	yes	multiple replicates of reagent	strong inhibition of secretion
10673	ENSG00000118523	CTGF	connective tissue growth factor		yes			
10756	ENSG00000118523	CTGF	connective tissue growth factor		yes			
SI00629909	ENSG00000118579	MED28	"mediator of RNA polymerase II transcription, subunit 28 homolog (S. cerevisiae)"	1.3614	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00748055	ENSG00000118600	TMEM5	transmembrane protein 5	1.4283	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00319487	ENSG00000119661	DNAL1	"dynein, axonemal, light chain 1"	1.3358	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00328678	ENSG00000119865	CNRIP1	cannabinoid receptor interacting protein 1	1.3675	yes	yes	multiple replicates of reagent	strong inhibition of secretion
109796	ENSG00000119943	PYROXD2	pyridine nucleotide-disulphide oxidoreductase domain 2	4.5444	yes	yes	multiple replicates of reagent	strong inhibition of secretion
131435	ENSG00000119943	PYROXD2	pyridine nucleotide-disulphide oxidoreductase domain 2		yes			
SI00728798	ENSG00000120451	SNX19	sorting nexin 19	1.577	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00401723	ENSG00000120458	C11orf61	chromosome 11 open reading frame 61	2.1781	yes	yes	multiple replicates of reagent	strong inhibition of secretion
138190	ENSG00000120729	MYOT	titin immunoglobulin domain protein (myotilin)	1.6814	yes	yes	multiple replicates of reagent	strong inhibition of secretion
138191	ENSG00000120729	MYOT	titin immunoglobulin domain protein (myotilin)		yes			
SI00449750	ENSG00000120733	KDM3B	lysine (K)-specific demethylase 3B	1.14	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00028938	ENSG00000120885	CLU	clusterin	1.1768	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00024178	ENSG00000120949	TNFRSF8	"tumor necrosis factor receptor superfamily, member 8"	2.052	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00375984	ENSG00000121310	ECHDC2	enoyl Coenzyme A hydratase domain containing 2	2.4449	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00693973	ENSG00000121766	ZCCHC17	"zinc finger, CCHC domain containing 17"	2.1974	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03126984	ENSG00000121851	POLR3GL	polymerase (RNA) III (DNA directed) polypeptide G like	1.2134	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00769811	ENSG00000122386	ZNF205	zinc finger protein 205	2.9153	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00633381	ENSG00000122477	LRRC39	leucine rich repeat containing 39	2.5494	yes	yes	multiple replicates of reagent	strong inhibition of secretion
119566	ENSG00000122512	PMS2	PMS2 postmeiotic segregation increased 2 (S. cerevisiae)	1.5778	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03115049	ENSG00000122512	PMS2	PMS2 postmeiotic segregation increased 2 (S. cerevisiae)	1.9149	yes	yes	multiple replicates of reagent	strong inhibition of secretion
119565	ENSG00000122512	PMS2	PMS2 postmeiotic segregation increased 2 (S. cerevisiae)		yes			
SI02664599	ENSG00000122882	ECD	ecdysoneless homolog (Drosophila)	1.9015	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03030713	ENSG00000123080	CDKN2C	"cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)"	1.8797	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00105301	ENSG00000123091	RNF11	ring finger protein 11	1.7502	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00034552	ENSG00000123104	ITPR2	"inositol 1,4,5-triphosphate receptor, type 2"	1.8526	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00361382	ENSG00000123136	DDX39	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39	1.3213	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00357784	ENSG00000123575	FAM199X	"family with sequence similarity 199, X-linked"	3.5281	yes	yes	multiple replicates of reagent	strong inhibition of secretion
215125	ENSG00000123933	MXD4	MAX dimerization protein 4	2.1129	yes	yes	multiple replicates of reagent	strong inhibition of secretion
215126	ENSG00000123933	MXD4	MAX dimerization protein 4	3.727	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00088648	ENSG00000123933	MXD4	MAX dimerization protein 4	2.0297	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI02778510	ENSG00000124571	XPO5	exportin 5	3.4903	yes	yes	multiple replicates of reagent	strong inhibition of secretion
235960	ENSG00000125458	NT5C	"5', 3'-nucleotidase, cytosolic"	4.5034	yes	yes	multiple replicates of reagent	strong inhibition of secretion
235959	ENSG00000125458	NT5C	"5', 3'-nucleotidase, cytosolic"	3.2585	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00752843	ENSG00000125482	TTF1	"transcription termination factor, RNA polymerase I"	2.5787	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00136010	ENSG00000125505	MBOAT7	membrane bound O-acyltransferase domain containing 7	2.0727	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00061523	ENSG00000125733	TRIP10	thyroid hormone receptor interactor 10	3.1575	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03103009	ENSG00000125877	ITPA	inosine triphosphatase (nucleoside triphosphate pyrophosphatase)	2.2164	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00377580	ENSG00000125977	EIF2S2	"eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa"	2.0007	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00400386	ENSG00000126106	TMEM53	transmembrane protein 53	2.0456	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00623371	ENSG00000126243	LRFN3	leucine rich repeat and fibronectin type III domain containing 3	2.3361	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00665420	ENSG00000126861	OMG	oligodendrocyte myelin glycoprotein	1.3685	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00398237	ENSG00000127054	CPSF3L	cleavage and polyadenylation specific factor 3-like	3.4597	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00767228	ENSG00000128016	ZFP36	"zinc finger protein 36, C3H type, homolog (mouse)"	3.9345	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00699111	ENSG00000128045	RASL11B	"RAS-like, family 11, member B"	2.1217	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00360374	ENSG00000129187	DCTD	dCMP deaminase	1.706	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00462413	ENSG00000129250	KIF1C	kinesin family member 1C	2.2336	yes	yes	multiple replicates of reagent	strong inhibition of secretion
125410	ENSG00000129347	KRI1	KRI1 homolog (S. cerevisiae)	3.9048	yes	yes	multiple replicates of reagent	strong inhibition of secretion
125409	ENSG00000129347	KRI1	KRI1 homolog (S. cerevisiae)		yes			
SI03056088	ENSG00000129355	CDKN2D	"cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4)"	2.1838	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00146321	ENSG00000130589	PR285_HUMAN	peroxisomal proliferator-activated receptor A interacting complex 285	2.2022	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00412146	ENSG00000130921	C12orf65	chromosome 12 open reading frame 65	1.399	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00767732	ENSG00000131381	ZFYVE20	"zinc finger, FYVE domain containing 20"	3.2487	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00754390	ENSG00000131508	UBE2D2	"ubiquitin-conjugating enzyme E2D 2 (UBC4/5 homolog, yeast)"	2.1023	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03117233	ENSG00000131626	PPFIA1	"protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 1"	2.1047	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00631862	ENSG00000132016	C19orf57	chromosome 19 open reading frame 57	1.5621	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03174255	ENSG00000132205	EMILIN2	elastin microfibril interfacer 2	1.7598	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03159702	ENSG00000132294	EFR3A	EFR3 homolog A (S. cerevisiae)	4.0076	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03131947	ENSG00000132300	PTCD3	Pentatricopeptide repeat domain 3	2.3917	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00761145	ENSG00000132471	WBP2	WW domain binding protein 2	3.1173	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00296597	ENSG00000132623	ANKRD5	ankyrin repeat domain 5	3.1706	yes	yes	multiple replicates of reagent	strong inhibition of secretion
135837	ENSG00000132664	POLR3F	"polymerase (RNA) III (DNA directed) polypeptide F, 39 kDa"	1.5847	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00689458	ENSG00000132664	POLR3F	"polymerase (RNA) III (DNA directed) polypeptide F, 39 kDa"	1.4395	yes	yes	multiple replicates of reagent	strong inhibition of secretion
135836	ENSG00000132664	POLR3F	"polymerase (RNA) III (DNA directed) polypeptide F, 39 kDa"		yes			
SI00455868	ENSG00000132680	KIAA0907	KIAA0907	1.7765	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI02635955	ENSG00000132849	INADL	InaD-like (Drosophila)	1.1658	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00301217	ENSG00000133687	TMTC1	transmembrane and tetratricopeptide repeat containing 1	1.3175	yes	yes	multiple replicates of reagent	strong inhibition of secretion
236111	ENSG00000133704	IPO8	importin 8	3.2773	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00448175	ENSG00000133704	IPO8	importin 8	1.8938	yes	yes	multiple replicates of reagent	strong inhibition of secretion
236110	ENSG00000133704	IPO8	importin 8		yes			
SI00299957	ENSG00000134287	ARF3	ADP-ribosylation factor 3	1.0245	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00033859	ENSG00000134470	IL15RA	"interleukin 15 receptor, alpha"	1.6969	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00623700	ENSG00000134569	LRP4	low density lipoprotein receptor-related protein 4	1.8313	yes	yes	multiple replicates of reagent	strong inhibition of secretion
21792	ENSG00000134909	ARHGAP32	Rho GTPase activating protein 32	2.2467	yes	yes	multiple replicates of reagent	strong inhibition of secretion
21888	ENSG00000134909	ARHGAP32	Rho GTPase activating protein 32		yes			
SI02650410	ENSG00000135486	HNRNPA1	heterogeneous nuclear ribonucleoprotein A1	1.5389	yes	yes	multiple replicates of reagent	strong inhibition of secretion
43351	ENSG00000135622	SEMA4F	"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4F"	1.672	yes	yes	multiple replicates of reagent	strong inhibition of secretion
43446	ENSG00000135622	SEMA4F	"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4F"	1.8804	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00029365	ENSG00000135678	CPM	carboxypeptidase M	4.1566	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00120988	ENSG00000136108	CKAP2	cytoskeleton associated protein 2	1.4827	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00104384	ENSG00000136378	ADAMTS7	"ADAM metallopeptidase with thrombospondin type 1 motif, 7"	3.4153	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI02655086	ENSG00000136450	SRSF1	"splicing factor, arginine/serine-rich 1 (splicing factor 2, alternate splicing factor)"	1.139	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00120155	ENSG00000136874	STX17	syntaxin 17	1.2206	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00698348	ENSG00000137040	RANBP6	RAN binding protein 6	1.1702	yes	yes	multiple replicates of reagent	strong inhibition of secretion
241682	ENSG00000137145	DENND4C	DENN/MADD domain containing 4C	2.4887	yes	yes	multiple replicates of reagent	strong inhibition of secretion
241683	ENSG00000137145	DENND4C	DENN/MADD domain containing 4C	2.5591	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00335538	ENSG00000137145	DENND4C	DENN/MADD domain containing 4C	3.1172	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00750792	ENSG00000137699	TRIM29	tripartite motif-containing 29	1.2051	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI02653483	ENSG00000137807	KIF23	kinesin family member 23	2.0621	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00754082	ENSG00000137831	UACA	uveal autoantigen with coiled-coil domains and ankyrin repeats	2.8132	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00065401	ENSG00000137841	PLCB2	"phospholipase C, beta 2"	2.74	yes	yes	multiple replicates of reagent	strong inhibition of secretion
103385	ENSG00000138030	KHK	ketohexokinase (fructokinase)	3.3324	yes	yes	multiple replicates of reagent	strong inhibition of secretion
103468	ENSG00000138030	KHK	ketohexokinase (fructokinase)	1.5004	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03042186	ENSG00000138030	KHK	ketohexokinase (fructokinase)	1.3446	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00379316	ENSG00000138080	EMILIN1	elastin microfibril interfacer 1	1.3979	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00359779	ENSG00000138231	DBR1	debranching enzyme homolog 1 (S. cerevisiae)	2.7493	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00151739	ENSG00000138316	ADAMTS14	"ADAM metallopeptidase with thrombospondin type 1 motif, 14"	2.623	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00034342	ENSG00000138448	ITGAV	"integrin, alpha V (vitronectin receptor, alpha polypeptide, antigen CD51)"	1.0437	yes	yes	multiple replicates of reagent	strong inhibition of secretion
143122	ENSG00000138698	RAP1GDS1	"RAP1, GTP-GDP dissociation stimulator 1"	2.3911	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00698488	ENSG00000138698	RAP1GDS1	"RAP1, GTP-GDP dissociation stimulator 1"	2.3002	yes	yes	multiple replicates of reagent	strong inhibition of secretion
143121	ENSG00000138698	RAP1GDS1	"RAP1, GTP-GDP dissociation stimulator 1"		yes			
SI00137053	ENSG00000138780	GSTCD	"glutathione S-transferase, C-terminal domain containing"	2.1061	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00353052	ENSG00000139117	CPNE8	copine VIII	2.2315	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00348726	ENSG00000139182	CLSTN3	calsyntenin 3	1.2356	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI02779476	ENSG00000139517	LNX2	ligand of numb-protein X 2	1.435	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00704956	ENSG00000139547	RDH16	retinol dehydrogenase 16 (all-trans)	2.8878	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03033625	ENSG00000139631	CSAD	cysteine sulfinic acid decarboxylase	2.5333	yes	yes	multiple replicates of reagent	strong inhibition of secretion
120878	ENSG00000139725	RHOF	"ras homolog gene family, member F"		yes			
120879	ENSG00000139725	RHOF	"ras homolog gene family, member F"		yes			
SI00317975	ENSG00000139826	ABHD13	abhydrolase domain containing 13	2.8163	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00356937	ENSG00000139842	CUL4A	cullin 4A	1.6096	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00291998	ENSG00000139985	ADAM21	ADAM metallopeptidase domain 21	1.5824	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00622517	ENSG00000140367	UBE2Q2	ubiquitin-conjugating enzyme E2Q (putative) 2	2.6981	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03071054	ENSG00000140464	PML	promyelocytic leukemia	1.9871	yes	yes	multiple replicates of reagent	strong inhibition of secretion
42781	ENSG00000140464	PML	promyelocytic leukemia		yes			
42709	ENSG00000140464	PML	promyelocytic leukemia		yes			
SI00630805	ENSG00000140545	MFGE8	milk fat globule-EGF factor 8 protein	2.1135	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00749700	ENSG00000140577	CRTC3	CREB regulated transcription coactivator 3	2.7747	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00347088	ENSG00000141076	CIRH1A	"cirrhosis, autosomal recessive 1A (cirhin)"	2.3961	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00378329	ENSG00000141642	ELAC1	elaC homolog 1 (E. coli)	1.2884	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00129451	ENSG00000141682	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1	1.4679	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00734300	ENSG00000141750	STAC2	SH3 and cysteine rich domain 2	1.8535	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00001225	ENSG00000141837	CACNA1A	"calcium channel, voltage-dependent, P/Q type, alpha 1A subunit"	2.6863	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00471499	ENSG00000141854	Q96FF7_HUMAN	Uncharacterized protein LOC113230	1.1892	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00459501	ENSG00000142065	ZFP14	zinc finger protein 14 homolog (mouse)	1.1778	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00774585	ENSG00000142528	ZNF473	zinc finger protein 473	3.8093	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI02665411	ENSG00000142675	CNKSR1	connector enhancer of kinase suppressor of Ras 1	1.5375	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00092365	ENSG00000142945	KIF2C	kinesin family member 2C	1.5208	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00485345	ENSG00000143001	TMEM61	transmembrane protein 61	3.1239	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00294280	ENSG00000143149	ALDH9A1	"aldehyde dehydrogenase 9 family, member A1"	2.8405	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00625758	ENSG00000143353	LYPLAL1	lysophospholipase-like 1	2.687	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03106054	ENSG00000143355	LHX9	LIM homeobox 9	2.6796	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00701785	ENSG00000143390	RFX5	"regulatory factor X, 5 (influences HLA class II expression)"	1.1938	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00125349	ENSG00000143499	SMYD2	SET and MYND domain containing 2	1.9947	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00001582	ENSG00000143669	LYST	lysosomal trafficking regulator	1.8143	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00054516	ENSG00000143753	DEGS1	"degenerative spermatocyte homolog 1, lipid desaturase (Drosophila)"	2.5535	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00696612	ENSG00000143811	PYCR2	"pyrroline-5-carboxylate reductase family, member 2"	2.9473	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00289905	ENSG00000143994	ABHD1	abhydrolase domain containing 1	2.4407	yes	yes	multiple replicates of reagent	strong inhibition of secretion
33444	ENSG00000144029	MRPS5	mitochondrial ribosomal protein S5		yes			
131158	ENSG00000144029	MRPS5	mitochondrial ribosomal protein S5		yes			
241921	ENSG00000144045	DQX1	DEAQ box polypeptide 1 (RNA-dependent ATPase)	1.4698	yes	yes	multiple replicates of reagent	strong inhibition of secretion
241922	ENSG00000144045	DQX1	DEAQ box polypeptide 1 (RNA-dependent ATPase)	3.3054	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00765786	ENSG00000144161	ZC3H8	zinc finger CCCH-type containing 8	4.5715	yes	yes	multiple replicates of reagent	strong inhibition of secretion
124810	ENSG00000144711	IQSEC1	IQ motif and Sec7 domain 1	3.2107	yes	yes	multiple replicates of reagent	strong inhibition of secretion
22093	ENSG00000144711	IQSEC1	IQ motif and Sec7 domain 1	2.5308	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00448504	ENSG00000144711	IQSEC1	IQ motif and Sec7 domain 1	1.5175	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00118720	ENSG00000144730	IL17RD	interleukin 17 receptor D	2.2784	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03053939	ENSG00000145214	DGKQ	"diacylglycerol kinase, theta 110kDa"	2.1357	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00618926	ENSG00000145354	CISD2	"zinc finger, CDGSH-type domain 2"	2.1491	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00453740	ENSG00000145725	PPIP5K2	histidine acid phosphatase domain containing 1	1.9935	yes	yes	multiple replicates of reagent	strong inhibition of secretion
2523	ENSG00000145888	GLRA1	"glycine receptor, alpha 1"		yes			
104313	ENSG00000145888	GLRA1	"glycine receptor, alpha 1"		yes			
SI02647435	ENSG00000146063	TRIM41	tripartite motif-containing 41	3.2509	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03108630	ENSG00000146094	DOK3	docking protein 3	1.3604	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03090122	ENSG00000146216	TTBK1	tau tubulin kinase 1	2.843	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00331044	ENSG00000146263	MMS22L	"MMS22-like, DNA repair protein"	3.5958	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00458619	ENSG00000146433	TMEM181	transmembrane protein 181	1.8309	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00687981	ENSG00000146453	PNLDC1	poly(A)-specific ribonuclease (PARN)-like domain containing 1	2.2502	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00353710	ENSG00000146592	CREB5	cAMP responsive element binding protein 5	2.1336	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00501403	ENSG00000146856	AGBL3	ATP/GTP binding protein-like 3	1.9614	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00626472	ENSG00000147381	MAGEA4	"melanoma antigen family A, 4"	1.1051	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00307552	ENSG00000147416	ATP6V1B2	"ATPase, H+ transporting, lysosomal V1 subunit B2"	1.7617	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03167724	ENSG00000147421	HMBOX1	homeobox containing 1	1.7333	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00444605	ENSG00000147535	PPAPDC1B	phosphatidic acid phosphatase type 2 domain containing 1	1.7871	yes	yes	multiple replicates of reagent	strong inhibition of secretion
34092	ENSG00000147535	PPAPDC1B	phosphatidic acid phosphatase type 2 domain containing 1		yes			
216948	ENSG00000147535	PPAPDC1B	phosphatidic acid phosphatase type 2 domain containing 1		yes			
SI03074981	ENSG00000147613	PSKH2	protein serine kinase H2	2.1067	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00305599	ENSG00000148219	ASTN2	astrotactin 2	3.5477	yes	yes	multiple replicates of reagent	strong inhibition of secretion
241010	ENSG00000148814	LRRC27	leucine rich repeat containing 27	3.9644	yes	yes	multiple replicates of reagent	strong inhibition of secretion
241011	ENSG00000148814	LRRC27	leucine rich repeat containing 27	3.041	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00624099	ENSG00000148814	LRRC27	leucine rich repeat containing 27	2.7311	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00752423	ENSG00000149292	TTC12	tetratricopeptide repeat domain 12	1.8741	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00631736	ENSG00000149743	TRPT1	tRNA phosphotransferase 1	1.1914	yes	yes	multiple replicates of reagent	strong inhibition of secretion
114117	ENSG00000150086	GRIN2B	"glutamate receptor, ionotropic, N-methyl D-aspartate 2B"	2.2528	yes	yes	multiple replicates of reagent	strong inhibition of secretion
106284	ENSG00000150086	GRIN2B	"glutamate receptor, ionotropic, N-methyl D-aspartate 2B"	1.2703	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00016709	ENSG00000150086	GRIN2B	"glutamate receptor, ionotropic, N-methyl D-aspartate 2B"	2.2576	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00363839	ENSG00000150990	DHX37	DEAH (Asp-Glu-Ala-His) box polypeptide 37	2.6535	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03063711	ENSG00000151729	SLC25A4	"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4"	1.2509	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00374458	ENSG00000151914	DST	dystonin	2.464	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00162526	ENSG00000152484	USP12	ubiquitin specific peptidase 12	2.8943	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00291053	ENSG00000153093	ACOXL	acyl-Coenzyme A oxidase-like	2.3054	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00085316	ENSG00000153234	NR4A2	"nuclear receptor subfamily 4, group A, member 2"	1.6542	yes	yes	multiple replicates of reagent	strong inhibition of secretion
140650	ENSG00000153406	NMRAL1	NmrA-like family domain containing 1		yes			
140649	ENSG00000153406	NMRAL1	NmrA-like family domain containing 1		yes			
SI00159236	ENSG00000153814	JAZF1	JAZF zinc finger 1	1.8069	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00131796	ENSG00000154330	PGM5	phosphoglucomutase 5	1.5882	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03103436	ENSG00000154473	BUB3	BUB3 budding uninhibited by benzimidazoles 3 homolog (yeast)	2.6025	yes	yes	multiple replicates of reagent	strong inhibition of secretion
