Well	siRNA Pool Identifier	Gene Identifier	Gene Symbol	Experimental Condition [RNA interference]	Well_Experimental Condition [RNA interference]	Percentage multipolar spindle - Z-score	Average no. of spindle poles per cell per well - Z-score	Cell number - Z-score	Mitotic Index - Z-score	Percentage Multinucleate - Z-score	ch-TOG Multipolar Spindle Phenotype Hit	Has Phenotype	Phenotype Annotation Level	Phenotype 1	Phenotype 2
F10	L-003252-00	1062	CENPE	non-silencing shRNA	F10_non-silencing shRNA	2.843236212	2.453782652	-4.4663143	4.042476609	0.752774831	yes	yes	experimental condition and gene		enhancement of ch-TOG multipolar spindle phenotype
F10	L-003252-00	1062	CENPE	ch-TOG shRNA	F10_ch-TOG shRNA	0.703384663	-0.021998895	-2.111617757	-0.619144104	-0.271394095					
F11	L-020264-00	27229	76P	ch-TOG shRNA	F11_ch-TOG shRNA	-0.578119592	-0.666202831	-0.335590342	0.384533455	-0.3714547					
F11	L-020264-00	27229	76P	non-silencing shRNA	F11_non-silencing shRNA	-0.097031568	0.697049003	0.413726954	-0.184577336	-0.33300798					
F12	L-004166-00	10783	NEK6	ch-TOG shRNA	F12_ch-TOG shRNA	0.05917391	0.11375693	0.329521389	-0.101517797	0.070552252					
F12	L-004166-00	10783	NEK6	non-silencing shRNA	F12_non-silencing shRNA	-0.655062631	-2.061832724	0.770947286	-0.261744438	-0.135453389					
F13	L-004090-00	4751	NEK2	ch-TOG shRNA	F13_ch-TOG shRNA	-0.615879646	-0.389976722	0.522444348	-0.255423483	-0.375808021					
F13	L-004090-00	4751	NEK2	non-silencing shRNA	F13_non-silencing shRNA	-0.592504541	-0.250448312	0.37647555	-0.118906215	-0.287712509					
F14	L-030838-01	146754	FLJ46675	ch-TOG shRNA	F14_ch-TOG shRNA	-0.826782643	-0.638944177	0.936571239	-0.21245536	-0.583897128					
F14	L-030838-01	146754	FLJ46675	non-silencing shRNA	F14_non-silencing shRNA	-0.210063298	-0.738075343	0.437043703	-0.231257651	-0.199917485					
F15	L-013091-00	4637	MYL6	ch-TOG shRNA	F15_ch-TOG shRNA	0.07760084	0.17562197	-0.623572479	0.033126531	0.094142606					
F15	L-013091-00	4637	MYL6	non-silencing shRNA	F15_non-silencing shRNA	-0.064688266	-0.009068462	0.788240088	-0.157933067	-0.04116723					
F16	L-031981-01	23383	KIAA0892	ch-TOG shRNA	F16_ch-TOG shRNA	-0.868647347	-0.560562609	0.968855826	-1.241180318	-0.63391117					
F16	L-031981-01	23383	KIAA0892	non-silencing shRNA	F16_non-silencing shRNA	0.042643031	-0.115121948	0.476211212	-0.235701629	-0.217371985					
F17	L-005345-00	57787	MARK4	ch-TOG shRNA	F17_ch-TOG shRNA	0.061156185	0.225873694	-0.232816058	0.240223698	-0.481032107					
F17	L-005345-00	57787	MARK4	non-silencing shRNA	F17_non-silencing shRNA	0.461069722	-0.724282582	0.732487091	-0.187542446	-0.30875786					
F18	L-013592-00	84722	DDA3	ch-TOG shRNA	F18_ch-TOG shRNA	0.812695573	0.664632094	-0.298891777	1.123673989	-0.432121456					
F18	L-013592-00	84722	DDA3	non-silencing shRNA	F18_non-silencing shRNA	-0.367283541	0.843157004	0.879707012	-0.221571691	-0.335913262					
F19	L-010237-00	328	APEX1	ch-TOG shRNA	F19_ch-TOG shRNA	0.448144383	0.391375689	0.070767355	-0.055291246	-0.111643634					
F19	L-010237-00	328	APEX1	non-silencing shRNA	F19_non-silencing shRNA	0.102840004	0.026134934	0.868599092	-0.225437352	-0.200516874					
F2				ch-TOG shRNA	F2_ch-TOG shRNA	0.142199597	-0.075846951	-0.184264498	2.007110223	-0.0741166					
F2				non-silencing shRNA	F2_non-silencing shRNA	-0.252972982	0.308055594	0.106856887	-0.172080227	-0.237257064					
F20	L-016223-00	1104	CHC1	ch-TOG shRNA	F20_ch-TOG shRNA	-1.047407315	-0.963811595	0.634095329	-0.466790854	-0.574508895					
F20	L-016223-00	1104	CHC1	non-silencing shRNA	F20_non-silencing shRNA	-0.179053186	0.754333194	0.403210314	-0.078475782	-0.158208336					
F21	L-004862-00	53904	MYO3A	ch-TOG shRNA	F21_ch-TOG shRNA	0.167588388	0.230036159	-0.921378445	0.224379429	-0.015663122					
F21	L-004862-00	53904	MYO3A	non-silencing shRNA	F21_non-silencing shRNA	-0.107764538	-0.008051494	0.699922362	-0.219602521	-0.2111375					
F22	L-018965-01	201161	P30	ch-TOG shRNA	F22_ch-TOG shRNA	0.296174046	0.334840833	-0.569477424	0.092859683	-0.289819949					
F22	L-018965-01	201161	P30	non-silencing shRNA	F22_non-silencing shRNA	0.059785135	-0.601584232	0.608341924	-0.229856918	-0.13106421					
F23				ch-TOG shRNA	F23_ch-TOG shRNA	0.728661953	0.467331104	-0.536937501	-0.384871145	-0.067285266					
F23				non-silencing shRNA	F23_non-silencing shRNA	-0.282154162	-0.04966554	0.620097289	-0.102834917	-0.23450837					
F3	L-012803-00	23637	RABGAP1	ch-TOG shRNA	F3_ch-TOG shRNA	0.297393618	0.123954783	-0.472017398	0.987594267	0.059951699					
F3	L-012803-00	23637	RABGAP1	non-silencing shRNA	F3_non-silencing shRNA	-0.437148171	-0.903223073	0.506277892	-0.110548378	-0.047837591					
F4	L-007299-00	4133	MAP2	ch-TOG shRNA	F4_ch-TOG shRNA	0.258345611	0.277937456	0.274521338	0.972330432	0.023149884					
F4	L-007299-00	4133	MAP2	non-silencing shRNA	F4_non-silencing shRNA	-0.753798368	0.108825979	0.330089679	-0.23662089	-0.0944266					
F5	L-014300-00	79075	MGC5528	ch-TOG shRNA	F5_ch-TOG shRNA	-0.380239611	-0.184114079	0.96596443	-0.500094825	-0.463987771					
F5	L-014300-00	79075	MGC5528	non-silencing shRNA	F5_non-silencing shRNA	-0.351332913	-0.448121854	0.18727576	-0.109721562	-0.201078402					
F6	L-013090-02	140465	MLC1SA	ch-TOG shRNA	F6_ch-TOG shRNA	-1.162091023	-1.039664761	-0.313082102	0.859566823	-0.532689449					
F6	L-013090-02	140465	MLC1SA	non-silencing shRNA	F6_non-silencing shRNA	-0.427546071	-0.526481757	0.208210493	0.020360931	-0.197837261					
F7	L-023017-00	4628	MYH10	ch-TOG shRNA	F7_ch-TOG shRNA	-0.244272934	-0.223688217	0.923413577	-0.6379135	-0.127621623					
F7	L-023017-00	4628	MYH10	non-silencing shRNA	F7_non-silencing shRNA	-0.131033241	-0.227215487	0.363624908	-0.239453845	-0.05216476					
F8	L-013642-00	29945	ANAPC4	ch-TOG shRNA	F8_ch-TOG shRNA	-0.656263043	-0.439829155	1.083019916	-0.291412293	-0.603715497					
F8	L-013642-00	29945	ANAPC4	non-silencing shRNA	F8_non-silencing shRNA	-0.326744713	0.192950053	0.201245982	-0.166156866	-0.129959777					
F9	L-004740-00	8658	TNKS	ch-TOG shRNA	F9_ch-TOG shRNA	-0.189118708	-0.140517807	-0.634541232	-0.210208728	-0.018934623					
F9	L-004740-00	8658	TNKS	non-silencing shRNA	F9_non-silencing shRNA	-0.299937214	0.735181041	0.672724799	-0.208320909	-0.246519834					
G10	L-016970-00	54908	FLJ20364	ch-TOG shRNA	G10_ch-TOG shRNA	0.123089601	0.257431422	-2.218369558	1.150870728	0.095774141					
G10	L-016970-00	54908	FLJ20364	non-silencing shRNA	G10_non-silencing shRNA	1.184527186	1.81790645	-3.203927893	1.775745771	-0.332146085					
G11	L-006849-00	81930	KIF18A	ch-TOG shRNA	G11_ch-TOG shRNA	-1.495865312	-1.241054957	-1.558385614	2.863918278	-0.019278679					
G11	L-006849-00	81930	KIF18A	non-silencing shRNA	G11_non-silencing shRNA	0.321014128	0.730606561	-2.542512038	0.959538001	-0.189951404					
G12	L-009317-00	23095	KIF1B	ch-TOG shRNA	G12_ch-TOG shRNA	-0.419329509	-0.371215136	-0.391862985	0.683218688	-0.161618957					
G12	L-009317-00	23095	KIF1B	non-silencing shRNA	G12_non-silencing shRNA	-0.451949277	-1.509478239	1.284289346	-0.209656757	-0.217580782					
G13	L-006843-00	51174	TUBD1	ch-TOG shRNA	G13_ch-TOG shRNA	-0.115555468	-0.044090638	-0.355915019	1.479606909	0.126384803					
G13	L-006843-00	51174	TUBD1	non-silencing shRNA	G13_non-silencing shRNA	-0.591264242	0.030490296	0.824771731	-0.201122694	-0.117958445					
G14	L-004956-00	9493	KIF23	ch-TOG shRNA	G14_ch-TOG shRNA	0.383745424	0.245894967	0.154303082	-0.033695323	2.653109877					
G14	L-004956-00	9493	KIF23	non-silencing shRNA	G14_non-silencing shRNA	0.996753151	0.598140457	-0.377947818	-0.184748021	1.706166653					
G15	L-019491-00	9055	PRC1	non-silencing shRNA	G15_non-silencing shRNA	2.927110395	0.01643771	-2.724825264	0.117848793	8.49892942	yes	yes	experimental condition and gene		enhancement of ch-TOG multipolar spindle phenotype
G15	L-019491-00	9055	PRC1	ch-TOG shRNA	G15_ch-TOG shRNA	1.287663549	0.502420622	-1.205579597	0.418104883	8.923465848					
G16	L-012618-00	8701	DNAH11	ch-TOG shRNA	G16_ch-TOG shRNA	-0.574205112	-0.379084198	0.414920565	0.031684467	-0.374368405					
G16	L-012618-00	8701	DNAH11	non-silencing shRNA	G16_non-silencing shRNA	-0.51549612	-1.69119113	0.880303924	-0.260231501	-0.196548511					
G17	L-018342-01	282991	BLOC1S2	ch-TOG shRNA	G17_ch-TOG shRNA	-0.041772683	0.13487944	-0.710079159	0.558050538	-0.304037816					
G17	L-018342-01	282991	BLOC1S2	non-silencing shRNA	G17_non-silencing shRNA	-0.32309244	-1.152701806	1.061611084	-0.236716865	-0.188904485					
G18	L-006650-00	3082	HGF	ch-TOG shRNA	G18_ch-TOG shRNA	-0.671136685	-0.462816497	0.241129247	-0.522894334	-0.539942212					
G18	L-006650-00	3082	HGF	non-silencing shRNA	G18_non-silencing shRNA	-0.048550753	-0.024316959	0.923815046	-0.222531656	-0.258943202					
G19	L-011851-01	2009	EML1	ch-TOG shRNA	G19_ch-TOG shRNA	-1.299608285	-1.034736931	0.672684072	-0.693624737	-0.584137869					
G19	L-011851-01	2009	EML1	non-silencing shRNA	G19_non-silencing shRNA	-0.205525992	-1.098050723	0.601454768	-0.236707394	-0.118182801					
G2				ch-TOG shRNA	G2_ch-TOG shRNA	0.483519676	0.285853591	-0.228470945	1.488025306	-0.065392303					
G2				non-silencing shRNA	G2_non-silencing shRNA	-0.663501525	-0.336449378	0.642044311	-0.229614945	-0.234191302					
G20	L-005789-00	115201	APG4A	ch-TOG shRNA	G20_ch-TOG shRNA	0.436945301	0.270943112	-0.657810763	0.001487435	0.006340648					
G20	L-005789-00	115201	APG4A	non-silencing shRNA	G20_non-silencing shRNA	-0.61293567	-2.084377716	1.177556127	-0.247073463	-0.246802915					
G21	L-006826-00	9184	BUB3	ch-TOG shRNA	G21_ch-TOG shRNA	2.626142219	2.457454862	3.030894384	-2.550782521	0.757641563	yes	yes	experimental condition and gene		enhancement of ch-TOG multipolar spindle phenotype
G21	L-006826-00	9184	BUB3	non-silencing shRNA	G21_non-silencing shRNA	-0.571647654	-0.2140477	0.634315137	-0.251218407	-0.071965093					
G22	L-008867-00	3799	KIF5B	ch-TOG shRNA	G22_ch-TOG shRNA	-0.438285375	-0.473407921	-0.673077147	0.548466228	-0.248918536					
G22	L-008867-00	3799	KIF5B	non-silencing shRNA	G22_non-silencing shRNA	0.427175728	-2.046753204	0.762418475	-0.212675164	-0.230704196					
G23				ch-TOG shRNA	G23_ch-TOG shRNA	0.513418657	0.35184248	-0.649301661	0.49142999	-0.061555613					
G23				non-silencing shRNA	G23_non-silencing shRNA	-0.513690608	0.373875708	0.631727285	-0.231416152	-0.232427281					
G3	L-010571-00	22974	TPX2	ch-TOG shRNA	G3_ch-TOG shRNA	-1.811616835	-2.505515404	-2.059801858	-1.868739585	-0.505230127	yes	yes	experimental condition and gene	suppression of ch-TOG multipolar spindle phenotype	
G3	L-010571-00	22974	TPX2	non-silencing shRNA	G3_non-silencing shRNA	0.960882766	0.08869821	-4.627901741	0.441707634	0.63568142					
G4	L-013316-00	10513	APPBP2	ch-TOG shRNA	G4_ch-TOG shRNA	-0.866561226	-0.572466854	0.597396764	1.726070137	-0.176211361					
G4	L-013316-00	10513	APPBP2	non-silencing shRNA	G4_non-silencing shRNA	-0.018747316	-0.24546961	0.717427224	-0.177750831	-0.177959757					
G5	L-003272-00	10459	MAD2L2	ch-TOG shRNA	G5_ch-TOG shRNA	-0.391591244	-0.313050056	0.81834473	0.972391348	-0.25165752					
G5	L-003272-00	10459	MAD2L2	non-silencing shRNA	G5_non-silencing shRNA	-0.212016892	0.619957904	0.849450054	-0.228095376	-0.283774104					
G6	L-003518-00	9611	NCOR1	ch-TOG shRNA	G6_ch-TOG shRNA	-0.241031627	-0.141707022	0.601651	0.100753652	-0.158333027					
G6	L-003518-00	9611	NCOR1	non-silencing shRNA	G6_non-silencing shRNA	-0.753798368	-0.273236981	0.840748452	-0.253123135	-0.282437938					
G7	L-010093-00	2342	FNTB	ch-TOG shRNA	G7_ch-TOG shRNA	-0.838181854	-0.440476084	1.162705795	0.201456255	-0.541833692					
G7	L-010093-00	2342	FNTB	non-silencing shRNA	G7_non-silencing shRNA	0.002781003	-1.714281372	0.996434204	-0.194913444	-0.165009417					
G8	L-020119-00	10534	SSSCA1	ch-TOG shRNA	G8_ch-TOG shRNA	-0.592818114	-0.364029863	0.252396731	0.529912536	-0.091277836					
G8	L-020119-00	10534	SSSCA1	non-silencing shRNA	G8_non-silencing shRNA	-0.407413663	0.374266165	0.784863862	-0.230374014	-0.213931749					
G9	L-014271-00	79003	MIS12	ch-TOG shRNA	G9_ch-TOG shRNA	0.259583065	0.085725998	-0.774669087	0.829509113	-0.249384686					
G9	L-014271-00	79003	MIS12	non-silencing shRNA	G9_non-silencing shRNA	-0.326623774	0.503293188	0.77679533	-0.228926831	-0.285934442					
H10	L-006067-00	10600	USP16	ch-TOG shRNA	H10_ch-TOG shRNA	0.543424281	0.55340838	-0.065590206	1.5304381	0.088759539					
H10	L-006067-00	10600	USP16	non-silencing shRNA	H10_non-silencing shRNA	-0.753798368	0.59778497	1.096731212	-0.255965423	-0.107463286					
H11	L-010209-00	55835	CENPJ	ch-TOG shRNA	H11_ch-TOG shRNA	1.064249367	0.483801366	1.397151659	-1.605563214	0.630119183					
H11	L-010209-00	55835	CENPJ	non-silencing shRNA	H11_non-silencing shRNA	0.219987866	1.375820727	0.91104176	-0.241260425	0.111099117					
H12	L-012115-01	10300	KATNB1	ch-TOG shRNA	H12_ch-TOG shRNA	-1.430899343	-1.213495537	0.691726096	0.360619077	-0.457534848					
H12	L-012115-01	10300	KATNB1	non-silencing shRNA	H12_non-silencing shRNA	-0.277910162	-1.339408001	0.557687275	-0.27388115	-0.041172638					
H13	L-012877-00	10910	SUGT1	ch-TOG shRNA	H13_ch-TOG shRNA	1.460860229	1.15254932	-0.406112113	1.075517647	0.13755167					
H13	L-012877-00	10910	SUGT1	non-silencing shRNA	H13_non-silencing shRNA	-0.451949277	-0.253767938	0.834261707	-0.246653134	-0.096496972					
H14	L-006830-00	11130	ZWINT	ch-TOG shRNA	H14_ch-TOG shRNA	0.115696912	-0.127563008	0.305320134	0.979469149	-0.097101866					
H14	L-006830-00	11130	ZWINT	non-silencing shRNA	H14_non-silencing shRNA	-0.753798368	-0.327683367	1.033222809	-0.264965781	-0.142725859					
H15	L-013482-00	4130	MAP1A	ch-TOG shRNA	H15_ch-TOG shRNA	-1.308510332	-1.050263494	0.365431935	-0.703553916	-0.335766726					
H15	L-013482-00	4130	MAP1A	non-silencing shRNA	H15_non-silencing shRNA	-0.554464122	-1.559080856	0.910582073	-0.190112877	-0.134626005					
H16	L-005281-00	8655	DNCL1	ch-TOG shRNA	H16_ch-TOG shRNA	1.422828088	1.258737787	0.647236954	0.280796972	-0.146429748					
H16	L-005281-00	8655	DNCL1	non-silencing shRNA	H16_non-silencing shRNA	0.069971149	-3.064487651	1.197565262	-0.219413433	-0.222243709					
H17	L-012434-00	26271	FBXO5	ch-TOG shRNA	H17_ch-TOG shRNA	-1.054927973	-0.512137496	0.655234754	-2.826622289	1.760951772					
H17	L-012434-00	26271	FBXO5	non-silencing shRNA	H17_non-silencing shRNA	-0.753798368	-6.257457695	-2.777760269	-0.313408342	1.119250789					
H18	L-181567-00	728642	CDC2L2	ch-TOG shRNA	H18_ch-TOG shRNA	-1.563062313	-1.756821403	0.210315044	0.817216674	-0.547431585	yes	yes	experimental condition and gene	suppression of ch-TOG multipolar spindle phenotype	
H18	L-181567-00	728642	CDC2L2	non-silencing shRNA	H18_non-silencing shRNA	0.375314012	-0.190109362	0.989574463	-0.248630953	-0.191326841					
H19	L-009523-00	8697	CDC23	ch-TOG shRNA	H19_ch-TOG shRNA	-0.522863211	-0.162010875	-1.311074844	-0.043592558	-0.207063361					
H19	L-009523-00	8697	CDC23	non-silencing shRNA	H19_non-silencing shRNA	0.0030305	-1.229756046	1.146979818	-0.201044931	-0.283092517					
H2				ch-TOG shRNA	H2_ch-TOG shRNA	0.048373658	0.05236192	-0.019296419	1.761046076	-0.054638429					
H2				non-silencing shRNA	H2_non-silencing shRNA	-0.550630182	-0.162417282	0.870286241	-0.229678691	-0.229991909					
H20	L-010033-00	11335	CBX3	ch-TOG shRNA	H20_ch-TOG shRNA	-0.509439083	-0.345843849	-0.435462538	-0.013031209	-0.556769242					
H20	L-010033-00	11335	CBX3	non-silencing shRNA	H20_non-silencing shRNA	-0.261462213	-1.698620811	0.45345892	-0.138168186	-0.355619448					
H21	L-003229-00	996	CDC27	ch-TOG shRNA	H21_ch-TOG shRNA	0.353733794	0.480611164	-0.273247497	-0.60804722	-0.587435618					
H21	L-003229-00	996	CDC27	non-silencing shRNA	H21_non-silencing shRNA	1.121689308	0.645443342	0.734379485	-0.199477365	-0.126281168					
H22	L-004687-00	984	CDC2L1	non-silencing shRNA	H22_non-silencing shRNA	1.712330952	-0.47290558	-0.144329387	-0.228804208	0.255187376	yes	yes	experimental condition and gene		enhancement of ch-TOG multipolar spindle phenotype
H22	L-004687-00	984	CDC2L1	ch-TOG shRNA	H22_ch-TOG shRNA	-0.758465374	-0.831732252	-0.16739	1.073740125	-0.105004183					
H23				ch-TOG shRNA	H23_ch-TOG shRNA	0.791752506	0.423024671	-0.811367652	0.854514511	-0.046473178					
H23				non-silencing shRNA	H23_non-silencing shRNA	0.079798716	0.479072278	0.840121014	-0.180266404	-0.229809365					
H3	L-006829-00	9735	KNTC1	ch-TOG shRNA	H3_ch-TOG shRNA	-0.059061457	-0.099527202	0.713706367	1.139084189	-0.07925791					
H3	L-006829-00	9735	KNTC1	non-silencing shRNA	H3_non-silencing shRNA	-0.550630182	-2.228251432	0.740287398	-0.211419161	-0.086942344					
H4	L-004102-00	699	BUB1	ch-TOG shRNA	H4_ch-TOG shRNA	0.98026555	0.187832747	1.240479482	-2.43295577	-0.122879007					
H4	L-004102-00	699	BUB1	non-silencing shRNA	H4_non-silencing shRNA	-0.313680058	0.286963939	0.357245453	-0.240566021	-0.137582303					
H5	L-004754-00	51203	NUSAP1	ch-TOG shRNA	H5_ch-TOG shRNA	1.809052468	1.434443324	0.939697218	0.244219216	-0.165831215	yes	yes	experimental condition and gene		enhancement of ch-TOG multipolar spindle phenotype
H5	L-004754-00	51203	NUSAP1	non-silencing shRNA	H5_non-silencing shRNA	0.748785008	0.512049131	0.536376434	-0.239554762	-0.164278649					
H6	L-019156-01	163786	DKFZP761A078	ch-TOG shRNA	H6_ch-TOG shRNA	-0.063789489	-0.250512384	-0.140930971	1.460910543	-0.286433671					
H6	L-019156-01	163786	DKFZP761A078	non-silencing shRNA	H6_non-silencing shRNA	0.004819025	0.981235751	0.74949922	-0.205463784	-0.11724689					
H7	L-020277-02	55762	FLJ10891	ch-TOG shRNA	H7_ch-TOG shRNA	-0.122710155	-0.082464078	-0.993140733	2.36260656	-0.244861665					
H7	L-020277-02	55762	FLJ10891	non-silencing shRNA	H7_non-silencing shRNA	-0.114579362	-0.350605748	1.09943569	-0.178386835	-0.181994277					
H8	L-006992-00	51529	ANAPC11	ch-TOG shRNA	H8_ch-TOG shRNA	-1.23220178	-1.015442392	-0.355989229	1.375485706	-0.621458105					
H8	L-006992-00	51529	ANAPC11	non-silencing shRNA	H8_non-silencing shRNA	0.606945011	1.549434583	0.700074554	-0.179296657	-0.272451507					
H9	L-004455-01	8409	UXT	ch-TOG shRNA	H9_ch-TOG shRNA	-0.576618864	-0.379567943	0.058280736	0.249260571	-0.1007825					
H9	L-004455-01	8409	UXT	non-silencing shRNA	H9_non-silencing shRNA	-0.025040418	-0.474519448	0.945603653	-0.241396622	-0.109740746					
I10	L-003223-00	8881	CDC16	ch-TOG shRNA	I10_ch-TOG shRNA	-0.700777514	-0.196744196	-0.199051656	-1.429750957	-0.347860939					
I10	L-003223-00	8881	CDC16	non-silencing shRNA	I10_non-silencing shRNA	-0.25071655	0.349977168	0.445957366	-0.146136783	-0.183100385					
I11	L-008338-00	3801	KIFC3	ch-TOG shRNA	I11_ch-TOG shRNA	-0.297960938	-0.188588876	0.942689553	-0.553388837	0.061052117					
I11	L-008338-00	3801	KIFC3	non-silencing shRNA	I11_non-silencing shRNA	-0.443070679	-0.467057755	0.587147708	-0.184491154	-0.157689983					
I12	L-004955-00	11004	KIF2C	ch-TOG shRNA	I12_ch-TOG shRNA	-1.754586768	-2.216180061	-0.230132516	-0.943894993	-0.559885513	yes	yes	experimental condition and gene	suppression of ch-TOG multipolar spindle phenotype	
I12	L-004955-00	11004	KIF2C	non-silencing shRNA	I12_non-silencing shRNA	-0.618353263	-0.463314339	0.33840643	-0.128911301	-0.213750308					
I13	L-011086-00	4625	MYH7	ch-TOG shRNA	I13_ch-TOG shRNA	0.419151837	0.369092666	0.421539489	-0.754034437	-0.055543209					
I13	L-011086-00	4625	MYH7	non-silencing shRNA	I13_non-silencing shRNA	-0.28524054	0.702468244	0.041759883	-0.209273848	-0.17949219					
I14	L-003232-00	8318	CDC45L	ch-TOG shRNA	I14_ch-TOG shRNA	0.790898754	0.53871181	0.08841918	-0.955626777	0.072752412					
I14	L-003232-00	8318	CDC45L	non-silencing shRNA	I14_non-silencing shRNA	-0.629507503	-1.192245756	0.637103786	-0.166464391	-0.153554926					
I15	L-009928-01	56171	DNAH7	ch-TOG shRNA	I15_ch-TOG shRNA	-0.11358805	-0.146251317	-0.602453807	-0.144666506	-0.139340211					
I15	L-009928-01	56171	DNAH7	non-silencing shRNA	I15_non-silencing shRNA	-0.399348373	0.186537053	0.40337125	-0.180311283	-0.226021949					
I16	L-017658-00	9738	CP110	ch-TOG shRNA	I16_ch-TOG shRNA	-0.208324038	-0.164357292	0.434302826	-0.667113733	0.001222447					
I16	L-017658-00	9738	CP110	non-silencing shRNA	I16_non-silencing shRNA	0.190403119	-1.011858834	0.253357047	-0.158161213	-0.198020177					
I17	L-006828-00	1778	DYNC1H1	ch-TOG shRNA	I17_ch-TOG shRNA	2.476274769	2.252042514	-0.096282718	0.303882617	0.433979262	yes	yes	experimental condition and gene		enhancement of ch-TOG multipolar spindle phenotype
I17	L-006828-00	1778	DYNC1H1	non-silencing shRNA	I17_non-silencing shRNA	0.540276826	-1.058850089	-0.332798153	0.353685293	-0.210263604					
I18	L-003317-00	3832	KIF11	ch-TOG shRNA	I18_ch-TOG shRNA	-1.572791641	-3.048890518	-2.256719003	-1.745724499	-0.124271181	yes	yes	experimental condition and gene	suppression of ch-TOG multipolar spindle phenotype	
I18	L-003317-00	3832	KIF11	non-silencing shRNA	I18_non-silencing shRNA	-0.388448436	-2.147275872	-4.755366378	5.001645561	0.03591551					
I19	L-010353-00	5901	RAN	ch-TOG shRNA	I19_ch-TOG shRNA	-0.008318189	0.063759764	0.220543889	-1.873223809	-0.656992641					
I19	L-010353-00	5901	RAN	non-silencing shRNA	I19_non-silencing shRNA	-0.499838136	-2.128621618	-1.7396102	-0.187772603	-0.288930712					
I2				ch-TOG shRNA	I2_ch-TOG shRNA	-0.027356451	0.121865273	0.169319478	-0.836364176	-0.035553671					
I2				non-silencing shRNA	I2_non-silencing shRNA	0.556159325	0.6223547	-0.283686613	-0.074084093	-0.229118946					
I20	L-015917-01	220134	C18ORF24	ch-TOG shRNA	I20_ch-TOG shRNA	-1.104409946	-1.392956854	-1.967677473	0.177378393	-0.533281345					
I20	L-015917-01	220134	C18ORF24	non-silencing shRNA	I20_non-silencing shRNA	0.954062045	1.663733165	-2.452842073	2.914152719	-0.198877239					
I21	L-004962-00	3835	KIF22	ch-TOG shRNA	I21_ch-TOG shRNA	0.047848724	0.045849465	-0.009674468	-1.462320647	-0.185871782					
I21	L-004962-00	3835	KIF22	non-silencing shRNA	I21_non-silencing shRNA	-0.004505372	-0.160775841	0.526937584	-0.232416211	-0.191391784					
I22	L-013475-01	81929	SEH1L	ch-TOG shRNA	I22_ch-TOG shRNA	-0.490962157	-0.495579564	-0.473487152	-1.257659115	-0.430090665					
I22	L-013475-01	81929	SEH1L	non-silencing shRNA	I22_non-silencing shRNA	-0.479390103	0.701384631	0.257405021	-0.249663785	-0.273881724					
I23				ch-TOG shRNA	I23_ch-TOG shRNA	-0.06756285	-0.100814253	-0.703513693	-0.381968929	-0.035549551					
I23				non-silencing shRNA	I23_non-silencing shRNA	0.486408429	0.819180982	0.390786313	-0.168141788	-0.224206855					
I3	L-015700-00	221150	C13ORF3	non-silencing shRNA	I3_non-silencing shRNA	1.721871284	2.003875802	-3.531762628	3.917880376	0.12294709	yes	yes	experimental condition and gene		enhancement of ch-TOG multipolar spindle phenotype
I3	L-015700-00	221150	C13ORF3	ch-TOG shRNA	I3_ch-TOG shRNA	-0.56157889	-0.788832939	-1.681479229	0.838299092	-0.083212168					
I4	L-017646-00	801	CALM1	ch-TOG shRNA	I4_ch-TOG shRNA	0.069760329	-0.07567979	0.691656601	-0.697568946	0.204964373					
I4	L-017646-00	801	CALM1	non-silencing shRNA	I4_non-silencing shRNA	-0.172253366	0.377957561	0.283575919	-0.148836773	-0.054911199					
I5	L-005280-00	8089	GAS41	ch-TOG shRNA	I5_ch-TOG shRNA	0.323708667	0.22818623	-0.239317376	0.476207317	0.019572461					
I5	L-005280-00	8089	GAS41	non-silencing shRNA	I5_non-silencing shRNA	-0.515701958	0.537061867	0.129077767	-0.17135247	-0.195426708					
I6	L-018323-00	10426	TUBGCP3	ch-TOG shRNA	I6_ch-TOG shRNA	-1.752749272	-1.685685362	1.320634526	-0.673727505	-0.316881569	yes	yes	experimental condition and gene	suppression of ch-TOG multipolar spindle phenotype	
I6	L-018323-00	10426	TUBGCP3	non-silencing shRNA	I6_non-silencing shRNA	-0.591264242	0.783360834	0.132439026	-0.01159548	-0.19581592					
I7	L-003326-00	9212	AURKB	ch-TOG shRNA	I7_ch-TOG shRNA	3.678260251	3.773397947	1.583142186	-1.801060809	4.967144011	yes	yes	experimental condition and gene		enhancement of ch-TOG multipolar spindle phenotype
I7	L-003326-00	9212	AURKB	non-silencing shRNA	I7_non-silencing shRNA	0.813828791	2.128779277	-1.004855425	-0.018477129	2.059716624					
I8	L-009259-00	5536	PPP5C	ch-TOG shRNA	I8_ch-TOG shRNA	0.42473483	0.3960116	-0.344434965	-1.020763624	0.200069354					
I8	L-009259-00	5536	PPP5C	non-silencing shRNA	I8_non-silencing shRNA	-0.095331606	0.601559616	0.034306341	-0.146042546	-0.238692749					
I9	L-023462-00	23122	CLASP2	ch-TOG shRNA	I9_ch-TOG shRNA	-0.096676567	-0.188753172	-0.232634933	0.041048077	-0.058177155					
I9	L-023462-00	23122	CLASP2	non-silencing shRNA	I9_non-silencing shRNA	-0.489680149	-0.104242701	0.331110712	-0.152385868	-0.231550805					
