ORF Identifier	Gene Allele Name	Gene Identifier	Gene Symbol	Median Replicate Correlation	Morphological Cluster ID	Has Phenotype	Phenotype Annotation Level	Phenotype 1	Phenotype 2	Phenotype 3	Phenotype 4	Phenotype 5	Phenotype 6	Phenotype 7	Phenotype 8	Phenotype 9	Phenotype 10	Phenotype 11	Phenotype 12	Phenotype 13	Phenotype 14	Phenotype 15	Phenotype 16	Phenotype 17	Phenotype 18	Phenotype 19	Phenotype 20	Phenotype 21	Phenotype 22
ccsbBroad304_06837	RAF1_WT.2	5894	RAF1	0.765568802	19	yes	multiple reagents				enriched for huge		enriched for small asymmetric cells					de-enriched for slightly elongated	de-enriched for extremely elongated			de-enriched for slightly large							normal cell density
ccsbBroad304_06846	RB1_WT.2	5925	RB1	0.069353976																									
ccsbBroad304_06864	RHEB_WT.2	6009	RHEB	0.055410224																									
ccsbBroad304_06926	SDHA_WT	6389	SDHA	0.569136796																									
ccsbBroad304_06995	SREBF1_WT	6720	SREBF1	NA																									
ccsbBroad304_07012	STK3_WT.2	6788	STK3	0.514031514	15	yes	multiple reagents						enriched for small asymmetric cells	enriched for multi-nucleate	enriched for telophase/late telophase		enriched for apoptotic	de-enriched for slightly elongated	de-enriched for extremely elongated	de-enriched for extremely triangular		de-enriched for slightly large							normal cell density
ccsbBroad304_07036	TCF4_WT.2	6925	TCF4	0.274363698																									
ccsbBroad304_07056	TGFB1_WT	7040	TGFB1	0.276308568																									
ccsbBroad304_07088	TP53_WT.2	7157	TP53	0.260422179																									
ccsbBroad304_07098	TRAF3_WT.2	7187	TRAF3	NA																									
ccsbBroad304_07101	TSC2_WT	7249	TSC2	0.182934589																									
ccsbBroad304_07127	VEGFC_WT.1	7424	VEGFC	-0.020782453																									
ccsbBroad304_07128	VHL_WT.1	7428	VHL	0.123747867																									
ccsbBroad304_07217	AXIN2_WT.1	8313	AXIN2	0.150216737																									
ccsbBroad304_07529	AKT3_WT.1	10000	AKT3	0.265228138																									
ccsbBroad304_07601	YAP1_WT.1	10413	YAP1	0.581179124	20	yes	multiple reagents		enriched for slightly elongated			enriched for slightly large				enriched for disjoint bright mitochondria							de-enriched for small asymmetric cells		de-enriched for telophase/late telophase				normal cell density
ccsbBroad304_08116	TBK1_WT.1	29110	TBK1	0.37682198	2	yes	multiple reagents				enriched for huge												de-enriched for small asymmetric cells						normal cell density
ccsbBroad304_08230	IRAK4_WT	51135	IRAK4	0.045398031																									
ccsbBroad304_09091	SLIRP_WT.1	81892	SLIRP	0.160314714																									
ccsbBroad304_10688	ATM_WT.1	472	ATM	NA																									
ccsbBroad304_10689	ATM_WT.2	472	ATM	NA																									
ccsbBroad304_10710	CASP8_WT.1	841	CASP8	NA																									
ccsbBroad304_10790	DVL1_WT.1	1855	DVL1	NA																									
ccsbBroad304_11001	NOTCH2_WT	4853	NOTCH2	0.238061115																									
ccsbBroad304_11025	PER1_WT.1	5187	PER1	NA																									
ccsbBroad304_11031	PIK3R2_WT	5296	PIK3R2	NA																									
ccsbBroad304_11052	PPP2R5C_WT.1	5527	PPP2R5C	NA																									
ccsbBroad304_11095	RELA_WT.1	5970	RELA	NA																									
ccsbBroad304_11169	ADAM17_WT	6868	ADAM17	NA																									
ccsbBroad304_11186	TGFBR2_WT.1	7048	TGFBR2	NA																									
ccsbBroad304_11651	ATF6_WT.1	22926	ATF6	NA																									
ccsbBroad304_12062	EGLN1_WT.1.mismatch	54583	EGLN1	NA																									
ccsbBroad304_12357	RPTOR_WT	57521	RPTOR	NA																									
ccsbBroad304_13449	RICTOR_WT	253260	RICTOR	NA																									
ccsbBroad304_13609	IRGM_WT.1	345611	IRGM	NA																									
ccsbBroad304_14528	ACVR1B_WT.1	91	ACVR1B	0.023258833																									
ccsbBroad304_14538	AKT1_WT.1	207	AKT1	0.395334047																									
ccsbBroad304_14544	ARAF_WT.2	369	ARAF	0.230373665																									
ccsbBroad304_14572	CDK2_WT.2	1017	CDK2	0.444086448	13	yes	multiple reagents	enriched for extremely elongated	enriched for slightly elongated												de-enriched for huge	de-enriched for slightly large	de-enriched for small asymmetric cells	de-enriched for multi-nucleate					normal cell density
ccsbBroad304_14574	CDK4_WT.2	1019	CDK4	0.11499449																									
ccsbBroad304_14596	MAPK14_WT.2	1432	MAPK14	0.340234256	4	yes	multiple reagents				enriched for huge			enriched for multi-nucleate	enriched for telophase/late telophase			de-enriched for slightly elongated	de-enriched for extremely elongated	de-enriched for extremely triangular		de-enriched for slightly large						low cell density	
ccsbBroad304_14599	CSNK1A1_WT.2	1452	CSNK1A1	NA																									
ccsbBroad304_14601	CSNK1E_WT.2	1454	CSNK1E	0.899138591																									
ccsbBroad304_14634	ERN1_WT.2	2081	ERN1	NA																									
ccsbBroad304_14680	JAK2_WT	3717	JAK2	NA																									
ccsbBroad304_14682	JUN_WT.1	3725	JUN	0.877366313	15	yes	multiple reagents						enriched for small asymmetric cells	enriched for multi-nucleate	enriched for telophase/late telophase		enriched for apoptotic	de-enriched for slightly elongated	de-enriched for extremely elongated	de-enriched for extremely triangular		de-enriched for slightly large							normal cell density
ccsbBroad304_14695	MAP3K5_WT	4217	MAP3K5	NA																									
ccsbBroad304_14698	MAP3K11_WT	4296	MAP3K11	NA																									
ccsbBroad304_14699	MOS_WT.2	4342	MOS	0.424539376	19	yes	multiple reagents				enriched for huge		enriched for small asymmetric cells					de-enriched for slightly elongated	de-enriched for extremely elongated			de-enriched for slightly large							normal cell density
ccsbBroad304_14726	PAK1_WT.2	5058	PAK1	NA																									
ccsbBroad304_14741	PDPK1_WT.2	5170	PDPK1	0.067265612																									
ccsbBroad304_14759	PIK3CA_WT.1	5290	PIK3CA	NA																									
ccsbBroad304_14760	PIK3CB_WT.2	5291	PIK3CB	NA																									
ccsbBroad304_14763	PIK3R1_WT.1	5295	PIK3R1	0.337874585	21	yes	multiple reagents		enriched for slightly elongated					enriched for multi-nucleate		enriched for disjoint bright mitochondria													normal cell density
ccsbBroad304_14776	PRKAA1_WT.1	5562	PRKAA1	NA																									
ccsbBroad304_14780	PRKACA_WT.1	5566	PRKACA	0.767675713	8	yes	multiple reagents								enriched for telophase/late telophase		enriched for apoptotic		de-enriched for extremely elongated	de-enriched for extremely triangular		de-enriched for slightly large		de-enriched for multi-nucleate				low cell density	
ccsbBroad304_14781	PRKACB_WT.2	5567	PRKACB	0.204980991																									
ccsbBroad304_14782	PRKACG_WT.2	5568	PRKACG	0.182379243																									
ccsbBroad304_14788	PRKCA_WT.2	5578	PRKCA	NA																									
ccsbBroad304_14790	PRKCE_WT.2	5581	PRKCE	NA																									
ccsbBroad304_14796	PRKCZ_WT.2	5590	PRKCZ	0.502575269	17	yes	multiple reagents	enriched for extremely elongated		enriched for extremely triangular			enriched for small asymmetric cells	enriched for multi-nucleate				de-enriched for slightly elongated				de-enriched for slightly large							normal cell density
ccsbBroad304_14799	MAPK1_WT.2	5594	MAPK1	NA																									
ccsbBroad304_14800	MAPK3_WT	5595	MAPK3	NA																									
ccsbBroad304_14803	MAPK8_WT.2	5599	MAPK8	NA																									
ccsbBroad304_14804	MAPK9_WT.2	5601	MAPK9	0.02394898																									
ccsbBroad304_14806	MAPK13_WT.2	5603	MAPK13	0.169342104																									
ccsbBroad304_14807	MAP2K1_WT.1	5604	MAP2K1	NA																									
ccsbBroad304_14825	RAF1_WT.1	5894	RAF1	0.758767722	19	yes	multiple reagents				enriched for huge		enriched for small asymmetric cells					de-enriched for slightly elongated	de-enriched for extremely elongated			de-enriched for slightly large							normal cell density
ccsbBroad304_14833	RPS6KB1_WT.2	6198	RPS6KB1	0.304815165	12	yes	multiple reagents					enriched for slightly large						de-enriched for slightly elongated	de-enriched for extremely elongated	de-enriched for extremely triangular									normal cell density
ccsbBroad304_14850	STK3_WT.1	6788	STK3	0.624918504	15	yes	multiple reagents						enriched for small asymmetric cells	enriched for multi-nucleate	enriched for telophase/late telophase		enriched for apoptotic	de-enriched for slightly elongated	de-enriched for extremely elongated	de-enriched for extremely triangular		de-enriched for slightly large							normal cell density
ccsbBroad304_14853	STK11_WT.2	6794	STK11	0.503263017	22	yes	multiple reagents				enriched for huge	enriched for slightly large				enriched for disjoint bright mitochondria			de-enriched for extremely elongated				de-enriched for small asymmetric cells	de-enriched for multi-nucleate	de-enriched for telophase/late telophase				normal cell density
ccsbBroad304_14856	MAP3K7_WT	6885	MAP3K7	0.363995814	14	yes	multiple reagents					enriched for slightly large	enriched for small asymmetric cells	enriched for multi-nucleate	enriched for telophase/late telophase				de-enriched for extremely elongated	de-enriched for extremely triangular									normal cell density
ccsbBroad304_14861	TGFBR1_WT.2	7046	TGFBR1	NA																									
ccsbBroad304_14862	TGFBR2_WT.2	7048	TGFBR2	NA																									
ccsbBroad304_14905	MKNK1_WT	8569	MKNK1	NA																									
ccsbBroad304_14910	RIPK1_WT	8737	RIPK1	NA																									
ccsbBroad304_14943	IKBKE_WT.2	9641	IKBKE	NA																									
ccsbBroad304_14950	AKT3_WT.3	10000	AKT3	NA																									
ccsbBroad304_14956	LRPPRC_WT	10128	LRPPRC	NA																									
ccsbBroad304_14974	MAP3K2_WT.2	10746	MAP3K2	NA																									
ccsbBroad304_15022	SGK3_WT.2	23678	SGK3	0.371015171																									
ccsbBroad304_15050	TBK1_WT.2	29110	TBK1	0.172249907																									
ccsbBroad304_15196	CARD11_WT	84433	CARD11	NA																									
