Source Name	Characteristics[Organism]	Term Source REF	Term Source Accession	Characteristics[Cell Line]	Term Source REF	Term Source Accession	Characteristics[Cell Cycle Phase]	Protocol REF	Protocol REF	Assay Name	Factor Value [Targeted Protein]	Comment [Gene Identifier]	Comment [Gene Symbol]	Comment [Gene Symbol Synonyms]	Channels	Dataset Name	Image File Path	Image Name	Protocol REF	Processed Data File
Centrin_Cpap_PCNTN20_003	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_Cpap_PCNTN20_003	CPAP 	ENSG00000151849	CENPJ	CPAP	525:CENT2; 442:CPAP; 615:PCNT-N20	CPAP 	CPAP/Centrin_Cpap_PCNT-N20_20111108/	Centrin_Cpap_PCNTN20_003_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Centrin_Cpap_PCNTN20_004	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_Cpap_PCNTN20_004	CPAP 	ENSG00000151849	CENPJ	CPAP	525:CENT2; 442:CPAP; 615:PCNT-N20	CPAP 	CPAP/Centrin_Cpap_PCNT-N20_20111108/	Centrin_Cpap_PCNTN20_004_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Centrin_Cpap_PCNTN20_005	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_Cpap_PCNTN20_005	CPAP 	ENSG00000151849	CENPJ	CPAP	525:CENT2; 442:CPAP; 615:PCNT-N20	CPAP 	CPAP/Centrin_Cpap_PCNT-N20_20111108/	Centrin_Cpap_PCNTN20_005_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Centrin_Cpap_PCNTN20_007	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_Cpap_PCNTN20_007	CPAP 	ENSG00000151849	CENPJ	CPAP	525:CENT2; 442:CPAP; 615:PCNT-N20	CPAP 	CPAP/Centrin_Cpap_PCNT-N20_20111108/	Centrin_Cpap_PCNTN20_007_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Centrin_Cpap_PCNTN20_008	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_Cpap_PCNTN20_008	CPAP 	ENSG00000151849	CENPJ	CPAP	525:CENT2; 442:CPAP; 615:PCNT-N20	CPAP 	CPAP/Centrin_Cpap_PCNT-N20_20111108/	Centrin_Cpap_PCNTN20_008_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Centrin_Cpap_PCNTN20_009	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_Cpap_PCNTN20_009	CPAP 	ENSG00000151849	CENPJ	CPAP	525:CENT2; 442:CPAP; 615:PCNT-N20	CPAP 	CPAP/Centrin_Cpap_PCNT-N20_20111108/	Centrin_Cpap_PCNTN20_009_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Centrin_Cpap_PCNTN20_010	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_Cpap_PCNTN20_010	CPAP 	ENSG00000151849	CENPJ	CPAP	525:CENT2; 442:CPAP; 615:PCNT-N20	CPAP 	CPAP/Centrin_Cpap_PCNT-N20_20111108/	Centrin_Cpap_PCNTN20_010_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Centrin_Cpap_PCNTN20_011	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_Cpap_PCNTN20_011	CPAP 	ENSG00000151849	CENPJ	CPAP	525:CENT2; 442:CPAP; 615:PCNT-N20	CPAP 	CPAP/Centrin_Cpap_PCNT-N20_20111108/	Centrin_Cpap_PCNTN20_011_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Centrin_Cpap_PCNTN20_012	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_Cpap_PCNTN20_012	CPAP 	ENSG00000151849	CENPJ	CPAP	525:CENT2; 442:CPAP; 615:PCNT-N20	CPAP 	CPAP/Centrin_Cpap_PCNT-N20_20111108/	Centrin_Cpap_PCNTN20_012_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Centrin_Cpap_PCNTN20_014	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_Cpap_PCNTN20_014	CPAP 	ENSG00000151849	CENPJ	CPAP	525:CENT2; 442:CPAP; 615:PCNT-N20	CPAP 	CPAP/Centrin_Cpap_PCNT-N20_20111108/	Centrin_Cpap_PCNTN20_014_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Centrin_Cpap_PCNTN20_016	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_Cpap_PCNTN20_016	CPAP 	ENSG00000151849	CENPJ	CPAP	525:CENT2; 442:CPAP; 615:PCNT-N20	CPAP 	CPAP/Centrin_Cpap_PCNT-N20_20111108/	Centrin_Cpap_PCNTN20_016_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Centrin_Cpap_PCNTN20_017	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_Cpap_PCNTN20_017	CPAP 	ENSG00000151849	CENPJ	CPAP	525:CENT2; 442:CPAP; 615:PCNT-N20	CPAP 	CPAP/Centrin_Cpap_PCNT-N20_20111108/	Centrin_Cpap_PCNTN20_017_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Centrin_Cpap_PCNTN20_018	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_Cpap_PCNTN20_018	CPAP 	ENSG00000151849	CENPJ	CPAP	525:CENT2; 442:CPAP; 615:PCNT-N20	CPAP 	CPAP/Centrin_Cpap_PCNT-N20_20111108/	Centrin_Cpap_PCNTN20_018_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Centrin_Cpap_PCNTN20_019	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_Cpap_PCNTN20_019	CPAP 	ENSG00000151849	CENPJ	CPAP	525:CENT2; 442:CPAP; 615:PCNT-N20	CPAP 	CPAP/Centrin_Cpap_PCNT-N20_20111108/	Centrin_Cpap_PCNTN20_019_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Ctrl_Cep215_NEDD1_20101116_Tue-1159_1	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Ctrl_Cep215_NEDD1_20101116_Tue-1159_1	CDK5RAP2-C	ENSG00000136861	CDK5RAP2	CEP215	525:CDK5RAP2-C; 615:NEDD1	CDK5RAP2-C	CDK5RAP2-C/Cep215_NEDD1_20101116/	Ctrl_Cep215_NEDD1_20101116_Tue-1159_1_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Ctrl_Cep215_NEDD1_20101116_Tue-1242_1	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Ctrl_Cep215_NEDD1_20101116_Tue-1242_1	CDK5RAP2-C	ENSG00000136861	CDK5RAP2	CEP215	525:CDK5RAP2-C; 615:NEDD1	CDK5RAP2-C	CDK5RAP2-C/Cep215_NEDD1_20101116/	Ctrl_Cep215_NEDD1_20101116_Tue-1242_1_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Ctrl_Cep215_NEDD1_20101116_Tue-1246_1	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Ctrl_Cep215_NEDD1_20101116_Tue-1246_1	CDK5RAP2-C	ENSG00000136861	CDK5RAP2	CEP215	525:CDK5RAP2-C; 615:NEDD1	CDK5RAP2-C	CDK5RAP2-C/Cep215_NEDD1_20101116/	Ctrl_Cep215_NEDD1_20101116_Tue-1246_1_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Ctrl_Cep215_NEDD1_20101116_Tue-1251_1	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Ctrl_Cep215_NEDD1_20101116_Tue-1251_1	CDK5RAP2-C	ENSG00000136861	CDK5RAP2	CEP215	525:CDK5RAP2-C; 615:NEDD1	CDK5RAP2-C	CDK5RAP2-C/Cep215_NEDD1_20101116/	Ctrl_Cep215_NEDD1_20101116_Tue-1251_1_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
siControl_N20_Cep215_I_20110411_Mon-1349_0	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	siControl_N20_Cep215_I_20110411_Mon-1349_0	CDK5RAP2-C	ENSG00000136861	CDK5RAP2	CEP215	525:PCNT; 615:CDK5RAP2-C	CDK5RAP2-C	CDK5RAP2-C/PCNT_Cep215_matrix2_20110413/	siControl_N20_Cep215_I_20110411_Mon-1349_0_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
siControl_N20_Cep215_I_20110411_Mon-1459_0	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	siControl_N20_Cep215_I_20110411_Mon-1459_0	CDK5RAP2-C	ENSG00000136861	CDK5RAP2	CEP215	525:PCNT; 615:CDK5RAP2-C	CDK5RAP2-C	CDK5RAP2-C/PCNT_Cep215_matrix2_20110413/	siControl_N20_Cep215_I_20110411_Mon-1459_0_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
siControl_N20_Cep215_I_20110411_Mon-1501_0	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	siControl_N20_Cep215_I_20110411_Mon-1501_0	CDK5RAP2-C	ENSG00000136861	CDK5RAP2	CEP215	525:PCNT; 615:CDK5RAP2-C	CDK5RAP2-C	CDK5RAP2-C/PCNT_Cep215_matrix2_20110413/	siControl_N20_Cep215_I_20110411_Mon-1501_0_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
siControl_N20_Cep215_I_20110411_Mon-1503_0	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	siControl_N20_Cep215_I_20110411_Mon-1503_0	CDK5RAP2-C	ENSG00000136861	CDK5RAP2	CEP215	525:PCNT; 615:CDK5RAP2-C	CDK5RAP2-C	CDK5RAP2-C/PCNT_Cep215_matrix2_20110413/	siControl_N20_Cep215_I_20110411_Mon-1503_0_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
siControl_N20_Cep215_I_20110411_Mon-1509_0	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	siControl_N20_Cep215_I_20110411_Mon-1509_0	CDK5RAP2-C	ENSG00000136861	CDK5RAP2	CEP215	525:PCNT; 615:CDK5RAP2-C	CDK5RAP2-C	CDK5RAP2-C/PCNT_Cep215_matrix2_20110413/	siControl_N20_Cep215_I_20110411_Mon-1509_0_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Ctrl_Cep192_Cent_20101014_Thu-1301_1	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Ctrl_Cep192_Cent_20101014_Thu-1301_1	CENT2 	ENSG00000147400	CETN2		525:CEP192-M; 615:CENT2	CENT2 	CENT2/Cep192_Centrin_20101014/	Ctrl_Cep192_Cent_20101014_Thu-1301_1_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Ctrl_Cep192_Cent_20101014_Thu-1315_1	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Ctrl_Cep192_Cent_20101014_Thu-1315_1	CENT2 	ENSG00000147400	CETN2		525:CEP192-M; 615:CENT2	CENT2 	CENT2/Cep192_Centrin_20101014/	Ctrl_Cep192_Cent_20101014_Thu-1315_1_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Ctrl_Cep192_Cent_20101014_Thu-1318_1	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Ctrl_Cep192_Cent_20101014_Thu-1318_1	CENT2 	ENSG00000147400	CETN2		525:CEP192-M; 615:CENT2	CENT2 	CENT2/Cep192_Centrin_20101014/	Ctrl_Cep192_Cent_20101014_Thu-1318_1_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Ctrl_Cep192_Cent_20101014_Thu-1438_1	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Ctrl_Cep192_Cent_20101014_Thu-1438_1	CENT2 	ENSG00000147400	CETN2		525:CEP192-M; 615:CENT2	CENT2 	CENT2/Cep192_Centrin_20101014/	Ctrl_Cep192_Cent_20101014_Thu-1438_1_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Ctrl_Cep192_Cent_20101014_Thu-1443_1	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Ctrl_Cep192_Cent_20101014_Thu-1443_1	CENT2 	ENSG00000147400	CETN2		525:CEP192-M; 615:CENT2	CENT2 	CENT2/Cep192_Centrin_20101014/	Ctrl_Cep192_Cent_20101014_Thu-1443_1_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Ctrl_Cep192_Cent_20101014_Thu-1446_1	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Ctrl_Cep192_Cent_20101014_Thu-1446_1	CENT2 	ENSG00000147400	CETN2		525:CEP192-M; 615:CENT2	CENT2 	CENT2/Cep192_Centrin_20101014/	Ctrl_Cep192_Cent_20101014_Thu-1446_1_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Ctrl_Cep192_Cent_20101014_Thu-1452_1	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Ctrl_Cep192_Cent_20101014_Thu-1452_1	CENT2 	ENSG00000147400	CETN2		525:CEP192-M; 615:CENT2	CENT2 	CENT2/Cep192_Centrin_20101014/	Ctrl_Cep192_Cent_20101014_Thu-1452_1_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
NEDD1_Centrin_003	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	NEDD1_Centrin_003	CENT2 	ENSG00000147400	CETN2		525:NEDD1-C1; 615:CENT2	CENT2 	CENT2/NEDD1ab_Centrin_G1_20110909/	NEDD1_Centrin_003_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
NEDD1_Centrin_004	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	NEDD1_Centrin_004	CENT2 	ENSG00000147400	CETN2		525:NEDD1-C1; 615:CENT2	CENT2 	CENT2/NEDD1ab_Centrin_G1_20110909/	NEDD1_Centrin_004_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
NEDD1_Centrin_006	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	NEDD1_Centrin_006	CENT2 	ENSG00000147400	CETN2		525:NEDD1-C1; 615:CENT2	CENT2 	CENT2/NEDD1ab_Centrin_G1_20110909/	NEDD1_Centrin_006_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
NEDD1_Centrin_009	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	NEDD1_Centrin_009	CENT2 	ENSG00000147400	CETN2		525:NEDD1-C1; 615:CENT2	CENT2 	CENT2/NEDD1ab_Centrin_G1_20110909/	NEDD1_Centrin_009_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
NEDD1_Centrin_010	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	NEDD1_Centrin_010	CENT2 	ENSG00000147400	CETN2		525:NEDD1-C1; 615:CENT2	CENT2 	CENT2/NEDD1ab_Centrin_G1_20110909/	NEDD1_Centrin_010_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
NEDD1_Centrin_012	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	NEDD1_Centrin_012	CENT2 	ENSG00000147400	CETN2		525:NEDD1-C1; 615:CENT2	CENT2 	CENT2/NEDD1ab_Centrin_G1_20110909/	NEDD1_Centrin_012_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
NEDD1_Centrin_014	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	NEDD1_Centrin_014	CENT2 	ENSG00000147400	CETN2		525:NEDD1-C1; 615:CENT2	CENT2 	CENT2/NEDD1ab_Centrin_G1_20110909/	NEDD1_Centrin_014_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
NEDD1_Centrin_016	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	NEDD1_Centrin_016	CENT2 	ENSG00000147400	CETN2		525:NEDD1-C1; 615:CENT2	CENT2 	CENT2/NEDD1ab_Centrin_G1_20110909/	NEDD1_Centrin_016_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
NEDD1_Centrin_020	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	NEDD1_Centrin_020	CENT2 	ENSG00000147400	CETN2		525:NEDD1-C1; 615:CENT2	CENT2 	CENT2/NEDD1ab_Centrin_G1_20110909/	NEDD1_Centrin_020_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
NEDD1_Centrin_026	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	NEDD1_Centrin_026	CENT2 	ENSG00000147400	CETN2		525:NEDD1-C1; 615:CENT2	CENT2 	CENT2/NEDD1ab_Centrin_G1_20110909/	NEDD1_Centrin_026_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
NEDD1_Centrin_031	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	NEDD1_Centrin_031	CENT2 	ENSG00000147400	CETN2		525:NEDD1-C1; 615:CENT2	CENT2 	CENT2/NEDD1ab_Centrin_G1_20110909/	NEDD1_Centrin_031_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
NEDD1_Centrin_043	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	NEDD1_Centrin_043	CENT2 	ENSG00000147400	CETN2		525:NEDD1-C1; 615:CENT2	CENT2 	CENT2/NEDD1ab_Centrin_G1_20110909/	NEDD1_Centrin_043_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
NEDD1_Centrin_046	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	NEDD1_Centrin_046	CENT2 	ENSG00000147400	CETN2		525:NEDD1-C1; 615:CENT2	CENT2 	CENT2/NEDD1ab_Centrin_G1_20110909/	NEDD1_Centrin_046_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
NEDD1_Centrin_048	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	NEDD1_Centrin_048	CENT2 	ENSG00000147400	CETN2		525:NEDD1-C1; 615:CENT2	CENT2 	CENT2/NEDD1ab_Centrin_G1_20110909/	NEDD1_Centrin_048_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
NEDD1_Centrin_053	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	NEDD1_Centrin_053	CENT2 	ENSG00000147400	CETN2		525:NEDD1-C1; 615:CENT2	CENT2 	CENT2/NEDD1ab_Centrin_G1_20110909/	NEDD1_Centrin_053_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Cep120_gtub_001_201111106	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Cep120_gtub_001_201111106	CEP120 	ENSG00000168944	CEP120		525:CEP120; 615:TUBG1-N	CEP120/20111106	CEP120/20111106/	Cep120_gtub_001_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Cep120_gtub_002_201111106	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Cep120_gtub_002_201111106	CEP120 	ENSG00000168944	CEP120		525:CEP120; 615:TUBG1-N	CEP120/20111106	CEP120/20111106/	Cep120_gtub_002_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Cep120_gtub_007_201111106	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Cep120_gtub_007_201111106	CEP120 	ENSG00000168944	CEP120		525:CEP120; 615:TUBG1-N	CEP120/20111106	CEP120/20111106/	Cep120_gtub_007_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Cep120_gtub_008_201111106	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Cep120_gtub_008_201111106	CEP120 	ENSG00000168944	CEP120		525:CEP120; 615:TUBG1-N	CEP120/20111106	CEP120/20111106/	Cep120_gtub_008_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Cep120_gtub_009_201111106	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Cep120_gtub_009_201111106	CEP120 	ENSG00000168944	CEP120		525:CEP120; 615:TUBG1-N	CEP120/20111106	CEP120/20111106/	Cep120_gtub_009_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Cep120_gtub_010_201111106	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Cep120_gtub_010_201111106	CEP120 	ENSG00000168944	CEP120		525:CEP120; 615:TUBG1-N	CEP120/20111106	CEP120/20111106/	Cep120_gtub_010_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Cep120_gtub_015_201111106	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Cep120_gtub_015_201111106	CEP120 	ENSG00000168944	CEP120		525:CEP120; 615:TUBG1-N	CEP120/20111106	CEP120/20111106/	Cep120_gtub_015_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Cep120_gtub_016_201111106	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Cep120_gtub_016_201111106	CEP120 	ENSG00000168944	CEP120		525:CEP120; 615:TUBG1-N	CEP120/20111106	CEP120/20111106/	Cep120_gtub_016_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Cep120_gtub_020_201111106	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Cep120_gtub_020_201111106	CEP120 	ENSG00000168944	CEP120		525:CEP120; 615:TUBG1-N	CEP120/20111106	CEP120/20111106/	Cep120_gtub_020_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Cep120_gtub_023_201111106	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Cep120_gtub_023_201111106	CEP120 	ENSG00000168944	CEP120		525:CEP120; 615:TUBG1-N	CEP120/20111106	CEP120/20111106/	Cep120_gtub_023_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Cep120_gtub_024_201111106	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Cep120_gtub_024_201111106	CEP120 	ENSG00000168944	CEP120		525:CEP120; 615:TUBG1-N	CEP120/20111106	CEP120/20111106/	Cep120_gtub_024_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Cep120_gtub_025_201111106	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Cep120_gtub_025_201111106	CEP120 	ENSG00000168944	CEP120		525:CEP120; 615:TUBG1-N	CEP120/20111106	CEP120/20111106/	Cep120_gtub_025_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Cep120_gtub_026_201111106	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Cep120_gtub_026_201111106	CEP120 	ENSG00000168944	CEP120		525:CEP120; 615:TUBG1-N	CEP120/20111106	CEP120/20111106/	Cep120_gtub_026_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
