Plate,Well Number,Well,siRNA Identifier,siRNA Pool Name,siRNA Catalog Number,Gene Identifier %% url=http://www.ncbi.nlm.nih.gov/nuccore/%s,Ensembl 56 Gene Symbol,Control Type,Control Comments,Comments,Final Well Hit Status Actinome 1,Final Well Hit status Actinome 2,Overall Hit Gene Consensus,Has phenotypes,Phenotype 1,Term Source Accession 1,Ontology Term Name 1,Phenotype 2,Term Source Accession 2,Ontology Term Name 2,Phenotype 3,Term Source Accession 3,Ontology Term Name 3,Phenotype 4,Term Source Accession 4,Ontology Term Name 4,Phenotype 5,Term Source Accession 5,Ontology Term Name 5,Phenotype 6,Term Source Accession 6,Ontology Term Name 6,Phenotype 7,Term Source Accession 7,Ontology Term Name 7,Phenotype 8,Term Source Accession 8,Ontology Term Name 8,Phenotype 9,Term Source Accession 9,Ontology Term Name 9,Phenotype 10,Term Source Accession 10,Ontology Term Name 10,Phenotype 11,Term Source Accession 11,Ontology Term Name 11,Phenotype 12,Term Source Accession 12,Ontology Term Name 12,Phenotype 13,Term Source Accession 13,Ontology Term Name 13,Phenotype 14,Term Source Accession 14,Ontology Term Name 14,Phenotype 15,Term Source Accession 15,Ontology Term Name 15,Phenotype 16,Term Source Accession 16,Ontology Term Name 16,Phenotype 17,Term Source Accession 17,Ontology Term Name 17,Phenotype 18,Term Source Accession 18,Ontology Term Name 18,Phenotype 19,Term Source Accession 19,Ontology Term Name 19,Phenotype 20,Term Source Accession 20,Ontology Term Name 20,Phenotype 21,Term Source Accession 21,Ontology Term Name 21,Phenotype 22,Term Source Accession 22,Ontology Term Name 22,Phenotype 23,Term Source Accession 23,Ontology Term Name 23,Phenotype 24,Term Source Accession 24,Ontology Term Name 24,Phenotype 25,Term Source Accession 25,Ontology Term Name 25,Phenotype 26,Term Source Accession 26,Ontology Term Name 26,Phenotype 27,Term Source Accession 27,Ontology Term Name 27,Phenotype 28,Term Source Accession 28,Ontology Term Name 28,Phenotype 29,Term Source Accession 29,Ontology Term Name 29,Phenotype 30,Term Source Accession 30,Ontology Term Name 30,Phenotype 31,Term Source Accession 31,Ontology Term Name 31,Phenotype 32,Term Source Accession 32,Ontology Term Name 32,Phenotype 33,Term Source Accession 33,Ontology Term Name 33,Phenotype 34,Term Source Accession 34,Ontology Term Name 34,Phenotype 35,Term Source Accession 35,Ontology Term Name 35,Phenotype 36,Term Source Accession 36,Ontology Term Name 36,Phenotype 37,Term Source Accession 37,Ontology Term Name 37,Phenotype 38,Term Source Accession 38,Ontology Term Name 38,Phenotype 39,Term Source Accession 39,Ontology Term Name 39,Phenotype 40,Term Source Accession 40,Ontology Term Name 40
Plate10_Actinome1,340,O4,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate10_Actinome1,341,O5,LHX4-01,LHX4,D-010590-01,NM_033343,,,,,yes,yes,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate10_Actinome1,342,O6,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate10_Actinome1,343,O7,LHX4-02,LHX4,D-010590-02,NM_033343,,,,,yes,yes,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate10_Actinome1,344,O8,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate10_Actinome1,345,O9,LHX4-03,LHX4,D-010590-03,NM_033343,,,,,no,yes,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate10_Actinome1,346,O10,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate10_Actinome1,347,O11,LHX4-05,LHX4,D-010590-05,NM_033343,,,,,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate10_Actinome1,348,O12,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate10_Actinome1,349,O13,LOC113251-01,LOC113251,D-016523-01,NM_052879,,,,,yes,yes,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate10_Actinome1,350,O14,SUPT16H-01,SUPT16H,D-009517-01,NM_007192,SUPT16H,,,,yes,yes,yes,yes,,,,increased peripheral actin,CMPO_0000272,increased cortical actin cytoskeleton mass,,,,,,,increased number of filopodia,CMPO_0000076,increased number of filopodia,increased width of lamellae,CMPO_0000276,increased lamellipodia width phenotype,,,,,,,,,,,,,increased number of actin puncta or dots,CMPO_0000291,increased amount of punctate actin foci,,,,,,,,,,increased number of zigzag actin stress fibres,CMPO_0000299,increased amount of zig-zag stress fibers,disorganised peripheral actin,CMPO_0000274,disorganised cortical actin cytoskeleton,,,,,,,,,,,,,cell shape processes or spiky or stretchy,CMPO_0000267,star shaped cell,cell shape bipolar or elongated,CMPO_0000077,elongated cell,,,,,,,,,,increased cell number,CMPO_0000051,increased cell numbers,increased number of multinucleate cells,CMPO_0000300,more multinucleate cells,,,,,,,misshapen DNA,CMPO_0000177,misshapen DNA,,,,,,,,,,microtubule processes,CMPO_0000351,increased microtubule-based processes phenotype,,,,,,,,,,,,,loss of cell monolayer,CMPO_0000293,loss of cell monolayer,,,
Plate10_Actinome1,351,O15,LOC113251-02,LOC113251,D-016523-02,NM_052879,,,,,no,no,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate10_Actinome1,352,O16,SUPT16H-02,SUPT16H,D-009517-02,NM_007192,,,,,yes,yes,yes,yes,,,,increased peripheral actin,CMPO_0000272,increased cortical actin cytoskeleton mass,,,,,,,increased number of filopodia,CMPO_0000076,increased number of filopodia,increased width of lamellae,CMPO_0000276,increased lamellipodia width phenotype,,,,,,,,,,,,,increased number of actin puncta or dots,CMPO_0000291,increased amount of punctate actin foci,,,,,,,,,,increased number of zigzag actin stress fibres,CMPO_0000299,increased amount of zig-zag stress fibers,disorganised peripheral actin,CMPO_0000274,disorganised cortical actin cytoskeleton,,,,,,,,,,,,,cell shape processes or spiky or stretchy,CMPO_0000267,star shaped cell,cell shape bipolar or elongated,CMPO_0000077,elongated cell,,,,,,,,,,increased cell number,CMPO_0000051,increased cell numbers,increased number of multinucleate cells,CMPO_0000300,more multinucleate cells,,,,,,,misshapen DNA,CMPO_0000177,misshapen DNA,,,,,,,,,,microtubule processes,CMPO_0000351,increased microtubule-based processes phenotype,,,,,,,,,,,,,loss of cell monolayer,CMPO_0000293,loss of cell monolayer,,,
Plate10_Actinome1,353,O17,LOC113251-03,LOC113251,D-016523-03,NM_052879,,,,,yes,yes,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate10_Actinome1,354,O18,SUPT16H-03,SUPT16H,D-009517-03,NM_007192,,,,,no,yes,yes,yes,,,,increased peripheral actin,CMPO_0000272,increased cortical actin cytoskeleton mass,,,,,,,increased number of filopodia,CMPO_0000076,increased number of filopodia,increased width of lamellae,CMPO_0000276,increased lamellipodia width phenotype,,,,,,,,,,,,,increased number of actin puncta or dots,CMPO_0000291,increased amount of punctate actin foci,,,,,,,,,,increased number of zigzag actin stress fibres,CMPO_0000299,increased amount of zig-zag stress fibers,disorganised peripheral actin,CMPO_0000274,disorganised cortical actin cytoskeleton,,,,,,,,,,,,,cell shape processes or spiky or stretchy,CMPO_0000267,star shaped cell,cell shape bipolar or elongated,CMPO_0000077,elongated cell,,,,,,,,,,increased cell number,CMPO_0000051,increased cell numbers,increased number of multinucleate cells,CMPO_0000300,more multinucleate cells,,,,,,,misshapen DNA,CMPO_0000177,misshapen DNA,,,,,,,,,,microtubule processes,CMPO_0000351,increased microtubule-based processes phenotype,,,,,,,,,,,,,loss of cell monolayer,CMPO_0000293,loss of cell monolayer,,,
Plate10_Actinome1,355,O19,LOC113251-04,LOC113251,D-016523-04,NM_052879,,,,,no,yes,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate10_Actinome1,356,O20,SUPT16H-04,SUPT16H,D-009517-04,NM_007192,,,,,yes,yes,yes,yes,,,,increased peripheral actin,CMPO_0000272,increased cortical actin cytoskeleton mass,,,,,,,increased number of filopodia,CMPO_0000076,increased number of filopodia,increased width of lamellae,CMPO_0000276,increased lamellipodia width phenotype,,,,,,,,,,,,,increased number of actin puncta or dots,CMPO_0000291,increased amount of punctate actin foci,,,,,,,,,,increased number of zigzag actin stress fibres,CMPO_0000299,increased amount of zig-zag stress fibers,disorganised peripheral actin,CMPO_0000274,disorganised cortical actin cytoskeleton,,,,,,,,,,,,,cell shape processes or spiky or stretchy,CMPO_0000267,star shaped cell,cell shape bipolar or elongated,CMPO_0000077,elongated cell,,,,,,,,,,increased cell number,CMPO_0000051,increased cell numbers,increased number of multinucleate cells,CMPO_0000300,more multinucleate cells,,,,,,,misshapen DNA,CMPO_0000177,misshapen DNA,,,,,,,,,,microtubule processes,CMPO_0000351,increased microtubule-based processes phenotype,,,,,,,,,,,,,loss of cell monolayer,CMPO_0000293,loss of cell monolayer,,,
Plate10_Actinome1,357,O21,MASK-BP3-01,MASK-BP3,D-032214-01,NM_020690,,,,,yes,yes,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate10_Actinome1,358,O22,THRAP1-03,THRAP1,D-019908-03,NM_005121,MED13,,,,yes,yes,yes,yes,,,,increased peripheral actin,CMPO_0000272,increased cortical actin cytoskeleton mass,,,,,,,increased number of filopodia,CMPO_0000076,increased number of filopodia,,,,,,,,,,,,,,,,increased number of actin puncta or dots,CMPO_0000291,increased amount of punctate actin foci,,,,,,,,,,increased number of zigzag actin stress fibres,CMPO_0000299,increased amount of zig-zag stress fibers,disorganised peripheral actin,CMPO_0000274,disorganised cortical actin cytoskeleton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,microtubule nuclear ring,CMPO_0000288,microtubules nuclear ring phenotype,,,,,,,loss of cell monolayer,CMPO_0000293,loss of cell monolayer,,,
Plate10_Actinome1,359,O23,MASK-BP3-02,MASK-BP3,D-032214-02,NM_020690,,,,,no,no,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate10_Actinome1,360,O24,THRAP1-04,THRAP1,D-019908-04,NM_005121,,,,,yes,yes,yes,yes,,,,increased peripheral actin,CMPO_0000272,increased cortical actin cytoskeleton mass,,,,,,,increased number of filopodia,CMPO_0000076,increased number of filopodia,,,,,,,,,,,,,,,,increased number of actin puncta or dots,CMPO_0000291,increased amount of punctate actin foci,,,,,,,,,,increased number of zigzag actin stress fibres,CMPO_0000299,increased amount of zig-zag stress fibers,disorganised peripheral actin,CMPO_0000274,disorganised cortical actin cytoskeleton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,microtubule nuclear ring,CMPO_0000288,microtubules nuclear ring phenotype,,,,,,,loss of cell monolayer,CMPO_0000293,loss of cell monolayer,,,
Plate10_Actinome1,361,P1,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate10_Actinome1,362,P2,LOC126374-03,LOC126374,D-023639-03,XM_059037,,,,,yes,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate10_Actinome1,363,P3,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate10_Actinome1,364,P4,LOC126374-04,LOC126374,D-023639-04,XM_059037,,,,,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate10_Actinome1,365,P5,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate10_Actinome1,366,P6,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate10_Actinome1,367,P7,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate10_Actinome1,368,P8,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate10_Actinome1,369,P9,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate10_Actinome1,370,P10,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate10_Actinome1,371,P11,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate10_Actinome1,372,P12,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate10_Actinome1,373,P13,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate10_Actinome1,374,P14,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate10_Actinome1,375,P15,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate10_Actinome1,376,P16,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate10_Actinome1,377,P17,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate10_Actinome1,378,P18,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate10_Actinome1,379,P19,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate10_Actinome1,380,P20,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate10_Actinome1,381,P21,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate10_Actinome1,382,P22,CDC2-09,CDC2,D-003224-09,NM_001786,,,,,yes,yes,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate10_Actinome1,383,P23,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate10_Actinome1,384,P24,CDC2-10,CDC2,D-003224-10,NM_001786,,,,,yes,yes,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate11_Actinome1,1,A1,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate11_Actinome1,2,A2,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate11_Actinome1,3,A3,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate11_Actinome1,4,A4,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate11_Actinome1,5,A5,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate11_Actinome1,6,A6,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate11_Actinome1,7,A7,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate11_Actinome1,8,A8,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate11_Actinome1,9,A9,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate11_Actinome1,10,A10,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate11_Actinome1,11,A11,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate11_Actinome1,12,A12,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate11_Actinome1,13,A13,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate11_Actinome1,14,A14,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate11_Actinome1,15,A15,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate11_Actinome1,16,A16,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate11_Actinome1,17,A17,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate11_Actinome1,18,A18,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate11_Actinome1,19,A19,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate11_Actinome1,20,A20,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate11_Actinome1,21,A21,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate11_Actinome1,22,A22,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
