Source Name	Characteristics [Organism]	Term Source REF	Term Source Accession	Characteristics[Organism Part]	Term Source REF	Term Source Accession	Characteristics[Sex]	Term Source REF	Term Source Accession	Characteristics[Individual]	Characteristics[Genotype]	Comment[Gene Identifier]	Comment[Gene Symbol]	Comment[Human Ortholog]	Comment[Human Ortholog Gene Symbol]	Protocol REF	Protocol REF	Assay Name	Factor Value[Organism Part]	Factor Value[Sex]	Factor Value[Individual]	Factor Value[Genotype]	DataSet Name	Image File	Channels	Comment [Image File Type]	Comment[Image File Path]	Protocol REF	Processed Data File
Ddx41-14-552-heart	Mus musculus	NCBITaxon	NCBITaxon_10090	heart	UBERON	UBERON_0000948	male	PATO	PATO_0000384	Ddx41-14-55	Ddx41 knockout	ENSMUSG00000021494	Ddx41	ENSG00000183258	DDX41	growth protocol	image aquistion and feature extraction protocol	Ddx41-14-552-heart	heart	male	Ddx41-14-55	Ddx41 knockout	Ddx41-14-552-heart	Ddx41-14_552-heart-overview.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Ddx41/	data analysis protocol	idr0018-experimentA-processed.txt
Ddx41-14-552-heart	Mus musculus	NCBITaxon	NCBITaxon_10090	heart	UBERON	UBERON_0000948	male	PATO	PATO_0000384	Ddx41-14-55	Ddx41 knockout	ENSMUSG00000021494	Ddx41	ENSG00000183258	DDX41	growth protocol	image aquistion and feature extraction protocol	Ddx41-14-552-heart	heart	male	Ddx41-14-55	Ddx41 knockout	Ddx41-14-552-heart	Ddx41-14_552-heart-overview2.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Ddx41/	data analysis protocol	idr0018-experimentA-processed.txt
Ddx41-14-552-knee	Mus musculus	NCBITaxon	NCBITaxon_10090	knee	UBERON	UBERON_0001465	male	PATO	PATO_0000384	Ddx41-14-55	Ddx41 knockout	ENSMUSG00000021494	Ddx41	ENSG00000183258	DDX41	growth protocol	image aquistion and feature extraction protocol	Ddx41-14-552-knee	knee	male	Ddx41-14-55	Ddx41 knockout	Ddx41-14-552-knee	Ddx41-14_552-knee-a123.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Ddx41/	data analysis protocol	idr0018-experimentA-processed.txt
Ddx41-14-552-knee	Mus musculus	NCBITaxon	NCBITaxon_10090	knee	UBERON	UBERON_0001465	male	PATO	PATO_0000384	Ddx41-14-55	Ddx41 knockout	ENSMUSG00000021494	Ddx41	ENSG00000183258	DDX41	growth protocol	image aquistion and feature extraction protocol	Ddx41-14-552-knee	knee	male	Ddx41-14-55	Ddx41 knockout	Ddx41-14-552-knee	Ddx41-14_552-knee-overview.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Ddx41/	data analysis protocol	idr0018-experimentA-processed.txt
Ddx41-14-552-liver	Mus musculus	NCBITaxon	NCBITaxon_10090	liver	UBERON	UBERON_0002107	male	PATO	PATO_0000384	Ddx41-14-55	Ddx41 knockout	ENSMUSG00000021494	Ddx41	ENSG00000183258	DDX41	growth protocol	image aquistion and feature extraction protocol	Ddx41-14-552-liver	liver	male	Ddx41-14-55	Ddx41 knockout	Ddx41-14-552-liver	Ddx41-14_552-liver-a124.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Ddx41/	data analysis protocol	idr0018-experimentA-processed.txt
Ddx41-14-552-liver	Mus musculus	NCBITaxon	NCBITaxon_10090	liver	UBERON	UBERON_0002107	male	PATO	PATO_0000384	Ddx41-14-55	Ddx41 knockout	ENSMUSG00000021494	Ddx41	ENSG00000183258	DDX41	growth protocol	image aquistion and feature extraction protocol	Ddx41-14-552-liver	liver	male	Ddx41-14-55	Ddx41 knockout	Ddx41-14-552-liver	Ddx41-14_552-liver-a125.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Ddx41/	data analysis protocol	idr0018-experimentA-processed.txt
Ddx41-14-552-liver	Mus musculus	NCBITaxon	NCBITaxon_10090	liver	UBERON	UBERON_0002107	male	PATO	PATO_0000384	Ddx41-14-55	Ddx41 knockout	ENSMUSG00000021494	Ddx41	ENSG00000183258	DDX41	growth protocol	image aquistion and feature extraction protocol	Ddx41-14-552-liver	liver	male	Ddx41-14-55	Ddx41 knockout	Ddx41-14-552-liver	Ddx41-14_552-liver-overview.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Ddx41/	data analysis protocol	idr0018-experimentA-processed.txt
Ddx41-14-552-liver	Mus musculus	NCBITaxon	NCBITaxon_10090	liver	UBERON	UBERON_0002107	male	PATO	PATO_0000384	Ddx41-14-55	Ddx41 knockout	ENSMUSG00000021494	Ddx41	ENSG00000183258	DDX41	growth protocol	image aquistion and feature extraction protocol	Ddx41-14-552-liver	liver	male	Ddx41-14-55	Ddx41 knockout	Ddx41-14-552-liver	Ddx41-14_552-liver-overview2.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Ddx41/	data analysis protocol	idr0018-experimentA-processed.txt
Ddx41-14-552-lymph-node	Mus musculus	NCBITaxon	NCBITaxon_10090	lymph node	UBERON	UBERON_0000029	male	PATO	PATO_0000384	Ddx41-14-55	Ddx41 knockout	ENSMUSG00000021494	Ddx41	ENSG00000183258	DDX41	growth protocol	image aquistion and feature extraction protocol	Ddx41-14-552-lymph-node	lymph node	male	Ddx41-14-55	Ddx41 knockout	Ddx41-14-552-lymph-node	Ddx41-14_552-ln-a126.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Ddx41/	data analysis protocol	idr0018-experimentA-processed.txt
Ddx41-14-552-lymph-node	Mus musculus	NCBITaxon	NCBITaxon_10090	lymph node	UBERON	UBERON_0000029	male	PATO	PATO_0000384	Ddx41-14-55	Ddx41 knockout	ENSMUSG00000021494	Ddx41	ENSG00000183258	DDX41	growth protocol	image aquistion and feature extraction protocol	Ddx41-14-552-lymph-node	lymph node	male	Ddx41-14-55	Ddx41 knockout	Ddx41-14-552-lymph-node	Ddx41-14_552-ln-overview.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Ddx41/	data analysis protocol	idr0018-experimentA-processed.txt
Ddx41-14-552-reproductive-male	Mus musculus	NCBITaxon	NCBITaxon_10090	reproductive system	UBERON	UBERON_0000990	male	PATO	PATO_0000384	Ddx41-14-55	Ddx41 knockout	ENSMUSG00000021494	Ddx41	ENSG00000183258	DDX41	growth protocol	image aquistion and feature extraction protocol	Ddx41-14-552-reproductive-male	reproductive system	male	Ddx41-14-55	Ddx41 knockout	Ddx41-14-552-reproductive-male	Ddx41-14_552-reprom-a127.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Ddx41/	data analysis protocol	idr0018-experimentA-processed.txt
Ddx41-14-552-reproductive-male	Mus musculus	NCBITaxon	NCBITaxon_10090	reproductive system	UBERON	UBERON_0000990	male	PATO	PATO_0000384	Ddx41-14-55	Ddx41 knockout	ENSMUSG00000021494	Ddx41	ENSG00000183258	DDX41	growth protocol	image aquistion and feature extraction protocol	Ddx41-14-552-reproductive-male	reproductive system	male	Ddx41-14-55	Ddx41 knockout	Ddx41-14-552-reproductive-male	Ddx41-14_552-reprom-overview.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Ddx41/	data analysis protocol	idr0018-experimentA-processed.txt
Ddx41-14-552-salivary-gland	Mus musculus	NCBITaxon	NCBITaxon_10090	salivary gland	UBERON	UBERON_0001044	male	PATO	PATO_0000384	Ddx41-14-55	Ddx41 knockout	ENSMUSG00000021494	Ddx41	ENSG00000183258	DDX41	growth protocol	image aquistion and feature extraction protocol	Ddx41-14-552-salivary-gland	salivary gland	male	Ddx41-14-55	Ddx41 knockout	Ddx41-14-552-salivary-gland	Ddx41-14_552-sali-a128.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Ddx41/	data analysis protocol	idr0018-experimentA-processed.txt
Ddx41-14-552-salivary-gland	Mus musculus	NCBITaxon	NCBITaxon_10090	salivary gland	UBERON	UBERON_0001044	male	PATO	PATO_0000384	Ddx41-14-55	Ddx41 knockout	ENSMUSG00000021494	Ddx41	ENSG00000183258	DDX41	growth protocol	image aquistion and feature extraction protocol	Ddx41-14-552-salivary-gland	salivary gland	male	Ddx41-14-55	Ddx41 knockout	Ddx41-14-552-salivary-gland	Ddx41-14_552-sali-overview.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Ddx41/	data analysis protocol	idr0018-experimentA-processed.txt
Ddx41-14-552-skin	Mus musculus	NCBITaxon	NCBITaxon_10090	skin	EFO	EFO_0000962	male	PATO	PATO_0000384	Ddx41-14-55	Ddx41 knockout	ENSMUSG00000021494	Ddx41	ENSG00000183258	DDX41	growth protocol	image aquistion and feature extraction protocol	Ddx41-14-552-skin	skin	male	Ddx41-14-55	Ddx41 knockout	Ddx41-14-552-skin	Ddx41-14_552-skin-a129.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Ddx41/	data analysis protocol	idr0018-experimentA-processed.txt
Ddx41-14-552-skin	Mus musculus	NCBITaxon	NCBITaxon_10090	skin	EFO	EFO_0000962	male	PATO	PATO_0000384	Ddx41-14-55	Ddx41 knockout	ENSMUSG00000021494	Ddx41	ENSG00000183258	DDX41	growth protocol	image aquistion and feature extraction protocol	Ddx41-14-552-skin	skin	male	Ddx41-14-55	Ddx41 knockout	Ddx41-14-552-skin	Ddx41-14_552-skin-overview.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Ddx41/	data analysis protocol	idr0018-experimentA-processed.txt
Ddx41-14-566-reproductive-female	Mus musculus	NCBITaxon	NCBITaxon_10090	reproductive system	UBERON	UBERON_0000990	female	PATO	PATO_0000383	Ddx41-14-566	Ddx41 knockout	ENSMUSG00000021494	Ddx41	ENSG00000183258	DDX41	growth protocol	image aquistion and feature extraction protocol	Ddx41-14-566-reproductive-female	reproductive system	female	Ddx41-14-566	Ddx41 knockout	Ddx41-14-566-reproductive-female	Ddx41-14_566-reprof-a130.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Ddx41/	data analysis protocol	idr0018-experimentA-processed.txt
Ddx41-14-566-reproductive-female	Mus musculus	NCBITaxon	NCBITaxon_10090	reproductive system	UBERON	UBERON_0000990	female	PATO	PATO_0000383	Ddx41-14-566	Ddx41 knockout	ENSMUSG00000021494	Ddx41	ENSG00000183258	DDX41	growth protocol	image aquistion and feature extraction protocol	Ddx41-14-566-reproductive-female	reproductive system	female	Ddx41-14-566	Ddx41 knockout	Ddx41-14-566-reproductive-female	Ddx41-14_566-reprof-overview.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Ddx41/	data analysis protocol	idr0018-experimentA-processed.txt
Eya4-14-432-brain	Mus musculus	NCBITaxon	NCBITaxon_10090	brain	UBERON	UBERON_0000955	male	PATO	PATO_0000384	Eya4-14-432	Eya4 knockout	ENSMUSG00000010461	Eya4	ENSG00000112319	EYA4	growth protocol	image aquistion and feature extraction protocol	Eya4-14-432-brain	brain	male	Eya4-14-432	Eya4 knockout	Eya4-14-432-brain	Eya4-14_432-brain-a131.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Eya4/	data analysis protocol	idr0018-experimentA-processed.txt
Eya4-14-432-brain	Mus musculus	NCBITaxon	NCBITaxon_10090	brain	UBERON	UBERON_0000955	male	PATO	PATO_0000384	Eya4-14-432	Eya4 knockout	ENSMUSG00000010461	Eya4	ENSG00000112319	EYA4	growth protocol	image aquistion and feature extraction protocol	Eya4-14-432-brain	brain	male	Eya4-14-432	Eya4 knockout	Eya4-14-432-brain	Eya4-14_432-brain-overview.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Eya4/	data analysis protocol	idr0018-experimentA-processed.txt
Eya4-14-432-eye	Mus musculus	NCBITaxon	NCBITaxon_10090	eye	UBERON	UBERON_0000970	male	PATO	PATO_0000384	Eya4-14-432	Eya4 knockout	ENSMUSG00000010461	Eya4	ENSG00000112319	EYA4	growth protocol	image aquistion and feature extraction protocol	Eya4-14-432-eye	eye	male	Eya4-14-432	Eya4 knockout	Eya4-14-432-eye	Eya4-14_432-eye-a132.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Eya4/	data analysis protocol	idr0018-experimentA-processed.txt
Eya4-14-432-eye	Mus musculus	NCBITaxon	NCBITaxon_10090	eye	UBERON	UBERON_0000970	male	PATO	PATO_0000384	Eya4-14-432	Eya4 knockout	ENSMUSG00000010461	Eya4	ENSG00000112319	EYA4	growth protocol	image aquistion and feature extraction protocol	Eya4-14-432-eye	eye	male	Eya4-14-432	Eya4 knockout	Eya4-14-432-eye	Eya4-14_432-eye-overview.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Eya4/	data analysis protocol	idr0018-experimentA-processed.txt
Eya4-14-432-gastrointestinal	Mus musculus	NCBITaxon	NCBITaxon_10090	gastrointestinal system	UBERON	UBERON_0005409	male	PATO	PATO_0000384	Eya4-14-432	Eya4 knockout	ENSMUSG00000010461	Eya4	ENSG00000112319	EYA4	growth protocol	image aquistion and feature extraction protocol	Eya4-14-432-gastrointestinal	gastrointestinal system	male	Eya4-14-432	Eya4 knockout	Eya4-14-432-gastrointestinal	Eya4-14_432-gi-a133.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Eya4/	data analysis protocol	idr0018-experimentA-processed.txt
Eya4-14-432-heart	Mus musculus	NCBITaxon	NCBITaxon_10090	heart	UBERON	UBERON_0000948	male	PATO	PATO_0000384	Eya4-14-432	Eya4 knockout	ENSMUSG00000010461	Eya4	ENSG00000112319	EYA4	growth protocol	image aquistion and feature extraction protocol	Eya4-14-432-heart	heart	male	Eya4-14-432	Eya4 knockout	Eya4-14-432-heart	Eya4-14_432-heart-a134.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Eya4/	data analysis protocol	idr0018-experimentA-processed.txt
Eya4-14-432-heart	Mus musculus	NCBITaxon	NCBITaxon_10090	heart	UBERON	UBERON_0000948	male	PATO	PATO_0000384	Eya4-14-432	Eya4 knockout	ENSMUSG00000010461	Eya4	ENSG00000112319	EYA4	growth protocol	image aquistion and feature extraction protocol	Eya4-14-432-heart	heart	male	Eya4-14-432	Eya4 knockout	Eya4-14-432-heart	Eya4-14_432-heart-overview.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Eya4/	data analysis protocol	idr0018-experimentA-processed.txt
Eya4-14-432-knee	Mus musculus	NCBITaxon	NCBITaxon_10090	knee	UBERON	UBERON_0001465	male	PATO	PATO_0000384	Eya4-14-432	Eya4 knockout	ENSMUSG00000010461	Eya4	ENSG00000112319	EYA4	growth protocol	image aquistion and feature extraction protocol	Eya4-14-432-knee	knee	male	Eya4-14-432	Eya4 knockout	Eya4-14-432-knee	Eya4-14_432-knee-a135.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Eya4/	data analysis protocol	idr0018-experimentA-processed.txt
Eya4-14-432-knee	Mus musculus	NCBITaxon	NCBITaxon_10090	knee	UBERON	UBERON_0001465	male	PATO	PATO_0000384	Eya4-14-432	Eya4 knockout	ENSMUSG00000010461	Eya4	ENSG00000112319	EYA4	growth protocol	image aquistion and feature extraction protocol	Eya4-14-432-knee	knee	male	Eya4-14-432	Eya4 knockout	Eya4-14-432-knee	Eya4-14_432-knee-overview.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Eya4/	data analysis protocol	idr0018-experimentA-processed.txt
Eya4-14-432-liver	Mus musculus	NCBITaxon	NCBITaxon_10090	liver	UBERON	UBERON_0002107	male	PATO	PATO_0000384	Eya4-14-432	Eya4 knockout	ENSMUSG00000010461	Eya4	ENSG00000112319	EYA4	growth protocol	image aquistion and feature extraction protocol	Eya4-14-432-liver	liver	male	Eya4-14-432	Eya4 knockout	Eya4-14-432-liver	Eya4-14_432-liver-a136.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Eya4/	data analysis protocol	idr0018-experimentA-processed.txt
Eya4-14-432-liver	Mus musculus	NCBITaxon	NCBITaxon_10090	liver	UBERON	UBERON_0002107	male	PATO	PATO_0000384	Eya4-14-432	Eya4 knockout	ENSMUSG00000010461	Eya4	ENSG00000112319	EYA4	growth protocol	image aquistion and feature extraction protocol	Eya4-14-432-liver	liver	male	Eya4-14-432	Eya4 knockout	Eya4-14-432-liver	Eya4-14_432-liver-overview.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Eya4/	data analysis protocol	idr0018-experimentA-processed.txt
Eya4-14-432-lymph-node	Mus musculus	NCBITaxon	NCBITaxon_10090	lymph node	UBERON	UBERON_0000029	male	PATO	PATO_0000384	Eya4-14-432	Eya4 knockout	ENSMUSG00000010461	Eya4	ENSG00000112319	EYA4	growth protocol	image aquistion and feature extraction protocol	Eya4-14-432-lymph-node	lymph node	male	Eya4-14-432	Eya4 knockout	Eya4-14-432-lymph-node	Eya4-14_432-ln-a137.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Eya4/	data analysis protocol	idr0018-experimentA-processed.txt
Eya4-14-432-lymph-node	Mus musculus	NCBITaxon	NCBITaxon_10090	lymph node	UBERON	UBERON_0000029	male	PATO	PATO_0000384	Eya4-14-432	Eya4 knockout	ENSMUSG00000010461	Eya4	ENSG00000112319	EYA4	growth protocol	image aquistion and feature extraction protocol	Eya4-14-432-lymph-node	lymph node	male	Eya4-14-432	Eya4 knockout	Eya4-14-432-lymph-node	Eya4-14_432-ln-overview.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Eya4/	data analysis protocol	idr0018-experimentA-processed.txt
Eya4-14-432-reproductive-male	Mus musculus	NCBITaxon	NCBITaxon_10090	reproductive system	UBERON	UBERON_0000990	male	PATO	PATO_0000384	Eya4-14-432	Eya4 knockout	ENSMUSG00000010461	Eya4	ENSG00000112319	EYA4	growth protocol	image aquistion and feature extraction protocol	Eya4-14-432-reproductive-male	reproductive system	male	Eya4-14-432	Eya4 knockout	Eya4-14-432-reproductive-male	Eya4-14_432-reprom-a138.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Eya4/	data analysis protocol	idr0018-experimentA-processed.txt
Eya4-14-432-reproductive-male	Mus musculus	NCBITaxon	NCBITaxon_10090	reproductive system	UBERON	UBERON_0000990	male	PATO	PATO_0000384	Eya4-14-432	Eya4 knockout	ENSMUSG00000010461	Eya4	ENSG00000112319	EYA4	growth protocol	image aquistion and feature extraction protocol	Eya4-14-432-reproductive-male	reproductive system	male	Eya4-14-432	Eya4 knockout	Eya4-14-432-reproductive-male	Eya4-14_432-reprom-overview.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Eya4/	data analysis protocol	idr0018-experimentA-processed.txt
Eya4-14-432-salivary-gland	Mus musculus	NCBITaxon	NCBITaxon_10090	salivary gland	UBERON	UBERON_0001044	male	PATO	PATO_0000384	Eya4-14-432	Eya4 knockout	ENSMUSG00000010461	Eya4	ENSG00000112319	EYA4	growth protocol	image aquistion and feature extraction protocol	Eya4-14-432-salivary-gland	salivary gland	male	Eya4-14-432	Eya4 knockout	Eya4-14-432-salivary-gland	Eya4-14_432-sali-a139.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Eya4/	data analysis protocol	idr0018-experimentA-processed.txt
Eya4-14-432-salivary-gland	Mus musculus	NCBITaxon	NCBITaxon_10090	salivary gland	UBERON	UBERON_0001044	male	PATO	PATO_0000384	Eya4-14-432	Eya4 knockout	ENSMUSG00000010461	Eya4	ENSG00000112319	EYA4	growth protocol	image aquistion and feature extraction protocol	Eya4-14-432-salivary-gland	salivary gland	male	Eya4-14-432	Eya4 knockout	Eya4-14-432-salivary-gland	Eya4-14_432-sali-overview.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Eya4/	data analysis protocol	idr0018-experimentA-processed.txt
Eya4-14-432-skin	Mus musculus	NCBITaxon	NCBITaxon_10090	skin	EFO	EFO_0000962	male	PATO	PATO_0000384	Eya4-14-432	Eya4 knockout	ENSMUSG00000010461	Eya4	ENSG00000112319	EYA4	growth protocol	image aquistion and feature extraction protocol	Eya4-14-432-skin	skin	male	Eya4-14-432	Eya4 knockout	Eya4-14-432-skin	Eya4-14_432-skin-a140.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Eya4/	data analysis protocol	idr0018-experimentA-processed.txt
Eya4-14-432-skin	Mus musculus	NCBITaxon	NCBITaxon_10090	skin	EFO	EFO_0000962	male	PATO	PATO_0000384	Eya4-14-432	Eya4 knockout	ENSMUSG00000010461	Eya4	ENSG00000112319	EYA4	growth protocol	image aquistion and feature extraction protocol	Eya4-14-432-skin	skin	male	Eya4-14-432	Eya4 knockout	Eya4-14-432-skin	Eya4-14_432-skin-overview.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Eya4/	data analysis protocol	idr0018-experimentA-processed.txt
Eya4-14-434-reproductive-female	Mus musculus	NCBITaxon	NCBITaxon_10090	reproductive system	UBERON	UBERON_0000990	female	PATO	PATO_0000383	Eya4-14-434	Eya4 knockout	ENSMUSG00000010461	Eya4	ENSG00000112319	EYA4	growth protocol	image aquistion and feature extraction protocol	Eya4-14-434-reproductive-female	reproductive system	female	Eya4-14-434	Eya4 knockout	Eya4-14-434-reproductive-female	Eya4-14_434-reprof-a141.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Eya4/	data analysis protocol	idr0018-experimentA-processed.txt
Eya4-14-434-reproductive-female	Mus musculus	NCBITaxon	NCBITaxon_10090	reproductive system	UBERON	UBERON_0000990	female	PATO	PATO_0000383	Eya4-14-434	Eya4 knockout	ENSMUSG00000010461	Eya4	ENSG00000112319	EYA4	growth protocol	image aquistion and feature extraction protocol	Eya4-14-434-reproductive-female	reproductive system	female	Eya4-14-434	Eya4 knockout	Eya4-14-434-reproductive-female	Eya4-14_434-reprof-overview.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Eya4/	data analysis protocol	idr0018-experimentA-processed.txt
Idh1-14-177-brain	Mus musculus	NCBITaxon	NCBITaxon_10090	brain	UBERON	UBERON_0000955	male	PATO	PATO_0000384	Idh1-14-177	Idh1 knockout	ENSMUSG00000025950	Idh1	ENSG00000138413	IDH1	growth protocol	image aquistion and feature extraction protocol	Idh1-14-177-brain	brain	male	Idh1-14-177	Idh1 knockout	Idh1-14-177-brain	Idh1-14_177-brain-a142.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Idh1/	data analysis protocol	idr0018-experimentA-processed.txt
Idh1-14-177-brain	Mus musculus	NCBITaxon	NCBITaxon_10090	brain	UBERON	UBERON_0000955	male	PATO	PATO_0000384	Idh1-14-177	Idh1 knockout	ENSMUSG00000025950	Idh1	ENSG00000138413	IDH1	growth protocol	image aquistion and feature extraction protocol	Idh1-14-177-brain	brain	male	Idh1-14-177	Idh1 knockout	Idh1-14-177-brain	Idh1-14_177-brain-overviewtif.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Idh1/	data analysis protocol	idr0018-experimentA-processed.txt
Idh1-14-177-eye	Mus musculus	NCBITaxon	NCBITaxon_10090	eye	UBERON	UBERON_0000970	male	PATO	PATO_0000384	Idh1-14-177	Idh1 knockout	ENSMUSG00000025950	Idh1	ENSG00000138413	IDH1	growth protocol	image aquistion and feature extraction protocol	Idh1-14-177-eye	eye	male	Idh1-14-177	Idh1 knockout	Idh1-14-177-eye	Idh1-14_177-eye-a143.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Idh1/	data analysis protocol	idr0018-experimentA-processed.txt
Idh1-14-177-eye	Mus musculus	NCBITaxon	NCBITaxon_10090	eye	UBERON	UBERON_0000970	male	PATO	PATO_0000384	Idh1-14-177	Idh1 knockout	ENSMUSG00000025950	Idh1	ENSG00000138413	IDH1	growth protocol	image aquistion and feature extraction protocol	Idh1-14-177-eye	eye	male	Idh1-14-177	Idh1 knockout	Idh1-14-177-eye	Idh1-14_177-eye-overview.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Idh1/	data analysis protocol	idr0018-experimentA-processed.txt
Idh1-14-177-gastrointestinal	Mus musculus	NCBITaxon	NCBITaxon_10090	gastrointestinal system	UBERON	UBERON_0005409	male	PATO	PATO_0000384	Idh1-14-177	Idh1 knockout	ENSMUSG00000025950	Idh1	ENSG00000138413	IDH1	growth protocol	image aquistion and feature extraction protocol	Idh1-14-177-gastrointestinal	gastrointestinal system	male	Idh1-14-177	Idh1 knockout	Idh1-14-177-gastrointestinal	Idh1-14_177-gi-overview.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Idh1/	data analysis protocol	idr0018-experimentA-processed.txt
Idh1-14-177-gastrointestinal	Mus musculus	NCBITaxon	NCBITaxon_10090	gastrointestinal system	UBERON	UBERON_0005409	male	PATO	PATO_0000384	Idh1-14-177	Idh1 knockout	ENSMUSG00000025950	Idh1	ENSG00000138413	IDH1	growth protocol	image aquistion and feature extraction protocol	Idh1-14-177-gastrointestinal	gastrointestinal system	male	Idh1-14-177	Idh1 knockout	Idh1-14-177-gastrointestinal	Idh1-14_177-gia144-a143.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Idh1/	data analysis protocol	idr0018-experimentA-processed.txt
Idh1-14-177-heart	Mus musculus	NCBITaxon	NCBITaxon_10090	heart	UBERON	UBERON_0000948	male	PATO	PATO_0000384	Idh1-14-177	Idh1 knockout	ENSMUSG00000025950	Idh1	ENSG00000138413	IDH1	growth protocol	image aquistion and feature extraction protocol	Idh1-14-177-heart	heart	male	Idh1-14-177	Idh1 knockout	Idh1-14-177-heart	Idh1-14_177-heart-a145.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Idh1/	data analysis protocol	idr0018-experimentA-processed.txt
Idh1-14-177-heart	Mus musculus	NCBITaxon	NCBITaxon_10090	heart	UBERON	UBERON_0000948	male	PATO	PATO_0000384	Idh1-14-177	Idh1 knockout	ENSMUSG00000025950	Idh1	ENSG00000138413	IDH1	growth protocol	image aquistion and feature extraction protocol	Idh1-14-177-heart	heart	male	Idh1-14-177	Idh1 knockout	Idh1-14-177-heart	Idh1-14_177-heart-overview.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Idh1/	data analysis protocol	idr0018-experimentA-processed.txt
Idh1-14-177-knee	Mus musculus	NCBITaxon	NCBITaxon_10090	knee	UBERON	UBERON_0001465	male	PATO	PATO_0000384	Idh1-14-177	Idh1 knockout	ENSMUSG00000025950	Idh1	ENSG00000138413	IDH1	growth protocol	image aquistion and feature extraction protocol	Idh1-14-177-knee	knee	male	Idh1-14-177	Idh1 knockout	Idh1-14-177-knee	Idh1-14_177-knee-a146.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Idh1/	data analysis protocol	idr0018-experimentA-processed.txt
Idh1-14-177-knee	Mus musculus	NCBITaxon	NCBITaxon_10090	knee	UBERON	UBERON_0001465	male	PATO	PATO_0000384	Idh1-14-177	Idh1 knockout	ENSMUSG00000025950	Idh1	ENSG00000138413	IDH1	growth protocol	image aquistion and feature extraction protocol	Idh1-14-177-knee	knee	male	Idh1-14-177	Idh1 knockout	Idh1-14-177-knee	Idh1-14_177-knee-overview.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Idh1/	data analysis protocol	idr0018-experimentA-processed.txt
