Plate	Well	Plate_Well	Experimental Condition [Compound]	siRNA Pool Identifier	Gene Identifier	Gene Symbol	Control Type	Control Comments	Gene Hit for YAP Localization Inconsistent With Cell Shape	Has Phenotype	Phenotype Annotation Level	Phenotype 1	Phenotype 2	Phenotype 3	Phenotype 4	Phenotype 5	Phenotype 6	Phenotype 7	Phenotype 8	Phenotype 9	Phenotype 10	Phenotype 11	Phenotype 12	Phenotype 13	Phenotype 14	Phenotype 15	Phenotype 16	Phenotype 17	Phenotype 18
200972727[5177]_kinome_YAP_CD44	H16	200972727[5177]_kinome_YAP_CD44_H16		M-009859-01	53632	PRKAG3			"yes, Low YAP Ratio"	yes	well							high Neighbor Fraction		high local density							low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	H17	200972727[5177]_kinome_YAP_CD44_H17		M-013077-01	60385	TSKS				yes	well	large cells		large nuclei			low nucleus/cell area	high Neighbor Fraction						high total YAP/TAZ					
200972727[5177]_kinome_YAP_CD44	H18	200972727[5177]_kinome_YAP_CD44_H18		M-007670-02	5573	PRKAR1A				yes	well	large cells					low nucleus/cell area	high Neighbor Fraction											
200972727[5177]_kinome_YAP_CD44	H19	200972727[5177]_kinome_YAP_CD44_H19		M-004680-02	84630	TTBK1				yes	well								low Neighbor Fraction										
200972727[5177]_kinome_YAP_CD44	H2	200972727[5177]_kinome_YAP_CD44_H2		M-003290-01	5347	PLK1	positive control	"checks for transfection, gives cell death phenotype"		yes	well		small cells	large nuclei		high nucleus/cell area						low nuclear roundness			low total YAP/TAZ		low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	H20	200972727[5177]_kinome_YAP_CD44_H20		M-007671-01	5576	PRKAR2A				yes	well				small nuclei														
200972727[5177]_kinome_YAP_CD44	H21	200972727[5177]_kinome_YAP_CD44_H21		M-004682-01	146057	TTBK2				yes	well							high Neighbor Fraction											
200972727[5177]_kinome_YAP_CD44	H3	200972727[5177]_kinome_YAP_CD44_H3			10333	TLR6			"yes, High YAP Ratio"	yes	well	large cells		large nuclei				high Neighbor Fraction			low local density	low nuclear roundness	doughnut nuclei			high YAP/TAZ ratio (mouse Santa Cruz)			
200972727[5177]_kinome_YAP_CD44	H4	200972727[5177]_kinome_YAP_CD44_H4		M-010904-01	5394	EXOSC10				yes	well		small cells		small nuclei			high Neighbor Fraction					doughnut nuclei	high total YAP/TAZ			low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	H5	200972727[5177]_kinome_YAP_CD44_H5			8797	TNFRSF10A				yes	well			large nuclei		high nucleus/cell area		high Neighbor Fraction		high local density				high total YAP/TAZ			low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	H6	200972727[5177]_kinome_YAP_CD44_H6		M-006782-01	10654	PMVK				yes	well					high nucleus/cell area		high Neighbor Fraction		high local density		low nuclear roundness	doughnut nuclei		low total YAP/TAZ				
200972727[5177]_kinome_YAP_CD44	H7	200972727[5177]_kinome_YAP_CD44_H7		M-005390-00	55872	TOPK				yes	well											low nuclear roundness	doughnut nuclei		low total YAP/TAZ				
200972727[5177]_kinome_YAP_CD44	H8	200972727[5177]_kinome_YAP_CD44_H8		M-006783-02	11284	PNKP				yes	well			large nuclei								low nuclear roundness					low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	H9	200972727[5177]_kinome_YAP_CD44_H9		M-006789-01	27010	TPK1				yes	well																low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	I10	200972727[5177]_kinome_YAP_CD44_I10			80895	ILKAP				yes	well	large cells									low local density								
200972727[5177]_kinome_YAP_CD44	I11	200972727[5177]_kinome_YAP_CD44_I11		M-006761-01	5207	PFKFB1				yes	well														low total YAP/TAZ				
200972727[5177]_kinome_YAP_CD44	I12	200972727[5177]_kinome_YAP_CD44_I12				IMPK			"yes, Low YAP Ratio"	yes	well	large cells						high Neighbor Fraction									low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	I13	200972727[5177]_kinome_YAP_CD44_I13		M-006762-02	5208	PFKFB2				yes	well														low total YAP/TAZ		low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	I14	200972727[5177]_kinome_YAP_CD44_I14		M-005332-00	3645	INSRR				yes	well												doughnut nuclei		low total YAP/TAZ				
200972727[5177]_kinome_YAP_CD44	I15	200972727[5177]_kinome_YAP_CD44_I15		M-006763-01	5209	PFKFB3				yes	well														low total YAP/TAZ	high YAP/TAZ ratio (mouse Santa Cruz)			
200972727[5177]_kinome_YAP_CD44	I16	200972727[5177]_kinome_YAP_CD44_I16		M-004760-03	3654	IRAK1				yes	well							high Neighbor Fraction							low total YAP/TAZ				
200972727[5177]_kinome_YAP_CD44	I18	200972727[5177]_kinome_YAP_CD44_I18		M-004761-01	3656	IRAK2				yes	well		small cells			high nucleus/cell area			low Neighbor Fraction			low nuclear roundness	doughnut nuclei		low total YAP/TAZ				
200972727[5177]_kinome_YAP_CD44	I19	200972727[5177]_kinome_YAP_CD44_I19		M-006822-00	5211	PFKL			"yes, High YAP Ratio"	yes	well	large cells		large nuclei				high Neighbor Fraction			low local density			high total YAP/TAZ		high YAP/TAZ ratio (mouse Santa Cruz)			
200972727[5177]_kinome_YAP_CD44	I2	200972727[5177]_kinome_YAP_CD44_I2		M-003503-03	3551	IKBKB				yes	well					high nucleus/cell area													
200972727[5177]_kinome_YAP_CD44	I20	200972727[5177]_kinome_YAP_CD44_I20		M-004762-00	11213	IRAK3				yes	well		small cells					high Neighbor Fraction		high local density									
200972727[5177]_kinome_YAP_CD44	I21	200972727[5177]_kinome_YAP_CD44_I21		M-006765-01	5213	PFKM				yes	well	large cells						high Neighbor Fraction				low nuclear roundness	doughnut nuclei		low total YAP/TAZ	high YAP/TAZ ratio (mouse Santa Cruz)			
200972727[5177]_kinome_YAP_CD44	I23	200972727[5177]_kinome_YAP_CD44_I23					negative control	"mock transfected, 300 cells per well"		yes	well												doughnut nuclei						
200972727[5177]_kinome_YAP_CD44	I3	200972727[5177]_kinome_YAP_CD44_I3		M-005020-00	5164	PDK2				yes	well					high nucleus/cell area		high Neighbor Fraction		high local density				high total YAP/TAZ			low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	I4	200972727[5177]_kinome_YAP_CD44_I4		M-003723-02	9641	IKBKE			"yes, Low YAP Ratio"	yes	well							high Neighbor Fraction		high local density					low total YAP/TAZ		low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	I5	200972727[5177]_kinome_YAP_CD44_I5		M-005021-02	5165	PDK3				yes	well							high Neighbor Fraction		high local density					low total YAP/TAZ		low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	I6	200972727[5177]_kinome_YAP_CD44_I6			3558	IL2				yes	well		small cells			high nucleus/cell area		high Neighbor Fraction		high local density		low nuclear roundness	doughnut nuclei		low total YAP/TAZ				
200972727[5177]_kinome_YAP_CD44	I7	200972727[5177]_kinome_YAP_CD44_I7		M-019425-02	5166	PDK4				yes	well											low nuclear roundness	doughnut nuclei		low total YAP/TAZ		low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	I8	200972727[5177]_kinome_YAP_CD44_I8		M-004499-01	3611	ILK				yes	well							high Neighbor Fraction							low total YAP/TAZ	high YAP/TAZ ratio (mouse Santa Cruz)			
200972727[5177]_kinome_YAP_CD44	I9	200972727[5177]_kinome_YAP_CD44_I9		M-005070-02	8566	PDXK				yes	well												doughnut nuclei						
200972727[5177]_kinome_YAP_CD44	J10	200972727[5177]_kinome_YAP_CD44_J10		M-003527-00	5610	PRKR				yes	well												doughnut nuclei		low total YAP/TAZ				
200972727[5177]_kinome_YAP_CD44	J11	200972727[5177]_kinome_YAP_CD44_J11		M-005049-00	8408	ULK1				yes	well											low nuclear roundness	doughnut nuclei						
200972727[5177]_kinome_YAP_CD44	J12	200972727[5177]_kinome_YAP_CD44_J12			8575	PRKRA				yes	well														low total YAP/TAZ				
200972727[5177]_kinome_YAP_CD44	J13	200972727[5177]_kinome_YAP_CD44_J13		M-005396-01	9706	ULK2				yes	well					high nucleus/cell area		high Neighbor Fraction		high local density			doughnut nuclei		low total YAP/TAZ				
200972727[5177]_kinome_YAP_CD44	J14	200972727[5177]_kinome_YAP_CD44_J14		M-005362-01	65125	PRKWNK1			"yes, Low YAP Ratio"	yes	well		small cells														low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	J15	200972727[5177]_kinome_YAP_CD44_J15		M-004059-00	51727	UMP-CMPK			"yes, Low YAP Ratio+Low Level"	yes	well		small cells			high nucleus/cell area		high Neighbor Fraction		high local density		low nuclear roundness			low total YAP/TAZ		low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	J16	200972727[5177]_kinome_YAP_CD44_J16		M-005363-01	65268	PRKWNK2			"yes, High YAP Ratio"	yes	well	large cells						high Neighbor Fraction					doughnut nuclei			high YAP/TAZ ratio (mouse Santa Cruz)			
200972727[5177]_kinome_YAP_CD44	J17	200972727[5177]_kinome_YAP_CD44_J17		M-005077-00	7371	UMPK			"yes, Low YAP Ratio"	yes	well							high Neighbor Fraction					doughnut nuclei				low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	J18	200972727[5177]_kinome_YAP_CD44_J18		M-005364-03	65267	PRKWNK3				yes	well													high total YAP/TAZ			low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	J19	200972727[5177]_kinome_YAP_CD44_J19		M-006792-01	54963	URKL1				yes	well	large cells															low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	J2	200972727[5177]_kinome_YAP_CD44_J2		M-007673-00	5577	PRKAR2B				yes	well	large cells						high Neighbor Fraction											
200972727[5177]_kinome_YAP_CD44	J20	200972727[5177]_kinome_YAP_CD44_J20				PRKWNK4				yes	well	large cells										low nuclear roundness							
200972727[5177]_kinome_YAP_CD44	J3	200972727[5177]_kinome_YAP_CD44_J3		M-004105-00	7272	TTK			"yes, Low YAP Ratio"	yes	well	large cells					low nucleus/cell area				low local density						low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	J4	200972727[5177]_kinome_YAP_CD44_J4				PRKCABP			"yes, Low YAP Ratio"	yes	well																low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	J5	200972727[5177]_kinome_YAP_CD44_J5				TXNDC3			"yes, Low YAP Ratio"	yes	well											low nuclear roundness	doughnut nuclei				low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	J6	200972727[5177]_kinome_YAP_CD44_J6		M-010618-00	5589	PRKCSH			"yes, Low YAP Ratio"	yes	well																low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	J7	200972727[5177]_kinome_YAP_CD44_J7		M-004062-01	83549	UCK1				yes	well		small cells			high nucleus/cell area		high Neighbor Fraction		high local density							low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	J8	200972727[5177]_kinome_YAP_CD44_J8		M-005030-01	5591	PRKDC				yes	well						low nucleus/cell area				low local density			high total YAP/TAZ			low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	K10	200972727[5177]_kinome_YAP_CD44_K10		M-005033-01	23049	SMG1			"yes, Low YAP Ratio"	yes	well	large cells						high Neighbor Fraction					doughnut nuclei				low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	K12	200972727[5177]_kinome_YAP_CD44_K12		M-003325-05	10769	PLK2				yes	well											low nuclear roundness	doughnut nuclei		low total YAP/TAZ	high YAP/TAZ ratio (mouse Santa Cruz)			
200972727[5177]_kinome_YAP_CD44	K14	200972727[5177]_kinome_YAP_CD44_K14			8651	SOCS1				yes	well	large cells		large nuclei											low total YAP/TAZ		low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	K16	200972727[5177]_kinome_YAP_CD44_K16			9655	SOCS5			"yes, Low YAP Ratio"	yes	well							high Neighbor Fraction									low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	K18	200972727[5177]_kinome_YAP_CD44_K18			53340	SPA17			"yes, Low YAP Ratio+Low Level"	yes	well							high Neighbor Fraction							low total YAP/TAZ		low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	K2	200972727[5177]_kinome_YAP_CD44_K2		M-011505-02	8631	SCAP1				yes	well	large cells						high Neighbor Fraction							low total YAP/TAZ				
200972727[5177]_kinome_YAP_CD44	K20	200972727[5177]_kinome_YAP_CD44_K20				SPEC2			"yes, Low YAP Ratio"	yes	well																low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	K21	200972727[5177]_kinome_YAP_CD44_K21					negative control	"mock transfected, 600 cells per well"		yes	well																low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	K3	200972727[5177]_kinome_YAP_CD44_K3					empty well			yes	well														low total YAP/TAZ				
200972727[5177]_kinome_YAP_CD44	K4	200972727[5177]_kinome_YAP_CD44_K4		M-005373-01	57410	SCYL1				yes	well							high Neighbor Fraction				low nuclear roundness							
200972727[5177]_kinome_YAP_CD44	K5	200972727[5177]_kinome_YAP_CD44_K5					negative control	"mock transfected, 600 cells per well"		yes	well														low total YAP/TAZ				
200972727[5177]_kinome_YAP_CD44	K6	200972727[5177]_kinome_YAP_CD44_K6			22929	SEPHS1			"yes, Low YAP Ratio"	yes	well										low local density						low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	K8	200972727[5177]_kinome_YAP_CD44_K8			6464	SHC1				yes	well					high nucleus/cell area		high Neighbor Fraction		high local density					low total YAP/TAZ		low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	L10	200972727[5177]_kinome_YAP_CD44_L10			5636	PRPSAP2				yes	well								low Neighbor Fraction				doughnut nuclei		low total YAP/TAZ				
200972727[5177]_kinome_YAP_CD44	L11	200972727[5177]_kinome_YAP_CD44_L11		M-006793-01	9942	XYLB				yes	well	large cells						high Neighbor Fraction							low total YAP/TAZ				
200972727[5177]_kinome_YAP_CD44	L12	200972727[5177]_kinome_YAP_CD44_L12			5793	PTPRG				yes	well														low total YAP/TAZ		low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	L13	200972727[5177]_kinome_YAP_CD44_L13			7533	YWHAH				yes	well												doughnut nuclei						
200972727[5177]_kinome_YAP_CD44	L14	200972727[5177]_kinome_YAP_CD44_L14			5795	PTPRJ			"yes, Low YAP Ratio+Low Level"	yes	well		small cells									low nuclear roundness			low total YAP/TAZ		low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	L15	200972727[5177]_kinome_YAP_CD44_L15			10971	YWHAQ				yes	well														low total YAP/TAZ	high YAP/TAZ ratio (mouse Santa Cruz)			
200972727[5177]_kinome_YAP_CD44	L16	200972727[5177]_kinome_YAP_CD44_L16			11122	PTPRT			"yes, High YAP Ratio"	yes	well	large cells		large nuclei				high Neighbor Fraction					doughnut nuclei			high YAP/TAZ ratio (mouse Santa Cruz)			
200972727[5177]_kinome_YAP_CD44	L17	200972727[5177]_kinome_YAP_CD44_L17		M-005068-03	51776	ZAK				yes	well														low total YAP/TAZ				
200972727[5177]_kinome_YAP_CD44	L18	200972727[5177]_kinome_YAP_CD44_L18		M-005367-01	54899	PXK				yes	well																low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	L19	200972727[5177]_kinome_YAP_CD44_L19		M-005398-04	7535	ZAP70				yes	well							high Neighbor Fraction				low nuclear roundness			low total YAP/TAZ		low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	L2	200972727[5177]_kinome_YAP_CD44_L2		M-006784-00	5631	PRPS1				yes	well	large cells						high Neighbor Fraction									low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	L20	200972727[5177]_kinome_YAP_CD44_L20		M-006785-01	5832	PYCS				yes	well	large cells										low nuclear roundness							
200972727[5177]_kinome_YAP_CD44	L3	200972727[5177]_kinome_YAP_CD44_L3		M-004684-02	7444	VRK2				yes	well	large cells						high Neighbor Fraction							low total YAP/TAZ		low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	L4	200972727[5177]_kinome_YAP_CD44_L4		M-006804-00	221823	PRPS1L1			"yes, Low YAP Ratio"	yes	well	large cells													low total YAP/TAZ		low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	L5	200972727[5177]_kinome_YAP_CD44_L5		M-005397-02	51231	VRK3			"yes, Low YAP Ratio"	yes	well	large cells					low nucleus/cell area	high Neighbor Fraction									low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	L6	200972727[5177]_kinome_YAP_CD44_L6		M-004877-02	5634	PRPS2				yes	well																low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	L7	200972727[5177]_kinome_YAP_CD44_L7		M-005050-02	7465	WEE1			"yes, Low YAP Ratio"	yes	well	large cells									low local density						low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	L8	200972727[5177]_kinome_YAP_CD44_L8			5635	PRPSAP1				yes	well										low local density						low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	L9	200972727[5177]_kinome_YAP_CD44_L9			11197	WIF1				yes	well	large cells									low local density								
200972727[5177]_kinome_YAP_CD44	M23	200972727[5177]_kinome_YAP_CD44_M23					negative control	"mock transfected, 150 cells per well"		yes	well												doughnut nuclei	high total YAP/TAZ					
200972727[5177]_kinome_YAP_CD44	N10	200972727[5177]_kinome_YAP_CD44_N10		M-005040-02	8780	RIOK3				yes	well	large cells																	
200972727[5177]_kinome_YAP_CD44	N12	200972727[5177]_kinome_YAP_CD44_N12		M-004445-02	8737	RIPK1			"yes, Low YAP Ratio"	yes	well								low Neighbor Fraction								low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	N14	200972727[5177]_kinome_YAP_CD44_N14		M-003602-02	8767	RIPK2				yes	well			large nuclei				high Neighbor Fraction		high local density			doughnut nuclei		low total YAP/TAZ		low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	N16	200972727[5177]_kinome_YAP_CD44_N16		M-003534-01	11035	RIPK3				yes	well														low total YAP/TAZ	high YAP/TAZ ratio (mouse Santa Cruz)			
200972727[5177]_kinome_YAP_CD44	N18	200972727[5177]_kinome_YAP_CD44_N18		M-005032-01	6041	RNASEL			"yes, Low YAP Ratio"	yes	well											low nuclear roundness	doughnut nuclei				low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	N2	200972727[5177]_kinome_YAP_CD44_N2		M-024516-01	5924	RASGRF2				yes	well							high Neighbor Fraction		high local density				high total YAP/TAZ			low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	N20	200972727[5177]_kinome_YAP_CD44_N20			6102	RP2				yes	well					high nucleus/cell area						low nuclear roundness	doughnut nuclei		low total YAP/TAZ	high YAP/TAZ ratio (mouse Santa Cruz)			
200972727[5177]_kinome_YAP_CD44	N23	200972727[5177]_kinome_YAP_CD44_N23					negative control	"mock transfected, 150 cells per well"		yes	well												doughnut nuclei						
200972727[5177]_kinome_YAP_CD44	N4	200972727[5177]_kinome_YAP_CD44_N4		M-006786-00	64080	RBKS			"yes, Low YAP Ratio"	yes	well																low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	N6	200972727[5177]_kinome_YAP_CD44_N6		M-006552-01	5987	RFP				yes	well	large cells										low nuclear roundness							
200972727[5177]_kinome_YAP_CD44	N8	200972727[5177]_kinome_YAP_CD44_N8		M-005368-01	83732	RIOK1				yes	well	large cells					low nucleus/cell area				low local density								
200972727[5177]_kinome_YAP_CD44	O15	200972727[5177]_kinome_YAP_CD44_O15	nocodazole							yes	well													high total YAP/TAZ					
200972727[5177]_kinome_YAP_CD44	O17	200972727[5177]_kinome_YAP_CD44_O17	PF573288						"yes, Low YAP Ratio"	yes	well																low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	O18	200972727[5177]_kinome_YAP_CD44_O18	PF573288						"yes, Low YAP Ratio"	yes	well																low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	O19	200972727[5177]_kinome_YAP_CD44_O19	PF573288						"yes, Low YAP Ratio"	yes	well																low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	O20	200972727[5177]_kinome_YAP_CD44_O20	PF573288						"yes, Low YAP Ratio"	yes	well																low YAP/TAZ ratio (mouse Santa Cruz)		
200972727[5177]_kinome_YAP_CD44	O23	200972727[5177]_kinome_YAP_CD44_O23					negative control	"mock transfected, 150 cells per well"		yes	well												doughnut nuclei						
200972822[5178]_RhoGGG_YAP_CD44	B10	200972822[5178]_RhoGGG_YAP_CD44_B10		L-009616-00	8874	ARHGEF7			"yes, Low YAP Ratio"	yes	well							high Neighbor Fraction							low total YAP/TAZ		low YAP/TAZ ratio (mouse Santa Cruz)		
200972822[5178]_RhoGGG_YAP_CD44	B12	200972822[5178]_RhoGGG_YAP_CD44_B12		L-01220-00	10413	YAP1	positive control	checks for knock-down and antibody specificity		yes	well														low total YAP/TAZ		low YAP/TAZ ratio (mouse Santa Cruz)		
200972822[5178]_RhoGGG_YAP_CD44	B14	200972822[5178]_RhoGGG_YAP_CD44_B14		L-003560-00	5879	RAC1				yes	well																low YAP/TAZ ratio (mouse Santa Cruz)		
200972822[5178]_RhoGGG_YAP_CD44	B15	200972822[5178]_RhoGGG_YAP_CD44_B15		L-003860-00	387	RHOA				yes	well	large cells										low nuclear roundness			low total YAP/TAZ		low YAP/TAZ ratio (mouse Santa Cruz)		
200972822[5178]_RhoGGG_YAP_CD44	B16	200972822[5178]_RhoGGG_YAP_CD44_B16		L-008555-00	389	RHOC			"yes, Low YAP Ratio"	yes	well							high Neighbor Fraction									low YAP/TAZ ratio (mouse Santa Cruz)		
200972822[5178]_RhoGGG_YAP_CD44	B17	200972822[5178]_RhoGGG_YAP_CD44_B17		L-009421-00	9138	ARHGEF1			"yes, High YAP Ratio"	yes	well											low nuclear roundness	doughnut nuclei		low total YAP/TAZ				
200972822[5178]_RhoGGG_YAP_CD44	B18	200972822[5178]_RhoGGG_YAP_CD44_B18		L-009616-00	8874	ARHGEF7			"yes, Low YAP Ratio"	yes	well							high Neighbor Fraction							low total YAP/TAZ		low YAP/TAZ ratio (mouse Santa Cruz)		
200972822[5178]_RhoGGG_YAP_CD44	B19	200972822[5178]_RhoGGG_YAP_CD44_B19		L-010323-01	23075	SWAP70				yes	well														low total YAP/TAZ				
200972822[5178]_RhoGGG_YAP_CD44	B20	200972822[5178]_RhoGGG_YAP_CD44_B20			5747	FAK				yes	well			large nuclei								low nuclear roundness			low total YAP/TAZ				
200972822[5178]_RhoGGG_YAP_CD44	B21	200972822[5178]_RhoGGG_YAP_CD44_B21			5747	FAK				yes	well											low nuclear roundness			low total YAP/TAZ				
200972822[5178]_RhoGGG_YAP_CD44	B4	200972822[5178]_RhoGGG_YAP_CD44_B4		L-01220-00	10413	YAP1	positive control	checks for knock-down and antibody specificity		yes	well														low total YAP/TAZ		low YAP/TAZ ratio (mouse Santa Cruz)		
200972822[5178]_RhoGGG_YAP_CD44	B6	200972822[5178]_RhoGGG_YAP_CD44_B6		L-003560-00	5879	RAC1				yes	well																low YAP/TAZ ratio (mouse Santa Cruz)		
200972822[5178]_RhoGGG_YAP_CD44	B7	200972822[5178]_RhoGGG_YAP_CD44_B7		L-003860-00	387	RHOA				yes	well	large cells					low nucleus/cell area				low local density	low nuclear roundness			low total YAP/TAZ		low YAP/TAZ ratio (mouse Santa Cruz)		
200972822[5178]_RhoGGG_YAP_CD44	B8	200972822[5178]_RhoGGG_YAP_CD44_B8		L-008555-00	389	RHOC			"yes, Low YAP Ratio"	yes	well							high Neighbor Fraction									low YAP/TAZ ratio (mouse Santa Cruz)		
200972822[5178]_RhoGGG_YAP_CD44	B9	200972822[5178]_RhoGGG_YAP_CD44_B9		L-009421-00	9138	ARHGEF1			"yes, High YAP Ratio"	yes	well											low nuclear roundness	doughnut nuclei		low total YAP/TAZ				
200972822[5178]_RhoGGG_YAP_CD44	C13	200972822[5178]_RhoGGG_YAP_CD44_C13		L-008555-00	389	RHOC			"yes, Low YAP Ratio"	yes	well	large cells									low local density						low YAP/TAZ ratio (mouse Santa Cruz)		
200972822[5178]_RhoGGG_YAP_CD44	C16	200972822[5178]_RhoGGG_YAP_CD44_C16		M-003290-01	5347	PLK1	positive control	"checks for transfection, gives cell death phenotype"		yes	well											low nuclear roundness			low total YAP/TAZ		low YAP/TAZ ratio (mouse Santa Cruz)		
200972822[5178]_RhoGGG_YAP_CD44	C17	200972822[5178]_RhoGGG_YAP_CD44_C17			22836	RHOBTB3			"yes, Low YAP Ratio"	yes	well																low YAP/TAZ ratio (mouse Santa Cruz)		
200972822[5178]_RhoGGG_YAP_CD44	C21	200972822[5178]_RhoGGG_YAP_CD44_C21			9886	RHOBTB1				yes	well	large cells											doughnut nuclei		low total YAP/TAZ	high YAP/TAZ ratio (mouse Santa Cruz)			
200972822[5178]_RhoGGG_YAP_CD44	D10	200972822[5178]_RhoGGG_YAP_CD44_D10		M-006450-00	1894	ECT2	positive control	"checks for transfection, gives strong multinuclear phenotype"		yes	well											low nuclear roundness			low total YAP/TAZ				
200972822[5178]_RhoGGG_YAP_CD44	D11	200972822[5178]_RhoGGG_YAP_CD44_D11		M-008650-00	29127	RACGAP1				yes	well	large cells		large nuclei				high Neighbor Fraction				low nuclear roundness		high total YAP/TAZ					
200972822[5178]_RhoGGG_YAP_CD44	D12	200972822[5178]_RhoGGG_YAP_CD44_D12		M-003290-01	5347	PLK1	positive control	"checks for transfection, gives cell death phenotype"		yes	well		small cells	large nuclei		high nucleus/cell area						low nuclear roundness			low total YAP/TAZ		low YAP/TAZ ratio (mouse Santa Cruz)		
200972822[5178]_RhoGGG_YAP_CD44	D13	200972822[5178]_RhoGGG_YAP_CD44_D13		M-009266-00	10928	RALBP1				yes	well														low total YAP/TAZ				
200972822[5178]_RhoGGG_YAP_CD44	D14	200972822[5178]_RhoGGG_YAP_CD44_D14		L-008555-00	389	RHOC			"yes, Low YAP Ratio"	yes	well	large cells					low nucleus/cell area				low local density						low YAP/TAZ ratio (mouse Santa Cruz)		
200972822[5178]_RhoGGG_YAP_CD44	D15	200972822[5178]_RhoGGG_YAP_CD44_D15		M-026514-01	57569	ARHGAP20				yes	well			large nuclei		high nucleus/cell area		high Neighbor Fraction		high local density							low YAP/TAZ ratio (mouse Santa Cruz)		
200972822[5178]_RhoGGG_YAP_CD44	D18	200972822[5178]_RhoGGG_YAP_CD44_D18			22836	RHOBTB3			"yes, Low YAP Ratio"	yes	well										low local density				low total YAP/TAZ		low YAP/TAZ ratio (mouse Santa Cruz)		
