Source Name	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Strain]	Term Source 2 REF	Term Source 2 Accession	Characteristics [Sex]	Term Source 3 REF	Term Source 3 Accession	Characteristics [Age]	Characteristics [Individual]	Characteristics [Organism Part]	Characteristics [Clinical Information]	Protocol REF	Protocol REF	Assay Name	Experimental Condition [Individual]	Experimental Condition [Treatment Timepoint]	Experimental Condition [Treatment]	Experimental Condition [Sampling Timepoint]	Experimental Condition [Treatment Timepoint]_Experimental Condition [Treatment]	Dataset Name	Comment [Raw Data Capture]	Comment [Field]	Image File	Channels	Comment [Image File Type]	Comment [Image File Path]	Protocol REF	Processed Data File
mouse 66	Mus musculus	NCBITaxon	NCBITaxon_10090	C57BL/6J	EFO	EFO_0000606	male	PATO	PATO_0000384	8 to 14 week old	mouse 66	tumor	OVA expressing tumor	treatment protocol	image aquistion and feature extraction protocol	TreatStartDay3_Control_Day3PostTreat_mouse66	mouse 66	3 days after tumor inoculation	control - cytotoxic T lymphocytes only	3 days after treatment start	3 days after tumor inoculation_control - cytotoxic T lymphocytes only	TreatStartDay3_Control_Day3PostTreat_mouse66	part 2 of 2	4	3.66.6-3.141020_17-15-27.03.pattern	"BD2_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_RED:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei)"	raw	/treatment start day 3/mouse 66/day 6-3/time lapse/141020_17-15-27/	data analysis protocol	idr0026-experimentA-processed.txt
mouse 66	Mus musculus	NCBITaxon	NCBITaxon_10090	C57BL/6J	EFO	EFO_0000606	male	PATO	PATO_0000384	8 to 14 week old	mouse 66	tumor	OVA expressing tumor	treatment protocol	image aquistion and feature extraction protocol	TreatStartDay3_Control_Day3PostTreat_mouse66	mouse 66	3 days after tumor inoculation	control - cytotoxic T lymphocytes only	3 days after treatment start	3 days after tumor inoculation_control - cytotoxic T lymphocytes only	TreatStartDay3_Control_Day3PostTreat_mouse66	part 2 of 2	5	3.66.6-3.141020_17-15-27.04.pattern	"BD2_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_RED:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei)"	raw	/treatment start day 3/mouse 66/day 6-3/time lapse/141020_17-15-27/	data analysis protocol	idr0026-experimentA-processed.txt
mouse 66	Mus musculus	NCBITaxon	NCBITaxon_10090	C57BL/6J	EFO	EFO_0000606	male	PATO	PATO_0000384	8 to 14 week old	mouse 66	tumor	OVA expressing tumor	treatment protocol	image aquistion and feature extraction protocol	TreatStartDay3_Control_Day3PostTreat_mouse66	mouse 66	3 days after tumor inoculation	control - cytotoxic T lymphocytes only	3 days after treatment start	3 days after tumor inoculation_control - cytotoxic T lymphocytes only	TreatStartDay3_Control_Day3PostTreat_mouse66	part 2 of 2	1	Pos 00_all Ch_TP 0-30.tif	RGB	processed	/treatment start day 3/mouse 66/day 6-3/processed 4D stacks/141020_17-15-27/	data analysis protocol	idr0026-experimentA-processed.txt
mouse 66	Mus musculus	NCBITaxon	NCBITaxon_10090	C57BL/6J	EFO	EFO_0000606	male	PATO	PATO_0000384	8 to 14 week old	mouse 66	tumor	OVA expressing tumor	treatment protocol	image aquistion and feature extraction protocol	TreatStartDay3_Control_Day3PostTreat_mouse66	mouse 66	3 days after tumor inoculation	control - cytotoxic T lymphocytes only	3 days after treatment start	3 days after tumor inoculation_control - cytotoxic T lymphocytes only	TreatStartDay3_Control_Day3PostTreat_mouse66	part 2 of 2	2	Pos 01_all Ch_TP 0-30.tif	RGB	processed	/treatment start day 3/mouse 66/day 6-3/processed 4D stacks/141020_17-15-27/	data analysis protocol	idr0026-experimentA-processed.txt
mouse 66	Mus musculus	NCBITaxon	NCBITaxon_10090	C57BL/6J	EFO	EFO_0000606	male	PATO	PATO_0000384	8 to 14 week old	mouse 66	tumor	OVA expressing tumor	treatment protocol	image aquistion and feature extraction protocol	TreatStartDay3_Control_Day3PostTreat_mouse66	mouse 66	3 days after tumor inoculation	control - cytotoxic T lymphocytes only	3 days after treatment start	3 days after tumor inoculation_control - cytotoxic T lymphocytes only	TreatStartDay3_Control_Day3PostTreat_mouse66	part 2 of 2	3	Pos 02_all Ch_TP 0-30.tif	RGB	processed	/treatment start day 3/mouse 66/day 6-3/processed 4D stacks/141020_17-15-27/	data analysis protocol	idr0026-experimentA-processed.txt
mouse 66	Mus musculus	NCBITaxon	NCBITaxon_10090	C57BL/6J	EFO	EFO_0000606	male	PATO	PATO_0000384	8 to 14 week old	mouse 66	tumor	OVA expressing tumor	treatment protocol	image aquistion and feature extraction protocol	TreatStartDay3_Control_Day3PostTreat_mouse66	mouse 66	3 days after tumor inoculation	control - cytotoxic T lymphocytes only	3 days after treatment start	3 days after tumor inoculation_control - cytotoxic T lymphocytes only	TreatStartDay3_Control_Day3PostTreat_mouse66	part 2 of 2	4	Pos 03_all Ch_TP 0-30.tif	RGB	processed	/treatment start day 3/mouse 66/day 6-3/processed 4D stacks/141020_17-15-27/	data analysis protocol	idr0026-experimentA-processed.txt
mouse 66	Mus musculus	NCBITaxon	NCBITaxon_10090	C57BL/6J	EFO	EFO_0000606	male	PATO	PATO_0000384	8 to 14 week old	mouse 66	tumor	OVA expressing tumor	treatment protocol	image aquistion and feature extraction protocol	TreatStartDay3_Control_Day3PostTreat_mouse66	mouse 66	3 days after tumor inoculation	control - cytotoxic T lymphocytes only	3 days after treatment start	3 days after tumor inoculation_control - cytotoxic T lymphocytes only	TreatStartDay3_Control_Day3PostTreat_mouse66	part 2 of 2	5	Pos 04_all Ch_TP 0-30.tif	RGB	processed	/treatment start day 3/mouse 66/day 6-3/processed 4D stacks/141020_17-15-27/	data analysis protocol	idr0026-experimentA-processed.txt
mouse 67	Mus musculus	NCBITaxon	NCBITaxon_10090	C57BL/6J	EFO	EFO_0000606	male	PATO	PATO_0000384	8 to 14 week old	mouse 67	tumor	OVA expressing tumor	treatment protocol	image aquistion and feature extraction protocol	TreatStartDay3_Control_Day3PostTreat_mouse67	mouse 67	3 days after tumor inoculation	control - cytotoxic T lymphocytes only	3 days after treatment start	3 days after tumor inoculation_control - cytotoxic T lymphocytes only	TreatStartDay3_Control_Day3PostTreat_mouse67	part 1 of 1	1	3.67.6-3.141020_11-39-56.00.pattern	"BD2_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_DEEPR:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei)"	raw	/treatment start day 3/mouse 67/day 6-3/time lapse/141020_11-39-56/	data analysis protocol	idr0026-experimentA-processed.txt
mouse 67	Mus musculus	NCBITaxon	NCBITaxon_10090	C57BL/6J	EFO	EFO_0000606	male	PATO	PATO_0000384	8 to 14 week old	mouse 67	tumor	OVA expressing tumor	treatment protocol	image aquistion and feature extraction protocol	TreatStartDay3_Control_Day3PostTreat_mouse67	mouse 67	3 days after tumor inoculation	control - cytotoxic T lymphocytes only	3 days after treatment start	3 days after tumor inoculation_control - cytotoxic T lymphocytes only	TreatStartDay3_Control_Day3PostTreat_mouse67	part 1 of 1	2	3.67.6-3.141020_11-39-56.01.pattern	"BD2_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_DEEPR:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei)"	raw	/treatment start day 3/mouse 67/day 6-3/time lapse/141020_11-39-56/	data analysis protocol	idr0026-experimentA-processed.txt
mouse 67	Mus musculus	NCBITaxon	NCBITaxon_10090	C57BL/6J	EFO	EFO_0000606	male	PATO	PATO_0000384	8 to 14 week old	mouse 67	tumor	OVA expressing tumor	treatment protocol	image aquistion and feature extraction protocol	TreatStartDay3_Control_Day3PostTreat_mouse67	mouse 67	3 days after tumor inoculation	control - cytotoxic T lymphocytes only	3 days after treatment start	3 days after tumor inoculation_control - cytotoxic T lymphocytes only	TreatStartDay3_Control_Day3PostTreat_mouse67	part 1 of 1	3	3.67.6-3.141020_11-39-56.02.pattern	"BD2_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_DEEPR:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei)"	raw	/treatment start day 3/mouse 67/day 6-3/time lapse/141020_11-39-56/	data analysis protocol	idr0026-experimentA-processed.txt
mouse 67	Mus musculus	NCBITaxon	NCBITaxon_10090	C57BL/6J	EFO	EFO_0000606	male	PATO	PATO_0000384	8 to 14 week old	mouse 67	tumor	OVA expressing tumor	treatment protocol	image aquistion and feature extraction protocol	TreatStartDay3_Control_Day3PostTreat_mouse67	mouse 67	3 days after tumor inoculation	control - cytotoxic T lymphocytes only	3 days after treatment start	3 days after tumor inoculation_control - cytotoxic T lymphocytes only	TreatStartDay3_Control_Day3PostTreat_mouse67	part 1 of 1	4	3.67.6-3.141020_11-39-56.03.pattern	"BD2_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_DEEPR:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei)"	raw	/treatment start day 3/mouse 67/day 6-3/time lapse/141020_11-39-56/	data analysis protocol	idr0026-experimentA-processed.txt
mouse 67	Mus musculus	NCBITaxon	NCBITaxon_10090	C57BL/6J	EFO	EFO_0000606	male	PATO	PATO_0000384	8 to 14 week old	mouse 67	tumor	OVA expressing tumor	treatment protocol	image aquistion and feature extraction protocol	TreatStartDay3_Control_Day3PostTreat_mouse67	mouse 67	3 days after tumor inoculation	control - cytotoxic T lymphocytes only	3 days after treatment start	3 days after tumor inoculation_control - cytotoxic T lymphocytes only	TreatStartDay3_Control_Day3PostTreat_mouse67	part 1 of 1	5	3.67.6-3.141020_11-39-56.04.pattern	"BD2_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_DEEPR:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei)"	raw	/treatment start day 3/mouse 67/day 6-3/time lapse/141020_11-39-56/	data analysis protocol	idr0026-experimentA-processed.txt
mouse 67	Mus musculus	NCBITaxon	NCBITaxon_10090	C57BL/6J	EFO	EFO_0000606	male	PATO	PATO_0000384	8 to 14 week old	mouse 67	tumor	OVA expressing tumor	treatment protocol	image aquistion and feature extraction protocol	TreatStartDay3_Control_Day3PostTreat_mouse67	mouse 67	3 days after tumor inoculation	control - cytotoxic T lymphocytes only	3 days after treatment start	3 days after tumor inoculation_control - cytotoxic T lymphocytes only	TreatStartDay3_Control_Day3PostTreat_mouse67	part 1 of 1	1	Pos 00_all Ch_all TP_reg_crop.tif	RGB	processed	/treatment start day 3/mouse 67/day 6-3/processed 4D stacks/	data analysis protocol	idr0026-experimentA-processed.txt
mouse 67	Mus musculus	NCBITaxon	NCBITaxon_10090	C57BL/6J	EFO	EFO_0000606	male	PATO	PATO_0000384	8 to 14 week old	mouse 67	tumor	OVA expressing tumor	treatment protocol	image aquistion and feature extraction protocol	TreatStartDay3_Control_Day3PostTreat_mouse67	mouse 67	3 days after tumor inoculation	control - cytotoxic T lymphocytes only	3 days after treatment start	3 days after tumor inoculation_control - cytotoxic T lymphocytes only	TreatStartDay3_Control_Day3PostTreat_mouse67	part 1 of 1	2	Pos 01_all Ch_all TP_reg_crop.tif	RGB	processed	/treatment start day 3/mouse 67/day 6-3/processed 4D stacks/	data analysis protocol	idr0026-experimentA-processed.txt
mouse 67	Mus musculus	NCBITaxon	NCBITaxon_10090	C57BL/6J	EFO	EFO_0000606	male	PATO	PATO_0000384	8 to 14 week old	mouse 67	tumor	OVA expressing tumor	treatment protocol	image aquistion and feature extraction protocol	TreatStartDay3_Control_Day3PostTreat_mouse67	mouse 67	3 days after tumor inoculation	control - cytotoxic T lymphocytes only	3 days after treatment start	3 days after tumor inoculation_control - cytotoxic T lymphocytes only	TreatStartDay3_Control_Day3PostTreat_mouse67	part 1 of 1	3	Pos 02_all Ch_all TP_reg_crop.tif	RGB	processed	/treatment start day 3/mouse 67/day 6-3/processed 4D stacks/	data analysis protocol	idr0026-experimentA-processed.txt
mouse 67	Mus musculus	NCBITaxon	NCBITaxon_10090	C57BL/6J	EFO	EFO_0000606	male	PATO	PATO_0000384	8 to 14 week old	mouse 67	tumor	OVA expressing tumor	treatment protocol	image aquistion and feature extraction protocol	TreatStartDay3_Control_Day3PostTreat_mouse67	mouse 67	3 days after tumor inoculation	control - cytotoxic T lymphocytes only	3 days after treatment start	3 days after tumor inoculation_control - cytotoxic T lymphocytes only	TreatStartDay3_Control_Day3PostTreat_mouse67	part 1 of 1	4	Pos 03_all Ch_all TP_reg_crop.tif	RGB	processed	/treatment start day 3/mouse 67/day 6-3/processed 4D stacks/	data analysis protocol	idr0026-experimentA-processed.txt
mouse 67	Mus musculus	NCBITaxon	NCBITaxon_10090	C57BL/6J	EFO	EFO_0000606	male	PATO	PATO_0000384	8 to 14 week old	mouse 67	tumor	OVA expressing tumor	treatment protocol	image aquistion and feature extraction protocol	TreatStartDay3_Control_Day3PostTreat_mouse67	mouse 67	3 days after tumor inoculation	control - cytotoxic T lymphocytes only	3 days after treatment start	3 days after tumor inoculation_control - cytotoxic T lymphocytes only	TreatStartDay3_Control_Day3PostTreat_mouse67	part 1 of 1	5	Pos 04_all Ch_all TP_reg_crop.tif	RGB	processed	/treatment start day 3/mouse 67/day 6-3/processed 4D stacks/	data analysis protocol	idr0026-experimentA-processed.txt
mouse 66	Mus musculus	NCBITaxon	NCBITaxon_10090	C57BL/6J	EFO	EFO_0000606	male	PATO	PATO_0000384	8 to 14 week old	mouse 66	tumor	OVA expressing tumor	treatment protocol	image aquistion and feature extraction protocol	TreatStartDay3_Control_Day6PostTreat_mouse66	mouse 66	3 days after tumor inoculation	control - cytotoxic T lymphocytes only	6 days after treatment start	3 days after tumor inoculation_control - cytotoxic T lymphocytes only	TreatStartDay3_Control_Day6PostTreat_mouse66	part 1 of 3	1	3.66.9-6.141020_15-41-29.00.pattern	"BD2_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_RED:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei)"	raw	/treatment start day 3/mouse 66/day 9-6/time lapse/141020_15-41-29/	data analysis protocol	idr0026-experimentA-processed.txt
mouse 66	Mus musculus	NCBITaxon	NCBITaxon_10090	C57BL/6J	EFO	EFO_0000606	male	PATO	PATO_0000384	8 to 14 week old	mouse 66	tumor	OVA expressing tumor	treatment protocol	image aquistion and feature extraction protocol	TreatStartDay3_Control_Day6PostTreat_mouse66	mouse 66	3 days after tumor inoculation	control - cytotoxic T lymphocytes only	6 days after treatment start	3 days after tumor inoculation_control - cytotoxic T lymphocytes only	TreatStartDay3_Control_Day6PostTreat_mouse66	part 1 of 3	2	3.66.9-6.141020_15-41-29.01.pattern	"BD2_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_RED:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei)"	raw	/treatment start day 3/mouse 66/day 9-6/time lapse/141020_15-41-29/	data analysis protocol	idr0026-experimentA-processed.txt
mouse 66	Mus musculus	NCBITaxon	NCBITaxon_10090	C57BL/6J	EFO	EFO_0000606	male	PATO	PATO_0000384	8 to 14 week old	mouse 66	tumor	OVA expressing tumor	treatment protocol	image aquistion and feature extraction protocol	TreatStartDay3_Control_Day6PostTreat_mouse66	mouse 66	3 days after tumor inoculation	control - cytotoxic T lymphocytes only	6 days after treatment start	3 days after tumor inoculation_control - cytotoxic T lymphocytes only	TreatStartDay3_Control_Day6PostTreat_mouse66	part 1 of 3	3	3.66.9-6.141020_15-41-29.02.pattern	"BD2_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_RED:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei)"	raw	/treatment start day 3/mouse 66/day 9-6/time lapse/141020_15-41-29/	data analysis protocol	idr0026-experimentA-processed.txt
mouse 66	Mus musculus	NCBITaxon	NCBITaxon_10090	C57BL/6J	EFO	EFO_0000606	male	PATO	PATO_0000384	8 to 14 week old	mouse 66	tumor	OVA expressing tumor	treatment protocol	image aquistion and feature extraction protocol	TreatStartDay3_Control_Day6PostTreat_mouse66	mouse 66	3 days after tumor inoculation	control - cytotoxic T lymphocytes only	6 days after treatment start	3 days after tumor inoculation_control - cytotoxic T lymphocytes only	TreatStartDay3_Control_Day6PostTreat_mouse66	part 1 of 3	4	3.66.9-6.141020_15-41-29.03.pattern	"BD2_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_RED:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei)"	raw	/treatment start day 3/mouse 66/day 9-6/time lapse/141020_15-41-29/	data analysis protocol	idr0026-experimentA-processed.txt
mouse 66	Mus musculus	NCBITaxon	NCBITaxon_10090	C57BL/6J	EFO	EFO_0000606	male	PATO	PATO_0000384	8 to 14 week old	mouse 66	tumor	OVA expressing tumor	treatment protocol	image aquistion and feature extraction protocol	TreatStartDay3_Control_Day6PostTreat_mouse66	mouse 66	3 days after tumor inoculation	control - cytotoxic T lymphocytes only	6 days after treatment start	3 days after tumor inoculation_control - cytotoxic T lymphocytes only	TreatStartDay3_Control_Day6PostTreat_mouse66	part 1 of 3	5	3.66.9-6.141020_15-41-29.04.pattern	"BD2_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_RED:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei)"	raw	/treatment start day 3/mouse 66/day 9-6/time lapse/141020_15-41-29/	data analysis protocol	idr0026-experimentA-processed.txt
mouse 66	Mus musculus	NCBITaxon	NCBITaxon_10090	C57BL/6J	EFO	EFO_0000606	male	PATO	PATO_0000384	8 to 14 week old	mouse 66	tumor	OVA expressing tumor	treatment protocol	image aquistion and feature extraction protocol	TreatStartDay3_Control_Day6PostTreat_mouse66	mouse 66	3 days after tumor inoculation	control - cytotoxic T lymphocytes only	6 days after treatment start	3 days after tumor inoculation_control - cytotoxic T lymphocytes only	TreatStartDay3_Control_Day6PostTreat_mouse66	part 1 of 3	1	Pos 00_all Ch_TP 0-36_reg_crop.tif	RGB	processed	/treatment start day 3/mouse 66/day 9-6/processed 4D stacks/141020_15-41-29/	data analysis protocol	idr0026-experimentA-processed.txt
mouse 66	Mus musculus	NCBITaxon	NCBITaxon_10090	C57BL/6J	EFO	EFO_0000606	male	PATO	PATO_0000384	8 to 14 week old	mouse 66	tumor	OVA expressing tumor	treatment protocol	image aquistion and feature extraction protocol	TreatStartDay3_Control_Day6PostTreat_mouse66	mouse 66	3 days after tumor inoculation	control - cytotoxic T lymphocytes only	6 days after treatment start	3 days after tumor inoculation_control - cytotoxic T lymphocytes only	TreatStartDay3_Control_Day6PostTreat_mouse66	part 1 of 3	2	Pos 01_all Ch_TP 0-36_registered_crop.tif	RGB	processed	/treatment start day 3/mouse 66/day 9-6/processed 4D stacks/141020_15-41-29/	data analysis protocol	idr0026-experimentA-processed.txt
mouse 66	Mus musculus	NCBITaxon	NCBITaxon_10090	C57BL/6J	EFO	EFO_0000606	male	PATO	PATO_0000384	8 to 14 week old	mouse 66	tumor	OVA expressing tumor	treatment protocol	image aquistion and feature extraction protocol	TreatStartDay3_Control_Day6PostTreat_mouse66	mouse 66	3 days after tumor inoculation	control - cytotoxic T lymphocytes only	6 days after treatment start	3 days after tumor inoculation_control - cytotoxic T lymphocytes only	TreatStartDay3_Control_Day6PostTreat_mouse66	part 1 of 3	3	Pos 02_all Ch_TP 0-36_registered_crop.tif	RGB	processed	/treatment start day 3/mouse 66/day 9-6/processed 4D stacks/141020_15-41-29/	data analysis protocol	idr0026-experimentA-processed.txt
mouse 66	Mus musculus	NCBITaxon	NCBITaxon_10090	C57BL/6J	EFO	EFO_0000606	male	PATO	PATO_0000384	8 to 14 week old	mouse 66	tumor	OVA expressing tumor	treatment protocol	image aquistion and feature extraction protocol	TreatStartDay3_Control_Day6PostTreat_mouse66	mouse 66	3 days after tumor inoculation	control - cytotoxic T lymphocytes only	6 days after treatment start	3 days after tumor inoculation_control - cytotoxic T lymphocytes only	TreatStartDay3_Control_Day6PostTreat_mouse66	part 1 of 3	4	Pos 03_all Ch_TP 0-36_registered_crop.tif	RGB	processed	/treatment start day 3/mouse 66/day 9-6/processed 4D stacks/141020_15-41-29/	data analysis protocol	idr0026-experimentA-processed.txt
mouse 66	Mus musculus	NCBITaxon	NCBITaxon_10090	C57BL/6J	EFO	EFO_0000606	male	PATO	PATO_0000384	8 to 14 week old	mouse 66	tumor	OVA expressing tumor	treatment protocol	image aquistion and feature extraction protocol	TreatStartDay3_Control_Day6PostTreat_mouse66	mouse 66	3 days after tumor inoculation	control - cytotoxic T lymphocytes only	6 days after treatment start	3 days after tumor inoculation_control - cytotoxic T lymphocytes only	TreatStartDay3_Control_Day6PostTreat_mouse66	part 1 of 3	5	Pos 04_all Ch_TP 0-36_registered_crop.tif	RGB	processed	/treatment start day 3/mouse 66/day 9-6/processed 4D stacks/141020_15-41-29/	data analysis protocol	idr0026-experimentA-processed.txt
mouse 66	Mus musculus	NCBITaxon	NCBITaxon_10090	C57BL/6J	EFO	EFO_0000606	male	PATO	PATO_0000384	8 to 14 week old	mouse 66	tumor	OVA expressing tumor	treatment protocol	image aquistion and feature extraction protocol	TreatStartDay3_Control_Day6PostTreat_mouse66	mouse 66	3 days after tumor inoculation	control - cytotoxic T lymphocytes only	6 days after treatment start	3 days after tumor inoculation_control - cytotoxic T lymphocytes only	TreatStartDay3_Control_Day6PostTreat_mouse66	part 2 of 3	1	3.66.9-6.141023_15-49-01.00.pattern	"BD2_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_RED:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei)"	raw	/treatment start day 3/mouse 66/day 9-6/time lapse/141023_15-49-01/	data analysis protocol	idr0026-experimentA-processed.txt
mouse 66	Mus musculus	NCBITaxon	NCBITaxon_10090	C57BL/6J	EFO	EFO_0000606	male	PATO	PATO_0000384	8 to 14 week old	mouse 66	tumor	OVA expressing tumor	treatment protocol	image aquistion and feature extraction protocol	TreatStartDay3_Control_Day6PostTreat_mouse66	mouse 66	3 days after tumor inoculation	control - cytotoxic T lymphocytes only	6 days after treatment start	3 days after tumor inoculation_control - cytotoxic T lymphocytes only	TreatStartDay3_Control_Day6PostTreat_mouse66	part 2 of 3	2	3.66.9-6.141023_15-49-01.01.pattern	"BD2_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_RED:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei)"	raw	/treatment start day 3/mouse 66/day 9-6/time lapse/141023_15-49-01/	data analysis protocol	idr0026-experimentA-processed.txt
mouse 66	Mus musculus	NCBITaxon	NCBITaxon_10090	C57BL/6J	EFO	EFO_0000606	male	PATO	PATO_0000384	8 to 14 week old	mouse 66	tumor	OVA expressing tumor	treatment protocol	image aquistion and feature extraction protocol	TreatStartDay3_Control_Day6PostTreat_mouse66	mouse 66	3 days after tumor inoculation	control - cytotoxic T lymphocytes only	6 days after treatment start	3 days after tumor inoculation_control - cytotoxic T lymphocytes only	TreatStartDay3_Control_Day6PostTreat_mouse66	part 2 of 3	3	3.66.9-6.141023_15-49-01.02.pattern	"BD2_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_RED:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei)"	raw	/treatment start day 3/mouse 66/day 9-6/time lapse/141023_15-49-01/	data analysis protocol	idr0026-experimentA-processed.txt
mouse 66	Mus musculus	NCBITaxon	NCBITaxon_10090	C57BL/6J	EFO	EFO_0000606	male	PATO	PATO_0000384	8 to 14 week old	mouse 66	tumor	OVA expressing tumor	treatment protocol	image aquistion and feature extraction protocol	TreatStartDay3_Control_Day6PostTreat_mouse66	mouse 66	3 days after tumor inoculation	control - cytotoxic T lymphocytes only	6 days after treatment start	3 days after tumor inoculation_control - cytotoxic T lymphocytes only	TreatStartDay3_Control_Day6PostTreat_mouse66	part 2 of 3	4	3.66.9-6.141023_15-49-01.03.pattern	"BD2_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_RED:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei)"	raw	/treatment start day 3/mouse 66/day 9-6/time lapse/141023_15-49-01/	data analysis protocol	idr0026-experimentA-processed.txt
mouse 66	Mus musculus	NCBITaxon	NCBITaxon_10090	C57BL/6J	EFO	EFO_0000606	male	PATO	PATO_0000384	8 to 14 week old	mouse 66	tumor	OVA expressing tumor	treatment protocol	image aquistion and feature extraction protocol	TreatStartDay3_Control_Day6PostTreat_mouse66	mouse 66	3 days after tumor inoculation	control - cytotoxic T lymphocytes only	6 days after treatment start	3 days after tumor inoculation_control - cytotoxic T lymphocytes only	TreatStartDay3_Control_Day6PostTreat_mouse66	part 2 of 3	5	3.66.9-6.141023_15-49-01.04.pattern	"BD2_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_RED:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei)"	raw	/treatment start day 3/mouse 66/day 9-6/time lapse/141023_15-49-01/	data analysis protocol	idr0026-experimentA-processed.txt
mouse 66	Mus musculus	NCBITaxon	NCBITaxon_10090	C57BL/6J	EFO	EFO_0000606	male	PATO	PATO_0000384	8 to 14 week old	mouse 66	tumor	OVA expressing tumor	treatment protocol	image aquistion and feature extraction protocol	TreatStartDay3_Control_Day6PostTreat_mouse66	mouse 66	3 days after tumor inoculation	control - cytotoxic T lymphocytes only	6 days after treatment start	3 days after tumor inoculation_control - cytotoxic T lymphocytes only	TreatStartDay3_Control_Day6PostTreat_mouse66	part 2 of 3	1	Pos 00_all Ch_all TP_registered_cropped.tif	RGB	processed	/treatment start day 3/mouse 66/day 9-6/processed 4D stacks/141023_15-49-01/	data analysis protocol	idr0026-experimentA-processed.txt
mouse 66	Mus musculus	NCBITaxon	NCBITaxon_10090	C57BL/6J	EFO	EFO_0000606	male	PATO	PATO_0000384	8 to 14 week old	mouse 66	tumor	OVA expressing tumor	treatment protocol	image aquistion and feature extraction protocol	TreatStartDay3_Control_Day6PostTreat_mouse66	mouse 66	3 days after tumor inoculation	control - cytotoxic T lymphocytes only	6 days after treatment start	3 days after tumor inoculation_control - cytotoxic T lymphocytes only	TreatStartDay3_Control_Day6PostTreat_mouse66	part 2 of 3	2	Pos 01_all Ch_all TP_registered_cropped.tif	RGB	processed	/treatment start day 3/mouse 66/day 9-6/processed 4D stacks/141023_15-49-01/	data analysis protocol	idr0026-experimentA-processed.txt
mouse 66	Mus musculus	NCBITaxon	NCBITaxon_10090	C57BL/6J	EFO	EFO_0000606	male	PATO	PATO_0000384	8 to 14 week old	mouse 66	tumor	OVA expressing tumor	treatment protocol	image aquistion and feature extraction protocol	TreatStartDay3_Control_Day6PostTreat_mouse66	mouse 66	3 days after tumor inoculation	control - cytotoxic T lymphocytes only	6 days after treatment start	3 days after tumor inoculation_control - cytotoxic T lymphocytes only	TreatStartDay3_Control_Day6PostTreat_mouse66	part 2 of 3	3	Pos 02_all Ch_all TP_registered_cropped.tif	RGB	processed	/treatment start day 3/mouse 66/day 9-6/processed 4D stacks/141023_15-49-01/	data analysis protocol	idr0026-experimentA-processed.txt
