Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Strain],Term Source 2 REF,Term Source 2 Accession,Characteristics [Sex],Term Source 3 REF,Term Source 3 Accession,Characteristics [Age],Characteristics [Individual],Characteristics [Organism Part],Characteristics [Clinical Information],Experimental Condition [Individual],Experimental Condition [Treatment Timepoint],Experimental Condition [Treatment],Experimental Condition [Sampling Timepoint],Comment [Raw Data Capture],Comment [Field],Channels,Comment [Image File Type],Has Phenotype,Phenotype Annotation Level,Phenotype 1,Phenotype 1 Term Name,Phenotype 1 Term Accession,Phenotype 2,Phenotype 2 Term Name,Phenotype 2 Term Accession,Phenotype 3,Phenotype 4,Phenotype 4 Term Name,Phenotype 4 Term Accession,Phenotype 5,Phenotype 5 Term Name,Phenotype 5 Term Accession,Phenotype 6,Phenotype 7,Phenotype 8
TreatStartDay3_Control_Day3PostTreat_mouse67,Pos 04_all Ch_all TP_reg_crop.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 67,tumor,OVA expressing tumor,mouse 67,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,3 days after treatment start,part 1 of 1,5,RGB,processed,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day6PostTreat_mouse66,3.66.9-6.141020_15-41-29.00.pattern,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 66,tumor,OVA expressing tumor,mouse 66,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,6 days after treatment start,part 1 of 3,1,"BD2_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_RED:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei)",raw,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day6PostTreat_mouse66,3.66.9-6.141020_15-41-29.01.pattern,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 66,tumor,OVA expressing tumor,mouse 66,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,6 days after treatment start,part 1 of 3,2,"BD2_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_RED:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei)",raw,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day6PostTreat_mouse66,3.66.9-6.141020_15-41-29.02.pattern,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 66,tumor,OVA expressing tumor,mouse 66,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,6 days after treatment start,part 1 of 3,3,"BD2_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_RED:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei)",raw,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day6PostTreat_mouse66,3.66.9-6.141020_15-41-29.03.pattern,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 66,tumor,OVA expressing tumor,mouse 66,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,6 days after treatment start,part 1 of 3,4,"BD2_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_RED:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei)",raw,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day6PostTreat_mouse66,3.66.9-6.141020_15-41-29.04.pattern,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 66,tumor,OVA expressing tumor,mouse 66,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,6 days after treatment start,part 1 of 3,5,"BD2_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_RED:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei)",raw,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day6PostTreat_mouse66,3.66.9-6.141023_15-49-01.00.pattern,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 66,tumor,OVA expressing tumor,mouse 66,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,6 days after treatment start,part 2 of 3,1,"BD2_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_RED:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei)",raw,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day6PostTreat_mouse66,3.66.9-6.141023_15-49-01.01.pattern,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 66,tumor,OVA expressing tumor,mouse 66,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,6 days after treatment start,part 2 of 3,2,"BD2_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_RED:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei)",raw,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day6PostTreat_mouse66,3.66.9-6.141023_15-49-01.02.pattern,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 66,tumor,OVA expressing tumor,mouse 66,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,6 days after treatment start,part 2 of 3,3,"BD2_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_RED:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei)",raw,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day6PostTreat_mouse66,3.66.9-6.141023_15-49-01.03.pattern,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 66,tumor,OVA expressing tumor,mouse 66,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,6 days after treatment start,part 2 of 3,4,"BD2_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_RED:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei)",raw,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day6PostTreat_mouse66,3.66.9-6.141023_15-49-01.04.pattern,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 66,tumor,OVA expressing tumor,mouse 66,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,6 days after treatment start,part 2 of 3,5,"BD2_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_RED:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei)",raw,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day6PostTreat_mouse66,3.66.9-6.141020_17-15-27.00.pattern,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 66,tumor,OVA expressing tumor,mouse 66,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,6 days after treatment start,part 3 of 3,1,"BD2_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_RED:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei)",raw,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day6PostTreat_mouse66,3.66.9-6.141020_17-15-27.01.pattern,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 66,tumor,OVA expressing tumor,mouse 66,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,6 days after treatment start,part 3 of 3,2,"BD2_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_RED:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei)",raw,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day6PostTreat_mouse66,3.66.9-6.141020_17-15-27.02.pattern,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 66,tumor,OVA expressing tumor,mouse 66,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,6 days after treatment start,part 3 of 3,3,"BD2_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_RED:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei)",raw,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day6PostTreat_mouse66,3.66.9-6.141020_17-15-27.03.pattern,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 66,tumor,OVA expressing tumor,mouse 66,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,6 days after treatment start,part 3 of 3,4,"BD2_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_RED:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei)",raw,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day6PostTreat_mouse66,3.66.9-6.141020_17-15-27.04.pattern,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 66,tumor,OVA expressing tumor,mouse 66,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,6 days after treatment start,part 3 of 3,5,"BD2_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_RED:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei)",raw,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day6PostTreat_mouse66,Pos 00_all Ch_TP 0-36_reg_crop.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 66,tumor,OVA expressing tumor,mouse 66,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,6 days after treatment start,part 1 of 3,1,RGB,processed,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day6PostTreat_mouse66,Pos 01_all Ch_TP 0-36_registered_crop.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 66,tumor,OVA expressing tumor,mouse 66,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,6 days after treatment start,part 1 of 3,2,RGB,processed,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day6PostTreat_mouse66,Pos 02_all Ch_TP 0-36_registered_crop.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 66,tumor,OVA expressing tumor,mouse 66,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,6 days after treatment start,part 1 of 3,3,RGB,processed,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day6PostTreat_mouse66,Pos 03_all Ch_TP 0-36_registered_crop.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 66,tumor,OVA expressing tumor,mouse 66,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,6 days after treatment start,part 1 of 3,4,RGB,processed,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day6PostTreat_mouse66,Pos 04_all Ch_TP 0-36_registered_crop.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 66,tumor,OVA expressing tumor,mouse 66,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,6 days after treatment start,part 1 of 3,5,RGB,processed,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day6PostTreat_mouse66,Pos 00_all Ch_all TP_registered_cropped.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 66,tumor,OVA expressing tumor,mouse 66,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,6 days after treatment start,part 2 of 3,1,RGB,processed,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day6PostTreat_mouse66,Pos 01_all Ch_all TP_registered_cropped.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 66,tumor,OVA expressing tumor,mouse 66,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,6 days after treatment start,part 2 of 3,2,RGB,processed,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day6PostTreat_mouse66,Pos 02_all Ch_all TP_registered_cropped.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 66,tumor,OVA expressing tumor,mouse 66,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,6 days after treatment start,part 2 of 3,3,RGB,processed,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day6PostTreat_mouse66,Pos 03_all Ch_all TP_registered_cropped.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 66,tumor,OVA expressing tumor,mouse 66,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,6 days after treatment start,part 2 of 3,4,RGB,processed,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day6PostTreat_mouse66,Pos 04_all Ch_all TP_registered_cropped.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 66,tumor,OVA expressing tumor,mouse 66,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,6 days after treatment start,part 2 of 3,5,RGB,processed,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day6PostTreat_mouse66,Pos 00_all Ch_TP 0-30.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 66,tumor,OVA expressing tumor,mouse 66,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,6 days after treatment start,part 3 of 3,1,RGB,processed,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day6PostTreat_mouse66,Pos 01_all Ch_TP 0-30.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 66,tumor,OVA expressing tumor,mouse 66,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,6 days after treatment start,part 3 of 3,2,RGB,processed,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day6PostTreat_mouse66,Pos 02_all Ch_TP 0-30.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 66,tumor,OVA expressing tumor,mouse 66,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,6 days after treatment start,part 3 of 3,3,RGB,processed,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day6PostTreat_mouse66,Pos 03_all Ch_TP 0-30.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 66,tumor,OVA expressing tumor,mouse 66,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,6 days after treatment start,part 3 of 3,4,RGB,processed,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day6PostTreat_mouse66,Pos 04_all Ch_TP 0-30.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 66,tumor,OVA expressing tumor,mouse 66,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,6 days after treatment start,part 3 of 3,5,RGB,processed,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day6PostTreat_mouse67,3.67.9-6.141023_12-39-26.00.pattern,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 67,tumor,OVA expressing tumor,mouse 67,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,6 days after treatment start,part 1 of 1,1,"BD2_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_RED:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei)",raw,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day6PostTreat_mouse67,3.67.9-6.141023_12-39-26.01.pattern,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 67,tumor,OVA expressing tumor,mouse 67,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,6 days after treatment start,part 1 of 1,2,"BD2_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_RED:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei)",raw,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day6PostTreat_mouse67,3.67.9-6.141023_12-39-26.02.pattern,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 67,tumor,OVA expressing tumor,mouse 67,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,6 days after treatment start,part 1 of 1,3,"BD2_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_RED:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei)",raw,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day6PostTreat_mouse67,3.67.9-6.141023_12-39-26.03.pattern,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 67,tumor,OVA expressing tumor,mouse 67,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,6 days after treatment start,part 1 of 1,4,"BD2_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_RED:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei)",raw,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day6PostTreat_mouse67,3.67.9-6.141023_12-39-26.04.pattern,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 67,tumor,OVA expressing tumor,mouse 67,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,6 days after treatment start,part 1 of 1,5,"BD2_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_RED:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei)",raw,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day6PostTreat_mouse67,Pos 00_all Ch_all TP_reg_crop.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 67,tumor,OVA expressing tumor,mouse 67,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,6 days after treatment start,part 1 of 1,1,RGB,processed,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day6PostTreat_mouse67,Pos 01_all Ch_all TP_registered_crop.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 67,tumor,OVA expressing tumor,mouse 67,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,6 days after treatment start,part 1 of 1,2,RGB,processed,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day6PostTreat_mouse67,Pos 02_all Ch_all TP_registered_crop.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 67,tumor,OVA expressing tumor,mouse 67,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,6 days after treatment start,part 1 of 1,3,RGB,processed,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day6PostTreat_mouse67,Pos 03_all Ch_all TP_registered_crop.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 67,tumor,OVA expressing tumor,mouse 67,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,6 days after treatment start,part 1 of 1,4,RGB,processed,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day6PostTreat_mouse67,Pos 04_all Ch_all TP_registered_crop.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 67,tumor,OVA expressing tumor,mouse 67,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,6 days after treatment start,part 1 of 1,5,RGB,processed,,,,,,,,,,,,,,,,,,
TreatStartDay3_CTL_anti-CD137_Day3PostTreat_mouse49,3.49.6-3.140922_11-33-57.00.pattern,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 49,tumor,OVA expressing tumor,mouse 49,3 days after tumor inoculation,cytotoxic T lymphocytes + anti-CD137,3 days after treatment start,part 1 of 2,1,"BD2_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_DEEPR:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei);FD6_FDRED:SHG (collagen)",raw,yes,experimental condition,reduced tumor growth,decreased tumor growth/size,MP_0003447,reduced CTL speed,decreased cell movement speed,CMPO_0000240,increased CTL confinement,enhanced CTL killing,T cell mediated killing against a tumor cell phenotype,CMPO_0000449,enhanced CTL proliferation,proliferating cells,CMPO_0000241,enhanced CTL density,,
TreatStartDay3_CTL_anti-CD137_Day3PostTreat_mouse49,3.49.6-3.140922_11-33-57.01.pattern,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 49,tumor,OVA expressing tumor,mouse 49,3 days after tumor inoculation,cytotoxic T lymphocytes + anti-CD137,3 days after treatment start,part 1 of 2,2,"BD2_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_DEEPR:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei);FD6_FDRED:SHG (collagen)",raw,yes,experimental condition,reduced tumor growth,decreased tumor growth/size,MP_0003447,reduced CTL speed,decreased cell movement speed,CMPO_0000240,increased CTL confinement,enhanced CTL killing,T cell mediated killing against a tumor cell phenotype,CMPO_0000449,enhanced CTL proliferation,proliferating cells,CMPO_0000241,enhanced CTL density,,
TreatStartDay3_CTL_anti-CD137_Day3PostTreat_mouse49,3.49.6-3.140922_11-33-57.02.pattern,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 49,tumor,OVA expressing tumor,mouse 49,3 days after tumor inoculation,cytotoxic T lymphocytes + anti-CD137,3 days after treatment start,part 1 of 2,3,"BD2_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_DEEPR:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei);FD6_FDRED:SHG (collagen)",raw,yes,experimental condition,reduced tumor growth,decreased tumor growth/size,MP_0003447,reduced CTL speed,decreased cell movement speed,CMPO_0000240,increased CTL confinement,enhanced CTL killing,T cell mediated killing against a tumor cell phenotype,CMPO_0000449,enhanced CTL proliferation,proliferating cells,CMPO_0000241,enhanced CTL density,,
TreatStartDay3_CTL_anti-CD137_Day3PostTreat_mouse49,3.49.6-3.140922_11-33-57.03.pattern,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 49,tumor,OVA expressing tumor,mouse 49,3 days after tumor inoculation,cytotoxic T lymphocytes + anti-CD137,3 days after treatment start,part 1 of 2,4,"BD2_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_DEEPR:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei);FD6_FDRED:SHG (collagen)",raw,yes,experimental condition,reduced tumor growth,decreased tumor growth/size,MP_0003447,reduced CTL speed,decreased cell movement speed,CMPO_0000240,increased CTL confinement,enhanced CTL killing,T cell mediated killing against a tumor cell phenotype,CMPO_0000449,enhanced CTL proliferation,proliferating cells,CMPO_0000241,enhanced CTL density,,
TreatStartDay3_CTL_anti-CD137_Day3PostTreat_mouse49,3.49.6-3.140922_13-02-44.00.pattern,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 49,tumor,OVA expressing tumor,mouse 49,3 days after tumor inoculation,cytotoxic T lymphocytes + anti-CD137,3 days after treatment start,part 2 of 2,1,"BD2_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_DEEPR:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei);FD6_FDRED:SHG (collagen)",raw,yes,experimental condition,reduced tumor growth,decreased tumor growth/size,MP_0003447,reduced CTL speed,decreased cell movement speed,CMPO_0000240,increased CTL confinement,enhanced CTL killing,T cell mediated killing against a tumor cell phenotype,CMPO_0000449,enhanced CTL proliferation,proliferating cells,CMPO_0000241,enhanced CTL density,,
TreatStartDay3_CTL_anti-CD137_Day3PostTreat_mouse49,3.49.6-3.140922_13-02-44.01.pattern,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 49,tumor,OVA expressing tumor,mouse 49,3 days after tumor inoculation,cytotoxic T lymphocytes + anti-CD137,3 days after treatment start,part 2 of 2,2,"BD2_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_DEEPR:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei);FD6_FDRED:SHG (collagen)",raw,yes,experimental condition,reduced tumor growth,decreased tumor growth/size,MP_0003447,reduced CTL speed,decreased cell movement speed,CMPO_0000240,increased CTL confinement,enhanced CTL killing,T cell mediated killing against a tumor cell phenotype,CMPO_0000449,enhanced CTL proliferation,proliferating cells,CMPO_0000241,enhanced CTL density,,
