Compound Broad Identifier	Compound Broad Identifier Short	Compound Name	Compound Source	In Annotated Set	ChemBank Annotation	Entrez Annotation	GO Annotation	MeSH Annotation	Product Use Annotation	In Annotated and Active Set	Phenotype 1	Phenotype 2
BRD-A56884981-001-01-8	BRD-A56884981	11a-ACETOXYPROGESTERONE	MicroSource Discovery Systems Inc.									
BRD-A57536034-001-02-8	BRD-A57536034	5'-N-Ethylcarboxamidoadenosine (NECA)	Biomol International Inc.									
BRD-A57556180-001-02-8	BRD-A57556180	NILOTICIN	MicroSource Discovery Systems Inc.									
BRD-A58048407-001-06-3	BRD-A58048407	NIMODIPINE	Biomol International Inc.	yes			GO:0005245 (inhibits voltage-gated calcium channel activity)	MeSH:D007511 (Ischemia);MeSH:D013345 (Subarachnoid Hemorrhage)	UseClass:8099 (anti-ischemic)			
BRD-A58269583-001-02-0	BRD-A58269583	DEOXYANDIROBIN LACTONE	MicroSource Discovery Systems Inc.									
BRD-A58803929-001-02-9	BRD-A58803929	"2-METHYLENE-5-(2,5-DIOXOTETRAHYDROFURAN-3-YL)-6-OXO--10,10-DIMETHYLBICYCLO[7: 2: 0]UNDECANE"	MicroSource Discovery Systems Inc.									
BRD-A59174698-003-02-9	BRD-A59174698	RITODRINE HYDROCHLORIDE	MicroSource Discovery Systems Inc.									
BRD-A59215453-003-03-3	BRD-A59215453	Lobelanidine hydrochloride	Prestwick Chemical Inc.									
BRD-A59303141-001-03-9	BRD-A59303141	Quinethazone	Prestwick Chemical Inc.									
BRD-A60274948-066-02-9	BRD-A60274948	Bromocryptine mesylate	Prestwick Chemical Inc.									
BRD-A60583491-300-02-7	BRD-A60583491	Nitrarine dihydrochloride	Prestwick Chemical Inc.									
BRD-A61154809-001-04-3	BRD-A61154809	Gliclazide	Prestwick Chemical Inc.									
BRD-A61221616-001-02-7	BRD-A61221616	MEDROXYPROGESTERONE ACETATE	MicroSource Discovery Systems Inc.	yes					UseClass:8142 (contraceptive)			
BRD-A61793559-001-05-7	BRD-A61793559	Metolazone	Prestwick Chemical Inc.	yes		GeneID:6559 (inhibits SLC12A3)			UseClass:8153 (diuretic)			
BRD-A61864215-001-02-9	BRD-A61864215	"8-HYDROXY-15,16-BISNOR-11-LABDEN-13-ONE"	MicroSource Discovery Systems Inc.									
BRD-A62071884-001-03-8	BRD-A62071884	siguazodan	Biomol International Inc.									
BRD-A62129005-001-02-0	BRD-A62129005	TOTAROL	MicroSource Discovery Systems Inc.									
BRD-A62209527-001-02-9	BRD-A62209527	ZM226600	Biomol International Inc.									
BRD-A62336480-001-02-5	BRD-A62336480	NIGULDIPINE	Biomol International Inc.									
BRD-A62421304-004-05-6	BRD-A62421304	Mepenzolate bromide	Prestwick Chemical Inc.	yes					UseClass:8113 (cns agent)			
BRD-A62428732-096-02-6	BRD-A62428732	HYDROXYZINE PAMOATE	MicroSource Discovery Systems Inc.									
BRD-A62428732-300-03-0	BRD-A62428732	Hydroxyzine dihydrochloride	Prestwick Chemical Inc.									
BRD-A62525898-001-02-9	BRD-A62525898	PREDNISONE	MicroSource Discovery Systems Inc.	yes				MeSH:D007249 (Inflammation)	UseClass:8071 (anti-inflammatory)			
BRD-A62731508-001-03-3	BRD-A62731508	CORTISONE	MicroSource Discovery Systems Inc.									
BRD-A63894585-001-03-4	BRD-A63894585	Clobetasol propionate	Prestwick Chemical Inc.									
BRD-A64092382-003-04-3	BRD-A64092382	Mexiletine hydrochloride	Prestwick Chemical Inc.	yes				"MeSH:D001145 (Arrhythmias, Cardiac)"	UseClass:8090 (anti-arrhythmic)			
BRD-A64125466-236-02-0	BRD-A64125466	SODIUM DEHYDROCHOLATE	MicroSource Discovery Systems Inc.									
BRD-A64280577-003-02-3	BRD-A64280577	Fluorocurarine chloride	Prestwick Chemical Inc.									
BRD-A64374397-001-02-6	BRD-A64374397	PRIEURANIN ACETATE	MicroSource Discovery Systems Inc.									
BRD-A64485570-001-03-7	BRD-A64485570	Trifluridine	Prestwick Chemical Inc.									
BRD-A64523751-001-02-8	BRD-A64523751	MEXICANOLIDE	MicroSource Discovery Systems Inc.									
BRD-A65013509-003-03-8	BRD-A65013509	Oxybutynin chloride	Prestwick Chemical Inc.									
BRD-A65051990-001-03-8	BRD-A65051990	Acenocoumarol	Prestwick Chemical Inc.									
BRD-A65076780-001-02-1	BRD-A65076780	DIHYDROERGOCRISTINE	Biomol International Inc.									
BRD-A65280694-003-03-8	BRD-A65280694	Molindone hydrochloride	Prestwick Chemical Inc.									
BRD-A65440446-001-02-5	BRD-A65440446	CIMATEROL	Biomol International Inc.	yes			GO:0004939 (activates beta-adrenergic receptor activity)					
BRD-A65449987-001-02-1	BRD-A65449987	FLUNISOLIDE	MicroSource Discovery Systems Inc.	yes				MeSH:D006967 (Hypersensitivity);MeSH:D007249 (Inflammation)	UseClass:8077 (anti-allergy);UseClass:8071 (anti-inflammatory)			
BRD-A65671304-001-02-6	BRD-A65671304	CANDESARTAN CILEXTIL	MicroSource Discovery Systems Inc.									
BRD-A65739223-001-03-7	BRD-A65739223	Ramipril	Prestwick Chemical Inc.									
BRD-A65767837-001-02-8	BRD-A65767837	HYDROCORTISONE ACETATE	MicroSource Discovery Systems Inc.	yes				MeSH:D007249 (Inflammation)	UseClass:8077 (anti-allergy);UseClass:8071 (anti-inflammatory)			
BRD-A66025870-237-05-1	BRD-A66025870	Phenethicillin potassium salt	Prestwick Chemical Inc.	yes				MeSH:D001424 (Bacterial Infections)				
BRD-A66199457-001-02-2	BRD-A66199457	Asiaticoside	Prestwick Chemical Inc.									
BRD-A66481418-236-02-4	BRD-A66481418	OXACILLIN SODIUM	MicroSource Discovery Systems Inc.									
BRD-A66861218-001-02-7	BRD-A66861218	"BETAMETHASONE 17,21-DIPROPIONATE"	MicroSource Discovery Systems Inc.									
BRD-A66979321-001-02-1	BRD-A66979321	"3-CHLORO-8beta-HYDROXYCARAPIN, 3,8-HEMIACETAL"	MicroSource Discovery Systems Inc.									
BRD-A67479912-001-02-6	BRD-A67479912	PROGESTERONE	MicroSource Discovery Systems Inc.									
BRD-A67514145-003-03-3	BRD-A67514145	Furaltadone hydrochloride	Prestwick Chemical Inc.									
BRD-A67787745-001-02-5	BRD-A67787745	"1,3-DIDEACETYLKHIVORIN"	MicroSource Discovery Systems Inc.									
BRD-A67862938-034-05-7	BRD-A67862938	Nafronyl oxalate	Prestwick Chemical Inc.	yes	CBPROTID:1000385 (inhibits 5-hydroxytryptamine 2 receptor)				UseClass:8092 (vasodilator)			
BRD-A68039575-001-02-5	BRD-A68039575	LIQUIRITIGENIN DIMETHYL ETHER	MicroSource Discovery Systems Inc.									
BRD-A68281735-001-03-8	BRD-A68281735	REV-5901	Biomol International Inc.	yes		GeneID:240 (inhibits ALOX5);GeneID:10800 (inhibits CYSLTR1)						
BRD-A68723818-050-05-1	BRD-A68723818	Brompheniramine maleate	Prestwick Chemical Inc.									
BRD-A68930007-001-02-3	BRD-A68930007	OUABAIN	MicroSource Discovery Systems Inc.									
BRD-A69143712-001-02-8	BRD-A69143712	CEDRELONE	MicroSource Discovery Systems Inc.									
BRD-A69636825-003-02-1	BRD-A69636825	DILTIAZEM HYDROCHLORIDE	MicroSource Discovery Systems Inc.									
BRD-A69777949-001-05-1	BRD-A69777949	Flumequine	Prestwick Chemical Inc.	yes	CBPROTID:1000514 (inhibits DNA topoisomerase II)			MeSH:D001424 (Bacterial Infections)	UseClass:8103 (anti-infective agent);UseClass:8111 (antiseptic)			
BRD-A69786436-003-02-5	BRD-A69786436	EUCATROPINE HYDROCHLORIDE	MicroSource Discovery Systems Inc.	yes					UseClass:8124 (mydriatic)			
BRD-A69815203-001-04-3	BRD-A69815203	cyclosporin A	Biomol International Inc.									
BRD-A70083328-001-02-9	BRD-A70083328	SECNIDAZOLE	MicroSource Discovery Systems Inc.									
BRD-A70461345-003-02-2	BRD-A70461345	NALOXONE HYDROCHLORIDE	MicroSource Discovery Systems Inc.									
BRD-A70514680-003-03-9	BRD-A70514680	Articaine hydrochloride	Prestwick Chemical Inc.									
BRD-A71157293-003-03-5	BRD-A71157293	Fursultiamine Hydrochloride	Prestwick Chemical Inc.									
BRD-A71611160-001-02-7	BRD-A71611160	DEOXYGEDUNOL ACETATE	MicroSource Discovery Systems Inc.									
BRD-A71774530-001-01-8	BRD-A71774530	LUFENURON	MicroSource Discovery Systems Inc.									
BRD-A71816415-236-02-7	BRD-A71816415	PRAVASTATIN SODIUM	MicroSource Discovery Systems Inc.									
BRD-A72483914-001-01-1	BRD-A72483914	SPIROXATRINE	Biomol International Inc.									
BRD-A72988804-001-03-8	BRD-A72988804	Tiaprofenic acid	Prestwick Chemical Inc.									
BRD-A73368467-003-02-8	BRD-A73368467	FEXOFENADINE	MicroSource Discovery Systems Inc.									
BRD-A73559168-001-02-8	BRD-A73559168	8-HYDROXYCARAPINIC ACID	MicroSource Discovery Systems Inc.									
BRD-A73581086-001-01-3	BRD-A73581086	ERGONOVINE	Biomol International Inc.									
BRD-A74160776-001-02-8	BRD-A74160776	TROXERUTIN	MicroSource Discovery Systems Inc.									
BRD-A74208568-001-01-9	BRD-A74208568	CGP 54626	Biomol International Inc.									
BRD-A74269027-003-03-8	BRD-A74269027	Isoxsuprine hydrochloride	Prestwick Chemical Inc.									
BRD-A74610643-001-03-1	BRD-A74610643	Alclometasone dipropionate	Prestwick Chemical Inc.									
BRD-A74642112-001-01-0	BRD-A74642112	LIOTHYRONINE	MicroSource Discovery Systems Inc.	yes					UseClass:8143 (hormone therapy)			
BRD-A74667430-001-05-3	BRD-A74667430	Etodolac	Prestwick Chemical Inc.	yes		GeneID:5743 (inhibits PTGS2)		MeSH:D007249 (Inflammation);MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8071 (anti-inflammatory)			
BRD-A74904029-001-04-0	BRD-A74904029	DRB	Biomol International Inc.									
BRD-A74975734-004-02-4	BRD-A74975734	"Homatropine hydrobromide (R,S)"	Prestwick Chemical Inc.									
BRD-A74980173-001-02-8	BRD-A74980173	GATIFLOXACIN	MicroSource Discovery Systems Inc.									
BRD-A75024496-003-02-0	BRD-A75024496	ISOXSUPRINE HYDROCHLORIDE	MicroSource Discovery Systems Inc.									
BRD-A75140635-001-03-8	BRD-A75140635	SALSOLIDINE	MicroSource Discovery Systems Inc.									
BRD-A75140635-003-03-4	BRD-A75140635	"Isoquinoline, 6,7-dimethoxy-1-methyl-1,2, hydrochloride"	Prestwick Chemical Inc.									
BRD-A75172220-001-02-4	BRD-A75172220	HYDROCORTISONE	MicroSource Discovery Systems Inc.	yes				MeSH:D007249 (Inflammation)	UseClass:8071 (anti-inflammatory)			
BRD-A75552914-001-05-1	BRD-A75552914	Isoxicam	Prestwick Chemical Inc.	yes				MeSH:D005334 (Fever);MeSH:D007249 (Inflammation);MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8071 (anti-inflammatory);UseClass:8075 (anti-pyretic)			
BRD-A75726477-003-04-9	BRD-A75726477	Clenbuterol hydrochloride	Prestwick Chemical Inc.	yes		GeneID:154 (activates ADRB2)	GO:0004939 (activates beta-adrenergic receptor activity)		UseClass:8088 (bronchodilator);UseClass:8133 (smooth muscle relaxant)			
BRD-A75817871-001-02-6	BRD-A75817871	Blebbistatin	Biomol International Inc.	yes			GO:0006200 (inhibits ATP catabolic process);GO:0032060 (inhibits bleb assembly);GO:0016477 (inhibits cell migration);GO:0000916 (inhibits contractile ring contraction involved in cell cycle cytokinesis);GO:0000910 (inhibits cytokinesis);GO:0016905 (inhibits myosin heavy chain kinase activity)					
BRD-A75850590-003-05-6	BRD-A75850590	Lomefloxacin hydrochloride	Prestwick Chemical Inc.	yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)			
BRD-A76478388-236-02-4	BRD-A76478388	Novobiocin sodium salt	Prestwick Chemical Inc.									
BRD-A76899420-001-02-9	BRD-A76899420	QUERCITRIN	MicroSource Discovery Systems Inc.									
BRD-A76904477-003-02-5	BRD-A76904477	VESAMICOL HYDROCHLORIDE	MicroSource Discovery Systems Inc.	yes					UseClass:8132 (muscle relaxant (spasmolytic))			
BRD-A77164655-001-02-3	BRD-A77164655	DEOXYSAPPANONE B TRIMETHYL ETHER	MicroSource Discovery Systems Inc.									
BRD-A77291778-003-05-5	BRD-A77291778	Cyclopentolate hydrochloride	Prestwick Chemical Inc.	yes			GO:0004981 (inhibits muscarinic acetylcholine receptor activity)		UseClass:8124 (mydriatic);UseClass:8133 (smooth muscle relaxant)			
BRD-A78085235-236-02-0	BRD-A78085235	Fusidic acid sodium salt	Prestwick Chemical Inc.									
BRD-A78295502-337-03-5	BRD-A78295502	Hydroquinine hydrobromide hydrate	Prestwick Chemical Inc.									
BRD-A78303415-001-02-7	BRD-A78303415	HYOSCYAMINE	MicroSource Discovery Systems Inc.	yes				MeSH:D013035 (Spasm)	UseClass:8132 (muscle relaxant (spasmolytic))			
BRD-A78322124-003-03-3	BRD-A78322124	Dobutamine hydrochloride	Prestwick Chemical Inc.									
BRD-A78877355-003-03-6	BRD-A78877355	Nefopam hydrochloride	Prestwick Chemical Inc.	yes				MeSH:D003863 (Depression);MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8119 (anti-depressant);UseClass:8132 (muscle relaxant (spasmolytic))			
BRD-A79067928-001-02-7	BRD-A79067928	etoposide	Biomol International Inc.									
BRD-A79226577-003-01-1	BRD-A79226577	Tropisetron HCl	Prestwick Chemical Inc.									
BRD-A79672927-001-05-8	BRD-A79672927	Tropicamide	Prestwick Chemical Inc.	yes			GO:0004981 (inhibits muscarinic acetylcholine receptor activity)		UseClass:8124 (mydriatic)			
BRD-A79981887-003-05-7	BRD-A79981887	Midodrine hydrochloride	Prestwick Chemical Inc.	yes			GO:0004937 (activates alpha1-adrenergic receptor activity)	MeSH:D007022 (Hypotension)	UseClass:8094 (vasoconstrictor)			
BRD-A80017228-001-05-9	BRD-A80017228	Bendroflumethiazide	Prestwick Chemical Inc.	yes					UseClass:8153 (diuretic)			
BRD-A80079592-001-02-4	BRD-A80079592	NORSTICTIC ACID	MicroSource Discovery Systems Inc.									
BRD-A80151636-066-02-2	BRD-A80151636	BROMOCRIPTINE MESYLATE	MicroSource Discovery Systems Inc.	yes		GeneID:1813 (activates DRD2)	GO:0004925 (inhibits prolactin receptor activity)	MeSH:D010300 (Parkinson Disease)	UseClass:8137 (anti-oxidant)			
BRD-A80594172-001-02-0	BRD-A80594172	BETAMETHASONE VALERATE	MicroSource Discovery Systems Inc.									
BRD-A80871782-004-01-0	BRD-A80871782	HYDROXYAMPHETAMINE HYDROBROMIDE	MicroSource Discovery Systems Inc.									
BRD-A80908310-003-05-4	BRD-A80908310	Cloperastine hydrochloride	Prestwick Chemical Inc.	yes				MeSH:D003371 (Cough)	UseClass:8072 (anti-histamine);UseClass:8085 (anti-tussive)			
BRD-A81177136-001-04-4	BRD-A81177136	KN-62	Biomol International Inc.									
BRD-A82329351-001-02-2	BRD-A82329351	cycloheximide-N-ethylethanoate	Biomol International Inc.									
BRD-A82396632-001-03-0	BRD-A82396632	Miconazole	Prestwick Chemical Inc.	yes				MeSH:D009181 (Mycoses)	UseClass:8105 (anti-fungal)			
BRD-A82396632-008-02-7	BRD-A82396632	MICONAZOLE NITRATE	MicroSource Discovery Systems Inc.	yes				MeSH:D009181 (Mycoses)	UseClass:8105 (anti-fungal)			
BRD-A82843133-001-01-9	BRD-A82843133	(+ -)-2-(N-PHENYLETHYL-N-PROPYL)AMINO-5-HYDROXYTETRALIN)	Biomol International Inc.									
BRD-A83177971-001-02-4	BRD-A83177971	COMPACTIN	MicroSource Discovery Systems Inc.									
BRD-A83392615-001-01-3	BRD-A83392615	11alpha-ACETOXYKHIVORIN	MicroSource Discovery Systems Inc.									
BRD-A83613346-001-02-6	BRD-A83613346	ESTRADIOL METHYL ETHER	MicroSource Discovery Systems Inc.									
BRD-A83859836-001-01-4	BRD-A83859836	TROPISETRON	Biomol International Inc.	yes	CBPROTID:1000421 (inhibits 5-hydroxytryptamine 3 receptor)			MeSH:D009325 (Nausea);MeSH:D014839 (Vomiting)	UseClass:8125 (gastrointestinal agent)			
BRD-A83937277-001-03-0	BRD-A83937277	Mephenytoin	Prestwick Chemical Inc.	yes				MeSH:D012640 (Seizures)	UseClass:8121 (anti-convulsant)			
BRD-A84020532-001-03-5	BRD-A84020532	Nifurtimox	Prestwick Chemical Inc.									
BRD-A84174393-001-02-0	BRD-A84174393	MELOXICAM	MicroSource Discovery Systems Inc.	yes		GeneID:5743 (inhibits PTGS2)	GO:0008283 (inhibits cell proliferation);GO:0006954 (inhibits inflammatory response);GO:0004666 (inhibits prostaglandin-endoperoxide synthase activity)					
BRD-A84174873-001-05-2	BRD-A84174873	(+ -)-BACLOFEN	Biomol International Inc.	yes		GeneID:2550 (activates GABBR1)	GO:0004965 (activates GABA-B receptor activity);GO:0006813 (activates potassium ion transport)	MeSH:D013035 (Spasm)	UseClass:8132 (muscle relaxant (spasmolytic))			
BRD-A84189249-001-02-4	BRD-A84189249	MADECASSIC ACID	MicroSource Discovery Systems Inc.									
BRD-A84205515-001-02-5	BRD-A84205515	ESTRIOL METHYL ETHER	MicroSource Discovery Systems Inc.									
BRD-A84389633-001-01-6	BRD-A84389633	"TROPANYL 3,5-DIMETHYLBENZOATE"	Biomol International Inc.									
BRD-A84493640-001-03-3	BRD-A84493640	Atovaquone	Prestwick Chemical Inc.									
BRD-A84689408-001-02-0	BRD-A84689408	AVERMECTIN B1	MicroSource Discovery Systems Inc.									
BRD-A84867566-001-02-0	BRD-A84867566	NEOHESPERIDIN DIHYDROCHALCONE	MicroSource Discovery Systems Inc.									
BRD-A84913188-001-02-0	BRD-A84913188	DEHYDROROTENONE	MicroSource Discovery Systems Inc.									
BRD-A84941884-001-02-8	BRD-A84941884	Condelphine	Prestwick Chemical Inc.									
BRD-A85587465-001-01-7	BRD-A85587465	MDL-72222	Biomol International Inc.									
BRD-A85651701-001-03-1	BRD-A85651701	CLOPAMIDE	MicroSource Discovery Systems Inc.	yes				MeSH:D006973 (Hypertension)	UseClass:8091 (anti-hypertensive);UseClass:8153 (diuretic)			
BRD-A86550573-001-01-3	BRD-A86550573	"1,2alpha-EPOXY-7-DEACETOXY-7-OXODIHYDROGEDUNIN"	MicroSource Discovery Systems Inc.									
BRD-A86977540-001-02-6	BRD-A86977540	TETRAHYDROTRIMETHYLHISPIDIN	MicroSource Discovery Systems Inc.									
BRD-A87445400-003-02-8	BRD-A87445400	YOHIMBINE HYDROCHLORIDE	MicroSource Discovery Systems Inc.	yes			GO:0030103 (activates vasopressin secretion);GO:0004938 (inhibits alpha2-adrenergic receptor activity)	MeSH:D003863 (Depression);MeSH:D007022 (Hypotension)	UseClass:8082 (anesthetic);UseClass:8119 (anti-depressant);UseClass:8089 (cardiovascular agent)			
BRD-A87715314-003-05-2	BRD-A87715314	Pronethalol hydrochloride	Prestwick Chemical Inc.	yes			GO:0004939 (inhibits beta-adrenergic receptor activity)					
BRD-A87719232-001-02-4	BRD-A87719232	Naproxen	Prestwick Chemical Inc.									
BRD-A88254928-001-04-6	BRD-A88254928	Salbutamol	Prestwick Chemical Inc.	yes			GO:0004939 (activates beta-adrenergic receptor activity);GO:0004940 (activates beta1-adrenergic receptor activity);GO:0004941 (activates beta2-adrenergic receptor activity)	MeSH:D001249 (Asthma);MeSH:D007249 (Inflammation)	UseClass:8078 (anti-asthmatic);UseClass:8071 (anti-inflammatory);UseClass:8088 (bronchodilator);UseClass:8132 (muscle relaxant (spasmolytic))			
BRD-A88548664-001-02-3	BRD-A88548664	SKF 38393	Biomol International Inc.									
BRD-A89237309-001-02-3	BRD-A89237309	VULPINIC ACID	MicroSource Discovery Systems Inc.	yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial);UseClass:8146 (herbicide)			
BRD-A89585551-003-03-4	BRD-A89585551	Mefloquine hydrochloride	Prestwick Chemical Inc.	yes				MeSH:D008288 (Malaria)	UseClass:8110 (anti-malarial)			
BRD-A89672324-001-01-4	BRD-A89672324	CGP 55845	Biomol International Inc.									
BRD-A89846380-001-02-3	BRD-A89846380	Ajmaline	Prestwick Chemical Inc.									
BRD-A90131694-001-01-0	BRD-A90131694	ALCLOMETAZONE DIPROPIONATE	MicroSource Discovery Systems Inc.									
BRD-A90249268-001-03-2	BRD-A90249268	ALPINETIN METHYL ETHER	MicroSource Discovery Systems Inc.									
BRD-A90515964-001-05-8	BRD-A90515964	Guaifenesin	Prestwick Chemical Inc.	yes				MeSH:D001249 (Asthma);MeSH:D003371 (Cough);MeSH:D014985 (Xerophthalmia)	UseClass:8078 (anti-asthmatic);UseClass:8085 (anti-tussive);UseClass:8087 (expectorant)			
BRD-A90550479-050-02-7	BRD-A90550479	ERGONOVINE MALEATE	MicroSource Discovery Systems Inc.									
BRD-A90799790-001-03-3	BRD-A90799790	Isradipine	Prestwick Chemical Inc.									
BRD-A90969585-001-02-3	BRD-A90969585	ESTRONE BENZOATE	MicroSource Discovery Systems Inc.									
BRD-A91452556-001-02-4	BRD-A91452556	ESTRADIOL CYPIONATE	MicroSource Discovery Systems Inc.	yes					UseClass:8141 (hormonal agent)			
BRD-A91702150-236-02-4	BRD-A91702150	"ESTRADIOL-3-SULFATE, SODIUM SALT"	MicroSource Discovery Systems Inc.	yes					UseClass:8141 (hormonal agent)			
BRD-A92439610-001-02-4	BRD-A92439610	TRIAMCINOLONE ACETONIDE	MicroSource Discovery Systems Inc.	yes			GO:0008219 (activates cell death)	"MeSH:D001249 (Asthma);MeSH:D001528 (Behcet Syndrome);MeSH:D003930 (Diabetic Retinopathy);MeSH:D008269 (Macular Edema);""MeSH:D009879 (Ophthalmia, Sympathetic)"";MeSH:D012170 (Retinal Vein Occlusion)"				
BRD-A92537424-001-02-1	BRD-A92537424	DANAZOL	MicroSource Discovery Systems Inc.	yes				MeSH:D004715 (Endometriosis);MeSH:D008595 (Menorrhagia);MeSH:D011293 (Premenstrual Syndrome)				
BRD-A92593740-001-02-1	BRD-A92593740	CRASSIN ACETATE	MicroSource Discovery Systems Inc.									
BRD-A92651262-003-02-1	BRD-A92651262	NALBUPHINE HYDROCHLORIDE	MicroSource Discovery Systems Inc.									
BRD-A92670106-003-03-9	BRD-A92670106	Tocainide hydrochloride	Prestwick Chemical Inc.									
BRD-A92826379-009-02-6	BRD-A92826379	LUPANINE PERCHLORATE	MicroSource Discovery Systems Inc.									
BRD-A93000692-001-02-4	BRD-A93000692	CIGLITAZONE	Biomol International Inc.	yes		GeneID:5468 (activates PPARG)		MeSH:D001161 (Arteriosclerosis);MeSH:D044882 (Glucose Metabolism Disorders)	UseClass:8089 (cardiovascular agent)			
BRD-A93353767-001-03-5	BRD-A93353767	Isoconazole	Prestwick Chemical Inc.									
BRD-A93424738-001-02-2	BRD-A93424738	DEXAMETHASONE ACETATE	MicroSource Discovery Systems Inc.									
BRD-A93572202-001-02-5	BRD-A93572202	MUNDULONE	MicroSource Discovery Systems Inc.									
BRD-A94366206-001-02-7	BRD-A94366206	TOTAROL ACETATE	MicroSource Discovery Systems Inc.									
BRD-A94543220-001-02-3	BRD-A94543220	BIFONAZOLE	MicroSource Discovery Systems Inc.									
BRD-A94624445-236-02-2	BRD-A94624445	dibutyrylcyclic AMP	Biomol International Inc.	yes			GO:0004691 (activates cAMP-dependent protein kinase activity)					
BRD-A94669766-001-04-2	BRD-A94669766	Naringenine	Prestwick Chemical Inc.									
BRD-A94709349-001-02-6	BRD-A94709349	METAXALONE	MicroSource Discovery Systems Inc.									
BRD-A95096829-300-01-4	BRD-A95096829	PNU 96415E	Biomol International Inc.									
BRD-A95207036-001-02-8	BRD-A95207036	CYPROTERONE ACETATE	MicroSource Discovery Systems Inc.	yes		GeneID:367 (inhibits AR)			UseClass:8144 (hormone antagonist)			
BRD-A95445494-001-03-7	BRD-A95445494	MAACKIAIN	MicroSource Discovery Systems Inc.									
BRD-A95513702-001-02-2	BRD-A95513702	"ANDROSTA-1,4-DIEN-3,17-DIONE"	MicroSource Discovery Systems Inc.									
BRD-A95580639-001-02-9	BRD-A95580639	cycloheximide	Biomol International Inc.									
BRD-A95869247-001-04-6	BRD-A95869247	Indapamide	Prestwick Chemical Inc.	yes				MeSH:D006973 (Hypertension)	UseClass:8091 (anti-hypertensive);UseClass:8153 (diuretic)			
BRD-A95939040-008-03-3	BRD-A95939040	Sertaconazole nitrate	Prestwick Chemical Inc.									
BRD-A96485169-001-02-8	BRD-A96485169	ETHYL 1-BENZYL-3-HYDROXY- 2-OXO[5H]PYRROLE-4-CARBOXYLATE	MicroSource Discovery Systems Inc.									
BRD-A96820077-008-02-2	BRD-A96820077	Ungerine nitrate	Prestwick Chemical Inc.									
BRD-A96897502-001-02-0	BRD-A96897502	U-74389G	Biomol International Inc.	yes					UseClass:8137 (anti-oxidant)			
BRD-A97046705-001-02-8	BRD-A97046705	"7-DESACETOXY-6,7-DEHYDROGEDUNIN"	MicroSource Discovery Systems Inc.									
BRD-A97104540-004-04-4	BRD-A97104540	Fenoterol hydrobromide	Prestwick Chemical Inc.	yes		GeneID:154 (activates ADRB2)	GO:0004939 (activates beta-adrenergic receptor activity)		UseClass:8088 (bronchodilator)			
BRD-A97437073-001-02-3	BRD-A97437073	ROSIGLITAZONE	MicroSource Discovery Systems Inc.	yes		GeneID:19016 (activates Pparg);GeneID:5468 (activates PPARG)	GO:0045444 (activates fat cell differentiation);GO:0046323 (activates glucose import);GO:0070541 (affects response to platinum ion)	"MeSH:D003924 (Diabetes Mellitus, Type 2);MeSH:D005234 (Fatty Liver);MeSH:D011085 (Polycystic Ovary Syndrome)"				
BRD-A97479839-003-05-9	BRD-A97479839	Piperidolate hydrochloride	Prestwick Chemical Inc.	yes				MeSH:D010146 (Pain)	UseClass:8081 (analgesic)			
BRD-A97674275-001-01-9	BRD-A97674275	RANOLAZINE	MicroSource Discovery Systems Inc.									
BRD-A97701745-001-05-3	BRD-A97701745	Pindolol	Prestwick Chemical Inc.	yes		GeneID:154 (inhibits ADRB2);GeneID:155 (inhibits ADRB3)	GO:0004939 (inhibits beta-adrenergic receptor activity)		UseClass:8092 (vasodilator)			
BRD-A97730597-003-03-2	BRD-A97730597	Hexylcaine hydrochloride	Prestwick Chemical Inc.									
BRD-A97739905-001-05-9	BRD-A97739905	Ketoprofen	Prestwick Chemical Inc.	yes				MeSH:D007249 (Inflammation);MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8071 (anti-inflammatory)			
BRD-A98299281-050-04-7	BRD-A98299281	"Hydroxytacrine maleate (R,S)"	Prestwick Chemical Inc.	yes			GO:0004104 (inhibits cholinesterase activity)	MeSH:D010300 (Parkinson Disease)				
BRD-A98431941-003-02-1	BRD-A98431941	"EPHEDRINE (1R,2S) HYDROCHLORIDE"	MicroSource Discovery Systems Inc.									
BRD-A98490861-001-02-7	BRD-A98490861	DEOXODEOXYDIHYDROGEDUNIN	MicroSource Discovery Systems Inc.									
BRD-A98888138-001-02-9	BRD-A98888138	"DEHYDRO (11,12)URSOLIC ACID LACTONE"	MicroSource Discovery Systems Inc.									
BRD-A99177642-001-02-5	BRD-A99177642	Deltaline	Prestwick Chemical Inc.									
BRD-A99268498-001-03-5	BRD-A99268498	EVOXINE	MicroSource Discovery Systems Inc.									
BRD-A99402294-236-02-0	BRD-A99402294	NAFCILLIN SODIUM	MicroSource Discovery Systems Inc.	yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)			
BRD-A99571536-001-04-4	BRD-A99571536	Dubinidine	Prestwick Chemical Inc.									
