ORF Identifier	Gene Identifier	Gene Symbol	Scored As Nuclear Foci At Initial Stage	Subcellular Localization Based On Secondary Screening	Scored Subcellular Localization By Secondary Screening	Has Phenotype	Phenotype Annotation Level	Phenotype 1	Phenotype 2	Phenotype 3	Phenotype 4	Phenotype 5	Phenotype 6	Phenotype 7	Phenotype 8
6670	3134	HLA-F	no	no											
12127	3134	HLA-F	no	no											
1353	3135	HLA-G	no	no											
2670	3140	MR1	no	no											
10884	3141	HLCS	no	no											
5274	3142	HLX	no	no											
2803	3145	HMBS	no	no											
56	3146	HMGB1	no	no											
10977	3146	HMGB1	no	no											
41	3148	HMGB2	no	no											
6079	3148	HMGB2	no	no											
14649	3149	HMGB3	no	no											
3615	3150	HMGN1	no	no											
6513	3151	HMGN2	no	no											
2888	3155	HMGCL	no	no											
9934	3156	HMGCR	no	no											
4041	3159	HMGA1	no	no											
4996	3159	HMGA1	no	no											
52873	3161	HMMR	no	no											
55879	3161	HMMR	no	no											
5926	3162	HMOX1	no	no											
3970	3163	HMOX2	no	no											
292	3164	NR4A1	no	no											
54980	3167	HMX2	no	no											
2031	3169	FOXA1	no	no											
187	3171	FOXA3	no	no											
9025	3176	HNMT	no	no											
13091	3176	HNMT	no	no											
3036	3177	SLC29A2	no	no											
3975	3178	HNRNPA1	no	no											
56774	3178	HNRNPA1	no	no											
3981	3181	HNRNPA2B1	no	no											
4060	3182	HNRNPAB	no	no											
916	3183	HNRNPC	no	no											
4585	3183	HNRNPC	no	no											
5594	3183	HNRNPC	no	no											
5761	3183	HNRNPC	no	no											
12425	3184	HNRNPD	no	no											
4296	3185	HNRNPF	no	no											
7437	3185	HNRNPF	no	no											
7507	3185	HNRNPF	no	no											
53339	3188	HNRNPH2	no	no											
54741	3188	HNRNPH2	no	no											
4706	3190	HNRNPK	no	no											
7642	3190	HNRNPK	no	no											
4936	3196	TLX2	no	no											
10057	3198	HOXA1	no	no											
54903	3199	HOXA2	no	no											
160	3200	HOXA3	no	no											
615	3202	HOXA5	no	no											
13894	3203	HOXA6	no	no											
5870	3205	HOXA9	no	no											
14955	3206	HOXA10	no	no											
55783	3211	HOXB1	no	no											
54030	3215	HOXB5	no	no											
7162	3216	HOXB6	no	no											
1029	3217	HOXB7	no	no											
6243	3219	HOXB9	no	no											
11579	3221	HOXC4	no	no											
11938	3225	HOXC9	no	no											
1844	3226	HOXC10	no	no											
2428	3227	HOXC11	no	no											
4373	3232	HOXD3	no	no											
13989	3236	HOXD10	no	no											
56751	3238	HOXD12	no	no											
13289	3240	HP	no	no											
56769	3240	HP	no	no											
730	3241	HPCAL1	no	no											
12735	3242	HPD	no	no											
7012	3248	HPGD	no	no											
8399	3249	HPN	no	no											
7982	3251	HPRT1	no	no											
8556	3257	HPS1	no	no											
5566	3263	HPX	no	no											
1558	3267	AGFG1	no	no											
55835	3267	AGFG1	no	no											
7823	3268	AGFG2	no	no											
9103	3268	AGFG2	no	no											
56164	3270	HRC	no	no											
3556	3275	PRMT2	no	no											
56119	3276	PRMT1	no	no											
4648	3281	HSBP1	no	no											
8053	3283	HSD3B1	no	no											
9429	3284	HSD3B2	no	no											
6399	3290	HSD11B1	no	no											
9418	3293	HSD17B3	no	no											
6494	3294	HSD17B2	no	no											
3426	3295	HSD17B4	no	no											
5981	3297	HSF1	no	no											
8997	3298	HSF2	no	no											
56653	3298	HSF2	no	no											
6133	3300	DNAJB2	no	no											
11094	3300	DNAJB2	no	no											
2692	3301	DNAJA1	no	no											
6708	3303	HSPA1A	no	no											
1380	3305	HSPA1L	no	no											
2170	3306	HSPA2	no	no											
3401	3306	HSPA2	no	no											
9141	3308	HSPA4	no	no											
54334	3308	HSPA4	no	no											
10186	3310	HSPA6	no	no											
289	3312	HSPA8	no	no											
5257	3312	HSPA8	no	no											
8196	3312	HSPA8	no	no											
5346	3313	HSPA9	no	no											
618	3315	HSPB1	no	no											
53113	3316	HSPB2	no	no											
8199	3320	HSP90AA1	no	no											
53186	3320	HSP90AA1	no	no											
56677	3320	HSP90AA1	no	no											
4262	3326	HSP90AB1	no	no											
5862	3326	HSP90AB1	no	no											
3833	3329	HSPD1	no	no											
13767	3329	HSPD1	no	no											
3195	3337	DNAJB1	no	no											
6975	3338	DNAJC4	no	no											
10713	3338	DNAJC4	no	no											
671	3340	NDST1	no	no											
10879	3344	FOXN2	no	no											
6416	3347	HTN3	no	no											
55795	3351	HTR1B	no	no											
4968	3352	HTR1D	no	no											
14033	3354	HTR1E	no	no											
13946	3356	HTR2A	no	no											
13384	3357	HTR2B	no	no											
3803	3359	HTR3A	no	no											
53606	3361	HTR5A	no	no											
5599	3364	HUS1	no	no											
53256	3371	TNC	no	no											
10189	3373	HYAL1	no	no											
2835	3382	ICA1	no	no											
5776	3382	ICA1	no	no											
5931	3383	ICAM1	no	no											
3429	3384	ICAM2	no	no											
3524	3386	ICAM4	no	no											
54446	3394	IRF8	no	no											
1044	3396	ICT1	no	no											
604	3397	ID1	no	no											
1362	3398	ID2	no	no											
3761	3399	ID3	no	no											
55889	3416	IDE	no	no											
659	3417	IDH1	no	no											
6011	3418	IDH2	no	no											
5847	3419	IDH3A	no	no											
3682	3420	IDH3B	no	no											
910	3421	IDH3G	no	no											
3758	3421	IDH3G	no	no											
5576	3422	IDI1	no	no											
5655	3422	IDI1	no	no											
7421	3422	IDI1	no	no											
5088	3423	IDS	no	no											
13065	3426	CFI	no	no											
803	3428	IFI16	no	no											
806	3429	IFI27	no	no											
7855	3431	SP110	no	no											
1618	3433	IFIT2	no	no											
5803	3434	IFIT1	no	no											
3881	3437	IFIT3	no	no											
6763	3437	IFIT3	no	no											
13837	3443	IFNA6	no	no											
13841	3446	IFNA10	no	no											
13830	3447	IFNA13	no	no											
13822	3452	IFNA21	no	no											
8111	3454	IFNAR1	no	no											
4115	3455	IFNAR2	no	no											
55762	3456	IFNB1	no	no											
14932	3458	IFNG	no	no											
5597	3459	IFNGR1	no	no											
2766	3475	IFRD1	no	no											
55174	3480	IGF1R	no	no											
55175	3480	IGF1R	no	no											
5345	3481	IGF2	no	no											
7264	3487	IGFBP4	no	no											
2922	3488	IGFBP5	no	no											
712	3491	CYR61	no	no											
7802	3495	IGHD	no	no											
13757	3495	IGHD	no	no											
4999	3500	IGHG1	no	no											
6280	3500	IGHG1	no	no											
7321	3500	IGHG1	no	no											
7344	3500	IGHG1	no	no											
7638	3500	IGHG1	no	no											
12639	3500	IGHG1	no	no											
12721	3500	IGHG1	no	no											
13651	3500	IGHG1	no	no											
13728	3500	IGHG1	no	no											
13766	3500	IGHG1	no	no											
13778	3500	IGHG1	no	no											
3751	3507	IGHM	no	no											
3766	3507	IGHM	no	no											
5845	3507	IGHM	no	no											
6665	3507	IGHM	no	no											
7024	3507	IGHM	no	no											
7661	3507	IGHM	no	no											
7744	3507	IGHM	no	no											
7861	3507	IGHM	no	no											
7872	3507	IGHM	no	no											
10295	3512	IGJ	no	no											
13203	3514	IGKC	no	no											
13309	3514	IGKC	no	no											
13737	3514	IGKC	no	no											
55474	3514	IGKC	no	no											
14737	3516	RBPJ	no	no											
9601	3537	IGL@	no	no											
9668	3537	IGL@	no	no											
13184	3537	IGL@	no	no											
4994	3537	IGLC1	no	no											
7194	3538	IGL@	no	no											
13532	3538	IGL@	no	no											
2632	3543	IGLL1	no	no											
8422	3549	IHH	no	no											
3049	3552	IL1A	no	no											
3059	3553	IL1B	no	no											
14580	3554	IL1R1	no	no											
11926	3556	IL1RAP	no	no											
6164	3557	IL1RN	no	no											
14594	3558	IL2	no	no											
8345	3560	IL2RB	no	no											
7651	3561	IL2RG	no	no											
13807	3562	IL3	no	no											
14573	3565	IL4	no	no											
694	3569	IL6	no	no											
55007	3570	IL6R	no	no											
55009	3570	IL6R	no	no											
54250	3572	IL6ST	no	no											
11534	3574	IL7	no	no											
14577	3575	IL7R	no	no											
687	3576	IL8	no	no											
9591	3577	CXCR1	no	no											
14576	3578	IL9	no	no											
10160	3579	CXCR2	no	no											
13648	3581	IL9R	no	no											
53065	3586	IL10	no	no											
9496	3587	IL10RA	no	no											
3773	3588	IL10RB	no	no											
1111	3589	IL11	no	no											
3405	3590	IL11RA	no	no											
14586	3593	IL12B	no	no											
8480	3594	IL12RB1	no	no											
55758	3596	IL13	no	no											
6829	3597	IL13RA1	no	no											
7669	3597	IL13RA1	no	no											
9769	3598	IL13RA2	no	no											
2499	3600	IL15	no	no											
8787	3603	IL16	no	no											
4445	3604	TNFRSF9	no	no											
14604	3605	IL17A	no	no											
14612	3605	IL17A	no	no											
5475	3606	IL18	no	no											
3162	3608	ILF2	no	no											
2430	3611	ILK	no	no											
5570	3612	IMPA1	no	no											
6214	3612	IMPA1	no	no											
5899	3613	IMPA2	no	no											
15040	3613	IMPA2	no	no											
2442	3615	IMPDH2	no	no											
54232	3617	IMPG1	no	no											
8326	3620	IDO1	no	no											
12445	3622	ING2	no	no											
4942	3623	INHA	no	no											
5187	3624	INHBA	no	no											
54720	3626	INHBC	no	no											
6354	3627	CXCL10	no	no											
469	3628	INPP1	no	no											
5628	3630	INS	no	no											
1603	3631	INPP4A	no	no											
55844	3632	INPP5A	no	no											
53687	3635	INPP5D	no	no											
53689	3635	INPP5D	no	no											
3794	3638	INSIG1	no	no											
52601	3640	INSL3	no	no											
13144	3641	INSL4	no	no											
55199	3643	INSR	no	no											
5759	3646	EIF3E	no	no											
6072	3646	EIF3E	no	no											
7523	3646	EIF3E	no	no											
10001	3652	IPP	no	no											
7716	3654	IRAK1	no	no											
56808	3656	IRAK2	no	no											
12848	3658	IREB2	no	no											
54180	3658	IREB2	no	no											
285	3660	IRF2	no	no											
6832	3661	IRF3	no	no											
7597	3662	IRF4	no	no											
4740	3663	IRF5	no	no											
2399	3664	IRF6	no	no											
11939	3667	IRS1	no	no											
5210	3669	ISG20	no	no											
9133	3669	ISG20	no	no											
2215	3670	ISL1	no	no											
1167	3671	ISLR	no	no											
54203	3674	ITGA2B	no	no											
14620	3676	ITGA4	no	no											
4778	3678	ITGA5	no	no											
8247	3680	ITGA9	no	no											
53638	3682	ITGAE	no	no											
4540	3683	ITGAL	no	no											
55903	3684	ITGAM	no	no											
10181	3687	ITGAX	no	no											
850	3688	ITGB1	no	no											
4765	3689	ITGB2	no	no											
56916	3690	ITGB3	no	no											
5998	3692	EIF6	no	no											
5834	3693	ITGB5	no	no											
56820	3694	ITGB6	no	no											
4086	3696	ITGB8	no	no											
55008	3698	ITIH2	no	no											
52897	3699	ITIH3	no	no											
53009	3702	ITK	no	no											
3105	3703	STT3A	no	no											
6905	3704	ITPA	no	no											
644	3705	ITPK1	no	no											
4737	3705	ITPK1	no	no											
7688	3707	ITPKB	no	no											
6146	3712	IVD	no	no											
14509	3713	IVL	no	no											
54997	3716	JAK1	no	no											
9468	3718	JAK3	no	no											
55361	3720	JARID2	no	no											
5109	3725	JUN	no	no											
4265	3726	JUNB	no	no											
6516	3726	JUNB	no	no											
7110	3728	JUP	no	no											
4729	3732	CD82	no	no											
6080	3735	KARS	no	no											
11329	3737	KCNA2	no	no											
2352	3738	KCNA3	no	no											
55915	3741	KCNA5	no	no											
13954	3742	KCNA6	no	no											
52912	3746	KCNC1	no	no											
10458	3750	KCND1	no	no											
52870	3751	KCND2	no	no											
53613	3752	KCND3	no	no											
53615	3752	KCND3	no	no											
2013	3753	KCNE1	no	no											
4954	3755	KCNG1	no	no											
53908	3756	KCNH1	no	no											
1250	3760	KCNJ3	no	no											
53759	3761	KCNJ4	no	no											
13916	3762	KCNJ5	no	no											
1240	3766	KCNJ10	no	no											
56678	3766	KCNJ10	no	no											
56145	3767	KCNJ11	no	no											
11133	3768	KCNJ12	no	no											
1642	3769	KCNJ13	no	no											
6281	3772	KCNJ15	no	no											
1204	3775	KCNK1	no	no											
14834	3778	KCNMA1	no	no											
8300	3779	KCNMB1	no	no											
14129	3781	KCNN2	no	no											
54223	3781	KCNN2	no	no											
13559	3782	KCNN3	no	no											
1069	3783	KCNN4	no	no											
53723	3784	KCNQ1	no	no											
8836	3785	KCNQ2	no	no											
8254	3788	KCNS2	no	no											
274	3790	KCNS3	no	no											
3900	3790	KCNS3	no	no											
56932	3791	KDR	no	no											
3872	3792	KEL	no	no											
4829	3795	KHK	no	no											
8070	3796	KIF2A	no	no											
53203	3799	KIF5B	no	no											
11229	3801	KIFC3	no	no											
13921	3802	KIR2DL1	no	no											
9722	3804	KIR2DL3	no	no											
13581	3805	KIR2DL4	no	no											
52940	3807	KIR2DS2	no	no											
52691	3809	KIR2DS4	no	no											
9459	3811	KIR3DL1	no	no											
52902	3812	KIR3DL2	no	no											
56057	3813	KIR3DS1	no	no											
5656	3816	KLK1	no	no											
5451	3817	KLK2	no	no											
54119	3818	KLKB1	no	no											
54121	3818	KLKB1	no	no											
56109	3820	KLRB1	no	no											
6283	3821	KLRC1	no	no											
13628	3821	KLRC1	no	no											
9504	3824	KLRD1	no	no											
13306	3827	KNG1	no	no											
5436	3831	KLC1	no	no											
55218	3832	KIF11	no	no											
56648	3833	KIFC1	no	no											
54778	3834	KIF25	no	no											
4605	3836	KPNA1	no	no											
5809	3838	KPNA2	no	no											
11830	3838	KPNA2	no	no											
14402	3838	KPNA2	no	no											
2347	3839	KPNA3	no	no											
1341	3840	KPNA4	no	no											
9050	3840	KPNA4	no	no											
10677	3841	KPNA5	no	no											
12412	3843	IPO5	no	no											
3084	3845	KRAS	no	no											
8590	3845	KRAS	no	no											
13791	3846	KRTAP5-9	no	no											
55855	3849	KRT2	no	no											
13592	3851	KRT4	no	no											
14973	3852	KRT5	no	no											
4870	3853	KRT6A	no	no											
7298	3853	KRT6A	no	no											
8105	3854	KRT6B	no	no											
4094	3855	KRT7	no	no											
2380	3856	KRT8	no	no											
14966	3856	KRT8	no	no											
55330	3856	KRT8	no	no											
54296	3860	KRT13	no	no											
4105	3866	KRT15	no	no											
2702	3872	KRT17	no	no											
14963	3872	KRT17	no	no											
65	3875	KRT18	no	no											
3253	3875	KRT18	no	no											
5301	3880	KRT19	no	no											
6564	3880	KRT19	no	no											
55638	3880	KRT19	no	no											
56141	3881	KRT31	no	no											
6802	3884	KRT33B	no	no											
9113	3887	KRT81	no	no											
54190	3887	KRT81	no	no											
55834	3889	KRT83	no	no											
13939	3892	KRT86	no	no											
55211	3895	KTN1	no	no											
8394	3903	LAIR1	no	no											
13805	3904	LAIR2	no	no											
53495	3906	LALBA	no	no											
8902	3910	LAMA4	no	no											
53679	3912	LAMB1	no	no											
14969	3914	LAMB3	no	no											
9156	3915	LAMC1	no	no											
7796	3916	LAMP1	no	no											
53533	3918	LAMC2	no	no											
53571	3918	LAMC2	no	no											
3743	3920	LAMP2	no	no											
332	3921	RPSA	no	no											
5433	3921	RPSA	no	no											
10984	3921	RPSA	no	no											
11767	3921	RPSA	no	no											
7417	3925	STMN1	no	no											
14992	3925	STMN1	no	no											
1096	3927	LASP1	no	no											
5231	3927	LASP1	no	no											
13104	3929	LBP	no	no											
861	3930	LBR	no	no											
423	3931	LCAT	no	no											
966	3932	LCK	no	no											
2377	3936	LCP1	no	no											
1108	3937	LCP2	no	no											
13378	3939	LDHA	no	no											
4692	3945	LDHB	no	no											
12190	3948	LDHC	no	no											
13790	3952	LEP	no	no											
6244	3954	LETM1	no	no											
1092	3955	LFNG	no	no											
6097	3956	LGALS1	no	no											
12112	3957	LGALS2	no	no											
6743	3958	LGALS3	no	no											
11937	3958	LGALS3	no	no											
4002	3959	LGALS3BP	no	no											
7635	3959	LGALS3BP	no	no											
836	3964	LGALS8	no	no											
6289	3964	LGALS8	no	no											
52887	3965	LGALS9	no	no											
56190	3978	LIG1	no	no											
8799	3980	LIG3	no	no											
14243	3980	LIG3	no	no											
1884	3981	LIG4	no	no											
3235	3983	ABLIM1	no	no											
601	3985	LIMK2	no	no											
5515	3987	LIMS1	no	no											
2401	3988	LIPA	no	no											
55074	3990	LIPC	no	no											
14514	3991	LIPE	no	no											
5157	3992	FADS1	no	no											
3953	3995	FADS3	no	no											
53143	3996	LLGL1	no	no											
3903	4000	LMNA	no	no											
14730	4000	LMNA	no	no											
14023	4004	LMO1	no	no											
1136	4005	LMO2	no	no											
11088	4005	LMO2	no	no											
14652	4005	LMO2	no	no											
475	4007	PRICKLE3	no	no											
11027	4009	LMX1A	no	no											
13957	4010	LMX1B	no	no											
53775	4010	LMX1B	no	no											
53326	4012	LNPEP	no	no											
2720	4013	VWA5A	no	no											
56169	4025	LPO	no	no											
54464	4033	LRMP	no	no											
834	4034	LRCH4	no	no											
14754	4035	LRP1	no	no											
55209	4040	LRP6	no	no											
9878	4045	LSAMP	no	no											
3734	4046	LSP1	no	no											
10153	4047	LSS	no	no											
10054	4048	LTA4H	no	no											
2555	4049	LTA	no	no											
13034	4055	LTBR	no	no											
6357	4057	LTF	no	no											
6424	4057	LTF	no	no											
11556	4059	BCAM	no	no											
5545	4060	LUM	no	no											
13214	4060	LUM	no	no											
56613	4061	LY6E	no	no											
8120	4062	LY6H	no	no											
13751	4063	LY9	no	no											
55481	4063	LY9	no	no											
56651	4063	LY9	no	no											
56165	4064	CD180	no	no											
54561	4067	LYN	no	no											
54589	4067	LYN	no	no											
13022	4068	SH2D1A	no	no											
6069	4069	LYZ	no	no											
6138	4070	TACSTD2	no	no											
5778	4071	TM4SF1	no	no											
13222	4071	TM4SF1	no	no											
595	4072	EPCAM	no	no											
14687	4074	M6PR	no	no											
3355	4076	CAPRIN1	no	no											
5874	4077	NBR1	no	no											
9559	4081	MAB21L1	no	no											
55290	4082	MARCKS	no	no											
13888	4084	MXD1	no	no											
4707	4085	MAD2L1	no	no											
3782	4086	SMAD1	no	no											
4690	4088	SMAD3	no	no											
11805	4088	SMAD3	no	no											
4687	4089	SMAD4	no	no											
163	4090	SMAD5	no	no											
7123	4093	SMAD9	no	no											
7214	4097	MAFG	no	no											
11878	4099	MAG	no	no											
311	4100	MAGEA1	no	no											
1006	4103	MAGEA4	no	no											
52613	4104	MAGEA5	no	no											
13612	4105	MAGEA6	no	no											
6552	4107	MAGEA8	no	no											
3181	4108	MAGEA9	no	no											
4380	4109	MAGEA10	no	no											
4361	4110	MAGEA11	no	no											
940	4111	MAGEA12	no	no											
827	4112	MAGEB1	no	no											
14030	4114	MAGEB3	no	no											
54359	4114	MAGEB3	no	no											
1981	4115	MAGEB4	no	no											
596	4116	MAGOH	no	no											
10316	4117	MAK	no	no											
3982	4118	MAL	no	no											
11662	4123	MAN2C1	no	no											
7650	4126	MANBA	no	no											
4497	4128	MAOA	no	no											
1279	4129	MAOB	no	no											
10309	4133	MAP2	no	no											
4442	4134	MAP4	no	no											
56824	4135	MAP6	no	no											
55860	4137	MAPT	no	no											
53128	4139	MARK1	no	no											
8203	4140	MARK3	no	no											
13892	4142	MAS1	no	no											
55957	4142	MAS1	no	no											
879	4143	MAT1A	no	no											
4753	4144	MAT2A	no	no											
3273	4145	MATK	no	no											
55666	4148	MATN3	no	no											
377	4149	MAX	no	no											
2196	4149	MAX	no	no											
4229	4149	MAX	no	no											
4384	4149	MAX	no	no											
8371	4149	MAX	no	no											
6328	4151	MB	no	no											
12837	4151	MB	no	no											
13874	4153	MBL2	no	no											
11430	4154	MBNL1	no	no											
12325	4155	MBP	no	no											
5176	4157	MC1R	no	no											
56098	4158	MC2R	no	no											
13901	4159	MC3R	no	no											
55958	4159	MC3R	no	no											
11980	4162	MCAM	no	no											
5898	4170	MCL1	no	no											
4536	4171	MCM2	no	no											
6523	4171	MCM2	no	no											
7766	4171	MCM2	no	no											
3726	4172	MCM3	no	no											
19	4174	MCM5	no	no											
4035	4174	MCM5	no	no											
9695	4175	MCM6	no	no											
6643	4176	MCM7	no	no											
6834	4176	MCM7	no	no											
1326	4179	CD46	no	no											
1446	4184	SMCP	no	no											
5143	4188	MDFI	no	no											
8132	4189	DNAJB9	no	no											
5950	4190	MDH1	no	no											
3859	4191	MDH2	no	no											
6866	4192	MDK	no	no											
14319	4194	MDM4	no	no											
13861	4197	MECOM	no	no											
3347	4201	MEA1	no	no											
6191	4204	MECP2	no	no											
98	4205	MEF2A	no	no											
11886	4205	MEF2A	no	no											
9076	4207	LOC729991	no	no											
53257	4207	LOC729991-MEF2B	no	no											
1259	4208	MEF2C	no	no											
11825	4209	MEF2D	no	no											
11603	4212	MEIS2	no	no											
12460	4212	MEIS2	no	no											
8811	4215	MAP3K3	no	no											
3807	4218	RAB8A	no	no											
7443	4221	MEN1	no	no											
13795	4222	MEOX1	no	no											
824	4223	MEOX2	no	no											
56821	4224	MEP1A	no	no											
5356	4232	MEST	no	no											
11817	4236	MFAP1	no	no											
233	4237	MFAP2	no	no											
12974	4238	MFAP3	no	no											
14306	4239	MFAP4	no	no											
6737	4240	MFGE8	no	no											
8871	4241	MFI2	no	no											
3779	4245	MGAT1	no	no											
14822	4246	SCGB2A1	no	no											
4941	4247	MGAT2	no	no											
53686	4248	MGAT3	no	no											
56514	4250	SCGB2A2	no	no											
14216	4253	CTAGE5	no	no											
55255	4253	CTAGE5	no	no											
14047	4254	KITLG	no	no											
1820	4255	MGMT	no	no											
5563	4256	MGP	no	no											
12465	4258	MGST2	no	no											
3983	4259	MGST3	no	no											
5771	4259	MGST3	no	no											
3873	4267	CD99	no	no											
7958	4267	CD99	no	no											
1079	4276	MICA	no	no											
11907	4281	MID1	no	no											
3961	4282	MIF	no	no											
13382	4283	CXCL9	no	no											
54230	4284	MIP	no	no											
6190	4285	MIPEP	no	no											
8735	4286	MITF	no	no											
9352	4286	MITF	no	no											
9771	4287	ATXN3	no	no											
5516	4291	MLF1	no	no											
2713	4292	MLH1	no	no											
56210	4293	MAP3K9	no	no											
53499	4295	MLN	no	no											
56300	4299	AFF1	no	no											
2161	4300	MLLT3	no	no											
8961	4302	MLLT6	no	no											
12241	4302	MLLT6	no	no											
52916	4303	FOXO4	no	no											
53102	4306	NR3C2	no	no											
14783	4308	TRPM1	no	no											
6166	4312	MMP1	no	no											
7953	4313	MMP2	no	no											
14024	4314	MMP3	no	no											
4037	4316	MMP7	no	no											
5113	4318	MMP9	no	no											
53512	4321	MMP12	no	no											
14592	4322	MMP13	no	no											
12016	4323	MMP14	no	no											
4796	4324	MMP15	no	no											
13973	4325	MMP16	no	no											
11521	4327	MMP19	no	no											
3947	4329	ALDH6A1	no	no											
1816	4331	MNAT1	no	no											
9739	4332	MNDA	no	no											
55333	4335	MNT	no	no											
8668	4336	MOBP	no	no											
14106	4337	MOCS1	no	no											
11689	4338	MOCS2	no	no											
1197	4340	MOG	no	no											
13876	4342	MOS	no	no											
6718	4343	MOV10	no	no											
1151	4345	CD200	no	no											
7728	4350	MPG	no	no											
7786	4351	MPI	no	no											
11393	4351	MPI	no	no											
54791	4353	MPO	no	no											
3167	4354	MPP1	no	no											
9565	4355	MPP2	no	no											
55480	4356	MPP3	no	no											
6524	4357	MPST	no	no											
6096	4358	MPV17	no	no											
4817	4359	MPZ	no	no											
9007	4361	MRE11A	no	no											
7918	4436	MSH2	no	no											
54816	4437	MSH3	no	no											
54818	4437	MSH3	no	no											
1980	4438	MSH4	no	no											
6760	4439	MSH5	no	no											
13553	4439	MSH5	no	no											
5595	4477	MSMB	no	no											
7789	4478	MSN	no	no											
14311	4481	MSR1	no	no											
11979	4482	MSRA	no	no											
740	4488	MSX2	no	no											
13183	4489	MT1A	no	no											
14064	4490	MT1B	no	no											
8825	4493	MT1E	no	no											
13176	4494	MT1F	no	no											
5703	4496	MT1H	no	no											
9669	4499	MT1M	no	no											
572	4501	MT1X	no	no											
9670	4501	MT1X	no	no											
5500	4502	MT2A	no	no											
389	4504	MT3	no	no											
1735	4507	MTAP	no	no											
7911	4507	MTAP	no	no											
7952	4515	MTCP1NB	no	no											
7709	4520	MTF1	no	no											
13417	4521	NUDT1	no	no											
55318	4521	NUDT1	no	no											
5934	4522	MTHFD1	no	no											
13675	4524	MTHFR	no	no											
1447	4534	MTM1	no	no											
9491	4542	MYO1F	no	no											
54364	4543	MTNR1A	no	no											
13377	4547	MTTP	no	no											
56685	4547	MTTP	no	no											
55465	4552	MTRR	no	no											
55873	4552	MTRR	no	no											
3781	4580	MTX1	no	no											
56532	4582	MUC1	no	no											
8366	4589	MUC7	no	no											
2078	4591	TRIM37	no	no											
53052	4593	MUSK	no	no											
205	4594	MUT	no	no											
3901	4595	MUTYH	no	no											
281	4598	MVK	no	no											
9998	4599	MX1	no	no											
8458	4600	MX2	no	no											
685	4601	MXI1	no	no											
2341	4601	MXI1	no	no											
52796	4603	MYBL1	no	no											
54057	4604	MYBPC1	no	no											
5263	4605	MYBL2	no	no											
54916	4606	MYBPC2	no	no											
7111	4610	MYCL1	no	no											
138	4615	MYD88	no	no											
53604	4616	GADD45B	no	no											
12884	4618	MYF6	no	no											
56284	4619	MYH1	no	no											
55152	4625	MYH7	no	no											
55153	4625	MYH7	no	no											
7027	4627	MYH9	no	no											
5471	4632	MYL1	no	no											
6336	4633	MYL2	no	no											
6426	4634	MYL3	no	no											
5974	4637	MYL6	no	no											
8747	4637	MYL6	no	no											
14380	4637	MYL6	no	no											
53267	4638	MYLK	no	no											
14246	4641	MYO1C	no	no											
55353	4641	MYO1C	no	no											
1419	4642	MYO1D	no	no											
55423	4645	MYO5B	no	no											
14116	4651	MYO10	no	no											
9283	4653	MYOC	no	no											
11922	4656	MYOG	no	no											
9391	4660	PPP1R12B	no	no											
14618	4660	PPP1R12B	no	no											
14792	4661	MYT1	no	no											
10140	4664	NAB1	no	no											
8939	4665	NAB2	no	no											
26	4670	HNRNPM	no	no											
5349	4673	NAP1L1	no	no											
1423	4675	NAP1L3	no	no											
6015	4676	NAP1L4	no	no											
3445	4678	NASP	no	no											
3029	4681	NBL1	no	no											
53043	4682	NUBP1	no	no											
53149	4683	NBN	no	no											
7450	4686	NCBP1	no	no											
4166	4687	NCF1	no	no											
3727	4688	NCF2	no	no											
4174	4689	NCF4	no	no											
5001	4690	NCK1	no	no											
4448	4691	NCL	no	no											
4564	4692	NDN	no	no											
9314	4693	NDP	no	no											
3298	4694	NDUFA1	no	no											
5526	4695	NDUFA2	no	no											
12185	4696	NDUFA3	no	no											
1803	4698	NDUFA5	no	no											
4120	4700	NDUFA6	no	no											
3702	4701	NDUFA7	no	no											
6720	4704	NDUFA9	no	no											
7759	4704	NDUFA9	no	no											
951	4705	NDUFA10	no	no											
144	4707	NDUFB1	no	no											
54431	4707	NDUFB1	no	no											
654	4709	NDUFB3	no	no											
6438	4711	NDUFB5	no	no											
6417	4712	NDUFB6	no	no											
4013	4714	NDUFB8	no	no											
4533	4715	NDUFB9	no	no											
4508	4716	NDUFB10	no	no											
4748	4716	NDUFB10	no	no											
4513	4718	NDUFC2	no	no											
9125	4719	NDUFS1	no	no											
13078	4719	NDUFS1	no	no											
8022	4722	NDUFS3	no	no											
2787	4723	NDUFV1	no	no											
7569	4723	NDUFV1	no	no											
5624	4724	NDUFS4	no	no											
3776	4725	NDUFS5	no	no											
11655	4726	NDUFS6	no	no											
56713	4728	NDUFS8	no	no											
3681	4729	NDUFV2	no	no											
6252	4731	NDUFV3	no	no											
9793	4731	NDUFV3	no	no											
5988	4733	DRG1	no	no											
12820	4733	DRG1	no	no											
2311	4735	SEPT2	no	no											
7641	4735	SEPT2	no	no											
2413	4736	RPL10A	no	no											
52623	4738	NEDD8	no	no											
14735	4739	NEDD9	no	no											
14037	4745	NELL1	no	no											
55732	4745	NELL1	no	no											
13227	4747	NEFL	no	no											
14238	4751	NEK2	no	no											
8125	4752	NEK3	no	no											
1027	4753	NELL2	no	no											
3564	4758	NEU1	no	no											
55793	4759	NEU2	no	no											
2866	4760	NEUROD1	no	no											
2872	4762	NEUROG1	no	no											
3697	4771	NF2	no	no											
8968	4771	NF2	no	no											
53448	4772	NFATC1	no	no											
