Compound Broad Identifier	Compound Broad Identifier Short	Compound Broad Identifier_Compound Group	Compound Name	Compound Source	PubChem InChIKey	ChEMBL Identifier	In Annotated Set	ChemBank Annotation	Entrez Annotation	GO Annotation	MeSH Annotation	Product Use Annotation	In Annotated and Active Set	Phenotype 1	Phenotype 2
BRD-A38350138-001-02-3	BRD-A38350138	BRD-A38350138-001-02-3_BBBC022	KETOCONAZOLE	MicroSource Discovery Systems Inc.	XMAYWYJOQHXEEK-NASUQTAISA-N		yes				MeSH:D009181 (Mycoses)	UseClass:8105 (anti-fungal)			
BRD-A38675539-001-01-0	BRD-A38675539	BRD-A38675539-001-01-0_BBBC022	CYCLOTHIAZIDE	Biomol International Inc.	BOCUKUHCLICSIY-UHFFFAOYSA-N	CHEMBL61593	yes				MeSH:D006973 (Hypertension)	UseClass:8091 (anti-hypertensive);UseClass:8153 (diuretic)			
BRD-A39415247-001-02-1	BRD-A39415247	BRD-A39415247-001-02-1_BBBC022	NORETHINDRONE	MicroSource Discovery Systems Inc.	VIKNJXKGJWUCNN-XGXHKTLJSA-N;VIKNJXKGJWUCNN-FOEMKWDFSA-N	CHEMBL1162	yes					UseClass:8142 (contraceptive)			
BRD-A39747742-001-02-7	BRD-A39747742	BRD-A39747742-001-02-7_BBBC022	ESTRADIOL VALERATE	MicroSource Discovery Systems Inc.	RSEPBGGWRJCQGY-ZZSVNSIZSA-N		yes					UseClass:8141 (hormonal agent)			
BRD-A41145729-001-02-7	BRD-A41145729	BRD-A41145729-001-02-7_BBBC022	METHOPRENE ACID	Biomol International Inc.	MNYBEULOKRVZKY-TZOAMJEDSA-N	CHEMBL289635	yes			GO:0004886 (activates retinoid-X receptor activity)					
BRD-A41304429-001-04-9	BRD-A41304429	BRD-A41304429-001-04-9_BBBC022	Practolol	Prestwick Chemical Inc.	DURULFYMVIFBIR-ZDUSSCGKSA-N;DURULFYMVIFBIR-UHFFFAOYSA-N	CHEMBL1358416;CHEMBL6995	yes		GeneID:153 (inhibits ADRB1)			UseClass:8089 (cardiovascular agent)			
BRD-A43940795-001-03-6	BRD-A43940795	BRD-A43940795-001-03-6_BBBC022	TETRAHYDROPALMATINE	MicroSource Discovery Systems Inc.	AEQDJSLRWYMAQI-UHFFFAOYSA-N	CHEMBL187892	yes			GO:0005245 (inhibits voltage-gated calcium channel activity)			yes	cellular response to chemical stimulus	
BRD-A43974575-065-02-8	BRD-A43974575	BRD-A43974575-065-02-8_BBBC022	TRANYLCYPROMINE SULFATE	MicroSource Discovery Systems Inc.	AELCINSCMGFISI-IENPIDJESA-N;AELCINSCMGFISI-YGPZHTELSA-N		yes		GeneID:4128 (inhibits MAOA)	GO:0016491 (inhibits oxidoreductase activity)	MeSH:D003863 (Depression)	UseClass:8119 (anti-depressant)			
BRD-A43999749-004-02-5	BRD-A43999749	BRD-A43999749-004-02-5_BBBC022	HOMATROPINE METHYLBROMIDE	MicroSource Discovery Systems Inc.	WKWOJBUWWZTUQV-CUUNVARJSA-N		yes					UseClass:8124 (mydriatic)			
BRD-A44008656-036-05-0	BRD-A44008656	BRD-A44008656-036-05-0_BBBC022	Doxylamine succinate	Prestwick Chemical Inc.	HCFDWZZGGLSKEP-UHFFFAOYSA-N	CHEMBL1004	yes		GeneID:3269 (inhibits HRH1)			UseClass:8116 (sedative)			
BRD-A44863528-001-05-8	BRD-A44863528	BRD-A44863528-001-05-8_BBBC022	Proglumide	Prestwick Chemical Inc.	DGMKFQYCZXERLX-UHFFFAOYSA-N	CHEMBL316561	yes			GO:0004951 (inhibits cholecystokinin receptor activity)		UseClass:8125 (gastrointestinal agent)			
BRD-A45889380-336-03-4	BRD-A45889380	BRD-A45889380-336-03-4_BBBC022	Quinacrine dihydrochloride dihydrate	Prestwick Chemical Inc.	GPKJTRJOBQGKQK-UHFFFAOYSA-N	CHEMBL7568	yes		GeneID:240 (inhibits ALOX5)	GO:0016491 (affects oxidoreductase activity);GO:0005267 (inhibits potassium channel activity)	MeSH:D006373 (Helminthiasis)	UseClass:8109 (anti-helminthic);UseClass:8110 (anti-malarial)	yes	cellular response to chemical stimulus	
BRD-A46393198-003-04-2	BRD-A46393198	BRD-A46393198-003-04-2_BBBC022	Levamisole hydrochloride	Prestwick Chemical Inc.	HLFSDGLLUJUHTE-UHFFFAOYSA-N		yes				MeSH:D009349 (Nematode Infections)				
BRD-A48180038-003-05-2	BRD-A48180038	BRD-A48180038-003-05-2_BBBC022	"Trihexyphenidyl-D,L Hydrochloride"	Prestwick Chemical Inc.	HWHLPVGTWGOCJO-UHFFFAOYSA-N	CHEMBL1490	yes				MeSH:D010300 (Parkinson Disease)				
BRD-A48397526-001-02-2	BRD-A48397526	BRD-A48397526-001-02-2_BBBC022	GEDUNIN	MicroSource Discovery Systems Inc.	YJXDGWUNRYLINJ-POZBICLPSA-N		yes				MeSH:D008288 (Malaria)	UseClass:8110 (anti-malarial)			
BRD-A48809242-001-02-9	BRD-A48809242	BRD-A48809242-001-02-9_BBBC022	IB-MECA	Biomol International Inc.			yes		GeneID:140 (activates ADORA3)						
BRD-A49035384-003-04-0	BRD-A49035384	BRD-A49035384-003-04-0_BBBC022	Methacycline hydrochloride	Prestwick Chemical Inc.	QNJKSUYWBCNWFI-KCDYASHQSA-N		yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)			
BRD-A49172652-001-05-7	BRD-A49172652	BRD-A49172652-001-05-7_BBBC022	Lansoprazole	Prestwick Chemical Inc.	MJIHNNLFOKEZEW-UHFFFAOYSA-N	CHEMBL480	yes				MeSH:D010437 (Peptic Ulcer)	UseClass:8125 (gastrointestinal agent)			
BRD-A49358627-001-03-9	BRD-A49358627	BRD-A49358627-001-03-9_BBBC022	Ciprofibrate	Prestwick Chemical Inc.	KPSRODZRAIWAKH-UHFFFAOYSA-N	CHEMBL557555	yes		GeneID:5465 (activates PPARA)						
BRD-A49765801-001-02-5	BRD-A49765801	BRD-A49765801-001-02-5_BBBC022	FLURANDRENOLIDE	MicroSource Discovery Systems Inc.	POPFMWWJOGLOIF-KYSSJFEUSA-N		yes				MeSH:D007249 (Inflammation)	UseClass:8071 (anti-inflammatory)			
BRD-A50157456-065-02-4	BRD-A50157456	BRD-A50157456-065-02-4_BBBC022	TERBUTALINE HEMISULFATE	MicroSource Discovery Systems Inc.	XWTYSIMOBUGWOL-UHFFFAOYSA-N	CHEMBL1760	yes		GeneID:154 (activates ADRB2)	GO:0004016 (activates adenylate cyclase activity);GO:0004939 (activates beta-adrenergic receptor activity)	MeSH:D001249 (Asthma)	UseClass:8078 (anti-asthmatic);UseClass:8088 (bronchodilator)			
BRD-A50311610-300-05-4	BRD-A50311610	BRD-A50311610-300-05-4_BBBC022	Meclozine dihydrochloride	Prestwick Chemical Inc.	OCJYIGYOJCODJL-UHFFFAOYSA-N	CHEMBL1623	yes		GeneID:3269 (inhibits HRH1)		MeSH:D014839 (Vomiting)	UseClass:8127 (anti-emetic);UseClass:8072 (anti-histamine)			
BRD-A50675702-001-03-0	BRD-A50675702	BRD-A50675702-001-03-0_BBBC022	FIPRONIL	Biomol International Inc.	ZOCSXAVNDGMNBV-UHFFFAOYSA-N	CHEMBL101326	yes			GO:0005254 (inhibits chloride channel activity)					
BRD-A50684349-001-01-5	BRD-A50684349	BRD-A50684349-001-01-5_BBBC022	FENOLDOPAM	Biomol International Inc.	TVURRHSHRRELCG-UHFFFAOYSA-N	CHEMBL588	yes	CBPROTID:1000385 (activates 5-hydroxytryptamine 2 receptor)	GeneID:1636 (inhibits ACE)						
BRD-A51820102-008-05-7	BRD-A51820102	BRD-A51820102-008-05-7_BBBC022	Econazole nitrate	Prestwick Chemical Inc.	LEZWWPYKPKIXLL-UHFFFAOYSA-N	CHEMBL808	yes				MeSH:D009181 (Mycoses)	UseClass:8105 (anti-fungal)			
BRD-A52922642-001-02-9	BRD-A52922642	BRD-A52922642-001-02-9_BBBC022	METHOXY VERAPAMIL	Biomol International Inc.	XQLWNAFCTODIRK-UHFFFAOYSA-N	CHEMBL51149	yes			GO:0005262 (affects calcium channel activity);GO:0006816 (inhibits calcium ion transport);GO:0005245 (inhibits voltage-gated calcium channel activity)					
BRD-A53176877-001-02-7	BRD-A53176877	BRD-A53176877-001-02-7_BBBC022	METHYLPREDNISOLONE	MicroSource Discovery Systems Inc.	VHRSUDSXCMQTMA-IETLARDKSA-N		yes				MeSH:D007249 (Inflammation)	UseClass:8071 (anti-inflammatory)			
BRD-A53952395-003-05-3	BRD-A53952395	BRD-A53952395-003-05-3_BBBC022	Prilocaine hydrochloride	Prestwick Chemical Inc.	MVFGUOIZUNYYSO-UHFFFAOYSA-N	CHEMBL1194	yes					UseClass:8082 (anesthetic)			
BRD-A54236247-003-02-7	BRD-A54236247	BRD-A54236247-003-02-7_BBBC022	RACEPHEDRINE HYDROCHLORIDE	MicroSource Discovery Systems Inc.	KWGRBVOPPLSCSI-UHFFFAOYSA-N	CHEMBL279157	yes					UseClass:8113 (cns agent)			
BRD-A55272860-001-04-7	BRD-A55272860	BRD-A55272860-001-04-7_BBBC022	(RS)-(+ -)-SULPIRIDE	Biomol International Inc.	BGRJTUBHPOOWDU-UHFFFAOYSA-N	CHEMBL26	yes		GeneID:1813 (inhibits DRD2)		MeSH:D003863 (Depression);MeSH:D014839 (Vomiting)	UseClass:8119 (anti-depressant);UseClass:8127 (anti-emetic)			
BRD-A55756846-001-05-5	BRD-A55756846	BRD-A55756846-001-05-5_BBBC022	H7	Biomol International Inc.	BDVFVCGFMNCYPV-UHFFFAOYSA-N		yes			GO:0004697 (inhibits protein kinase C activity)					
BRD-A55946879-001-02-9	BRD-A55946879	BRD-A55946879-001-02-9_BBBC022	BW-B 70C	Biomol International Inc.	UAIYNMRLUHHRMF-AATRIKPKSA-N	CHEMBL86676	yes		GeneID:240 (inhibits ALOX5)				yes	cellular response to chemical stimulus	
BRD-A56020723-001-02-0	BRD-A56020723	BRD-A56020723-001-02-0_BBBC022	CA-074-Me	Biomol International Inc.	XGWSRLSPWIEMLQ-RQLZCWDZSA-N		yes		GeneID:1508 (inhibits CTSB)	GO:0008219 (affects cell death)			yes	cellular response to chemical stimulus	
BRD-A56675431-001-04-0	BRD-A56675431	BRD-A56675431-001-04-0_BBBC022	Althiazide	Prestwick Chemical Inc.	VGLGVJVUHYTIIU-UHFFFAOYSA-N	CHEMBL599870	yes				MeSH:D006973 (Hypertension)	UseClass:8091 (anti-hypertensive);UseClass:8153 (diuretic)			
BRD-A57089740-001-02-3	BRD-A57089740	BRD-A57089740-001-02-3_BBBC022	PERUVOSIDE	MicroSource Discovery Systems Inc.	PMTSPAGBAFCORP-WUHAFPOOSA-N		yes					UseClass:8100 (cardiac stimulant)	yes	cellular response to chemical stimulus	decreased cell numbers
BRD-A58048407-001-06-3	BRD-A58048407	BRD-A58048407-001-06-3_BBBC022	NIMODIPINE	Biomol International Inc.	UIAGMCDKSXEBJQ-UHFFFAOYSA-N	CHEMBL1428	yes			GO:0005245 (inhibits voltage-gated calcium channel activity)	MeSH:D007511 (Ischemia);MeSH:D013345 (Subarachnoid Hemorrhage)	UseClass:8099 (anti-ischemic)			
BRD-A61221616-001-02-7	BRD-A61221616	BRD-A61221616-001-02-7_BBBC022	MEDROXYPROGESTERONE ACETATE	MicroSource Discovery Systems Inc.	PSGAAPLEWMOORI-GDXVCIIOSA-N		yes					UseClass:8142 (contraceptive)			
BRD-A61793559-001-05-7	BRD-A61793559	BRD-A61793559-001-05-7_BBBC022	Metolazone	Prestwick Chemical Inc.	AQCHWTWZEMGIFD-UHFFFAOYSA-N	CHEMBL878	yes		GeneID:6559 (inhibits SLC12A3)			UseClass:8153 (diuretic)			
BRD-A62421304-004-05-6	BRD-A62421304	BRD-A62421304-004-05-6_BBBC022	Mepenzolate bromide	Prestwick Chemical Inc.	GKNPSSNBBWDAGH-UHFFFAOYSA-N;QVXXCOQHOPMUHU-UHFFFAOYSA-N		yes					UseClass:8113 (cns agent)			
BRD-A62525898-001-02-9	BRD-A62525898	BRD-A62525898-001-02-9_BBBC022	PREDNISONE	MicroSource Discovery Systems Inc.	XOFYZVNMUHMLCC-BDQMTFAOSA-N		yes				MeSH:D007249 (Inflammation)	UseClass:8071 (anti-inflammatory)			
BRD-A64092382-003-04-3	BRD-A64092382	BRD-A64092382-003-04-3_BBBC022	Mexiletine hydrochloride	Prestwick Chemical Inc.	VLPIATFUUWWMKC-UHFFFAOYSA-N	CHEMBL558	yes				"MeSH:D001145 (Arrhythmias, Cardiac)"	UseClass:8090 (anti-arrhythmic)			
BRD-A64242993-001-02-3	BRD-A64242993	BRD-A64242993-001-02-3_BBBC022	LANATOSIDE C	MicroSource Discovery Systems Inc.	JAYAGJDXJIDEKI-YBYZECQXSA-N		yes					UseClass:8089 (cardiovascular agent)	yes	cellular response to chemical stimulus	decreased cell numbers
BRD-A64553394-001-02-8	BRD-A64553394	BRD-A64553394-001-02-8_BBBC022	SDZ-201106	Biomol International Inc.	BYBYHCOEAFHGJL-UHFFFAOYSA-N	CHEMBL314639	yes			GO:0005272 (activates sodium channel activity)			yes	cellular response to chemical stimulus	
BRD-A65440446-001-02-5	BRD-A65440446	BRD-A65440446-001-02-5_BBBC022	CIMATEROL	Biomol International Inc.	BUXRLJCGHZZYNE-UHFFFAOYSA-N	CHEMBL1374751	yes			GO:0004939 (activates beta-adrenergic receptor activity)					
BRD-A65449987-001-02-1	BRD-A65449987	BRD-A65449987-001-02-1_BBBC022	FLUNISOLIDE	MicroSource Discovery Systems Inc.	XSFJVAJPIHIPKU-CCRGDLLISA-N		yes				MeSH:D006967 (Hypersensitivity);MeSH:D007249 (Inflammation)	UseClass:8077 (anti-allergy);UseClass:8071 (anti-inflammatory)			
BRD-A65767837-001-02-8	BRD-A65767837	BRD-A65767837-001-02-8_BBBC022	HYDROCORTISONE ACETATE	MicroSource Discovery Systems Inc.	ALEXXDVDDISNDU-KPYZGQEZSA-N	CHEMBL306147	yes				MeSH:D007249 (Inflammation)	UseClass:8077 (anti-allergy);UseClass:8071 (anti-inflammatory)			
BRD-A66025870-237-05-1	BRD-A66025870	BRD-A66025870-237-05-1_BBBC022	Phenethicillin potassium salt	Prestwick Chemical Inc.	NONJJLVGHLVQQM-JHXYUMNGSA-N	CHEMBL1614637	yes				MeSH:D001424 (Bacterial Infections)				
BRD-A67862938-034-05-7	BRD-A67862938	BRD-A67862938-034-05-7_BBBC022	Nafronyl oxalate	Prestwick Chemical Inc.	KBAFPSLPKGSANY-UHFFFAOYSA-N		yes	CBPROTID:1000385 (inhibits 5-hydroxytryptamine 2 receptor)				UseClass:8092 (vasodilator)			
BRD-A68281735-001-03-8	BRD-A68281735	BRD-A68281735-001-03-8_BBBC022	REV-5901	Biomol International Inc.	JRLOEMCOOZSCQP-UHFFFAOYSA-N	CHEMBL8747	yes		GeneID:240 (inhibits ALOX5);GeneID:10800 (inhibits CYSLTR1)						
BRD-A69777949-001-05-1	BRD-A69777949	BRD-A69777949-001-05-1_BBBC022	Flumequine	Prestwick Chemical Inc.	DPSPPJIUMHPXMA-UHFFFAOYSA-N	CHEMBL370252	yes	CBPROTID:1000514 (inhibits DNA topoisomerase II)			MeSH:D001424 (Bacterial Infections)	UseClass:8103 (anti-infective agent);UseClass:8111 (antiseptic)			
BRD-A69786436-003-02-5	BRD-A69786436	BRD-A69786436-003-02-5_BBBC022	EUCATROPINE HYDROCHLORIDE	MicroSource Discovery Systems Inc.	SXLHPJQSZRLJAE-UHFFFAOYSA-N		yes					UseClass:8124 (mydriatic)			
BRD-A69950438-001-04-5	BRD-A69950438	BRD-A69950438-001-04-5_BBBC022	"(d,l)-Tetrahydroberberine"	Prestwick Chemical Inc.	VZTUIEROBZXUFA-UHFFFAOYSA-N	CHEMBL275097	yes		GeneID:1812 (inhibits DRD1)	GO:0004016 (inhibits adenylate cyclase activity)			yes	cellular response to chemical stimulus	
BRD-A71033472-003-05-6	BRD-A71033472	BRD-A71033472-003-05-6_BBBC022	Fendiline hydrochloride	Prestwick Chemical Inc.	NMKSAYKQLCHXDK-UHFFFAOYSA-N	CHEMBL254832	yes			GO:0004683 (inhibits calmodulin-dependent protein kinase activity)		UseClass:8092 (vasodilator)	yes	cellular response to chemical stimulus	decreased cell numbers
BRD-A72703248-001-02-7	BRD-A72703248	BRD-A72703248-001-02-7_BBBC022	SKF-96365	Biomol International Inc.	HLMBXBGDBBCYII-UHFFFAOYSA-N	CHEMBL258502	yes			GO:0006816 (inhibits calcium ion transport);GO:0005245 (inhibits voltage-gated calcium channel activity)			yes	cellular response to chemical stimulus	
BRD-A74642112-001-01-0	BRD-A74642112	BRD-A74642112-001-01-0_BBBC022	LIOTHYRONINE	MicroSource Discovery Systems Inc.	AUYYCJSJGJYCDS-UHFFFAOYSA-N	CHEMBL789	yes					UseClass:8143 (hormone therapy)			
BRD-A74667430-001-05-3	BRD-A74667430	BRD-A74667430-001-05-3_BBBC022	Etodolac	Prestwick Chemical Inc.	NNYBQONXHNTVIJ-UHFFFAOYSA-N	CHEMBL622	yes		GeneID:5743 (inhibits PTGS2)		MeSH:D007249 (Inflammation);MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8071 (anti-inflammatory)			
BRD-A75172220-001-02-4	BRD-A75172220	BRD-A75172220-001-02-4_BBBC022	HYDROCORTISONE	MicroSource Discovery Systems Inc.	JYGXADMDTFJGBT-YDAVOWJHSA-N		yes				MeSH:D007249 (Inflammation)	UseClass:8071 (anti-inflammatory)			
BRD-A75552914-001-05-1	BRD-A75552914	BRD-A75552914-001-05-1_BBBC022	Isoxicam	Prestwick Chemical Inc.	SPTMROWPYQRZSX-UHFFFAOYSA-N		yes				MeSH:D005334 (Fever);MeSH:D007249 (Inflammation);MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8071 (anti-inflammatory);UseClass:8075 (anti-pyretic)			
BRD-A75726477-003-04-9	BRD-A75726477	BRD-A75726477-003-04-9_BBBC022	Clenbuterol hydrochloride	Prestwick Chemical Inc.	STJMRWALKKWQGH-UHFFFAOYSA-N	CHEMBL49080	yes		GeneID:154 (activates ADRB2)	GO:0004939 (activates beta-adrenergic receptor activity)		UseClass:8088 (bronchodilator);UseClass:8133 (smooth muscle relaxant)			
BRD-A75817871-001-02-6	BRD-A75817871	BRD-A75817871-001-02-6_BBBC022	Blebbistatin	Biomol International Inc.	LZAXPYOBKSJSEX-UHFFFAOYSA-N		yes			GO:0006200 (inhibits ATP catabolic process);GO:0032060 (inhibits bleb assembly);GO:0016477 (inhibits cell migration);GO:0000916 (inhibits contractile ring contraction involved in cell cycle cytokinesis);GO:0000910 (inhibits cytokinesis);GO:0016905 (inhibits myosin heavy chain kinase activity)					
BRD-A75850590-003-05-6	BRD-A75850590	BRD-A75850590-003-05-6_BBBC022	Lomefloxacin hydrochloride	Prestwick Chemical Inc.	ZEKZLJVOYLTDKK-UHFFFAOYSA-N	CHEMBL561	yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)			
BRD-A76904477-003-02-5	BRD-A76904477	BRD-A76904477-003-02-5_BBBC022	VESAMICOL HYDROCHLORIDE	MicroSource Discovery Systems Inc.	YSSBJODGIYRAMI-UHFFFAOYSA-N	CHEMBL20943	yes					UseClass:8132 (muscle relaxant (spasmolytic))			
BRD-A77291778-003-05-5	BRD-A77291778	BRD-A77291778-003-05-5_BBBC022	Cyclopentolate hydrochloride	Prestwick Chemical Inc.	SKYSRIRYMSLOIN-UHFFFAOYSA-N	CHEMBL1201338	yes			GO:0004981 (inhibits muscarinic acetylcholine receptor activity)		UseClass:8124 (mydriatic);UseClass:8133 (smooth muscle relaxant)			
BRD-A78303415-001-02-7	BRD-A78303415	BRD-A78303415-001-02-7_BBBC022	HYOSCYAMINE	MicroSource Discovery Systems Inc.	RKUNBYITZUJHSG-LGGPCSOHSA-N;RKUNBYITZUJHSG-PRLABOORSA-N		yes				MeSH:D013035 (Spasm)	UseClass:8132 (muscle relaxant (spasmolytic))			
BRD-A78877355-003-03-6	BRD-A78877355	BRD-A78877355-003-03-6_BBBC022	Nefopam hydrochloride	Prestwick Chemical Inc.	RGPDEAGGEXEMMM-UHFFFAOYSA-N	CHEMBL465026	yes				MeSH:D003863 (Depression);MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8119 (anti-depressant);UseClass:8132 (muscle relaxant (spasmolytic))			
BRD-A79672927-001-05-8	BRD-A79672927	BRD-A79672927-001-05-8_BBBC022	Tropicamide	Prestwick Chemical Inc.	BGDKAVGWHJFAGW-UHFFFAOYSA-N	CHEMBL1200604	yes			GO:0004981 (inhibits muscarinic acetylcholine receptor activity)		UseClass:8124 (mydriatic)			
BRD-A79981887-003-05-7	BRD-A79981887	BRD-A79981887-003-05-7_BBBC022	Midodrine hydrochloride	Prestwick Chemical Inc.	PTKSEFOSCHHMPD-UHFFFAOYSA-N	CHEMBL1201212	yes			GO:0004937 (activates alpha1-adrenergic receptor activity)	MeSH:D007022 (Hypotension)	UseClass:8094 (vasoconstrictor)			
BRD-A80017228-001-05-9	BRD-A80017228	BRD-A80017228-001-05-9_BBBC022	Bendroflumethiazide	Prestwick Chemical Inc.	HDWIHXWEUNVBIY-UHFFFAOYSA-N	CHEMBL1684	yes					UseClass:8153 (diuretic)			
BRD-A80151636-066-02-2	BRD-A80151636	BRD-A80151636-066-02-2_BBBC022	BROMOCRIPTINE MESYLATE	MicroSource Discovery Systems Inc.	OZVBMTJYIDMWIL-NXIPCUEUSA-N		yes		GeneID:1813 (activates DRD2)	GO:0004925 (inhibits prolactin receptor activity)	MeSH:D010300 (Parkinson Disease)	UseClass:8137 (anti-oxidant)			
BRD-A80908310-003-05-4	BRD-A80908310	BRD-A80908310-003-05-4_BBBC022	Cloperastine hydrochloride	Prestwick Chemical Inc.	FLNXBVJLPJNOSI-UHFFFAOYSA-N	CHEMBL415087	yes				MeSH:D003371 (Cough)	UseClass:8072 (anti-histamine);UseClass:8085 (anti-tussive)			
BRD-A82396632-001-03-0	BRD-A82396632	BRD-A82396632-001-03-0_BBBC022	Miconazole	Prestwick Chemical Inc.	BYBLEWFAAKGYCD-UHFFFAOYSA-N	CHEMBL91	yes				MeSH:D009181 (Mycoses)	UseClass:8105 (anti-fungal)			
BRD-A82396632-008-02-7	BRD-A82396632	BRD-A82396632-008-02-7_BBBC022	MICONAZOLE NITRATE	MicroSource Discovery Systems Inc.	BYBLEWFAAKGYCD-UHFFFAOYSA-N	CHEMBL91	yes				MeSH:D009181 (Mycoses)	UseClass:8105 (anti-fungal)			
BRD-A83859836-001-01-4	BRD-A83859836	BRD-A83859836-001-01-4_BBBC022	TROPISETRON	Biomol International Inc.	ZNRGQMMCGHDTEI-UHFFFAOYSA-N		yes	CBPROTID:1000421 (inhibits 5-hydroxytryptamine 3 receptor)			MeSH:D009325 (Nausea);MeSH:D014839 (Vomiting)	UseClass:8125 (gastrointestinal agent)			
BRD-A83937277-001-03-0	BRD-A83937277	BRD-A83937277-001-03-0_BBBC022	Mephenytoin	Prestwick Chemical Inc.	GMHKMTDVRCWUDX-UHFFFAOYSA-N	CHEMBL861	yes				MeSH:D012640 (Seizures)	UseClass:8121 (anti-convulsant)			
BRD-A84174393-001-02-0	BRD-A84174393	BRD-A84174393-001-02-0_BBBC022	MELOXICAM	MicroSource Discovery Systems Inc.	ZAHQBPYQBHTECE-UHFFFAOYSA-N		yes		GeneID:5743 (inhibits PTGS2)	GO:0008283 (inhibits cell proliferation);GO:0006954 (inhibits inflammatory response);GO:0004666 (inhibits prostaglandin-endoperoxide synthase activity)					
BRD-A84174873-001-05-2	BRD-A84174873	BRD-A84174873-001-05-2_BBBC022	(+ -)-BACLOFEN	Biomol International Inc.	KPYSYYIEGFHWSV-UHFFFAOYSA-N	CHEMBL701	yes		GeneID:2550 (activates GABBR1)	GO:0004965 (activates GABA-B receptor activity);GO:0006813 (activates potassium ion transport)	MeSH:D013035 (Spasm)	UseClass:8132 (muscle relaxant (spasmolytic))			
BRD-A85651701-001-03-1	BRD-A85651701	BRD-A85651701-001-03-1_BBBC022	CLOPAMIDE	MicroSource Discovery Systems Inc.	LBXHRAWDUMTPSE-UHFFFAOYSA-N	CHEMBL1361347	yes				MeSH:D006973 (Hypertension)	UseClass:8091 (anti-hypertensive);UseClass:8153 (diuretic)			
BRD-A87445400-003-02-8	BRD-A87445400	BRD-A87445400-003-02-8_BBBC022	YOHIMBINE HYDROCHLORIDE	MicroSource Discovery Systems Inc.	BLGXFZZNTVWLAY-AMZRAFDVSA-N		yes			GO:0030103 (activates vasopressin secretion);GO:0004938 (inhibits alpha2-adrenergic receptor activity)	MeSH:D003863 (Depression);MeSH:D007022 (Hypotension)	UseClass:8082 (anesthetic);UseClass:8119 (anti-depressant);UseClass:8089 (cardiovascular agent)			
BRD-A87715314-003-05-2	BRD-A87715314	BRD-A87715314-003-05-2_BBBC022	Pronethalol hydrochloride	Prestwick Chemical Inc.	HRSANNODOVBCST-UHFFFAOYSA-N	CHEMBL16476	yes			GO:0004939 (inhibits beta-adrenergic receptor activity)					
BRD-A88254928-001-04-6	BRD-A88254928	BRD-A88254928-001-04-6_BBBC022	Salbutamol	Prestwick Chemical Inc.	NDAUXUAQIAJITI-UHFFFAOYSA-N	CHEMBL714	yes			GO:0004939 (activates beta-adrenergic receptor activity);GO:0004940 (activates beta1-adrenergic receptor activity);GO:0004941 (activates beta2-adrenergic receptor activity)	MeSH:D001249 (Asthma);MeSH:D007249 (Inflammation)	UseClass:8078 (anti-asthmatic);UseClass:8071 (anti-inflammatory);UseClass:8088 (bronchodilator);UseClass:8132 (muscle relaxant (spasmolytic))			
BRD-A89237309-001-02-3	BRD-A89237309	BRD-A89237309-001-02-3_BBBC022	VULPINIC ACID	MicroSource Discovery Systems Inc.	JOFTYVPERBCMPJ-ICFOKQHNSA-N		yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial);UseClass:8146 (herbicide)			
BRD-A89585551-003-03-4	BRD-A89585551	BRD-A89585551-003-03-4_BBBC022	Mefloquine hydrochloride	Prestwick Chemical Inc.	XEEQGYMUWCZPDN-UHFFFAOYSA-N	CHEMBL416956	yes				MeSH:D008288 (Malaria)	UseClass:8110 (anti-malarial)			
BRD-A90515964-001-05-8	BRD-A90515964	BRD-A90515964-001-05-8_BBBC022	Guaifenesin	Prestwick Chemical Inc.	HSRJKNPTNIJEKV-UHFFFAOYSA-N	CHEMBL980	yes				MeSH:D001249 (Asthma);MeSH:D003371 (Cough);MeSH:D014985 (Xerophthalmia)	UseClass:8078 (anti-asthmatic);UseClass:8085 (anti-tussive);UseClass:8087 (expectorant)			
BRD-A91452556-001-02-4	BRD-A91452556	BRD-A91452556-001-02-4_BBBC022	ESTRADIOL CYPIONATE	MicroSource Discovery Systems Inc.	UOACKFBJUYNSLK-OCTSOESTSA-N		yes					UseClass:8141 (hormonal agent)			
BRD-A91702150-236-02-4	BRD-A91702150	BRD-A91702150-236-02-4_BBBC022	"ESTRADIOL-3-SULFATE, SODIUM SALT"	MicroSource Discovery Systems Inc.	QZIGLSSUDXBTLJ-SWQYWVTHSA-N		yes					UseClass:8141 (hormonal agent)			
BRD-A92439610-001-02-4	BRD-A92439610	BRD-A92439610-001-02-4_BBBC022	TRIAMCINOLONE ACETONIDE	MicroSource Discovery Systems Inc.	YNDXUCZADRHECN-BPHAHLGOSA-N		yes			GO:0008219 (activates cell death)	"MeSH:D001249 (Asthma);MeSH:D001528 (Behcet Syndrome);MeSH:D003930 (Diabetic Retinopathy);MeSH:D008269 (Macular Edema);""MeSH:D009879 (Ophthalmia, Sympathetic)"";MeSH:D012170 (Retinal Vein Occlusion)"				
