Plate	Well	hORFeome V5.1 Internal Identifier	Entrez Gene ID	Symbol	Description	Scored as nuclear foci at initial stage	Subcellular localization based on secondary screening	Scored subcellular localization by secondary screening
Secondary Screen	A307	4915	84811	BUD13	Homo sapiens hypothetical protein MGC13125	1	1	UNKNOWN
Secondary Screen	A308	54474	6887	TAL2	"Homo sapiens T-cell acute lymphocytic leukemia 2, mRNA (cDNA clone MGC:161651 IMAGE:8992089), complete cds."	1	1	Nucleolus
Secondary Screen	A309	53083	151278	CCDC140	"Homo sapiens coiled-coil domain containing 140, mRNA (cDNA clone MGC:133159 IMAGE:40023803), complete cds."	1	1	Nucleolus
Secondary Screen	A31	6267	84619	ZGPAT	Homo sapiens KIAA1847	1	1	coilin/SMN
Secondary Screen	A310	53060	168850	ZNF800	"Homo sapiens zinc finger protein 800, mRNA (cDNA clone MGC:130033 IMAGE:40036038), complete cds."	1	1	Nucleolus
Secondary Screen	A311	52717	728929	TCEB3CL	"Homo sapiens transcription elongation factor B polypeptide 3C-like, mRNA (cDNA clone MGC:119353 IMAGE:40006027), complete cds."	1	1	SC-35
Secondary Screen	A312	53467	26156	RSL1D1	"Homo sapiens ribosomal L1 domain containing 1, mRNA (cDNA clone MGC:138433 IMAGE:8327696), complete cds."	1	1	Nucleolus
Secondary Screen	A313	53843	26156	RSL1D1	"Homo sapiens ribosomal L1 domain containing 1, mRNA (cDNA clone MGC:142259 IMAGE:8322751), complete cds."	1	1	Nucleolus
Secondary Screen	A314	55977	56969	RPL23AP32	"Homo sapiens ribosomal protein L23a pseudogene 13, mRNA (cDNA clone MGC:120119 IMAGE:40021992), complete cds."	1	1	Nucleolus
Secondary Screen	A315	55756	7142	TNP2	"Homo sapiens transition protein 2 (during histone to protamine replacement), mRNA (cDNA clone MGC:116782 IMAGE:40002547), complete cds."	1	1	Nucleolus
Secondary Screen	A316	56523	171483	FAM9B	"Homo sapiens family with sequence similarity 9, member B, mRNA (cDNA clone MGC:149438 IMAGE:40115245), complete cds."	1	1	Nucleolus
Secondary Screen	A317	56094	146310	RNF151	"Homo sapiens ring finger protein 151, mRNA (cDNA clone MGC:129921 IMAGE:40029536), complete cds."	1	1	SC-35
Secondary Screen	A318	56006	341567	H1FNT	"Homo sapiens H1 histone family, member N, testis-specific, mRNA (cDNA clone MGC:141726 IMAGE:40023772), complete cds."	1	1	Nucleolus
Secondary Screen	A319	55869	8227	SFRS17A	"Homo sapiens splicing factor, arginine/serine-rich 17A, mRNA (cDNA clone MGC:125365 IMAGE:40007662), complete cds."	1	1	SC-35
Secondary Screen	A32	6024	2962	GTF2F1	"Homo sapiens general transcription factor IIF, polypeptide 1, 74kDa"	1	1	coilin/SMN
Secondary Screen	A320	55825	51224	TCEB3B	"Homo sapiens transcription elongation factor B polypeptide 3B (elongin A2), mRNA (cDNA clone MGC:119351 IMAGE:40006025), complete cds."	1	1	SC-35
Secondary Screen	A321	56174	9360	PPIG	"Homo sapiens peptidylprolyl isomerase G (cyclophilin G), mRNA (cDNA clone MGC:133241 IMAGE:40034815), complete cds."	1	1	SC-35
Secondary Screen	A322	55606	4839	NOP2	"Homo sapiens nucleolar protein 1, 120kDa, mRNA (cDNA clone MGC:75077 IMAGE:6146884), complete cds."	1	1	Nucleolus
Secondary Screen	A323	55535	9441	MED26	"Homo sapiens mediator complex subunit 26, mRNA (cDNA clone MGC:117284 IMAGE:5531731), complete cds."	1	1	coilin/SMN
Secondary Screen	A324	55229	57129	MRPL47	"Homo sapiens mitochondrial ribosomal protein L47, mRNA (cDNA clone MGC:31986 IMAGE:3161966), complete cds."	1	1	Nucleolus
Secondary Screen	A325	55696	6209	RPS15	"Homo sapiens ribosomal protein S15, mRNA (cDNA clone MGC:165022 IMAGE:40148744), complete cds."	1	1	Nucleolus
Secondary Screen	A33	4250	5725	PTBP1	"Homo sapiens polypyrimidine tract binding protein 1, transcript variant 3"	1	1	UNKNOWN
Secondary Screen	A34	894	117246	FTSJ3	Homo sapiens FtsJ homolog 3 (E. coli	0	0	
Secondary Screen	A35	6113	84858	ZNF503	Homo sapiens zinc finger protein 503	1	1	UNKNOWN
Secondary Screen	A36	154	3104	ZBTB48	Homo sapiens GLI-Kruppel family member HKR3	1	1	UNKNOWN
Secondary Screen	A37	4488	9188	DDX21	Homo sapiens DEAD (Asp-Glu-Ala-Asp) box polypeptide 21	1	1	Nucleolus
Secondary Screen	A38	5569	5619	PRM1	Homo sapiens protamine 1	1	1	Nucleolus
Secondary Screen	A39	5736	84791	C1orf97	Homo sapiens hypothetical protein MGC14801	1	1	Nucleolus
Secondary Screen	A4	10178	27296	TP53TG5	Homo sapiens chromosome 20 open reading frame 10	1	1	UNKNOWN
Secondary Screen	A40	5291	5763	PTMS	Homo sapiens parathymosin	1	1	Nucleolus
Secondary Screen	A41	3871	6230	RPS25	Homo sapiens ribosomal protein S25	1	1	Nucleolus
Secondary Screen	A42	7806	6160	RPL31	Homo sapiens ribosomal protein L31	1	1	Nucleolus
Secondary Screen	A43	7034	6158	RPL28	Homo sapiens ribosomal protein L28	1	1	Nucleolus
Secondary Screen	A44	6116	55052	MRPL20	Homo sapiens mitochondrial ribosomal protein L20	1	1	Nucleolus
Secondary Screen	A45	7708	6147	RPL23A	Homo sapiens ribosomal protein L23a	1	1	Nucleolus
Secondary Screen	A46	6960	6135	RPL11	Homo sapiens ribosomal protein L11	1	1	Nucleolus
Secondary Screen	A47	7537	64769	MEAF6	Homo sapiens hypothetical protein FLJ11730	1	1	Nucleolus
Secondary Screen	A48	6870	79643	CHMP6	Homo sapiens hypothetical protein FLJ11749	1	1	p54
Secondary Screen	A49	3688	79091	C16orf68	Homo sapiens hypothetical protein MGC2654	1	1	UNKNOWN
Secondary Screen	A5	9514	51083	GAL	Homo sapiens galanin	1	1	UNKNOWN
Secondary Screen	A50	6037	64949	MRPS26	Homo sapiens mitochondrial ribosomal protein S26	1	1	UNKNOWN
Secondary Screen	A51	5363	83463	MXD3	Homo sapiens MAX dimerization protein 3	1	1	PML
Secondary Screen	A52	7785		HECTD3	Homo sapiens hypothetical protein FLJ21156	1	1	p54
Secondary Screen	A53	7576	51329	ARL6IP4	Homo sapiens ADP-ribosylation-like factor 6 interacting protein 4	1	1	SC-35
Secondary Screen	A54	7538	11103	KRR1	Homo sapiens HIV-1 rev binding protein 2	1	1	UNKNOWN
Secondary Screen	A55	7331	55269	PSPC1	Homo sapiens paraspeckle component 1	1	1	p54
Secondary Screen	A56	7839	11047	ADRM1	"Homo sapiens adhesion regulating molecule 1, transcript variant 2"	1	1	UNKNOWN
Secondary Screen	A57	5385	55135	WRAP53	Homo sapiens hypothetical protein FLJ10385	1	1	coilin/SMN
Secondary Screen	A58	7987	26354	GNL3	Homo sapiens nucleostemin	0	0	
Secondary Screen	A59	3145	10432	RBM14	Homo sapiens RNA binding motif protein 14	1	1	p54
Secondary Screen	A6	10061	10656	KHDRBS3	"Homo sapiens KH domain containing, RNA binding, signal transduction associated 3"	1	1	Sam68
Secondary Screen	A60	3388	79009	DDX50	Homo sapiens DEAD (Asp-Glu-Ala-Asp) box polypeptide 50	1	1	Nucleolus
Secondary Screen	A61	9523	151613	TTC14	Homo sapiens tetratricopeptide repeat domain 14	1	1	SC-35
Secondary Screen	A62	4407	6924	TCEB3	"Homo sapiens transcription elongation factor B (SIII), polypeptide 3 (110kDa, elongin A"	1	1	Nucleolus
Secondary Screen	A63	1563	5932	RBBP8	Homo sapiens retinoblastoma binding protein 8	1	1	UNKNOWN
Secondary Screen	A64	1345	26036	ZNF451	"Homo sapiens zinc finger protein 451, mRNA (cDNA clone MGC:26701 IMAGE:4821000), complete cds."	1	1	PML
Secondary Screen	A65	4257	9904	RBM19	Homo sapiens RNA binding motif protein 19	1	1	Nucleolus
Secondary Screen	A66	5060	9810	RNF40	"Homo sapiens ring finger protein 40, transcript variant 1"	1	1	PML
Secondary Screen	A67	3443	6637	SNRPG	Homo sapiens small nuclear ribonucleoprotein polypeptide G	1	1	coilin/SMN
Secondary Screen	A68	3571	6166	RPL36AL	Homo sapiens ribosomal protein L36a-like	1	1	PML
Secondary Screen	A69	2737	1058	CENPA	"Homo sapiens centromere protein A, 17kDa"	1	1	Nucleolus
Secondary Screen	A7	5683	64288	ZNF323	Homo sapiens zinc finger protein 323	1	1	Nucleolus
Secondary Screen	A70	3352	6164	RPL34	"Homo sapiens ribosomal protein L34, transcript variant 2"	1	1	Nucleolus
Secondary Screen	A71	3349	6632	SNRPD1	Homo sapiens small nuclear ribonucleoprotein D1 polypeptide 16kDa	1	1	coilin/SMN
Secondary Screen	A72	148	29108	PYCARD	Homo sapiens apoptosis-associated speck-like protein containing a CARD	1	1	UNKNOWN
Secondary Screen	A73	8057	79698	ZMAT4	Homo sapiens hypothetical protein FLJ13842	1	1	Nucleolus
Secondary Screen	A74	3505	55651	NHP2	"Homo sapiens nucleolar protein family A, member 2 (H/ACA small nucleolar RNPs"	1	1	Nucleolus
Secondary Screen	A75	8854	3609	ILF3	"Homo sapiens interleukin enhancer binding factor 3, 90kDa"	1	1	UNKNOWN
Secondary Screen	A76	3090	55954	ZMAT5	Homo sapiens hypothetical protein LOC55954	1	1	UNKNOWN
Secondary Screen	A77	4703	6143	RPL19	Homo sapiens ribosomal protein L19	1	1	Nucleolus
Secondary Screen	A78	4012	23521	RPL13A	Homo sapiens ribosomal protein L13a	1	1	Nucleolus
Secondary Screen	A79	4626	55122	AKIRIN2	Homo sapiens chromosome 6 open reading frame 166	1	1	PML
Secondary Screen	A8	2418	51203	NUSAP1	Homo sapiens nucleolar and spindle associated protein 1	1	1	Nucleolus
Secondary Screen	A80	5149	8894	EIF2S2	"Homo sapiens eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa"	1	1	Nucleolus
Secondary Screen	A81	8930	79039	DDX54	Homo sapiens DEAD (Asp-Glu-Ala-Asp) box polypeptide 54	1	1	Nucleolus
Secondary Screen	A83	6020	6194	RPS6	Homo sapiens ribosomal protein S6	1	1	Nucleolus
Secondary Screen	A84	4678	6194	RPS6	Homo sapiens ribosomal protein S6	1	1	Nucleolus
Secondary Screen	A85	7976	4234	METTL1	"Homo sapiens methyltransferase-like 1, transcript variant 1"	1	1	PML
Secondary Screen	A86	7100	146542	ZNF688	Homo sapiens similar to hypothetical protein MGC13138	1	1	SC-35
Secondary Screen	A87	3218	64834	ELOVL1	"Homo sapiens elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 1"	1	1	Nucleolus
Secondary Screen	A88	3242	55143	CDCA8	Homo sapiens cell division cycle associated 8	1	1	Nucleolus
Secondary Screen	A89	5381	6128	RPL6	Homo sapiens ribosomal protein L6	1	1	Nucleolus
Secondary Screen	A9	2048	143684	FAM76B	Homo sapiens hypothetical protein MGC33371	1	1	SC-35
Secondary Screen	A90	3657	57035	C1orf63	"Homo sapiens NPD014 protein, transcript variant 2"	1	1	UNKNOWN
Secondary Screen	A91	7517	4869	NPM1	"Homo sapiens nucleophosmin (nucleolar phosphoprotein B23, numatrin"	1	1	Nucleolus
Secondary Screen	A92	7543	4869	NPM1	"Homo sapiens nucleophosmin (nucleolar phosphoprotein B23, numatrin"	1	1	Nucleolus
Secondary Screen	A93	9319	9679	FAM53B	Homo sapiens KIAA0140	1	1	p54
Secondary Screen	A94	2625	84154	RPF2	Homo sapiens brix domain containing 1	1	1	Nucleolus
Secondary Screen	A95	9684	493856	CISD2	Homo sapiens	1	1	Nucleolus
Secondary Screen	A96	8685	1912	PHC2	Homo sapiens polyhomeotic-like 2 (Drosophila	1	1	BMI1
Secondary Screen	A97	6313	2623	GATA1	Homo sapiens GATA binding protein 1 (globin transcription factor 1	1	1	p54
Secondary Screen	A98	2251	147011	PROCA1	Homo sapiens hypothetical protein MGC39650	1	1	Nucleolus
Secondary Screen	A99	986	23543	RBM9	Homo sapiens RNA binding motif protein 9	1	1	UNKNOWN
Secondary Screen	A82	10033	6629	SNRPB2	"Homo sapiens small nuclear ribonucleoprotein polypeptide B	transcript variant 2"	1	1	coilin/SMN
