Gene Symbol	Gene Identifier	U2OS phenotype	Qiagen reproducibility between HeLa and U2OS cells	Phenotype 1	Phenotype 2	Phenotype 3	Phenotype 4	Phenotype 5	Phenotype 6	Phenotype 7	Phenotype 8	Phenotype 9
RPL34		"BC,C"	X		big (large) cells	condensed cells						
RPL35		"BC,AF"	X	actin fibre	big (large) cells							
RPL35A	6165	C				condensed cells						
RPL38	6169	C	X			condensed cells						
RPL39L	116832	"BC,P"	X		big (large) cells						cells with protrusions and elongations	
RPL4		"BC,C"	X		big (large) cells	condensed cells						
RPL7A		"BC,AF,C"	X	actin fibre	big (large) cells	condensed cells						
RPL8	6132	C	X			condensed cells						
RPLP0		"BC,AF"	X	actin fibre	big (large) cells							
RPLP1		"C,BC"	X		big (large) cells	condensed cells						
RPS11		C	X			condensed cells						
RPS13		"C,M"	X			condensed cells			metaphase			
RPS14		C	X			condensed cells						
RPS19		C	X			condensed cells						
RPS21	6227	"C,BC"	X		big (large) cells	condensed cells						
RPS24		C	X			condensed cells						
RPS28		C	X			condensed cells						
RPS29		C	X			condensed cells						
RPS3A		C	X			condensed cells						
RPS5	6193	"C,BC"	X		big (large) cells	condensed cells						
RPS9		"C,BC"	X		big (large) cells	condensed cells						
RPSA		"C,P"	X			condensed cells					cells with protrusions and elongations	
RSC1A1	6248	"N,BC"	X		big (large) cells					normal cells		
RTN1	6252	C				condensed cells						
RUNDC2A	84127	"BC,LA"	X		big (large) cells			lammellipodia				
RUVBL2	10856	"P,D"	X				debris				cells with protrusions and elongations	
SBNO1	55206	N								normal cells		
SC65	10609	BC	X		big (large) cells							
SCGB1A1	7356	"C,P"	X			condensed cells					cells with protrusions and elongations	
SEC24D	9871	"P,LA"	X					lammellipodia			cells with protrusions and elongations	
SEMA6A	57556	LA	X					lammellipodia				
SERINC1	57515	"BC,LA"	X		big (large) cells			lammellipodia				
SESN3	143686	"P,LA"	X					lammellipodia			cells with protrusions and elongations	
SETD8		P	X								cells with protrusions and elongations	
SF3A3	10946	"C,M"	X			condensed cells			metaphase			
SF3B1	23451	"P,M,D"	X				debris		metaphase		cells with protrusions and elongations	
SF3B14	51639	"BC,M"	X		big (large) cells				metaphase			
SF3B4	10262	"M,D"	X				debris		metaphase			
SH2B2	10603	BC			big (large) cells							
SHCBP1	79801	"N,LA"	X					lammellipodia		normal cells		
SHH	6469	C				condensed cells						
SHROOM2	357	AF	X	actin fibre								
SLC25A17	10478	BC	X		big (large) cells							
SLC26A1	10861	"BC,AF"	X	actin fibre	big (large) cells							
SLC2A13	114134	"BC,AF"	X	actin fibre	big (large) cells							
SLC39A1	27173	LA	X					lammellipodia				
SLC39A2	29986	"C,P"	X			condensed cells					cells with protrusions and elongations	
SLC3A2	6520	"P,C"	X			condensed cells					cells with protrusions and elongations	
SLC45A2	51151	"BC,P"	X		big (large) cells						cells with protrusions and elongations	
SLC46A1	113235	"N,C"	X			condensed cells				normal cells		
SLC46A2	57864	"BC,AF"	X	actin fibre	big (large) cells							
SLC4A2	6522	LA	X					lammellipodia				
SLC6A4	6532	BC			big (large) cells							
SLITRK3	22865	"P,C"	X			condensed cells					cells with protrusions and elongations	
SMARCD1	6602	N								normal cells		
SMU1	55234	"M,BC"	X		big (large) cells				metaphase			
SMUG1	23583	BC			big (large) cells							
SMURF1	57154	BC	X		big (large) cells							
SOCS2	8835	"P,C,D"	X			condensed cells	debris				cells with protrusions and elongations	
SOCS7	30837	"C,LA"	X			condensed cells		lammellipodia				
SOLH	6650	"BC,M"	X		big (large) cells				metaphase			
SON	6651	"M,BC"	X		big (large) cells				metaphase			
SPATA20	64847	P									cells with protrusions and elongations	
SPATA7	55812	N	X							normal cells		
SPIC	121599	P	X								cells with protrusions and elongations	
SPIN2A		"BC,AF"	X	actin fibre	big (large) cells							
SPP2	6694	P	X								cells with protrusions and elongations	
SPRY2	10253	"LA,BC"	X		big (large) cells			lammellipodia				
SPSB3	90864	"BC,AF"	X	actin fibre	big (large) cells							
SPTA1	6708	P	X								cells with protrusions and elongations	
SSBP3		"BC,C"	X		big (large) cells	condensed cells						
STAP1	26228	C	X			condensed cells						
STAR	6770	"BC,LA"	X		big (large) cells			lammellipodia				
STK39	27347	N								normal cells		
STRA6	64220	"P,C"	X			condensed cells					cells with protrusions and elongations	
SUPT6H	6830	"P,C"	X			condensed cells					cells with protrusions and elongations	
SUV39H1	6839	"M,AF"	X	actin fibre					metaphase			
SYT4	6860	C				condensed cells						
SYTL2	54843	"P,C"	X			condensed cells					cells with protrusions and elongations	
TAGLN	6876	"P,C"	X			condensed cells					cells with protrusions and elongations	
TAS2R49	259295	"M,BC"	X		big (large) cells				metaphase			
TBX21	30009	"BC,LA"	X		big (large) cells			lammellipodia				
TENC1	23371	N	X							normal cells		
TESK2	10420	LA	X					lammellipodia				
THAP3	90326	"BC,AF"	X	actin fibre	big (large) cells							
THRA		"BC,LA,M"	X		big (large) cells			lammellipodia	metaphase			
THSD3	145501	"BC,P"	X		big (large) cells						cells with protrusions and elongations	
TIMM10	26519	"BC,LA"	X		big (large) cells			lammellipodia				
TLN1	7094	"P,C"	X			condensed cells					cells with protrusions and elongations	
TMBIM4	51643	"P,C,M"	X			condensed cells			metaphase		cells with protrusions and elongations	
TMEM61	199964	"BC,P,AF"	X	actin fibre	big (large) cells						cells with protrusions and elongations	
TMOD1	7111	C	X			condensed cells						
TMOD2	29767	N	X							normal cells		
TMPRSS9	360200	"N,BC"	X		big (large) cells					normal cells		
TNFRSF1A	7132	AF	X	actin fibre								
TNPO2	30000	"P,M,C"	X			condensed cells			metaphase		cells with protrusions and elongations	
TP53BP1	7158	N								normal cells		
TP53I13	90313	"BC,M"	X		big (large) cells				metaphase			
TPCN1	53373	"BC,AF"	X	actin fibre	big (large) cells							
TPPP2	122664	C	X			condensed cells						
TPRG1	285386	"C,LA"	X			condensed cells		lammellipodia				
TPX2	22974	"M,P"	X						metaphase		cells with protrusions and elongations	
TRA2A	29896	N	X							normal cells		
TRAIP	10293	"P,C"	X			condensed cells					cells with protrusions and elongations	
TRAPPC1	58485	P	X								cells with protrusions and elongations	
TRAPPC2L	51693	"BC,AF"	X	actin fibre	big (large) cells							
TRAT1	50852	C				condensed cells						
TRIM17	51127	"P,C"	X			condensed cells					cells with protrusions and elongations	
TRIM32	22954	C	X			condensed cells						
TRIM9	114088	"LA,AF"	X	actin fibre				lammellipodia				
TRPM8	79054	"BC,AF"	X	actin fibre	big (large) cells							
TSPAN9	10867	C	X			condensed cells						
TTC22	55001	LA	X					lammellipodia				
TUBE1	51175	P	X								cells with protrusions and elongations	
UBB		"AF,BC"	X	actin fibre	big (large) cells							
UBC	7316	"LA,BC,M"	X		big (large) cells			lammellipodia	metaphase			
UBE2D2	7322	"C,M"	X			condensed cells			metaphase			
UBOX5	22888	"BC,AF,C"	X	actin fibre	big (large) cells	condensed cells						
UGCGL1	56886	"N,C,M"	X			condensed cells			metaphase	normal cells		
UNC93A	54346	"BC,AF"	X	actin fibre	big (large) cells							
UNG	7374	N	X							normal cells		
UPK1A		"M,AF"	X	actin fibre					metaphase			
USO1	8615	BC	X		big (large) cells							
USP1	7398	"C,LA"	X			condensed cells		lammellipodia				
USP18		"BC,P"	X		big (large) cells						cells with protrusions and elongations	
VARS2	57176	"N,C,LA"	X			condensed cells		lammellipodia		normal cells		
VAX1	11023	"AF,C"	X	actin fibre		condensed cells						
VIT	5212	"C,LA"	X			condensed cells		lammellipodia				
VNN3	55350	"C,AF"	X	actin fibre		condensed cells						
WBSCR22	114049	"LA,P"	X					lammellipodia			cells with protrusions and elongations	
WDHD1	11169	C				condensed cells						
WDR21A	#N/A	"BC,AF,C"	X	actin fibre	big (large) cells	condensed cells						
WEE1	7465	"M,D"	X				debris		metaphase			
WFS1		"P,C,M"	X			condensed cells			metaphase		cells with protrusions and elongations	
WHSC1L1		"M,P,LA"	X					lammellipodia	metaphase		cells with protrusions and elongations	
WIPI1	55062	BC	X		big (large) cells							
WISP1	8840	"P,C"	X			condensed cells					cells with protrusions and elongations	
WRN		"C,M"	X			condensed cells			metaphase			
WWP2	11060	C				condensed cells						
YARS	8565	C				condensed cells						
YIPF4	84272	"BC,AF,LA"	X	actin fibre	big (large) cells			lammellipodia				
ZBTB48	3104	P	X								cells with protrusions and elongations	
ZCCHC13	389874	"BC,AF"	X	actin fibre	big (large) cells							
ZDHHC19	131540	"C,BC"	X		big (large) cells	condensed cells						
ZFAND1	79752	"C,LA"	X			condensed cells		lammellipodia				
ZIM3	114026	"N,M"	X						metaphase	normal cells		
ZNF16		BC	X		big (large) cells							
ZNF177	7730	"BC,AF"	X	actin fibre	big (large) cells							
ZNF212	7988	C	X			condensed cells						
ZNF225	7768	N	X							normal cells		
ZNF234	10780	"AF,M"	X	actin fibre					metaphase			
ZNF331	55422	"BC,LA"	X		big (large) cells			lammellipodia				
ZNF442	79973	C	X			condensed cells						
ZNF507	22847	"BC,P"	X		big (large) cells						cells with protrusions and elongations	
ZNF585A		"P,C"	X			condensed cells					cells with protrusions and elongations	
ZNF595	152687	C	X			condensed cells						
ZNRF4	148066	"M,P"	X						metaphase		cells with protrusions and elongations	
