Compound Broad Identifier	Compound Broad Identifier Short	Compound Name	Compound Source	In Annotated Set	ChemBank Annotation	Entrez Annotation	GO Annotation	MeSH Annotation	Product Use Annotation	In Annotated and Active Set	Has Phenotype	Phenotype Annotation Level	Phenotype 1	Phenotype 2
BRD-A09467419-003-04-2	BRD-A09467419	Mebeverine hydrochloride	Prestwick Chemical Inc.	yes				MeSH:D013035 (Spasm)	UseClass:8132 (muscle relaxant (spasmolytic));UseClass:8133 (smooth muscle relaxant)					
BRD-A09472452-001-02-8	BRD-A09472452	FLECAINIDE	Biomol International Inc.	yes			GO:0005272 (inhibits sodium channel activity)	"MeSH:D001145 (Arrhythmias, Cardiac)"	UseClass:8090 (anti-arrhythmic)					
BRD-A09472452-015-03-6	BRD-A09472452	Flecainide acetate	Prestwick Chemical Inc.	yes			GO:0005272 (inhibits sodium channel activity)	"MeSH:D001145 (Arrhythmias, Cardiac)"	UseClass:8090 (anti-arrhythmic)					
BRD-A09533288-001-02-7	BRD-A09533288	VERAPAMIL	Biomol International Inc.	yes	CBPROTID:1000216 (inhibits Voltage-dependent L-type calcium channel)	GeneID:8913 (inhibits CACNA1G)	GO:0006816 (inhibits calcium ion transport);GO:0008332 (inhibits low voltage-gated calcium channel activity)	"MeSH:D000787 (Angina Pectoris);MeSH:D006973 (Hypertension);""MeSH:D017180 (Tachycardia, Ventricular)"""	UseClass:8090 (anti-arrhythmic);UseClass:8091 (anti-hypertensive);UseClass:8092 (vasodilator)					
BRD-A09533288-003-05-6	BRD-A09533288	Verapamyl hydrochloride	Prestwick Chemical Inc.	yes	CBPROTID:1000216 (inhibits Voltage-dependent L-type calcium channel)	GeneID:8913 (inhibits CACNA1G)	GO:0006816 (inhibits calcium ion transport);GO:0008332 (inhibits low voltage-gated calcium channel activity)	"MeSH:D000787 (Angina Pectoris);MeSH:D006973 (Hypertension);""MeSH:D017180 (Tachycardia, Ventricular)"""	UseClass:8090 (anti-arrhythmic);UseClass:8091 (anti-hypertensive);UseClass:8092 (vasodilator)					
BRD-A11813248-001-02-8	BRD-A11813248	AM 92016	Biomol International Inc.	yes			GO:0006813 (inhibits potassium ion transport)							
BRD-A13133631-001-02-4	BRD-A13133631	FLUOROMETHOLONE	MicroSource Discovery Systems Inc.	yes				MeSH:D007249 (Inflammation)	UseClass:8071 (anti-inflammatory)					
BRD-A13946108-001-04-9	BRD-A13946108	Sulindac	Prestwick Chemical Inc.	yes		GeneID:5138 (inhibits PDE2A)		MeSH:D005334 (Fever);MeSH:D007249 (Inflammation);MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8071 (anti-inflammatory);UseClass:8075 (anti-pyretic)					
BRD-A14344385-001-01-6	BRD-A14344385	"7-CHLORO-3-METHYL-3,4-DIHYDRO-2H-1,2,4-BENZOTHIADIAZINE-S,S-DIOXIDE"	Biomol International Inc.	yes			GO:0004970 (activates ionotropic glutamate receptor activity)							
BRD-A16332958-001-02-4	BRD-A16332958	MODAFINIL	MicroSource Discovery Systems Inc.	yes				MeSH:D009290 (Narcolepsy)	UseClass:8113 (cns agent)					
BRD-A18620900-001-02-9	BRD-A18620900	ESTRIOL	MicroSource Discovery Systems Inc.	yes					UseClass:8141 (hormonal agent)					
BRD-A19134330-001-03-8	BRD-A19134330	A-23187	Biomol International Inc.	yes				MeSH:D016905 (Gram-Negative Bacterial Infections);MeSH:D016908 (Gram-Positive Bacterial Infections);MeSH:D007239 (Infection)	UseClass:8104 (anti-bacterial);UseClass:8103 (anti-infective agent)					
BRD-A19195498-050-05-9	BRD-A19195498	Trimipramine maleate salt	Prestwick Chemical Inc.	yes				MeSH:D003863 (Depression)	UseClass:8119 (anti-depressant)					
BRD-A19661776-003-05-2	BRD-A19661776	Mianserine hydrochloride	Prestwick Chemical Inc.	yes	CBPROTID:1000385 (inhibits 5-hydroxytryptamine 2 receptor)			MeSH:D003863 (Depression)	UseClass:8119 (anti-depressant);UseClass:8072 (anti-histamine)					
BRD-A19795905-001-02-3	BRD-A19795905	ATOVAQUONE	MicroSource Discovery Systems Inc.	yes			GO:0008121 (inhibits ubiquinol-cytochrome-c reductase activity)	"MeSH:D008288 (Malaria);""MeSH:D011020 (Pneumonia, Pneumocystis)"""	UseClass:8108 (anti-protozoal)					
BRD-A20126139-001-02-6	BRD-A20126139	MEDRYSONE	MicroSource Discovery Systems Inc.	yes				MeSH:D005128 (Eye Diseases);MeSH:D007249 (Inflammation)	UseClass:8071 (anti-inflammatory)					
BRD-A20200672-001-02-2	BRD-A20200672	ENOXOLONE	MicroSource Discovery Systems Inc.	yes				MeSH:D001424 (Bacterial Infections);MeSH:D003371 (Cough)	UseClass:8104 (anti-bacterial);UseClass:8085 (anti-tussive)					
BRD-A20239487-001-02-5	BRD-A20239487	ATENOLOL	MicroSource Discovery Systems Inc.	yes		GeneID:153 (inhibits ADRB1)	GO:0004939 (inhibits beta-adrenergic receptor activity)	"MeSH:D000787 (Angina Pectoris);""MeSH:D001145 (Arrhythmias, Cardiac)"";MeSH:D006973 (Hypertension)"	UseClass:8095 (anti-anginal);UseClass:8090 (anti-arrhythmic);UseClass:8091 (anti-hypertensive)					
BRD-A20348246-001-05-9	BRD-A20348246	CHLORMEZANONE	Biomol International Inc.	yes					UseClass:8117 (tranquilizer)					
BRD-A22106989-001-01-9	BRD-A22106989	PHENOTHRIN	MicroSource Discovery Systems Inc.	yes					UseClass:8107 (anti-parasitic)					
BRD-A22267103-003-05-7	BRD-A22267103	Drofenine hydrochloride	Prestwick Chemical Inc.	yes					UseClass:8132 (muscle relaxant (spasmolytic))					
BRD-A22305049-003-05-2	BRD-A22305049	Benfluorex hydrochloride	Prestwick Chemical Inc.	yes		GeneID:3643 (inhibits INSR)			UseClass:8098 (anti-hyperlipidproteinemic)					
BRD-A22380646-001-01-5	BRD-A22380646	PANTOPRAZOLE	MicroSource Discovery Systems Inc.	yes		GeneID:495 (inhibits ATP4A)		MeSH:D004941 (Esophagitis)	UseClass:8125 (gastrointestinal agent)					
BRD-A22844106-001-05-4	BRD-A22844106	Tenoxicam	Prestwick Chemical Inc.	yes				MeSH:D007249 (Inflammation);MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8071 (anti-inflammatory)					
BRD-A23072235-050-05-2	BRD-A23072235	Pheniramine maleate	Prestwick Chemical Inc.	yes		GeneID:3269 (inhibits HRH1)			UseClass:8072 (anti-histamine)					
BRD-A23970436-236-02-6	BRD-A23970436	THIAMYLAL SODIUM	MicroSource Discovery Systems Inc.	yes					UseClass:8082 (anesthetic)					
BRD-A24228527-001-05-9	BRD-A24228527	Ofloxacin	Prestwick Chemical Inc.	yes	CBPROTID:1000514 (inhibits DNA topoisomerase II)			MeSH:D016905 (Gram-Negative Bacterial Infections);MeSH:D016908 (Gram-Positive Bacterial Infections)	UseClass:8104 (anti-bacterial)					
BRD-A24817035-001-05-4	BRD-A24817035	"Laudanosine (R,S)"	Prestwick Chemical Inc.	yes		GeneID:1135 (inhibits CHRNA2);GeneID:1139 (inhibits CHRNA7);GeneID:1141 (inhibits CHRNB2)								
BRD-A25234499-001-05-0	BRD-A25234499	"Glutethimide, para-amino"	Prestwick Chemical Inc.	yes			"GO:0016712 (inhibits oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen)"	MeSH:D001943 (Breast Neoplasms);MeSH:D004487 (Edema);MeSH:D006929 (Hyperaldosteronism)						
BRD-A26095496-001-02-4	BRD-A26095496	CLOBETASOL PROPIONATE	MicroSource Discovery Systems Inc.	yes				MeSH:D006967 (Hypersensitivity);MeSH:D007249 (Inflammation)	UseClass:8077 (anti-allergy);UseClass:8071 (anti-inflammatory)					
BRD-A26384407-001-05-3	BRD-A26384407	Chlorthalidone	Prestwick Chemical Inc.	yes				MeSH:D006973 (Hypertension)	UseClass:8091 (anti-hypertensive);UseClass:8153 (diuretic)					
BRD-A26711594-001-02-7	BRD-A26711594	NICARDIPINE	Biomol International Inc.	yes				MeSH:D006973 (Hypertension)	UseClass:8092 (vasodilator)					
BRD-A26711594-003-05-6	BRD-A26711594	Nicardipine hydrochloride	Prestwick Chemical Inc.	yes				MeSH:D006973 (Hypertension)	UseClass:8092 (vasodilator)					
BRD-A26787626-001-02-9	BRD-A26787626	CYCLOPIAZONIC ACID	MicroSource Discovery Systems Inc.	yes			GO:0006816 (activates calcium ion transport)							
BRD-A27732521-003-02-6	BRD-A27732521	TOLPERISONE HYDROCHLORIDE	MicroSource Discovery Systems Inc.	yes					UseClass:8132 (muscle relaxant (spasmolytic));UseClass:8092 (vasodilator)					
BRD-A27887842-001-02-4	BRD-A27887842	PREDNISOLONE	MicroSource Discovery Systems Inc.	yes				MeSH:D006967 (Hypersensitivity);MeSH:D007249 (Inflammation)	UseClass:8077 (anti-allergy);UseClass:8071 (anti-inflammatory)					
BRD-A28856712-003-05-4	BRD-A28856712	Tetrahydrozoline hydrochloride	Prestwick Chemical Inc.	yes			GO:0004936 (activates alpha-adrenergic receptor activity)		UseClass:8113 (cns agent);UseClass:8094 (vasoconstrictor)					
BRD-A29260609-003-05-4	BRD-A29260609	Acebutolol hydrochloride	Prestwick Chemical Inc.	yes		GeneID:153 (inhibits ADRB1)	GO:0004939 (inhibits beta-adrenergic receptor activity)							
BRD-A29349577-001-05-7	BRD-A29349577	"Dropropizine (R,S)"	Prestwick Chemical Inc.	yes				MeSH:D003371 (Cough)	UseClass:8085 (anti-tussive)					
BRD-A29426959-050-05-8	BRD-A29426959	Carbinoxamine maleate salt	Prestwick Chemical Inc.	yes		GeneID:3269 (inhibits HRH1)								
BRD-A29644307-050-05-5	BRD-A29644307	Nomifensine maleate	Prestwick Chemical Inc.	yes				MeSH:D003863 (Depression)	UseClass:8119 (anti-depressant)					
BRD-A29731977-001-02-9	BRD-A29731977	HYDROXYPROGESTERONE CAPROATE	MicroSource Discovery Systems Inc.	yes					UseClass:8141 (hormonal agent)					
BRD-A29734509-001-03-8	BRD-A29734509	Disopyramide	Prestwick Chemical Inc.	yes				"MeSH:D001145 (Arrhythmias, Cardiac)"	UseClass:8090 (anti-arrhythmic)					
BRD-A29734509-011-02-9	BRD-A29734509	DISOPYRAMIDE PHOSPHATE	MicroSource Discovery Systems Inc.	yes				"MeSH:D001145 (Arrhythmias, Cardiac)"	UseClass:8090 (anti-arrhythmic)					
BRD-A31521121-001-05-8	BRD-A31521121	Methocarbamol	Prestwick Chemical Inc.	yes				MeSH:D013035 (Spasm)	UseClass:8132 (muscle relaxant (spasmolytic))					
BRD-A32673558-003-02-1	BRD-A32673558	ACECLIDINE HYDROCHLORIDE	MicroSource Discovery Systems Inc.	yes					UseClass:8113 (cns agent)					
BRD-A33614871-001-02-8	BRD-A33614871	ESTRADIOL DIACETATE	MicroSource Discovery Systems Inc.	yes					UseClass:8141 (hormonal agent)					
BRD-A34145622-003-05-3	BRD-A34145622	Demeclocycline hydrochloride	Prestwick Chemical Inc.	yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)					
BRD-A35623999-001-03-2	BRD-A35623999	CGP-37157	Biomol International Inc.	yes			GO:0006816 (inhibits calcium ion transport);GO:0005432 (inhibits calcium:sodium antiporter activity);GO:0006814 (inhibits sodium ion transport);GO:0005245 (inhibits voltage-gated calcium channel activity)							
BRD-A36010170-001-02-4	BRD-A36010170	AMCINONIDE	MicroSource Discovery Systems Inc.	yes				MeSH:D007249 (Inflammation)	UseClass:8071 (anti-inflammatory)					
BRD-A36217750-001-05-6	BRD-A36217750	Sulfinpyrazone	Prestwick Chemical Inc.	yes			GO:0004955 (inhibits prostaglandin receptor activity)	MeSH:D006073 (Gout);MeSH:D033461 (Hyperuricemia);MeSH:D012216 (Rheumatic Diseases)	UseClass:8102 (anti-coagulant)					
BRD-A37441042-003-02-2	BRD-A37441042	TULOBUTEROL	MicroSource Discovery Systems Inc.	yes		GeneID:154 (activates ADRB2)		MeSH:D001249 (Asthma)	UseClass:8078 (anti-asthmatic);UseClass:8088 (bronchodilator)					
BRD-A38076815-003-03-8	BRD-A38076815	Glafenine hydrochloride	Prestwick Chemical Inc.	yes				MeSH:D007249 (Inflammation);MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8071 (anti-inflammatory)					
BRD-A38350138-001-02-3	BRD-A38350138	KETOCONAZOLE	MicroSource Discovery Systems Inc.	yes				MeSH:D009181 (Mycoses)	UseClass:8105 (anti-fungal)					
BRD-A38675539-001-01-0	BRD-A38675539	CYCLOTHIAZIDE	Biomol International Inc.	yes				MeSH:D006973 (Hypertension)	UseClass:8091 (anti-hypertensive);UseClass:8153 (diuretic)					
BRD-A39415247-001-02-1	BRD-A39415247	NORETHINDRONE	MicroSource Discovery Systems Inc.	yes					UseClass:8142 (contraceptive)					
BRD-A39747742-001-02-7	BRD-A39747742	ESTRADIOL VALERATE	MicroSource Discovery Systems Inc.	yes					UseClass:8141 (hormonal agent)					
BRD-A41145729-001-02-7	BRD-A41145729	METHOPRENE ACID	Biomol International Inc.	yes			GO:0004886 (activates retinoid-X receptor activity)							
BRD-A41304429-001-04-9	BRD-A41304429	Practolol	Prestwick Chemical Inc.	yes		GeneID:153 (inhibits ADRB1)			UseClass:8089 (cardiovascular agent)					
BRD-A43974575-065-02-8	BRD-A43974575	TRANYLCYPROMINE SULFATE	MicroSource Discovery Systems Inc.	yes		GeneID:4128 (inhibits MAOA)	GO:0016491 (inhibits oxidoreductase activity)	MeSH:D003863 (Depression)	UseClass:8119 (anti-depressant)					
BRD-A43999749-004-02-5	BRD-A43999749	HOMATROPINE METHYLBROMIDE	MicroSource Discovery Systems Inc.	yes					UseClass:8124 (mydriatic)					
BRD-A44008656-036-05-0	BRD-A44008656	Doxylamine succinate	Prestwick Chemical Inc.	yes		GeneID:3269 (inhibits HRH1)			UseClass:8116 (sedative)					
BRD-A44863528-001-05-8	BRD-A44863528	Proglumide	Prestwick Chemical Inc.	yes			GO:0004951 (inhibits cholecystokinin receptor activity)		UseClass:8125 (gastrointestinal agent)					
BRD-A46393198-003-04-2	BRD-A46393198	Levamisole hydrochloride	Prestwick Chemical Inc.	yes				MeSH:D009349 (Nematode Infections)						
BRD-A48180038-003-05-2	BRD-A48180038	"Trihexyphenidyl-D,L Hydrochloride"	Prestwick Chemical Inc.	yes				MeSH:D010300 (Parkinson Disease)						
BRD-A48397526-001-02-2	BRD-A48397526	GEDUNIN	MicroSource Discovery Systems Inc.	yes				MeSH:D008288 (Malaria)	UseClass:8110 (anti-malarial)					
BRD-A48809242-001-02-9	BRD-A48809242	IB-MECA	Biomol International Inc.	yes		GeneID:140 (activates ADORA3)								
BRD-A49035384-003-04-0	BRD-A49035384	Methacycline hydrochloride	Prestwick Chemical Inc.	yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)					
BRD-A49172652-001-05-7	BRD-A49172652	Lansoprazole	Prestwick Chemical Inc.	yes				MeSH:D010437 (Peptic Ulcer)	UseClass:8125 (gastrointestinal agent)					
BRD-A49358627-001-03-9	BRD-A49358627	Ciprofibrate	Prestwick Chemical Inc.	yes		GeneID:5465 (activates PPARA)								
BRD-A49765801-001-02-5	BRD-A49765801	FLURANDRENOLIDE	MicroSource Discovery Systems Inc.	yes				MeSH:D007249 (Inflammation)	UseClass:8071 (anti-inflammatory)					
BRD-A50157456-065-02-4	BRD-A50157456	TERBUTALINE HEMISULFATE	MicroSource Discovery Systems Inc.	yes		GeneID:154 (activates ADRB2)	GO:0004016 (activates adenylate cyclase activity);GO:0004939 (activates beta-adrenergic receptor activity)	MeSH:D001249 (Asthma)	UseClass:8078 (anti-asthmatic);UseClass:8088 (bronchodilator)					
BRD-A50311610-300-05-4	BRD-A50311610	Meclozine dihydrochloride	Prestwick Chemical Inc.	yes		GeneID:3269 (inhibits HRH1)		MeSH:D014839 (Vomiting)	UseClass:8127 (anti-emetic);UseClass:8072 (anti-histamine)					
BRD-A50675702-001-03-0	BRD-A50675702	FIPRONIL	Biomol International Inc.	yes			GO:0005254 (inhibits chloride channel activity)							
BRD-A50684349-001-01-5	BRD-A50684349	FENOLDOPAM	Biomol International Inc.	yes	CBPROTID:1000385 (activates 5-hydroxytryptamine 2 receptor)	GeneID:1636 (inhibits ACE)								
BRD-A51820102-008-05-7	BRD-A51820102	Econazole nitrate	Prestwick Chemical Inc.	yes				MeSH:D009181 (Mycoses)	UseClass:8105 (anti-fungal)					
BRD-A52922642-001-02-9	BRD-A52922642	METHOXY VERAPAMIL	Biomol International Inc.	yes			GO:0005262 (affects calcium channel activity);GO:0006816 (inhibits calcium ion transport);GO:0005245 (inhibits voltage-gated calcium channel activity)							
BRD-A53176877-001-02-7	BRD-A53176877	METHYLPREDNISOLONE	MicroSource Discovery Systems Inc.	yes				MeSH:D007249 (Inflammation)	UseClass:8071 (anti-inflammatory)					
BRD-A53952395-003-05-3	BRD-A53952395	Prilocaine hydrochloride	Prestwick Chemical Inc.	yes					UseClass:8082 (anesthetic)					
BRD-A54236247-003-02-7	BRD-A54236247	RACEPHEDRINE HYDROCHLORIDE	MicroSource Discovery Systems Inc.	yes					UseClass:8113 (cns agent)					
BRD-A55272860-001-04-7	BRD-A55272860	(RS)-(+ -)-SULPIRIDE	Biomol International Inc.	yes		GeneID:1813 (inhibits DRD2)		MeSH:D003863 (Depression);MeSH:D014839 (Vomiting)	UseClass:8119 (anti-depressant);UseClass:8127 (anti-emetic)					
BRD-A55756846-001-05-5	BRD-A55756846	H7	Biomol International Inc.	yes			GO:0004697 (inhibits protein kinase C activity)							
BRD-A56675431-001-04-0	BRD-A56675431	Althiazide	Prestwick Chemical Inc.	yes				MeSH:D006973 (Hypertension)	UseClass:8091 (anti-hypertensive);UseClass:8153 (diuretic)					
BRD-A58048407-001-06-3	BRD-A58048407	NIMODIPINE	Biomol International Inc.	yes			GO:0005245 (inhibits voltage-gated calcium channel activity)	MeSH:D007511 (Ischemia);MeSH:D013345 (Subarachnoid Hemorrhage)	UseClass:8099 (anti-ischemic)					
BRD-A61221616-001-02-7	BRD-A61221616	MEDROXYPROGESTERONE ACETATE	MicroSource Discovery Systems Inc.	yes					UseClass:8142 (contraceptive)					
BRD-A61793559-001-05-7	BRD-A61793559	Metolazone	Prestwick Chemical Inc.	yes		GeneID:6559 (inhibits SLC12A3)			UseClass:8153 (diuretic)					
BRD-A62421304-004-05-6	BRD-A62421304	Mepenzolate bromide	Prestwick Chemical Inc.	yes					UseClass:8113 (cns agent)					
BRD-A62525898-001-02-9	BRD-A62525898	PREDNISONE	MicroSource Discovery Systems Inc.	yes				MeSH:D007249 (Inflammation)	UseClass:8071 (anti-inflammatory)					
BRD-A64092382-003-04-3	BRD-A64092382	Mexiletine hydrochloride	Prestwick Chemical Inc.	yes				"MeSH:D001145 (Arrhythmias, Cardiac)"	UseClass:8090 (anti-arrhythmic)					
BRD-A65440446-001-02-5	BRD-A65440446	CIMATEROL	Biomol International Inc.	yes			GO:0004939 (activates beta-adrenergic receptor activity)							
BRD-A65449987-001-02-1	BRD-A65449987	FLUNISOLIDE	MicroSource Discovery Systems Inc.	yes				MeSH:D006967 (Hypersensitivity);MeSH:D007249 (Inflammation)	UseClass:8077 (anti-allergy);UseClass:8071 (anti-inflammatory)					
BRD-A65767837-001-02-8	BRD-A65767837	HYDROCORTISONE ACETATE	MicroSource Discovery Systems Inc.	yes				MeSH:D007249 (Inflammation)	UseClass:8077 (anti-allergy);UseClass:8071 (anti-inflammatory)					
BRD-A66025870-237-05-1	BRD-A66025870	Phenethicillin potassium salt	Prestwick Chemical Inc.	yes				MeSH:D001424 (Bacterial Infections)						
BRD-A67862938-034-05-7	BRD-A67862938	Nafronyl oxalate	Prestwick Chemical Inc.	yes	CBPROTID:1000385 (inhibits 5-hydroxytryptamine 2 receptor)				UseClass:8092 (vasodilator)					
BRD-A68281735-001-03-8	BRD-A68281735	REV-5901	Biomol International Inc.	yes		GeneID:240 (inhibits ALOX5);GeneID:10800 (inhibits CYSLTR1)								
BRD-A69777949-001-05-1	BRD-A69777949	Flumequine	Prestwick Chemical Inc.	yes	CBPROTID:1000514 (inhibits DNA topoisomerase II)			MeSH:D001424 (Bacterial Infections)	UseClass:8103 (anti-infective agent);UseClass:8111 (antiseptic)					
BRD-A69786436-003-02-5	BRD-A69786436	EUCATROPINE HYDROCHLORIDE	MicroSource Discovery Systems Inc.	yes					UseClass:8124 (mydriatic)					
BRD-A74642112-001-01-0	BRD-A74642112	LIOTHYRONINE	MicroSource Discovery Systems Inc.	yes					UseClass:8143 (hormone therapy)					
BRD-A74667430-001-05-3	BRD-A74667430	Etodolac	Prestwick Chemical Inc.	yes		GeneID:5743 (inhibits PTGS2)		MeSH:D007249 (Inflammation);MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8071 (anti-inflammatory)					
BRD-A75172220-001-02-4	BRD-A75172220	HYDROCORTISONE	MicroSource Discovery Systems Inc.	yes				MeSH:D007249 (Inflammation)	UseClass:8071 (anti-inflammatory)					
BRD-A75552914-001-05-1	BRD-A75552914	Isoxicam	Prestwick Chemical Inc.	yes				MeSH:D005334 (Fever);MeSH:D007249 (Inflammation);MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8071 (anti-inflammatory);UseClass:8075 (anti-pyretic)					
BRD-A75726477-003-04-9	BRD-A75726477	Clenbuterol hydrochloride	Prestwick Chemical Inc.	yes		GeneID:154 (activates ADRB2)	GO:0004939 (activates beta-adrenergic receptor activity)		UseClass:8088 (bronchodilator);UseClass:8133 (smooth muscle relaxant)					
BRD-A75817871-001-02-6	BRD-A75817871	Blebbistatin	Biomol International Inc.	yes			GO:0006200 (inhibits ATP catabolic process);GO:0032060 (inhibits bleb assembly);GO:0016477 (inhibits cell migration);GO:0000916 (inhibits contractile ring contraction involved in cell cycle cytokinesis);GO:0000910 (inhibits cytokinesis);GO:0016905 (inhibits myosin heavy chain kinase activity)							
BRD-A75850590-003-05-6	BRD-A75850590	Lomefloxacin hydrochloride	Prestwick Chemical Inc.	yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)					
BRD-A76904477-003-02-5	BRD-A76904477	VESAMICOL HYDROCHLORIDE	MicroSource Discovery Systems Inc.	yes					UseClass:8132 (muscle relaxant (spasmolytic))					
BRD-A77291778-003-05-5	BRD-A77291778	Cyclopentolate hydrochloride	Prestwick Chemical Inc.	yes			GO:0004981 (inhibits muscarinic acetylcholine receptor activity)		UseClass:8124 (mydriatic);UseClass:8133 (smooth muscle relaxant)					
BRD-A78303415-001-02-7	BRD-A78303415	HYOSCYAMINE	MicroSource Discovery Systems Inc.	yes				MeSH:D013035 (Spasm)	UseClass:8132 (muscle relaxant (spasmolytic))					
BRD-A78877355-003-03-6	BRD-A78877355	Nefopam hydrochloride	Prestwick Chemical Inc.	yes				MeSH:D003863 (Depression);MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8119 (anti-depressant);UseClass:8132 (muscle relaxant (spasmolytic))					
BRD-A79672927-001-05-8	BRD-A79672927	Tropicamide	Prestwick Chemical Inc.	yes			GO:0004981 (inhibits muscarinic acetylcholine receptor activity)		UseClass:8124 (mydriatic)					
BRD-A79981887-003-05-7	BRD-A79981887	Midodrine hydrochloride	Prestwick Chemical Inc.	yes			GO:0004937 (activates alpha1-adrenergic receptor activity)	MeSH:D007022 (Hypotension)	UseClass:8094 (vasoconstrictor)					
BRD-A80017228-001-05-9	BRD-A80017228	Bendroflumethiazide	Prestwick Chemical Inc.	yes					UseClass:8153 (diuretic)					
BRD-A80151636-066-02-2	BRD-A80151636	BROMOCRIPTINE MESYLATE	MicroSource Discovery Systems Inc.	yes		GeneID:1813 (activates DRD2)	GO:0004925 (inhibits prolactin receptor activity)	MeSH:D010300 (Parkinson Disease)	UseClass:8137 (anti-oxidant)					
BRD-A80908310-003-05-4	BRD-A80908310	Cloperastine hydrochloride	Prestwick Chemical Inc.	yes				MeSH:D003371 (Cough)	UseClass:8072 (anti-histamine);UseClass:8085 (anti-tussive)					
BRD-A82396632-001-03-0	BRD-A82396632	Miconazole	Prestwick Chemical Inc.	yes				MeSH:D009181 (Mycoses)	UseClass:8105 (anti-fungal)					
BRD-A82396632-008-02-7	BRD-A82396632	MICONAZOLE NITRATE	MicroSource Discovery Systems Inc.	yes				MeSH:D009181 (Mycoses)	UseClass:8105 (anti-fungal)					
BRD-A83859836-001-01-4	BRD-A83859836	TROPISETRON	Biomol International Inc.	yes	CBPROTID:1000421 (inhibits 5-hydroxytryptamine 3 receptor)			MeSH:D009325 (Nausea);MeSH:D014839 (Vomiting)	UseClass:8125 (gastrointestinal agent)					
BRD-A83937277-001-03-0	BRD-A83937277	Mephenytoin	Prestwick Chemical Inc.	yes				MeSH:D012640 (Seizures)	UseClass:8121 (anti-convulsant)					
BRD-A84174393-001-02-0	BRD-A84174393	MELOXICAM	MicroSource Discovery Systems Inc.	yes		GeneID:5743 (inhibits PTGS2)	GO:0008283 (inhibits cell proliferation);GO:0006954 (inhibits inflammatory response);GO:0004666 (inhibits prostaglandin-endoperoxide synthase activity)							
BRD-A84174873-001-05-2	BRD-A84174873	(+ -)-BACLOFEN	Biomol International Inc.	yes		GeneID:2550 (activates GABBR1)	GO:0004965 (activates GABA-B receptor activity);GO:0006813 (activates potassium ion transport)	MeSH:D013035 (Spasm)	UseClass:8132 (muscle relaxant (spasmolytic))					
BRD-A85651701-001-03-1	BRD-A85651701	CLOPAMIDE	MicroSource Discovery Systems Inc.	yes				MeSH:D006973 (Hypertension)	UseClass:8091 (anti-hypertensive);UseClass:8153 (diuretic)					
BRD-A87445400-003-02-8	BRD-A87445400	YOHIMBINE HYDROCHLORIDE	MicroSource Discovery Systems Inc.	yes			GO:0030103 (activates vasopressin secretion);GO:0004938 (inhibits alpha2-adrenergic receptor activity)	MeSH:D003863 (Depression);MeSH:D007022 (Hypotension)	UseClass:8082 (anesthetic);UseClass:8119 (anti-depressant);UseClass:8089 (cardiovascular agent)					
BRD-A87715314-003-05-2	BRD-A87715314	Pronethalol hydrochloride	Prestwick Chemical Inc.	yes			GO:0004939 (inhibits beta-adrenergic receptor activity)							
BRD-A88254928-001-04-6	BRD-A88254928	Salbutamol	Prestwick Chemical Inc.	yes			GO:0004939 (activates beta-adrenergic receptor activity);GO:0004940 (activates beta1-adrenergic receptor activity);GO:0004941 (activates beta2-adrenergic receptor activity)	MeSH:D001249 (Asthma);MeSH:D007249 (Inflammation)	UseClass:8078 (anti-asthmatic);UseClass:8071 (anti-inflammatory);UseClass:8088 (bronchodilator);UseClass:8132 (muscle relaxant (spasmolytic))					
BRD-A89237309-001-02-3	BRD-A89237309	VULPINIC ACID	MicroSource Discovery Systems Inc.	yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial);UseClass:8146 (herbicide)					
BRD-A89585551-003-03-4	BRD-A89585551	Mefloquine hydrochloride	Prestwick Chemical Inc.	yes				MeSH:D008288 (Malaria)	UseClass:8110 (anti-malarial)					
BRD-A90515964-001-05-8	BRD-A90515964	Guaifenesin	Prestwick Chemical Inc.	yes				MeSH:D001249 (Asthma);MeSH:D003371 (Cough);MeSH:D014985 (Xerophthalmia)	UseClass:8078 (anti-asthmatic);UseClass:8085 (anti-tussive);UseClass:8087 (expectorant)					
BRD-A91452556-001-02-4	BRD-A91452556	ESTRADIOL CYPIONATE	MicroSource Discovery Systems Inc.	yes					UseClass:8141 (hormonal agent)					
BRD-A91702150-236-02-4	BRD-A91702150	"ESTRADIOL-3-SULFATE, SODIUM SALT"	MicroSource Discovery Systems Inc.	yes					UseClass:8141 (hormonal agent)					
