Plate	Well	Plate_Well	Gene Identifier	Gene Symbol	Regulatory Hub	Nearest Human Homologue	Gene Name	Gene Model Status	Gene Symbol Synonyms	Severity of Adhesion Defect in Primary Screen	Severity of Adhesion Defect in Secondary Screen	Severity of Adhesion Defect in Secondary Screen (average of both repeats)	Has Phenotype	Phenotype Annotation Level	Phenotype 1
Secondary_003a	A1	Secondary_003a_A1	CG4328	CG4328	N/A	LIMX1B	CG4328	Current		1.67	1	1			
Secondary_003a	A10	Secondary_003a_A10	CG4678	CG4678	Peptidase proteins	CPD/E/MX1/MX2/N/X	CG4678	Current		1.67	2	1.67	yes	gene	defective cell-cell aggregation
Secondary_003a	A11	Secondary_003a_A11	CG4592	CG4592	Metabolism-related pathways	ECI1	CG4592	Current		2.67	2.67	2.83	yes	gene	defective cell-cell aggregation
Secondary_003a	A12	Secondary_003a_A12	CG4579	Nup154	Nuclear import and export proteins	Nup154	Nucleoporin 154kD	Current	Nup154 Nucleoporin 154 zonder kloten tulipano zk BcDNA:LD21772 l(2)10432 nup154 Nup32D tlp tip Nup155 nup32D l(2)01501 CG4579 ms(2)zk	2	1.67	2	yes	gene	defective cell-cell aggregation
Secondary_003a	A2	Secondary_003a_A2	CG32103	CG32103	N/A	SLC25A25	CG32103	Current	CG18022 CG4392		1.33	1.17			
Secondary_003a	A3	Secondary_003a_A3	CG4437	PGRP-LF	N/A	PGLYRP4	Peptidoglycan recognition protein LF	Current	Peptidoglycan-recognition protein-LF peptidoglycan recognition protein PRGP-like PGRP-like pgrp-lf PGRPLF CG4437 anon-WO0118547.581	2	1	1			
Secondary_003a	A4	Secondary_003a_A4	CG4545	SerT	"Channels, permeases, and transporters"	SLC6A1-14	Serotonin transporter	Current	Drosophila Serotonin transporter cocaine-sensitive serotonin transporter Drosophila serotonin transporter serotonin transporter dSerT dSert dSERT1 dSERT DmSerT SERT DmSERT Sert CG4545 dsert serT	2	2	1.83	yes	gene	defective cell-cell aggregation
Secondary_003a	A5	Secondary_003a_A5	CG32975	nAChRalpha5	"Channels, permeases, and transporters"	CHRNA1-10	nicotinic Acetylcholine Receptor alpha5	Current	nicotinic Acetylcholine Receptor_34E Dalpha5 nicotinic Acetylcholine Receptor alpha 34E BG:DS05899.5 nAChR Dalpha5 anon-WO02059370.44 lincRNA.S1055 nAcRalpha-34E BG:DS05899.4 CG16878 lincRNA.128 Nic 34E daf CG32975 CG4498 CT14633	1.67	1.67	1.83	yes	gene	defective cell-cell aggregation
Secondary_003a	A6	Secondary_003a_A6	CG4412	ATPsyn-Cf6	N/A	ATP5J	ATPase coupling factor 6	Current	ATPase coupling-factor 6 ATP synthase Coupling factor 6 F0/F1 ATP synthase Coupling factor 6 CG4412 BcDNA:RH08870	2	1.33	1.17			
Secondary_003a	A7	Secondary_003a_A7	CG4457	Srp19	Trafficking pathways	SRP19	Signal recognition particle protein 19	Current	Signal recognition particle 19 kD protein SRP19 srp19 CG4457	2.67	2	1.67	yes	gene	defective cell-cell aggregation
Secondary_003a	A8	Secondary_003a_A8	CG4624	VhaAC39-2	N/A	ATP6V0D1	Vacuolar H[+] ATPase AC39 subunit 2	Current	Vacuolar H[+] ATPase subunit AC39-2 CG4624 vhaAC39-2 anon-WO0118547.227	1.67	1	1			
Secondary_003a	A9	Secondary_003a_A9	CG4662	CG4662	N/A	EFHA2	CG4662	Current		2	1	1			
Secondary_003a	B1	Secondary_003a_B1	CG4594	CG4594	N/A	ECI1	CG4594	Current		2	1	1			
Secondary_003a	B10	Secondary_003a_B10	CG4869	betaTub97EF	Microtubule pathways	\xce\xb2-tubulin	beta-Tubulin at 97EF	Current	Beta tubulin beta tubulin Beta4-tubulin beta-Tubulin betatubulin beta-Tubulin at 97EF beta-tubulin beta4 tubulin tubulin beta-tub betaTub97EF CG4869 beta4 betaTub98C beta-Tub97EF DTB1 B4t 4t BETA 98B betaTub4 beta4t Dmbeta4 beta-Tub T Tub betaTub98BC beta97F	2	2.67	2.83	yes	gene	defective cell-cell aggregation
Secondary_003a	B11	Secondary_003a_B11	CG4770	CG4770	Metabolism-related pathways	FAR1 	CG4770	Current		1.67	3	3	yes	gene	defective cell-cell aggregation
Secondary_003a	B12	Secondary_003a_B12	CG4778	obst-B	Extracellular matrix components	N/A	obstructor-B	Current	CG4778 Obstructor-B CG4778 BcDNA:GH02976 CK00178 BEST:CK00178	2	2.33	2	yes	gene	defective cell-cell aggregation
Secondary_003a	B2	Secondary_003a_B2	CG4670	CG4670	N/A	QSOX1	CG4670	Current	DmQSOX1 QSOX1	1.67	1	1.17			
Secondary_003a	B3	Secondary_003a_B3	CG4615	CG4615	N/A	MMD 	CG4615	Current		2.33	1	1			
Secondary_003a	B4	Secondary_003a_B4	CG4674	CG4674	Trafficking pathways	ARRDC1-5	CG4674	Current	CG32471	2	2	1.67	yes	gene	defective cell-cell aggregation
Secondary_003a	B5	Secondary_003a_B5	CG4622	CG4622	N/A	ZCCHC8	CG4622	Current		1.67	1	1			
Secondary_003a	B6	Secondary_003a_B6	CG4787	CG34354	N/A	TIA1	CG4787	Current	CG12852 CG4787 CG12425 CG12852 cg4787 CG4787 CG12425	2	1	1			
Secondary_003a	B7	Secondary_003a_B7	CG4842	CG4842	N/A	HPGD	CG4842	Current		1.67	1	1			
Secondary_003a	B8	Secondary_003a_B8	CG4806	CG4806	N/A	RBM28	CG4806	Current	cg4806	2.67	1	1			
Secondary_003a	B9	Secondary_003a_B9	CG4767	Tektin-A	Microtubule pathways	TEKT1-5	Tektin A	Current	TEKTIN A Tektin-A BG:DS02252.2 anon-WO0140519.235 CG4767	1.67	1	1.83	yes	gene	defective cell-cell aggregation
Secondary_003a	C1	Secondary_003a_C1	CG3722	shg	Adherens junction pathways	E-cadherin	shotgun	Current	De-cadherin dE-Cadherin Cadherin-E DCAD2 epithelial cadherin Cadherin DE-cad D-cadherin DE-cadherin Shotgun/E-cadherin Shotgun DEcad D-Ecadherin eta-catenin de-cadherin dE-cadherin Drosophila E-Cadherin DE-Cadherin DE Cadherin e-cadherin E-cadherin Drosophila epithelial cadherin Drosophila E-cadherin compaction defects 5 DE cadherin ECadherin Ecadherin cadherin DE-CADHERIN E-Cadherin DE-cadherin/Shotgun DEcadherin l(2)10469 cadh DE Cad Ecad l(2)k03401 ECadh Cad E-Cadherin cad CG3722 DEC E-CAD de-cad ECad2 ECAD DE-CAD2 E-cad DE DECadh N-cad com5 DE-cadherin l(2)k10220 Cadh DE[cyto] DEcad Shg gp150 DE-Cad CT12481 DECad dEcad DE Cadh ECad DE-Cadherin DCAD E-cadherin DCad2 CADH D-CAD2 DE-Cad2 e-cad E-Cad DE-Cadh DE-cadh D-cad DCad shg/DE-Cad DCAD2 CadE DE-CAD DE-cad D E-cad	2.33	4	4	yes	gene	defective cell-cell aggregation
Secondary_003a	C10	Secondary_003a_C10	CG4821	Tequila	N/A	PRSS12	Tequila	Current	tequila CG4948 anon-EST:ParkEST161 CG4948 CK00198 teq graal SP72 CG18153 BEST:GH18038 CG18403 Teq CG4821 BEST:CK00198	1	1	1			
Secondary_003a	C11	Secondary_003a_C11	CG4933	CG4933	N/A	OSGEP	CG4933	Current		1.67	1.33	1.17			
Secondary_003a	C12	Secondary_003a_C12	CG5013	CG5013	Metabolism-related pathways	ACBD6/METTL23	CG5013	Current		1.67	3	2.33	yes	gene	defective cell-cell aggregation
Secondary_003a	C2	Secondary_003a_C2	CG11579	arm	Adherens junction pathways	beta-catenin	armadillo	Current	catenin Beta-catenin/Arm b-catenin Armadillo(Arm)/beta-catenin Armadillo beta-Catenin Armadillo/beta-catenin Beta-catenin Armadillo/bgr;-catenin betacatenin bgr;-catenin beta-catenin beta-catenin/Armadillo beta-catenin/Arm beta-cat-arm l(1)arm l(1)G0192 beta-Cat Arm EG:86E4.6 betacat Dm Arm t12687 ALR Dm ARM l(1)G0410 beta-cat l(1)2Bv l(1)G0234 CG11579 bgr;-Cat	3.67	4	4	yes	gene	defective cell-cell aggregation
Secondary_003a	C3	Secondary_003a_C3	CG17947	alpha-Cat	Adherens junction pathways	alpha-catenin	alpha Catenin	Current	alpha catenin DalphaCatenin alpha Catenin Dalpha-Catenin alpha-catenin alpha-Catenin alphaCatenin a-catenin D-alpha-catenin Dalpha-cadherin Dalpha-catenin Dalphacatenin alphacatenin alpha-ctn Dmcatp CG17947 DalphaC alphaCat Dalpha-Cat a-Cat alpha-Cat alpha-catenin Dalpha-cat a-cat CT39986 alpha-cat alpha-CAT Dalphacat LD30423p alphaCAT alphacat	3	3	3	yes	gene	defective cell-cell aggregation
Secondary_003a	C4	Secondary_003a_C4	CG4738	Nup160	Nuclear import and export proteins	NUP160	Nucleoporin 160kD	Current	CG4738 Nucleoporin 160 nuclear pore protein 160 lethal (2) SH2055 CG4738 nup160 Nup160[mel] l(2)SH2055 l(2)SH2 2055	1.67	2.67	2.5	yes	gene	defective cell-cell aggregation
Secondary_003a	C5	Secondary_003a_C5	CG31092	LpR2	Other pathways	LDLR/VLDLR	Lipophorin receptor 2	Current	a2M-receptor-like LDLR-like low-density lipoprotein receptor LpR2 LDL-receptor-related protein lipophorin receptor 2 Lpr2 lpr2 CG4823 CG4834 CG31092 LDLR	1.67	1.67	1.67	yes	gene	defective cell-cell aggregation
Secondary_003a	C6	Secondary_003a_C6	CG4957	CG4957	Other pathways	TACO1	CG4957	Current		2	1.67	1.67	yes	gene	defective cell-cell aggregation
Secondary_003a	C7	Secondary_003a_C7	CG32921		N/A	SLC13A2	CG32921				1	1			
Secondary_003a	C8	Secondary_003a_C8	CG4978	Mcm7	N/A	MCM7	Minichromosome maintenance 7	Current	minichromosome maintenance 7 Minichromosome maintenance-PCR1 Mcp-PCR1 CG4978 PCR1 mcm7 McM7 DmeMCM7 MCM7 clone 1.66 DmMCM7 anon-EST:Liang-1.66	1.67	1	1			
Secondary_003a	C9	Secondary_003a_C9	CG32778	CG43689	Nuclear-associated pathways	MYT1L	CG32778	Current	CG32778 CG4985 CG15376 CG43284 CG32790		1.33	1.83	yes	gene	defective cell-cell aggregation
Secondary_003a	D1	Secondary_003a_D1	CG4903	MESR4	Other pathways	N/A	Misexpression suppressor of ras 4	Current	misexpression suppressor of Ras4 Misexpression of Ras 4 EP0988 CG4903 EP0386 Mesr4 EP988 EP(2)0988	2	1.67	2	yes	gene	defective cell-cell aggregation
Secondary_003a	D10	Secondary_003a_D10	CG5323	CG5323	Uncharacterized proteins	FAM136A	CG5323	Current		2	3	2.17	yes	gene	defective cell-cell aggregation
Secondary_003a	D11	Secondary_003a_D11	CG5330	Nap1	N/A	NAP1L1	Nucleosome assembly protein 1	Current	nucleosome assembly protein 1 dNAP1 NAP-1 dNAP-1 Nap-1 CG5330 p56/dCAF-4 dNap nap1 dNap1 NAP1	2	1	1			
Secondary_003a	D12	Secondary_003a_D12	CG5371	RnrL	Nuclear-associated pathways	Rrm1	Ribonucleoside diphosphate reductase large subunit	Current	ribonucleoside-diphosphate reductase large subunit Ribonucleoside diphosphate reductase M1 subunit CG5371 RntL l(2)k06709 RnrM1 DmRNR1 RNR1	2	3	3	yes	gene	defective cell-cell aggregation
Secondary_003a	D2	Secondary_003a_D2	CG4921	Rab4	Trafficking pathways	Rab4	Rab4	Current	Rab-protein 4 Q7KY04 DmRab4 CG 4921 CG4921 DRAB4 RAB4c rab4	2.67	1.67	1.67	yes	gene	defective cell-cell aggregation
Secondary_003a	D3	Secondary_003a_D3	CG5017	hanabi	Nuclear-associated pathways	NAP1L1	hanabi	Current	CG5017	1.67	1.67	1.67	yes	gene	defective cell-cell aggregation
Secondary_003a	D4	Secondary_003a_D4	CG5036	CG5036	N/A	RGS20	CG5036	Current	EG:52C10.2	2	1	1			
Secondary_003a	D5	Secondary_003a_D5	CG32031	Argk	N/A	CKB	Arginine kinase	Current	arginine kinase insect intestinal mucin iim22 CG4929 argK ArgK AK-1 argk ARK AK CG5173 CG32031		1.33	1.17			
Secondary_003a	D6	Secondary_003a_D6	CG31096	Lgr3	GPCR-related pathways	RXFP1/2	Leucine-rich repeat-containing G protein-coupled receptor 3	Current	Lgr3 CG5042 CT16193 anon-WO0170980.26 anon-WO0170980.25 DLGR3 CG5046 CG31096	2.67	2.67	2.5	yes	gene	defective cell-cell aggregation
Secondary_003a	D7	Secondary_003a_D7	CG5198	holn1	Other pathways	CD2BP2	hole-in-one	Current	CG5198	1.67	2.67	2.17	yes	gene	defective cell-cell aggregation
Secondary_003a	D8	Secondary_003a_D8	CG5203	CHIP	Quality control pathways	STUB1	CHIP	Current	dCHIP CG5203 Chip	2	2.67	2.17	yes	gene	defective cell-cell aggregation
Secondary_003a	D9	Secondary_003a_D9	CG5168	CG5168	Other pathways	WDFY1	CG5168	Current		1.67	3.33	2.67	yes	gene	defective cell-cell aggregation
Secondary_003a	E1	Secondary_003a_E1	CG5374	T-cp1	N/A	TCP1	Tcp1-like	Current	T-complex 1 Tcp-1 Tcp1-alpha Tcp1-like BEST:GH05123 T-cpl CCT1 gh05123 TCP-1alpha Tcp1 T-CP1 CG5374 TCPA_DROME	2	1	1			
Secondary_003a	E10	Secondary_003a_E10	CG5397	CG5397	N/A	CES1	CG5397	Current	CT16527	1.67	1	1			
Secondary_003a	E11	Secondary_003a_E11	CG5398	CG5398	N/A	AQP2	CG5398	Current	anon-WO0140519.151 Aqp5398	1.67	1	1			
Secondary_003a	E12	Secondary_003a_E12	CG5522	CG5522	N/A	RALGPS1	CG5522	Current	RalGPS RasGPS	1.67	1.33	1.17			
Secondary_003a	E2	Secondary_003a_E2	CG5262	CG5262	N/A	TMEM104	CG5262	Current	anon-WO0118547.347	1.67	1	1			
Secondary_003a	E3	Secondary_003a_E3	CG5315	AdipoR	N/A	ADIPOR2	Adiponectin receptor	Current	adiponectin receptor dAdipoR CG5315	1.67	1	1			
Secondary_003a	E4	Secondary_003a_E4	CG5363	cdc2	Kinases and Phosphatases	CDC2	cdc2	Current	protein 2 CDC2 kinase cyclin-dependent kinase 1 cdc2 kinase Cell division control Cdc2 kinase cyclin-dependent kinase cyclin dependent kinase CDC2 Cdc2 CDK1 Cdk-1 DmCdc2 CDCDm 5363 Dmcdc2 Dm cdc2 l(2)31Eh cdc dCdk1 Cdk1 cdc2Dm CG5363 Dcdc2 group 4 CDK1/CDC2 cdk1 DmCdk1	2	2.67	2	yes	gene	defective cell-cell aggregation
Secondary_003a	E5	Secondary_003a_E5	CG5387	Cdk5alpha	Kinases and Phosphatases	CDK5R1	Cdk5 activator-like protein	Current	D-p35 p25 p35 Cdk5a p35-21C CG5387 Dp35 Cdk5alpha P35 dCdk5alpha p35-31C	2.67	3.33	3	yes	gene	defective cell-cell aggregation
Secondary_003a	E6	Secondary_003a_E6	CG5428	St1	Metabolism-related pathways	SULT1A/B/C/D	Sulfotransferase 1	Current	CG5428 dmST1	1.67	3	2.83	yes	gene	defective cell-cell aggregation
Secondary_003a	E7	Secondary_003a_E7	CG5430	a5	N/A	PEBP1	antennal protein 5	Current	CG5430 A5	1.67	1	1			
Secondary_003a	E8	Secondary_003a_E8	CG5411	Pde8	N/A	PDE8B	Phosphodiesterase 8	Current	CG45019 pde8 CG42241 PDE8 CG5411	1.67	1	1			
Secondary_003a	E9	Secondary_003a_E9	CG5431	St3	Metabolism-related pathways	SULT1A/B/C/D	Sulfotransferase 3	Current	CG44167 dmST3 CG5431 CG11293	1.67	2	2.17	yes	gene	defective cell-cell aggregation
Secondary_003a	F1	Secondary_003a_F1	CG5610	nAChRalpha1	N/A	CHRNA3	nicotinic Acetylcholine Receptor alpha1	Current	ALS alpha-Like Subunit nicotinic Acetylcholine Receptor alpha 96Aa Dalpha1 nicotinic acetylcholine receptor alpha-like alpha-like subunit alpha-like-subunit Nicotinic Acetylcholine Receptor alpha-96Aa Acr96Aa nAChR ALS nAcRalpha-96Aa als ALs nAcRs alpha1 alpha-like Acr96A CG5610-PA Dalpha1 nAcr96Aa CG5610 AcrB dALS	1.67	1	1			
Secondary_003a	F10	Secondary_003a_F10	CG5873	CG5873	Metabolism-related pathways	PXDN	CG5873	Current		1.67	1.67	1.67	yes	gene	defective cell-cell aggregation
Secondary_003a	F11	Secondary_003a_F11	CG5737	dmrt93B	Nuclear-associated pathways	DMRT2	doublesex-Mab related 93B	Current	dmrt93b CG5737	1.67	2	1.67	yes	gene	defective cell-cell aggregation
Secondary_003a	F12	Secondary_003a_F12	CG5757	CG5757	Metabolism-related pathways	DTYMK	CG5757	Current		1.67	2.67	1.83	yes	gene	defective cell-cell aggregation
Secondary_003a	F2	Secondary_003a_F2	CG5590	CG5590	Metabolism-related pathways	HSDL2	CG5590	Current		1.67	2	1.67	yes	gene	defective cell-cell aggregation
Secondary_003a	F3	Secondary_003a_F3	CG5575	ken	N/A	BCL6	ken and barbie	Current	Ken & Barbie ken-and-barbie Ken and Barbie ken & barbie P420 l(2)00628 3907 BCL-6/KEN 2970 Ken CG5575 l(2)05029 5029 KEN l(2)02970 8253 ok okina	2	1	1			
Secondary_003a	F4	Secondary_003a_F4	CG5659	ari-1	N/A	ARIH1	ariadne	Current	Ariadne Ariadne-1 HL-V ari l(1)16Fj ari-1a Ari-1 ARI1_DROME CG5659	1.67	1	1			
Secondary_003a	F5	Secondary_003a_F5	CG5682	Edem2	N/A	EDEM3	Edem2	Current	CG5682 EDEM2 CG5682 edem2	1.67	1	1			
Secondary_003a	F6	Secondary_003a_F6	CG5625	Vps35	Trafficking pathways	Vps35	Vacuolar protein sorting 35	Current	CG5625 Dvps35 vps35 DVps35 dvps35 CG5625 Vps35	3	1.67	1.83	yes	gene	defective cell-cell aggregation
Secondary_003a	F7	Secondary_003a_F7	CG5650	Pp1-87B	N/A	PPP1CC	Protein phosphatase 1 at 87B	Current	Protein phosphatase 1 Suppressor of variegation protein phosphatase 1 Pp-1alpha PP1alpha[[2]] DmPp1-87B Su(var)(3)6 PP1-87B 87B PP1c 87B Su-var(3)6 Su(Var)3-6 PP-1alpha PP1 beta87b PP1c pp1-87B CG5650 Pp1 su-var(3)6 l(3)ck19 PP1alpha-87B PP1A87B PP187B l(3)j6E7 Su(var)3-6 ck19 PP1alpha87B Ppl-87B PP1 87B Pp1-87Bb Pp1alpha-87B PP1 Suvar(3)6 l(3)87Bg	3	1	1			
Secondary_003a	F8	Secondary_003a_F8	CG5651	pix	Dropped	ABCE1	pixie	Current	pixie Pixie BEST:GH18088 CG5651 E3-c	3.67	2.33	2.5			
Secondary_003a	F9	Secondary_003a_F9	CG5652	drd	Other pathways	N/A	drop dead	Current	drop-dead CG33968 lot's wife beltless lots wife CG5652 CG32589 lwf CG33968 blt BcDNA:GM06434 beltless	1.67	2.33	1.83	yes	gene	defective cell-cell aggregation
Secondary_003a	G1	Secondary_003a_G1	CG5844	CG5844	Uncharacterized proteins	ECHDC2	CG5844	Current	Enoyl-CoA hydratase	1.67	2.67	2.5	yes	gene	defective cell-cell aggregation
Secondary_003a	G10	Secondary_003a_G10	CG5905	Nep1	Peptidase proteins	Neprilysin 1	Neprilysin 1	Current	dNEP1 CG5894 CG5905 DmeNEP1 nep1 NEP CG5914 NEP1	2.33	2	1.67	yes	gene	defective cell-cell aggregation
Secondary_003a	G11	Secondary_003a_G11	CG6013	CG6013	Uncharacterized proteins	CCDC124	CG6013	Current		2	3.67	3	yes	gene	defective cell-cell aggregation
Secondary_003a	G12	Secondary_003a_G12	CG6057	SMC1	N/A	SMC1A	SMC1	Current	cohesin complex subunit SMC1 Smc1 cohesin subunit cohesin subunit SMC1 cohesin smc1 CG6057 Smc1 DmSMC1 dSMC1	3	1.33	1.17			
Secondary_003a	G2	Secondary_003a_G2	CG5786	ppan	N/A	PPAN	peter pan	Current	Peter Pan peterpan PPAN l(3)02231 CG5786 Ppan l(3)j6B6	1.67	1	1			
Secondary_003a	G3	Secondary_003a_G3	CG5830	CG5830	N/A	CTDSP1	CG5830	Current		2.67	1	1			
Secondary_003a	G4	Secondary_003a_G4	CG5955	CG5955	N/A	TDH	CG5955	Current		2.33	1	1			
Secondary_003a	G5	Secondary_003a_G5	CG31064	CG31064	N/A	RUFY3	CG31064	Current	CG14261 CG6001		1	1			
Secondary_003a	G6	Secondary_003a_G6	CG5940	CycA	Other pathways	Cyclin A	Cyclin A	Current	cyclinA Suppressor of rux 3B CyclinA rose-gespleten region interval 11 cyclin A l(3)rsg11 CYCA 0046/23 l(3)183 l(3)03946 CLD3 anon-WO0140519.128 0104/07 1329/16 1449/05 0521/06 0033/02 0245/34 l(3)j3C8 0040/24 cycA l(3)neo114 CG5940 Cyc A dCycA 0545/13 rsg11 DmcycA S(rux)3B l(3)68Ea hari	3.33	2.67	2.5	yes	gene	defective cell-cell aggregation
Secondary_003a	G7	Secondary_003a_G7	CG6049	barc	N/A	HTATSF1	barricade	Current	cus2 Tat-SF1 CG6049 cg6049	2.33	1.33	1.17			
Secondary_003a	G8	Secondary_003a_G8	CG6051	CG6051	N/A	ZFYVE28	CG6051	Current		1.67	1	1			
Secondary_003a	G9	Secondary_003a_G9	CG6052	CG6052	N/A	ABCA3	CG6052	Current		2	1.33	1.17			
Secondary_003a	H1	Secondary_003a_H1	CG5915	Rab7	Trafficking pathways	Rab7	Rab7	Current	Rab-protein 7 Rab-r7 O76742 RAB7 AAF56218 Rab-7 rab7 CG5915 DmRab7 DRab7 Drab7 Dm Rab7 DRAB7	1.67	3	3	yes	gene	defective cell-cell aggregation
Secondary_003a	H10	Secondary_003a_H10	CG6223	betaCop	Trafficking pathways	\xce\xb2-coatomer	beta-coatomer protein	Current	COPI beta subunit betaCop beta-Cop bcop betaCOP CG6223 COPI BcDNA.GH09317 beta-COP BcDNA:GH09317 Beta Cop BetaCop betaCop beta-CopII	2.33	2.67	2.17	yes	gene	defective cell-cell aggregation
Secondary_003a	H11	Secondary_003a_H11	CG6206	LM408	Metabolism-related pathways	MAN2B1	Lysosomal alpha-mannosidase	Current	class II lysosomal alpha-mannosidase lysosomal alpha-mannosidase lysosomal mannosidase BcDNA:GH02419 dLM CG6206 dLM408	1.67	2	1.67	yes	gene	defective cell-cell aggregation
Secondary_003a	H12	Secondary_003a_H12	CG6364	CG6364	N/A	UCK2	CG6364	Current	Uck2 CR42873	1.67	1	1			
Secondary_003a	H2	Secondary_003a_H2	CG6142	CG6142	N/A	CHDH	CG6142	Current		1.67	1	1			
Secondary_003a	H3	Secondary_003a_H3	CG6144	CG6144	N/A	ALKBH6	CG6144	Current		1.67	1.33	1.17			
Secondary_003a	H4	Secondary_003a_H4	CG6168	CG6168	N/A	QPCT	CG6168	Current		2	1	1			
Secondary_003a	H5	Secondary_003a_H5	CG6182	CG6182	N/A	TBC1D7	CG6182	Current	BcDNA:LD17019	1.67	1.33	1.17			
Secondary_003a	H6	Secondary_003a_H6	CG6215	CkIIalpha-i1	Nuclear-associated pathways	ZBTB16	CKII-alpha subunit interactor-1	Current	CKIIalpha-iI CG6215 CkIIalpha-i1 dCKIIalpha-i1 DmA35 ZFP47 CKIIalpha-I1	2	1.67	1.67	yes	gene	defective cell-cell aggregation
Secondary_003a	H7	Secondary_003a_H7	CG6187	RluA-2	N/A	RPUSD2	RluA-2	Current	CG6187 yumo	1.67	1	1			
Secondary_003a	H8	Secondary_003a_H8	CG6083	CG6083	N/A	AKR1A1	CG6083	Current		1.67	1	1			
Secondary_003a	H9	Secondary_003a_H9	CG6113	Lip4	N/A	LIPA	Lipase 4	Current	lipase 4 CG6113 lipase4 CG6113 dLip4	1.67	1	1			
Secondary_003b	A1	Secondary_003b_A1	CG4328	CG4328	N/A	LIMX1B	CG4328	Current		1.67	1	1			
Secondary_003b	A10	Secondary_003b_A10	CG4678	CG4678	Peptidase proteins	CPD/E/MX1/MX2/N/X	CG4678	Current		1.67	1.33	1.67	yes	gene	defective cell-cell aggregation
Secondary_003b	A11	Secondary_003b_A11	CG4592	CG4592	Metabolism-related pathways	ECI1	CG4592	Current		2.67	3	2.83	yes	gene	defective cell-cell aggregation
Secondary_003b	A12	Secondary_003b_A12	CG4579	Nup154	Nuclear import and export proteins	Nup154	Nucleoporin 154kD	Current	Nup154 Nucleoporin 154 zonder kloten tulipano zk BcDNA:LD21772 l(2)10432 nup154 Nup32D tlp tip Nup155 nup32D l(2)01501 CG4579 ms(2)zk	2	2.33	2	yes	gene	defective cell-cell aggregation
Secondary_003b	A2	Secondary_003b_A2	CG32103	CG32103	N/A	SLC25A25	CG32103	Current	CG18022 CG4392		1	1.17			
Secondary_003b	A3	Secondary_003b_A3	CG4437	PGRP-LF	N/A	PGLYRP4	Peptidoglycan recognition protein LF	Current	Peptidoglycan-recognition protein-LF peptidoglycan recognition protein PRGP-like PGRP-like pgrp-lf PGRPLF CG4437 anon-WO0118547.581	2	1	1			
Secondary_003b	A4	Secondary_003b_A4	CG4545	SerT	"Channels, permeases, and transporters"	SLC6A1-14	Serotonin transporter	Current	Drosophila Serotonin transporter cocaine-sensitive serotonin transporter Drosophila serotonin transporter serotonin transporter dSerT dSert dSERT1 dSERT DmSerT SERT DmSERT Sert CG4545 dsert serT	2	1.67	1.83	yes	gene	defective cell-cell aggregation
Secondary_003b	A5	Secondary_003b_A5	CG32975	nAChRalpha5	"Channels, permeases, and transporters"	CHRNA1-10	nicotinic Acetylcholine Receptor alpha5	Current	nicotinic Acetylcholine Receptor_34E Dalpha5 nicotinic Acetylcholine Receptor alpha 34E BG:DS05899.5 nAChR Dalpha5 anon-WO02059370.44 lincRNA.S1055 nAcRalpha-34E BG:DS05899.4 CG16878 lincRNA.128 Nic 34E daf CG32975 CG4498 CT14633	1.67	2	1.83	yes	gene	defective cell-cell aggregation
Secondary_003b	A6	Secondary_003b_A6	CG4412	ATPsyn-Cf6	N/A	ATP5J	ATPase coupling factor 6	Current	ATPase coupling-factor 6 ATP synthase Coupling factor 6 F0/F1 ATP synthase Coupling factor 6 CG4412 BcDNA:RH08870	2	1	1.17			
Secondary_003b	A7	Secondary_003b_A7	CG4457	Srp19	Trafficking pathways	SRP19	Signal recognition particle protein 19	Current	Signal recognition particle 19 kD protein SRP19 srp19 CG4457	2.67	1.33	1.67	yes	gene	defective cell-cell aggregation
Secondary_003b	A8	Secondary_003b_A8	CG4624	VhaAC39-2	N/A	ATP6V0D1	Vacuolar H[+] ATPase AC39 subunit 2	Current	Vacuolar H[+] ATPase subunit AC39-2 CG4624 vhaAC39-2 anon-WO0118547.227	1.67	1	1			
Secondary_003b	A9	Secondary_003b_A9	CG4662	CG4662	N/A	EFHA2	CG4662	Current		2	1	1			
Secondary_003b	B1	Secondary_003b_B1	CG4594	CG4594	N/A	ECI1	CG4594	Current		2	1	1			
Secondary_003b	B10	Secondary_003b_B10	CG4869	betaTub97EF	Microtubule pathways	\xce\xb2-tubulin	beta-Tubulin at 97EF	Current	Beta tubulin beta tubulin Beta4-tubulin beta-Tubulin betatubulin beta-Tubulin at 97EF beta-tubulin beta4 tubulin tubulin beta-tub betaTub97EF CG4869 beta4 betaTub98C beta-Tub97EF DTB1 B4t 4t BETA 98B betaTub4 beta4t Dmbeta4 beta-Tub T Tub betaTub98BC beta97F	2	3	2.83	yes	gene	defective cell-cell aggregation
Secondary_003b	B11	Secondary_003b_B11	CG4770	CG4770	Metabolism-related pathways	FAR1 	CG4770	Current		1.67	3	3	yes	gene	defective cell-cell aggregation
Secondary_003b	B12	Secondary_003b_B12	CG4778	obst-B	Extracellular matrix components	N/A	obstructor-B	Current	CG4778 Obstructor-B CG4778 BcDNA:GH02976 CK00178 BEST:CK00178	2	1.67	2	yes	gene	defective cell-cell aggregation
Secondary_003b	B2	Secondary_003b_B2	CG4670	CG4670	N/A	QSOX1	CG4670	Current	DmQSOX1 QSOX1	1.67	1.33	1.17			
Secondary_003b	B3	Secondary_003b_B3	CG4615	CG4615	N/A	MMD 	CG4615	Current		2.33	1	1			
