Plate	Well	Plate_Well	Gene Identifier	Gene Symbol	Gene Name	Gene Model Status	Gene Symbol Synonyms	Severity of Adhesion Defect	Gene In Secondary Screen	Has Phenotype	Phenotype Annotation Level	Phenotype 1
Primary_025	C11	Primary_025_C11	CG5789	CG5789		Current	Dme_CG5789	1	no			
Primary_025	C12	Primary_025_C12	CG5790	CG5790		Current	CDC 7-related	1	no			
Primary_025	C2	Primary_025_C2	CG5755	CG5755		Current	anon-WO0140519.163	1	no			
Primary_025	C3	Primary_025_C3	CG5757	CG5757		Current		1.67	yes	yes	gene	defective cell-cell aggregation
Primary_025	C4	Primary_025_C4	CG5760	rtet	tetracycline resistance	Current	Drtet BcDNA:LD28419 anon-WO0119857.1 l(3)07086 CG5760	1.33	no			
Primary_025	C5	Primary_025_C5	CG5771	Rab11	Rab11	Current	Rab-protein 11 lethal(3)93Bi O18335 rlr7 rab-11 DRAB11 l(3)j2D1 RAB11 Rab-11 AAF55850 DRab11 DmRab11 rab11 Drab11 l(3)93Bi Rab 11 Rab-r11 Dm Rab11 CG5771	1	no			
Primary_025	C6	Primary_025_C6	CG5772	Sur	Sulfonylurea receptor	Current	sulfonyl urea receptor Sulphonylurea receptor sulfonylurea receptor dSUR Dme_CG5772 sur Dsur dsur SUR dSur cyo BEST:CK00325 CYO CG5772 CK00325	1	no			
Primary_025	C7	Primary_025_C7	CG5776	CG5776		Current		1	no			
Primary_025	C8	Primary_025_C8	CG5784	Mapmodulin	Mapmodulin	Current	anon-fast-evolving-3A2 CT42180 CT18148 anon-EST:fe3A2 Anp32a CG5784	1	no			
Primary_025	C9	Primary_025_C9	CG5786	ppan	peter pan	Current	Peter Pan peterpan PPAN l(3)02231 CG5786 Ppan l(3)j6B6	1.67	yes	yes	gene	defective cell-cell aggregation
Primary_025	D1	Primary_025_D1	CG5793	CG5793		Current	FBgn0038858	1	no			
Primary_025	D10	Primary_025_D10	CG5808	CG5808		Current	BcDNA:GH01073 UKL cg5808	1	no			
Primary_025	D11	Primary_025_D11	CG5810	CG5810		Current	CT18214	1	no			
Primary_025	D12	Primary_025_D12	CG5811	RYa-R	RYamide receptor	Current	Neuropeptide Y receptor-like RYamide receptor Dm RYa-R anon-WO0131005.15 NepYr CG5811 anon-WO0131005.13 CG5811/107368 PR4	1	no			
Primary_025	D2	Primary_025_D2	CG5794	CG5794		Current	NEST:bs19d10 BcDNA:AT28817	1	no			
Primary_025	D3	Primary_025_D3	CG5797	Fhos	Formin homology 2 domain containing ortholog	Current	CG32030 Fhos desert lethal (3) 01629 jazigo CG32030 CG32025 CG42610 jaz CG5775 l(3)01629 desert dFHOS CG5797	1	no			
Primary_025	D4	Primary_025_D4	CG5798	Ubpy	UBPY ortholog	Current	CT18196 CG5798 usp8 USP8 dUBPY	1	no			
Primary_025	D5	Primary_025_D5	CG5799	dve	defective proventriculus	Current	Defective proventriculus Defective Proventriculus compass CG5799 Dve-s dep Dve SATB1 l(2)01738	1	no			
Primary_025	D6	Primary_025_D6	CG5800	CG5800		Current	DmRH14 cg5800	1	no			
Primary_025	D7	Primary_025_D7	CG5802	meigo	medial glomeruli	Current	NEST:bs03h03 anon-fast-evolving-1H6 CG5802 NEST:bs03h03 anon-EST:fe1H6	1	no			
Primary_025	D8	Primary_025_D8	CG5805	CG5805		Current		1	no			
Primary_025	D9	Primary_025_D9	CG5807	CG5807		Current	BcDNA:GH12663 anon-WO0118547.355	1	no			
Primary_025	E1	Primary_025_E1	CG5814	CycB3	Cyclin B3	Current	CycB3 Cyclin B3 CyclinB3 cyclin B3 CG5814 Cyc B3 cycB3 anon-WO0118547.414 l(3)L6540	1	no			
Primary_025	E10	Primary_025_E10	CG5828	CG5828		Current		1	no			
Primary_025	E11	Primary_025_E11	CG5830	CG5830		Current		2.67	yes	yes	gene	defective cell-cell aggregation
Primary_025	E12	Primary_025_E12	CG5832	Hmx	H6-like-homeobox	Current	CG5829 CG43748 CG5829 DHmx CG34419 CG18139 CG5832	1	no			
Primary_025	E2	Primary_025_E2	CG5818	mRpL4	mitochondrial ribosomal protein L4	Current	lethal(2)35Fe mitochondrial ribosomal protein large subunit 4 L4 Rpl4 l(2)35Fe BG:DS02740.17 CG5818 l35Fe mrpL4 l(2)k14608	1	no			
Primary_025	E3	Primary_025_E3	CG5819	CG5819		Current	tartan/capricious-like CT18212 5819	1	no			
Primary_025	E4	Primary_025_E4	CG5820	Gp150	Gp150	Current	anon-fast-evolving-2A1 glycoprotein 150 CG5820 anon-EST:fe2A1 p150 GP150 l(2)52A gp150 CT18251	1	no			
Primary_025	E5	Primary_025_E5	CG5821	qkr58E-2	quaking related 58E-2	Current	CG5821 qrk58E-2 qkr58e-2	1	no			
Primary_025	E6	Primary_025_E6	CG5822					1	no			
Primary_025	E7	Primary_025_E7	CG5823	CG5823		Current		1	no			
Primary_025	E8	Primary_025_E8	CG5825	His3.3A	Histone H3.3A	Current	histone H3.3 histone H3.3A histone H3.3 variant histone variant H3.3 H3L-like histone histone variant 3.3 dH3.3A His-3.3A PH3 His3.3 CG5825 H3.3 H3.3A	1.33	no			
Primary_025	E9	Primary_025_E9	CG5826	Prx3	Peroxiredoxin 3	Current	Peroxiredoxin 5037 Thioredoxin peroxidase 3 thioredoxin-peroxidase-3 peroxiredoxin 3 mitochondrial peroxiredoxin CG5826 Prx5037 DPx-5037 DPx5037 mTPx mtTPx dPrx3	1.33	no			
Primary_025	F1	Primary_025_F1	CG5836	SF1	Splicing factor 1	Current	splicing factor 1 dSF1 CG5836 cg5836 p70	1.33	no			
Primary_025	F10	Primary_025_F10	CG5847	zye	zye	Current	zye CG5847 zye	1	no			
Primary_025	F11	Primary_025_F11	CG5848	cact	cactus	Current	female-sterile-(2)-ltoRN48 NF-kappa-B inhibitor cactus Cactus dip6 fs(2)ltoRN48 Cact CG5848 5848 n(2)k17003 CACT NFkappabeta1A cac BG:DS02740.15	1	no			
Primary_025	F12	Primary_025_F12	CG5849	CG5849		Current		1	no			
Primary_025	F2	Primary_025_F2	CG5837	Hem	HEM-protein	Current	kette hemkette Kette kette Nap1 CG5837 Hem1 Kette/Nap1 kte Kette l(3)03335 dhem dhem-2 Nap	1	no			
Primary_025	F3	Primary_025_F3	CG5839					1	no			
Primary_025	F4	Primary_025_F4	CG5840	CG5840		Current	Pyrroline-5-carboxylate reductase CT18319	1	no			
Primary_025	F5	Primary_025_F5	CG5841	mib1	mind bomb 1	Current	Mind bomb1 Mind bomb 1 Mind bomb-1 Mind Bomb mind bomb1 mind-bomb Mindbomb1 lethal (3) 72Db lethal (3) 72CDa Mindbomb mindbomb1 Mindbomb 1 D-mib1 MIB1 l(3)72Db Dmib dmib1 mib mind-bomb CG5841 Mib1 l(3)72CDa mib1/2 D-mib Mib	1	no			
Primary_025	F6	Primary_025_F6	CG5842	nan	nanchung	Current	Nanchung transient receptor potential vanilloid TRPV OCR CT18317 NAN Nan DmNan CG5842	1	no			
Primary_025	F7	Primary_025_F7	CG5844	CG5844		Current	Enoyl-CoA hydratase	1.67	yes	yes	gene	defective cell-cell aggregation
Primary_025	F8	Primary_025_F8	CG5845					1	no			
Primary_025	F9	Primary_025_F9	CG5846	CG5846		Current		1	no			
Primary_025	G1	Primary_025_G1	CG5850	CG5850		Current		1	no			
Primary_025	G10	Primary_025_G10	CG5869	CG5869		Current	DS02740.9 BG:DS02740.9 BcDNA:SD03793	1	no			
Primary_025	G11	Primary_025_G11	CG5870	beta-Spec	beta Spectrin	Current	Spectrin anon-fast-evolving-1B3 beta-spectrin spectrin beta Spectrin beta-Spectrin beta spectrin Beta-spectrin karussell i168 Specbeta B-spec beta betaspec Spec-beta beta-Spec l(1)G0108 SPEC8 CG5870 kus i6 betaSpec Spec beta-spec l(1)G0198 l(1)G0074 b spectrin b-Spec anon-EST:fe1B3	1	no			
Primary_025	G12	Primary_025_G12	CG5871	Oga	O-GlcNAcase	Current	GlcNAcase CG5871 OGA GlcNAcase	1	no			
Primary_025	G2	Primary_025_G2	CG5851	sds22	sds22	Current	CT18355 Sds22 CG5851	1	no			
Primary_025	G3	Primary_025_G3	CG5853	CG5853		Current		1	no			
Primary_025	G4	Primary_025_G4	CG5855	cni	cornichon	Current	spindle-G Cornichon spnG CG5855 anon-35Fe BG:DS02740.13 IV Cni	1	no			
Primary_025	G5	Primary_025_G5	CG5859	IntS8	Integrator 8	Current	EG:EG0003.5 CG5859 Int8	1.33	no			
Primary_025	G6	Primary_025_G6	CG5860	CG5860		Current	FBgn0038506	1	no			
Primary_025	G7	Primary_025_G7	CG5861	CG5861		Current	BG:DS02740.11 anon-35Fc III anon-35Fa	1.33	no			
Primary_025	G8	Primary_025_G8	CG5862	CG5862		Current		1	no			
Primary_025	G9	Primary_025_G9	CG5863	CG5863		Current		1	no			
Primary_025	H1	Primary_025_H1	CG5873	CG5873		Current		1.67	yes	yes	gene	defective cell-cell aggregation
Primary_025	H10	Primary_025_H10	CG5888	CG5888		Current	CT18477 BG:DS02780.1	1	no			
Primary_025	H11	Primary_025_H11	CG5889	Men-b	Malic enzyme b	Current	Mdh Malic DH anon-EST:Posey79 CG5889 MDH Mdh	1	no			
Primary_025	H12	Primary_025_H12	CG5891	Mbs	Myosin binding subunit	Current	Myosin phosphatase MLC-phosphatase lethal(3)72Dd myosin phosphatase target subunit Myosin phosphatase-binding subunit lethal (3) S095304 myosin binding subunit lethal (3) S057306b 0953/04 DMBS Mypt l(3)S057306 MBS DMYPT DMbs l(3)j7A1 l(3)72Dd CG5891 l(3)S057306b l(3)S005331b 0573/06 l(3)S095304 mbs l(3)j3B4 CG5600 CG32156 l(3)03802	1	no			
Primary_025	H2	Primary_025_H2	CG5874	Nelf-A	Negative elongation factor A	Current	CG5874 NELF-A CG5874 BcDNA:SD07139 NELF-A NELF	1	no			
Primary_025	H3	Primary_025_H3	CG5875	CG31140		Current	CG5875 CG31452 CG13600 DGKt	1	no			
Primary_025	H4	Primary_025_H4	CG5876	heix	heixuedian	Current	lethal(2)35Fc l(2)35Fc ipa-6d 124/1 CG5876 l(2)k12401 BG:DS02740.7	1	no			
Primary_025	H5	Primary_025_H5	CG5878	alpha4GT2	alpha4GT2	Current	alpha4GT2 CG5878	1.67	yes	yes	gene	defective cell-cell aggregation
Primary_025	H6	Primary_025_H6	CG5880	CG5880		Current		1	no			
Primary_025	H7	Primary_025_H7	CG5882	CG5882		Current		1	no			
Primary_025	H8	Primary_025_H8	CG5884	par-6	par-6	Current	Par-6 DmPAR-6 Dm-Par-6 par6 PAR6 dPar-6 CG5884 Dmpar6 DmPar6 par dPAR-6 dmPar-6 DPar-6 PAR-6 Dm-Par6 Par-6 DPar6 DmPar-6 Par6 Par	1	no			
Primary_025	H9	Primary_025_H9	CG5886	CG5886		Current		1	no			
Primary_026	A1	Primary_026_A1	CG5892	CG5892		Current		1	no			
Primary_026	A10	Primary_026_A10	CG5911	ETHR	ETHR	Current	Ecdysis triggering hormone receptor ETH receptor anon-WO0170980.38 CG5911 CG5911b anon-WO0170980.37 Dm ETHRa CG5911a	1	no			
Primary_026	A11	Primary_026_A11	CG5913	CG5913		Current		1	no			
Primary_026	A12	Primary_026_A12	CG5915	Rab7	Rab7	Current	Rab-protein 7 Rab-r7 O76742 RAB7 AAF56218 Rab-7 rab7 CG5915 DmRab7 DRab7 Drab7 Dm Rab7 DRAB7	1.67	yes	yes	gene	defective cell-cell aggregation
Primary_026	A2	Primary_026_A2	CG5893	D	Dichaete	Current	lethal of Dichaete dichaete Sry-related DM36 Sry-related DM23 Sry-related DM63 Fish-Hook Sox box protein 70D Sry-related DM33 Sry-related DM10 fish hook fish-hook loD Sry-rDM36 CG5893 SOX70D Sox B2-1 SOXDP SOXB2.1 Sry-rDM23 DM63 DM33 DM23 fish SOX70 DM36 DM10 Sox70 Sry-rDM10 Sry-rDM33 l(3)LG9 Sox70D Sry-rDM63	1	no			
Primary_026	A3	Primary_026_A3	CG5894	Nep1	Neprilysin 1	Current	dNEP1 CG5894 CG5905 DmeNEP1 nep1 NEP CG5914 NEP1	1	no			
Primary_026	A4	Primary_026_A4	CG5896	grass	Gram-positive Specific Serine protease	Current	gram-positive specific serine protease Gram-positive-specific serine protease CG5896 Grass c-SP1 SP1 CG5896 Grass SP2	1	no			
Primary_026	A5	Primary_026_A5	CG5899	Etl1	Etl1 homologue	Current	Etl1 CG5899	1	no			
Primary_026	A6	Primary_026_A6	CG5902	CG5902		Current	anon-WO0118547.372	2	yes	yes	gene	defective cell-cell aggregation
Primary_026	A7	Primary_026_A7	CG5904	mRpS31	mitochondrial ribosomal protein S31	Current	MRP-S31 CG5904 RpS31	1	no			
Primary_026	A8	Primary_026_A8	CG5905	Nep1	Neprilysin 1	Current	dNEP1 CG5894 CG5905 DmeNEP1 nep1 NEP CG5914 NEP1	2.33	yes	yes	gene	defective cell-cell aggregation
Primary_026	A9	Primary_026_A9	CG5909	CG5909		Current	SP8 c-SP8	1	no			
Primary_026	B1	Primary_026_B1	CG5916	CG5916		Current		1	no			
Primary_026	B10	Primary_026_B10	CG5932	mag	magro	Current	CG5932	1	no			
Primary_026	B11	Primary_026_B11	CG5933	Ime4	Inducer of meiosis 4	Current	Mta70 homologue Inducer of Meiosis 4 Inducer of MEiosis 4 homolog IME4 Mta70 MTA70 CG5933 ime4	1	no			
Primary_026	B12	Primary_026_B12	CG5934	CG5934		Current		1	no			
Primary_026	B2	Primary_026_B2	CG5917	CG44837		Current	CG5917 CG14129 rugose CG5917 CG34420 CG14129 CG14126	1	no			
Primary_026	B3	Primary_026_B3	CG5919	CG5919		Current		1	no			
Primary_026	B4	Primary_026_B4	CG5920	RpS2	Ribosomal protein S2	Current	ribosomal protein S2 string of pearls S2 ribosomal protein Ribosome RS2 Ribosomal protein S2 Dm01335 l(2)03848 l(2)k04603 CG5920 S2 sop RpS2 anon-EST:Posey202 Rp S2 dS2	4	no	yes	gene	defective cell-cell aggregation
Primary_026	B5	Primary_026_B5	CG5921	CG5921		Current		1	no			
Primary_026	B6	Primary_026_B6	CG5923	DNApol-alpha73	DNA polymerase alpha 73kD	Current	DNA polymerase alpha primase 73 kda subunit DNA-polymerase alpha DNA polymerase 73K DNA polymerase alpha B subunit Dmpol alpha DNApol-alpha73 pol alpha POLA Pol DNA pol-73 CG5923 DNApolalpha DNApol-alpha72 DNA polymerase alpha 73 kD Polalpha 73kDa DNA polalpha DNApol-alpha Polalpha polalpha	1	no			
Primary_026	B7	Primary_026_B7	CG5924	mtDNA-helicase	mitochondrial DNA helicase	Current	mitochondrial DNA helicase Twinkle d-mtDNA helicase mtDNA helicase CG5924	1	no			
Primary_026	B8	Primary_026_B8	CG5930	TfIIA-L	Transcription factor IIA L	Current	CG5930 TFIIA-L CT18631 dTFIIA tfiia-l TFIIA	1	no			
Primary_026	B9	Primary_026_B9	CG5931	l(3)72Ab	lethal (3) 72Ab	Current	ASCC3L1 Brr2 CG5931 anon-EST:Liang-1.21 cg5931 clone 1.21	3.33	no	yes	gene	defective cell-cell aggregation
Primary_026	C1	Primary_026_C1	CG5936	CG33639		Current	anon-WO0170980.41 CG5936 anon-WO0170980.40 CG16958	1	no			
Primary_026	C10	Primary_026_C10	CG5948	CG5948		Current		1	no			
Primary_026	C11	Primary_026_C11	CG5949	DNApol-delta	DNA-polymerase-delta	Current	DNA-polymerase-delta DNApol-delta lethal (3) 72Ac DNA polymerase-delta DNA polymerase delta dnapol delta CG5949 DNApol-delta DNA Pol Delta l(3)72Ac 5949 Poldelta Dm Poldelta CAA61369	1	no			
Primary_026	C12	Primary_026_C12	CG5954	l(3)mbt	lethal (3) malignant brain tumor	Current	tumor-supressor mbt CG5954 dl(3)MBT MBT L(3)mbt L3mbt l(3)malignant braintumor L(3)MBT L(3)MBT/LIN-61 dL(3)mbt	1	no			
Primary_026	C2	Primary_026_C2	CG5937	CG5937		Current		1	no			
Primary_026	C3	Primary_026_C3	CG5938	CG5938		Current	BEST:LD40095	1	no			
Primary_026	C4	Primary_026_C4	CG5939	Prm	Paramyosin	Current	lethal (3) S010605 paramyosin/miniparamyosin miniparamyosin paramyosin Paramyosin/Miniparamyosin PM CG5939 l(3)10631 prm pm mPM 0106/05 l(3)S010605 PM/mPM Para FBgn0003149	1.33	no			
Primary_026	C5	Primary_026_C5	CG5940	CycA	Cyclin A	Current	cyclinA Suppressor of rux 3B CyclinA rose-gespleten region interval 11 cyclin A l(3)rsg11 CYCA 0046/23 l(3)183 l(3)03946 CLD3 anon-WO0140519.128 0104/07 1329/16 1449/05 0521/06 0033/02 0245/34 l(3)j3C8 0040/24 cycA l(3)neo114 CG5940 Cyc A dCycA 0545/13 rsg11 DmcycA S(rux)3B l(3)68Ea hari	3.33	yes	yes	gene	defective cell-cell aggregation
Primary_026	C6	Primary_026_C6	CG5941	CG5941		Current	anon-WO03040301.150 anon-WO03040301.151	1	no			
Primary_026	C7	Primary_026_C7	CG5942	brm	brahma	Current	Complementation group 3.5 Brahma E(E2F)3A dBRM Brm l(3)72Aa BRM CG5942 CG18438 dSNF2	1	no			
Primary_026	C8	Primary_026_C8	CG5944					1	no			
Primary_026	C9	Primary_026_C9	CG5946	CG5946		Current		1	no			
Primary_026	D1	Primary_026_D1	CG5955	CG5955		Current		2.33	yes	yes	gene	defective cell-cell aggregation
Primary_026	D10	Primary_026_D10	CG5972	Arpc4	"Actin-related protein 2/3 complex, subunit 4"	Current	Arc-p20 Arp2/3 Complex (p20 subunit) p20 of Arp2/3 complex Arp2/3 subunit p20 p20 subunit of Arp2/3 Arc-p20 Arp-p20 BcDNA:RE43724 ARPC4 P-20 ARC anon-EST:Posey49 p20Arc arc-p20 p20 CG5972 Arpc4	1	no			
Primary_026	D11	Primary_026_D11	CG5974	pll	pelle	Current	PELLE Serine/threonine-protein kinase pelle Pelle CG5974 PELLE/IL-1 pll/IRAK1 p11	1	no			
Primary_026	D12	Primary_026_D12	CG5976	isoQC	iso Glutaminyl cyclase	Current	CG32426 isoDromeQC CG5976	1	no			
Primary_026	D2	Primary_026_D2	CG5956	CG42255		Current	CG32092 CG32094 CT18701 CG32092 CG5956 CG32094	1	no			
Primary_026	D3	Primary_026_D3	CG5959	MCO3	multicopper oxidase 3	Current	CG5959	1	no			
Primary_026	D4	Primary_026_D4	CG5961	CG5961		Current	FBXO9	1	no			
Primary_026	D5	Primary_026_D5	CG5962	Arr2	Arrestin 2	Current	49kD Arrestin homolog phosrestin-1 Arrestin B Beta-Arrestin arrestin-like protein Arrestin2 phosrestin I arrestin-2 Arrestin-2 arrestin 2 Phosrestin I arrestin arrestin2 arr2 ArrB Arr DAII arr PRI CG5962 Arr-2 ARR2 ArrB-ml 49 AH Dro.-Arr.II	1	no			
Primary_026	D6	Primary_026_D6	CG5964	CG5964		Current		1	no			
Primary_026	D7	Primary_026_D7	CG5966	CG5966		Current	141233_at	1	no			
Primary_026	D8	Primary_026_D8	CG5970	cbc	crowded by cid	Current	CG5970 cg5970 CG5970	2	no	yes	gene	defective cell-cell aggregation
Primary_026	D9	Primary_026_D9	CG5971	Cdc6	Cdc6	Current	CG5971 DmCdc6 CG5971	1	no			
Primary_026	E1	Primary_026_E1	CG5978	GAPsec	"GTPase activating protein, SECIS-dependent read-through"	Current	BEST:LD24460 dGAPsec CG5978	1	no			
Primary_026	E10	Primary_026_E10	CG5994	Nelf-E	Negative elongation factor E	Current	anonymous-66Da negative elongation factor CG5994 Nelf-e anon-66Da NELF-E cg5994 dNelf-E NelfE NELF	1	no			
Primary_026	E11	Primary_026_E11	CG5996	Trpgamma	Transient receptor potential cation channel gamma	Current	trpgamma Trp-gamma DmTRPgamma TRPgamma dTRPg trp-gamma trpgamma CG5996 dTRPgamma	1	no			
Primary_026	E12	Primary_026_E12	CG5998	Adgf-B	Adenosine deaminase-related growth factor B	Current	CG5998 ADGF-B adgfb	1.33	no			
Primary_026	E2	Primary_026_E2	CG5980	Grip	Glutamate receptor binding protein	Current	Glutamate-receptor-interacting-protein Glutamate receptor interacting protein Dgrip dGRIP CG14447 dgrip DGrip grip GRIP CG5980	1	no			
Primary_026	E3	Primary_026_E3	CG5983	ACXC	ACXC	Current	CG5983 DACXC AC Acxc	1	no			
Primary_026	E4	Primary_026_E4	CG5984	CG5984		Current	Filamin-like	1.33	no			
Primary_026	E5	Primary_026_E5	CG5986	CG5986		Current	BEST:LP03871	1	no			
Primary_026	E6	Primary_026_E6	CG5987	CG5987		Current		1	no			
Primary_026	E7	Primary_026_E7	CG5990					1	no			
Primary_026	E8	Primary_026_E8	CG5991	CG5991		Current	Phosphatidylserine decarboxylase LD21713 BEST:LD21713 Psd	1	no			
Primary_026	E9	Primary_026_E9	CG5992	Adgf-A	Adenosine deaminase-related growth factor A	Current	adenosine deaminase Adgf-a CG5992 ADGF-A adgfa adgf-a ADGDF-A	1	no			
Primary_026	F1	Primary_026_F1	CG5999	CG5999		Current		1	no			
Primary_026	F10	Primary_026_F10	CG6013	CG6013		Current		2	yes	yes	gene	defective cell-cell aggregation
Primary_026	F11	Primary_026_F11	CG6015	CG6015		Current	CDC40 prp17	2.33	no	yes	gene	defective cell-cell aggregation
Primary_026	F12	Primary_026_F12	CG6016	bbc	bb in a boxcar	Current	CDP-ethanolamine Phosphotransferase CG6016 CG6016 cept dCCS2	1	no			
Primary_026	F2	Primary_026_F2	CG6001					2	yes	yes	gene	defective cell-cell aggregation
Primary_026	F3	Primary_026_F3	CG6004	Muc68D	Mucin 68D	Current	CG6004 Muc68D anon-WO0153538.47 CG6004 anon-WO0153538.48	1	no			
Primary_026	F4	Primary_026_F4	CG6005	CG6005		Current		1.33	no			
Primary_026	F5	Primary_026_F5	CG6006	CG6006		Current	BcDNA:SD04753	1	no			
Primary_026	F6	Primary_026_F6	CG6007	gatA	glutamyl-tRNA amidotransferase subunit A	Current	benedict glutamyl-tRNA amidotransferase A gatA lethal (3) S092902 benedict bene CG6007 0929/02 l(3)S092902	1.33	no			
Primary_026	F7	Primary_026_F7	CG6009	P5cr	Pyrroline 5-carboyxlate reductase	Current	reductase pyrroline 5-carboxylate CG6009 P5CR	1	no			
Primary_026	F8	Primary_026_F8	CG6011	Prp18	Prp18	Current	CG6011 prp18	1	no			
Primary_026	F9	Primary_026_F9	CG6012	CG6012		Current		1	no			
Primary_026	G1	Primary_026_G1	CG6017	Hip14	Huntingtin-interacting protein 14	Current	CG6017 ankyrin domain htt-interacting protein 14 lethal (3) 72Ad hip14 dHIP14 CG6017 l(3)72Ad 3L1 CG 6017	1	no			
Primary_026	G10	Primary_026_G10	CG6033	drk	downstream of receptor kinase	Current	Enhancer of sevenless-2B downstream receptor kinase downstream of receptor kinases Downstream of receptor kinase GRB2 downstream of receptor kinase Su(sev)R1 E(sev)2B Grb2/drk l(2)10626 Drk/Grb2 DRK Drk crkl Grb-2 P1112 CG6033 24/1 Grb/drk l(2)k13809 Grb2	1	no			
Primary_026	G11	Primary_026_G11	CG6034	CG6034		Current		1	no			
Primary_026	G12	Primary_026_G12	CG6036	CG6036		Current	PP2Cb	1	no			
Primary_026	G2	Primary_026_G2	CG6018	CG6018		Current	orphan alpha-esterase DmalphaE1-O alphaE1-O	1	no			
Primary_026	G3	Primary_026_G3	CG6019	mus308	mutagen-sensitive 308	Current	DNA polymerase theta Nuclease-3 pol theta Nuc3 PolQ AAF54858 POLQ Pol theta mus-308 Mus308 0443/09 CG6019	1	no			
Primary_026	G4	Primary_026_G4	CG6020	CG6020		Current	NADH dehydrogenase NADH ubiquinone oxidoreductase 39 kDa NADH:ubiquinone oxidoreductase 39 kDa subunit GM13757p	1.33	no			
Primary_026	G5	Primary_026_G5	CG6022	Cchl	Cytochrome c heme lyase	Current	cytochrome c heme lyase CG6022 cchl CG6022 cchL	1	no			
Primary_026	G6	Primary_026_G6	CG6025	Arl1	ADP ribosylation factor-like 1	Current	Arf-like 1 Arflike at 72A l(3)72CDd P25160 Arf dARL1p 72CDd Arf72A arf72A arf[72A] Arl1 l(3)72Ae ARL1_DROME ARL1 dArl1 arl CG6025 CG 6025 BcDNA:GM20805	1	no			
Primary_026	G7	Primary_026_G7	CG6027	cdi	center divider	Current	Centre divider central divider 91F gene Center divider B9.3 CDI/TSKI Cdi Cdi/TESK1 CG6027 l(3)07013 91F cdi/TESK1	1	no			
Primary_026	G8	Primary_026_G8	CG6028	CG6028		Current		1.33	no			
Primary_026	G9	Primary_026_G9	CG6030	ATPsyn-d	"ATP synthase, subunit d"	Current	ATPase synthase  subunit d ATP synthase d ATP synthase D chain F0/F1 ATP synthase D ATP SYNTHASE  Subunit d ATP synthase chain D CG6030 ATPsyn-delta ATPsyn-D	1	no			
Primary_026	H1	Primary_026_H1	CG6041	CG6041		Current	SP86	1	no			
Primary_026	H10	Primary_026_H10	CG6057	SMC1	SMC1	Current	cohesin complex subunit SMC1 Smc1 cohesin subunit cohesin subunit SMC1 cohesin smc1 CG6057 Smc1 DmSMC1 dSMC1	3	yes	yes	gene	defective cell-cell aggregation
Primary_026	H11	Primary_026_H11	CG6058	Ald	Aldolase	Current	fructose 1 6 biphosphate-aldolase A aldolase T6 T4 FBA CG6058 Aldolase ald T12 ALD T7 BcDNA:LP07735	1	no			
Primary_026	H12	Primary_026_H12	CG6059	CG6059		Current		1	no			
Primary_026	H2	Primary_026_H2	CG6042	Cyp12a4	Cyp12a4	Current	cytochrome P450 CG6042 12a4 cyp12a4 P450 CYP12A4	1	no			
Primary_026	H3	Primary_026_H3	CG6045	CG6045		Current	DmAO3	1	no			
Primary_026	H4	Primary_026_H4	CG6048	CG6048		Current	SP108	1	no			
Primary_026	H5	Primary_026_H5	CG6049	barc	barricade	Current	cus2 Tat-SF1 CG6049 cg6049	2.33	yes	yes	gene	defective cell-cell aggregation
Primary_026	H6	Primary_026_H6	CG6051	CG6051		Current		1.67	yes	yes	gene	defective cell-cell aggregation
Primary_026	H7	Primary_026_H7	CG6052	CG6052		Current		2	yes	yes	gene	defective cell-cell aggregation
Primary_026	H8	Primary_026_H8	CG6053	CG6053		Current		1	no			
Primary_026	H9	Primary_026_H9	CG6054	Su(fu	Suppressor of fused	Current	suppressor of fused Suppressor of Fused SuFu SU(FU) CG6054 sufu SUFU su(fu) Sufu Su(Fu	1	no			
Primary_027	A1	Primary_027_A1	CG6061	mip120	Myb-interacting protein 120	Current	Mip120 CG6061 p120 l(3)L4569	1	no			
Primary_027	A10	Primary_027_A10	CG6083	CG6083		Current		1.67	yes	yes	gene	defective cell-cell aggregation
Primary_027	A11	Primary_027_A11	CG6084	CG6084		Current	Aldehyde reductase Aldo/keto reductase ESTS:34F4T 34F4T	1	no			
Primary_027	A12	Primary_027_A12	CG6090	RpL34a	Ribosomal protein L34a	Current	L34 CG6090 RpL34	2.67	no	yes	gene	defective cell-cell aggregation
Primary_027	A2	Primary_027_A2	CG6062	CG32406		Current	CG6062 CG13292	1	no			
Primary_027	A3	Primary_027_A3	CG6066	CG6066		Current		1	no			
Primary_027	A4	Primary_027_A4	CG6069					1	no			
Primary_027	A5	Primary_027_A5	CG6070	gb	genderblind	Current	Genderblind CG6070 anon-WO0118547.295 Gb CG6070	1	no			
Primary_027	A6	Primary_027_A6	CG6071	CG6071		Current		1	no			
Primary_027	A7	Primary_027_A7	CG6072	sra	sarah	Current	sara sarah nebula lethal (3) 05203 Sarah nla 89B11 anon-WO0118547.92 l(3)05203 nebula anon-WO0172774.10 89B Sra CG6072	1	no			
Primary_027	A8	Primary_027_A8	CG6073	CG6073		Current		1	no			
Primary_027	A9	Primary_027_A9	CG6081	Cyp28d2	Cyp28d2	Current	cytochrome P450 28d2 CG6081	1	no			
Primary_027	B1	Primary_027_B1	CG6091	CG6091		Current	ped	1	no			
