Plate	Well Number	Well	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Strain]	Gene Identifier	Gene Symbol	Reagent Design Gene Annotation Build	Analysis Gene Annotation Build	Control Type	Control Comments	Channels	Replicate Group	Plate Issues
JL_120901_WTd	20	B8	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	21	B9	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	22	B10	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	23	B11	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	24	B12	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	25	C1	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	26	C2	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	27	C3	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	28	C4	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	29	C5	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	30	C6	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	31	C7	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	32	C8	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	33	C9	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	34	C10	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	35	C11	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	36	C12	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	37	D1	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	38	D2	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	39	D3	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	40	D4	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	41	D5	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	42	D6	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	43	D7	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	44	D8	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	45	D9	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	46	D10	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	47	D11	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	48	D12	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	49	E1	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	50	E2	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	51	E3	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	52	E4	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	53	E5	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	54	E6	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	55	E7	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	56	E8	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	57	E9	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	58	E10	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	59	E11	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	60	E12	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	61	F1	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	62	F2	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	63	F3	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	64	F4	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	65	F5									empty well		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	66	F6									empty well		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	67	F7									empty well		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	68	F8									empty well		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	69	F9									empty well		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	70	F10	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	71	F11	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	72	F12	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	73	G1									empty well		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	74	G2									empty well		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	75	G3									empty well		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	76	G4									empty well		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	77	G5									empty well		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	78	G6									empty well		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	79	G7									empty well		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	80	G8									empty well		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	81	G9									empty well		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	82	G10									empty well		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	83	G11									empty well		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	84	G12									empty well		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	85	H1									empty well		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	86	H2									empty well		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	87	H3									empty well		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	88	H4									empty well		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	89	H5									empty well		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	90	H6									empty well		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	91	H7									empty well		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	92	H8									empty well		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	93	H9									empty well		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	94	H10									empty well		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	95	H11									empty well		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120901_WTd	96	H12									empty well		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	1	A1	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPAC977.05c	SPAC977.05c						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	2	A2	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	tea2	SPBC1604.20c	tea2					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	3	A3	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	nta1	SPBC23E6.03c	nta1					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	4	A4	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPBC405.06	SPBC405.06						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	5	A5	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPBPB2B2.08	SPBPB2B2.08						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	6	A6	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	set5	SPCC1739.05	set5					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	7	A7	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	mal3	SPAC18G6.15	mal3			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	8	A8	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	mto1	SPCC417.07c	mto1			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	9	A9	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	10	A10	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	11	A11	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	12	A12	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	13	B1	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	rpl302	SPAPB8E5.06c	rpl302					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	14	B2	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPBC1683.11c	SPBC1683.11c						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	15	B3	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPBC25B2.10	SPBC25B2.10						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	16	B4	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPBC409.16c	SPBC409.16c						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	17	B5	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPBPB2B2.09c	SPBPB2B2.09c						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	18	B6	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPCC1919.13c	SPCC1919.13c						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	19	B7	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	mal3	SPAC18G6.15	mal3			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	20	B8	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	mto1	SPCC417.07c	mto1			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	21	B9	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	22	B10	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	23	B11	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	24	B12	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	25	C1	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	rpb9	SPAPYUG7.04c	rpb9					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	26	C2	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	meu7	SPBC16A3.13	meu7					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	27	C3	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	sip1	SPBC27B12.08	sip1					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	28	C4	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	agn2	SPBC646.06c	agn2					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	29	C5	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	pdh1	SPCC1235.08c	pdh1					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	30	C6	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	cgi121	SPCC24B10.12	cgi121					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	31	C7	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	mal3	SPAC18G6.15	mal3			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	32	C8	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	mto1	SPCC417.07c	mto1			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	33	C9	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	34	C10	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	35	C11	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	36	C12	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	37	D1	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	lys4	SPBC1105.02c	lys4					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	38	D2	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	rps1801	SPBC16D10.11c	rps1801					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	39	D3	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	tvp23	SPBC2A9.05c	tvp23					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	40	D4	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPBC6B1.03c	SPBC6B1.03c						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	41	D5	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPCC1281.04	SPCC1281.04						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	42	D6	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	sdh3	SPCC330.12c	sdh3					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	43	D7	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	mal3	SPAC18G6.15	mal3			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	44	D8	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	mto1	SPCC417.07c	mto1			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	45	D9	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	46	D10	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	47	D11	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	48	D12	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	49	E1	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPBC119.03	SPBC119.03						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	50	E2	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPBC1709.16c	SPBC1709.16c						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	51	E3	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	mbx2	SPBC317.01	mbx2					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	52	E4	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	ura5	SPBC725.15	ura5					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	53	E5	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPCC1393.08	SPCC1393.08						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	54	E6	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPCC569.02c	SPCC569.02c						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	55	E7	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	tea1	SPCC1223.06	tea1			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	56	E8	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	ase1	SPAPB1A10.09	ase1			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	57	E9	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	58	E10	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	59	E11	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	60	E12	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	61	F1	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	gmh6	SPBC1289.13c	gmh6					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	62	F2	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPBC1711.11	SPBC1711.11						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	63	F3	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	coq7	SPBC337.15c	coq7					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	64	F4	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	fic1	SPBC83.18c	fic1					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	65	F5	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	wtf13	SPCC162.04c	wtf13					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	66	F6	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPCC569.03	SPCC569.03						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	67	F7	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	tea1	SPCC1223.06	tea1			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	68	F8	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	ase1	SPAPB1A10.09	ase1			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	69	F9	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	70	F10	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	71	F11	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	72	F12	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	73	G1	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPBC12C2.01c	SPBC12C2.01c						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	74	G2	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPBC20F10.03	SPBC20F10.03						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	75	G3	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPBC3E7.07c	SPBC3E7.07c						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	76	G4	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	rps1701	SPBC839.05c	rps1701					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	77	G5	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	coq3	SPCC162.05	coq3					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	78	G6	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	cid12	SPCC663.12	cid12					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	79	G7	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	tea1	SPCC1223.06	tea1			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	80	G8	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	ase1	SPAPB1A10.09	ase1			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120902_S24A	81	G9	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
