Gene Identifier	Gene Symbol	Reproducibility of Shape Hits	Reproducibility of Microtubule Hits	Reproducibility of Cell Cycle Progression Hits	Visual Shape Hit	Visual Microtubule Hit	Conservation in S. cerevisiae	Conservation in Vertebrates	Conservation in H. sapiens	Has Phenotype	Mineotaur Hit Type	Phenotype Annotation Level	Phenotype 1	Phenotype 2	Phenotype 3	Phenotype 4	Phenotype 5	Phenotype 6	Phenotype 7	Phenotype 8	Phenotype 9	Phenotype 10	Phenotype 11	Phenotype 12	Phenotype 13	Phenotype 14	Phenotype 15	Phenotype 16	Phenotype 17	Phenotype 18	Phenotype 19
SPBC215.03c	csn1	8/8	5/7				yes	yes	yes	yes	shape hit;microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase							viable vegetative cell with abnormal cell shape											
SPBC21B10.05c	pop3	7/8	7/7	3/7				yes		yes	shape hit;microtubule hit;cell cycle hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase							viable vegetative cell with abnormal cell shape					IP increased					PAA reduced	
SPBC21B10.13c	yox1		2/5				yes	yes	yes	yes	microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase																		
SPBC21C3.02c	dep1	7/9	8/8		yes		yes	yes	yes	yes	shape hit;microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase					viable elongated vegetative cell		viable vegetative cell with abnormal cell shape	S-shaped cell										
SPBC21H7.04	dbp7			3/7			yes			yes	cell cycle hit	gene													IP increased					PAA reduced	
SPBC23E6.02	rrp2		2/5				yes			yes	microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase																		
SPBC23E6.08	sat1		3/7				yes	yes	yes	yes	microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase																		
SPBC23G7.04c	nif1		5/5			yes	yes	yes	yes	yes	microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase																		
SPBC24C6.10c	dip1	8/8					yes			yes	shape hit	gene							viable stubby vegetative cell	viable vegetative cell with abnormal cell shape											
SPBC25B2.08		6/10			yes	yes	yes	yes		yes	shape hit	gene								viable vegetative cell with abnormal cell shape											
SPBC25H2.15		4/9					yes	yes		yes	shape hit	gene								viable vegetative cell with abnormal cell shape											
SPBC27B12.10c	tom7	3/5	3/5				yes	yes	yes	yes	shape hit;microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase							viable vegetative cell with abnormal cell shape											
SPBC29A10.01	ccr1	4/8	6/6	4/6	yes		yes	yes	yes	yes	shape hit;microtubule hit;cell cycle hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase							viable vegetative cell with abnormal cell shape					IP increased					PAA reduced	IP2 increased
SPBC29A10.12			2/4				yes	yes	yes	yes	microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase																		
SPBC29A10.16c			3/7				yes	yes	yes	yes	microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase																		
SPBC2D10.06	rep1			2/4		yes	yes	yes	yes	yes	cell cycle hit	gene													IP increased					PAA reduced	
SPBC2F12.03c	ebs1		4/10		yes		yes	yes		yes	microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase																		
SPBC2F12.11c	rep2	4/5	3/4				yes	yes	yes	yes	shape hit;microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase							viable vegetative cell with abnormal cell shape											
SPBC2G2.01c	liz1		3/8				yes	yes		yes	microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase																		
SPBC2G2.03c	sbh1	8/9	6/8					yes	yes	yes	shape hit;microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase	long cytoplasmic microtubules		microtubule bundles present in greater numbers		viable elongated vegetative cell		viable vegetative cell with abnormal cell shape											
SPBC30B4.04c	sol1		3/8				yes	yes		yes	microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase																		
SPBC32F12.05c	cwf12	4/10					yes	yes	yes	yes	shape hit	gene								viable vegetative cell with abnormal cell shape											
SPBC32F12.11	tdh1		2/5		yes		yes	yes		yes	microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase																		
SPBC336.03	efc25	6/6	2/5				yes	yes	yes	yes	shape hit;microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase						viable stubby vegetative cell	viable vegetative cell with abnormal cell shape		viable pear-shaped vegetative cell									
SPBC336.14c	ppk26	4/6					yes			yes	shape hit	gene							viable stubby vegetative cell	viable vegetative cell with abnormal cell shape											
SPBC36.04	cys11	3/6	3/6	2/5			yes	yes	yes	yes	shape hit;microtubule hit;cell cycle hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase						viable stubby vegetative cell	viable vegetative cell with abnormal cell shape		viable pear-shaped vegetative cell			IP increased					PAA reduced	
SPBC3B8.02	php5	3/7					yes	yes		yes	shape hit	gene								viable vegetative cell with abnormal cell shape											
SPBC3B9.09	vps36	9/14	6/14				yes	yes	yes	yes	shape hit;microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase							viable vegetative cell with abnormal cell shape											
SPBC3H7.07c	ser2		2/5				yes	yes	yes	yes	microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase																		
SPBC3H7.10	elp6	7/7	6/6				yes			yes	shape hit;microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase	long cytoplasmic microtubules				viable elongated vegetative cell		viable vegetative cell with abnormal cell shape											
SPBC409.07c	wis1	6/9	3/8				yes			yes	shape hit;microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase							viable vegetative cell with abnormal cell shape											
SPBC409.19c		3/8					yes	yes		yes	shape hit	gene								viable vegetative cell with abnormal cell shape											
SPBC428.06c	rxt2	3/5	3/4				yes			yes	shape hit;microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase			microtubule bundles present in greater numbers		viable elongated vegetative cell		viable vegetative cell with abnormal cell shape	S-shaped cell										
SPBC4B4.06	vps25	4/5	2/4				yes	yes	yes	yes	shape hit;microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase							viable vegetative cell with abnormal cell shape											
SPBC543.08			4/8				yes			yes	microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase																		
SPBC685.03			5/13				yes			yes	microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase																		
SPBC691.04			5/8				yes	yes		yes	microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase																		
SPBC713.11c	pmp3			2/5			yes	yes		yes	cell cycle hit	gene				microtubule bundles present in greater numbers									IP increased					PAA reduced	IP2 increased
SPBC725.07	pex5		4/10		yes		yes			yes	microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase																		
SPBC776.04	sec2302	6/9					yes	yes	yes	yes	shape hit	gene						viable elongated vegetative cell		viable vegetative cell with abnormal cell shape											
SPBC800.03	clr3	7/10				yes	yes	yes		yes	shape hit	gene								viable vegetative cell with abnormal cell shape											
SPBC800.07c	tsf1		8/10				yes	yes	yes	yes	microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase	long cytoplasmic microtubules																	
SPBC839.05c	rps1701	3/8					yes			yes	shape hit	gene								viable vegetative cell with abnormal cell shape											
SPBC8D2.12c				3/8			yes	yes		yes	cell cycle hit	gene													IP increased					PAA reduced	
SPBP22H7.08	rps1002	4/10	5/9				yes	yes	yes	yes	shape hit;microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase	long cytoplasmic microtubules			viable curved vegetative cell			viable vegetative cell with abnormal cell shape											
SPBP35G2.04c		3/8			yes	yes	yes	yes	yes	yes	shape hit	gene								viable vegetative cell with abnormal cell shape											
SPBP4H10.03	oxa102		2/5				yes	yes	yes	yes	microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase																		
SPBP8B7.13	vac7	8/9					yes			yes	shape hit	gene								viable vegetative cell with abnormal cell shape											
SPBP8B7.18c			3/8			yes	yes	yes		yes	microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase																		
SPBPB7E8.01				2/5			yes			yes	cell cycle hit	gene													IP increased					PAA reduced	
SPCC1020.11c	ecm6	3/8	3/8			yes	yes	yes	yes	yes	shape hit;microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase							viable vegetative cell with abnormal cell shape											
SPCC1183.11	msy1		3/8				yes			yes	microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase																		
SPCC11E10.06c	elp4	5/5	4/4		yes		yes	yes	yes	yes	shape hit;microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase	long cytoplasmic microtubules				viable elongated vegetative cell		viable vegetative cell with abnormal cell shape											
SPCC1223.05c	rpl3702		4/10				yes	yes	yes	yes	microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase																		
SPCC1223.06	tea1	3/8	3/6				yes	yes	yes	yes	shape hit;microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase							viable vegetative cell with abnormal cell shape											
SPCC1235.05c	fft2		3/8				yes			yes	microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase																		
SPCC126.06	twf1			3/7		yes				yes	cell cycle hit	gene													IP increased					PAA reduced	
SPCC1322.03	trp1322	3/8	4/5	2/4			yes			yes	shape hit;microtubule hit;cell cycle hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase		short cytoplasmic microtubules					viable vegetative cell with abnormal cell shape					IP increased					PAA reduced	
SPCC1322.06	kap113		5/10					yes		yes	microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase																		
SPCC1450.03		7/7	5/5				yes	yes	yes	yes	shape hit;microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase	long cytoplasmic microtubules		microtubule bundles present in greater numbers		viable elongated vegetative cell		viable vegetative cell with abnormal cell shape	S-shaped cell										
SPCC1672.04c			2/4				yes	yes	yes	yes	microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase																		
SPCC1753.02c	git3		2/5				yes	yes	yes	yes	microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase																		
SPCC1840.03	sal3	5/5	4/4				yes	yes		yes	shape hit;microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase			microtubule bundles present in greater numbers		viable elongated vegetative cell		viable vegetative cell with abnormal cell shape	S-shaped cell										
SPCC188.07	ccq1	8/8	6/6				yes			yes	shape hit;microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase					viable elongated vegetative cell		viable vegetative cell with abnormal cell shape											
SPCC1919.03c	amk2	6/9								yes	shape hit	gene								viable vegetative cell with abnormal cell shape											
SPCC23B6.03c	tel1		3/8				yes	yes	yes	yes	microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase																		
SPCC24B10.08c	ada2		5/7				yes	yes	yes	yes	microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase																		
SPCC24B10.09	rps1702			3/5				yes	yes	yes	cell cycle hit	gene													IP increased					PAA reduced	
SPCC24B10.11c	mft1		3/7				yes	yes		yes	microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase																		
SPCC24B10.12	cgi121			2/5			yes	yes		yes	cell cycle hit	gene													IP increased					PAA reduced	
SPCC24B10.19c			5/13				yes			yes	microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase																		
SPCC306.04c	set1	6/8	5/8					yes		yes	shape hit;microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase					viable elongated vegetative cell		viable vegetative cell with abnormal cell shape											
SPCC31H12.08c	ccr4	6/7					yes	yes	yes	yes	shape hit	gene								viable vegetative cell with abnormal cell shape											
SPCC338.08	ctp1	4/8	5/8				yes	yes		yes	shape hit;microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase					viable elongated vegetative cell		viable vegetative cell with abnormal cell shape											
SPCC338.16	pof3	9/10	7/10				yes			yes	shape hit;microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase					viable elongated vegetative cell		viable vegetative cell with abnormal cell shape											
SPCC364.03	rpl1702	5/10				yes	yes	yes	yes	yes	shape hit	gene								viable vegetative cell with abnormal cell shape											
SPCC4G3.04c	coq5		3/7				yes	yes	yes	yes	microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase																		
SPCC553.08c		7/8	8/8				yes	yes	yes	yes	shape hit;microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase					viable elongated vegetative cell		viable vegetative cell with abnormal cell shape	S-shaped cell										
SPCC584.11c		6/9	5/7				yes			yes	shape hit;microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase		short cytoplasmic microtubules					viable vegetative cell with abnormal cell shape											
SPCC594.05c	spf1	6/12	8/11				yes			yes	shape hit;microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase					viable elongated vegetative cell		viable vegetative cell with abnormal cell shape											
SPCC622.12c	gdh1	2/5					yes	yes	yes	yes	shape hit	gene								viable vegetative cell with abnormal cell shape											
SPCC63.02c	aah3	7/7	2/5				yes			yes	shape hit;microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase							viable vegetative cell with abnormal cell shape		viable pear-shaped vegetative cell									
SPCC645.12c				2/4				yes	yes	yes	cell cycle hit	gene													IP increased						
SPCC663.12	cid12		5/12		yes	yes	yes	yes		yes	microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase																		
SPCC736.04c	gma12		3/7				yes	yes		yes	microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase																		
SPCC736.11	ago1		2/5							yes	microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase																		
SPCC790.02	pep3	9/9	6/6			yes			yes	yes	shape hit;microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase	long cytoplasmic microtubules		microtubule bundles present in greater numbers		viable elongated vegetative cell		viable vegetative cell with abnormal cell shape	S-shaped cell										
SPCC895.06	elp2		3/7					yes		yes	microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase																		
SPCC965.06		7/14	10/14				yes			yes	shape hit;microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase							viable vegetative cell with abnormal cell shape											
SPCC970.10c	brl2	6/6					yes	yes	yes	yes	shape hit	gene						viable elongated vegetative cell		viable vegetative cell with abnormal cell shape	S-shaped cell										
SPCP1E11.05c	are2	2/5					yes	yes		yes	shape hit	gene							viable stubby vegetative cell	viable vegetative cell with abnormal cell shape											
SPCP1E11.06	apl4	6/6	6/6	2/4			yes	yes	yes	yes	shape hit;microtubule hit;cell cycle hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase	long cytoplasmic microtubules		microtubule bundles present in greater numbers		viable elongated vegetative cell		viable vegetative cell with abnormal cell shape	S-shaped cell				IP increased						
