Plate	Well Number	Well	Plate_Well	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Cell Line]	Characteristics Comments	siRNA Pool Identifier	siRNA Library Name	Reagent Design Gene Annotation Build	Gene Identifier	Gene Symbol	Gene Symbol Synonyms	Gene Annotation Comments	RefSeq Locus	RefSeq GI Number	Analysis Gene Annotation Build	Control Type	Control Comments	Quality Control	Quality Control Comments	Channels	Comments
LM2_siGENOME_1A	307	M19	LM2_siGENOME_1A_M19	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231	M-009841-00	Dharmacon siGENOME		50618	ITSN2			NM_006277	22325384				pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1A	308	M20	LM2_siGENOME_1A_M20	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231	M-007123-00	Dharmacon siGENOME		121512	FGD4			NM_139241	21245127				pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1A	309	M21	LM2_siGENOME_1A_M21	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231	M-009833-00	Dharmacon siGENOME		26084	ARHGEF26	SGEF	Gene symbol updated by IDR curator to be consistent across plates.	NM_015595	21361486				pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1A	310	M22	LM2_siGENOME_1A_M22	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231	M-008431-00	Dharmacon siGENOME		221472	FGD2			NM_173558	34222232				pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1A	311	M23	LM2_siGENOME_1A_M23																empty well					
LM2_siGENOME_1A	312	M24	LM2_siGENOME_1A_M24																empty well					
LM2_siGENOME_1A	313	N1	LM2_siGENOME_1A_N1																empty well					
LM2_siGENOME_1A	314	N2	LM2_siGENOME_1A_N2																empty well					
LM2_siGENOME_1A	315	N3	LM2_siGENOME_1A_N3	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231	M-010323-01	Dharmacon siGENOME		23075	SWAP70			NM_015055	93102363				pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1A	316	N4	LM2_siGENOME_1A_N4	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231	M-004775-01	Dharmacon siGENOME		57584	ARHGAP21			NM_020824	50345878				pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1A	317	N5	LM2_siGENOME_1A_N5	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231	M-012695-01	Dharmacon siGENOME		1795	DOCK3			NM_004947	54400756				pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1A	318	N6	LM2_siGENOME_1A_N6	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231	M-009546-01	Dharmacon siGENOME		23616	SH3BP1			NM_018957	85815828				pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1A	319	N7	LM2_siGENOME_1A_N7	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231											negative control	mock transfection	pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1A	320	N8	LM2_siGENOME_1A_N8	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231	M-030269-01	Dharmacon siGENOME		55701	ARHGEF40	FLJ10357	Gene symbol updated by IDR curator to be consistent across plates.	NM_018071	50843836				pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1A	321	N9	LM2_siGENOME_1A_N9	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231											negative control	mock transfection	pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1A	322	N10	LM2_siGENOME_1A_N10	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231	M-035016-00	Dharmacon siGENOME		89839	FAM7A2			NM_001039841	89886349				pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1A	323	N11	LM2_siGENOME_1A_N11	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231											negative control	mock transfection	pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1A	324	N12	LM2_siGENOME_1A_N12	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231	M-008966-00	Dharmacon siGENOME		392	ARHGAP1			NM_004308	19923243				pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1A	325	N13	LM2_siGENOME_1A_N13	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231											negative control	mock transfection	pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1A	326	N14	LM2_siGENOME_1A_N14	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231	M-010251-01	Dharmacon siGENOME		1123	CHN1			NM_001025201	68533256				pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1A	327	N15	LM2_siGENOME_1A_N15	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231											negative control	mock transfection	pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1A	328	N16	LM2_siGENOME_1A_N16	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231	M-008650-00	Dharmacon siGENOME		29127	RACGAP1			NM_013277	21361396		positive control	"checks for transfection, gives strong multinuclear phenotype"	pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1A	329	N17	LM2_siGENOME_1A_N17	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231											negative control	mock transfection	pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1A	330	N18	LM2_siGENOME_1A_N18	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231	M-021122-00	Dharmacon siGENOME		9824	ARHGAP11A			NM_014783	40788020				pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1A	331	N19	LM2_siGENOME_1A_N19	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231											negative control	mock transfection	pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1A	332	N20	LM2_siGENOME_1A_N20	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231	M-009382-01	Dharmacon siGENOME		79658	ARHGAP10			NM_024605	31377700				pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1A	333	N21	LM2_siGENOME_1A_N21	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231											negative control	mock transfection	pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1A	334	N22	LM2_siGENOME_1A_N22	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231	M-007052-01	Dharmacon siGENOME		64411	ARAP3	CENTD3	Gene symbol updated by IDR curator to be consistent across plates.	NM_022481	58331234				pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1A	335	N23	LM2_siGENOME_1A_N23																empty well					
LM2_siGENOME_1A	336	N24	LM2_siGENOME_1A_N24																empty well					
LM2_siGENOME_1A	337	O1	LM2_siGENOME_1A_O1																empty well					
LM2_siGENOME_1A	338	O2	LM2_siGENOME_1A_O2																empty well					
LM2_siGENOME_1A	339	O3	LM2_siGENOME_1A_O3																empty well					
LM2_siGENOME_1A	340	O4	LM2_siGENOME_1A_O4																empty well					
LM2_siGENOME_1A	341	O5	LM2_siGENOME_1A_O5																empty well					
LM2_siGENOME_1A	342	O6	LM2_siGENOME_1A_O6																empty well					
LM2_siGENOME_1A	343	O7	LM2_siGENOME_1A_O7																empty well					
LM2_siGENOME_1A	344	O8	LM2_siGENOME_1A_O8																empty well					
LM2_siGENOME_1A	345	O9	LM2_siGENOME_1A_O9																empty well					
LM2_siGENOME_1A	346	O10	LM2_siGENOME_1A_O10																empty well					
LM2_siGENOME_1A	347	O11	LM2_siGENOME_1A_O11																empty well					
LM2_siGENOME_1A	348	O12	LM2_siGENOME_1A_O12																empty well					
LM2_siGENOME_1A	349	O13	LM2_siGENOME_1A_O13																empty well					
LM2_siGENOME_1A	350	O14	LM2_siGENOME_1A_O14																empty well					
LM2_siGENOME_1A	351	O15	LM2_siGENOME_1A_O15																empty well					
LM2_siGENOME_1A	352	O16	LM2_siGENOME_1A_O16																empty well					
LM2_siGENOME_1A	353	O17	LM2_siGENOME_1A_O17																empty well					
LM2_siGENOME_1A	354	O18	LM2_siGENOME_1A_O18																empty well					
LM2_siGENOME_1A	355	O19	LM2_siGENOME_1A_O19																empty well					
LM2_siGENOME_1A	356	O20	LM2_siGENOME_1A_O20																empty well					
LM2_siGENOME_1A	357	O21	LM2_siGENOME_1A_O21																empty well					
LM2_siGENOME_1A	358	O22	LM2_siGENOME_1A_O22																empty well					
LM2_siGENOME_1A	359	O23	LM2_siGENOME_1A_O23																empty well					
LM2_siGENOME_1A	360	O24	LM2_siGENOME_1A_O24																empty well					
LM2_siGENOME_1A	361	P1	LM2_siGENOME_1A_P1																empty well					
LM2_siGENOME_1A	362	P2	LM2_siGENOME_1A_P2																empty well					
LM2_siGENOME_1A	363	P3	LM2_siGENOME_1A_P3																empty well					
LM2_siGENOME_1A	364	P4	LM2_siGENOME_1A_P4																empty well					
LM2_siGENOME_1A	365	P5	LM2_siGENOME_1A_P5																empty well					
LM2_siGENOME_1A	366	P6	LM2_siGENOME_1A_P6																empty well					
LM2_siGENOME_1A	367	P7	LM2_siGENOME_1A_P7																empty well					
LM2_siGENOME_1A	368	P8	LM2_siGENOME_1A_P8																empty well					
LM2_siGENOME_1A	369	P9	LM2_siGENOME_1A_P9																empty well					
LM2_siGENOME_1A	370	P10	LM2_siGENOME_1A_P10																empty well					
LM2_siGENOME_1A	371	P11	LM2_siGENOME_1A_P11																empty well					
LM2_siGENOME_1A	372	P12	LM2_siGENOME_1A_P12																empty well					
LM2_siGENOME_1A	373	P13	LM2_siGENOME_1A_P13																empty well					
LM2_siGENOME_1A	374	P14	LM2_siGENOME_1A_P14																empty well					
LM2_siGENOME_1A	375	P15	LM2_siGENOME_1A_P15																empty well					
LM2_siGENOME_1A	376	P16	LM2_siGENOME_1A_P16																empty well					
LM2_siGENOME_1A	377	P17	LM2_siGENOME_1A_P17																empty well					
LM2_siGENOME_1A	378	P18	LM2_siGENOME_1A_P18																empty well					
LM2_siGENOME_1A	379	P19	LM2_siGENOME_1A_P19																empty well					
LM2_siGENOME_1A	380	P20	LM2_siGENOME_1A_P20																empty well					
LM2_siGENOME_1A	381	P21	LM2_siGENOME_1A_P21																empty well					
LM2_siGENOME_1A	382	P22	LM2_siGENOME_1A_P22																empty well					
LM2_siGENOME_1A	383	P23	LM2_siGENOME_1A_P23																empty well					
LM2_siGENOME_1A	384	P24	LM2_siGENOME_1A_P24																empty well					
LM2_siGENOME_1B	1	A1	LM2_siGENOME_1B_A1																empty well					
LM2_siGENOME_1B	2	A2	LM2_siGENOME_1B_A2																empty well					
LM2_siGENOME_1B	3	A3	LM2_siGENOME_1B_A3																empty well					
LM2_siGENOME_1B	4	A4	LM2_siGENOME_1B_A4																empty well					
LM2_siGENOME_1B	5	A5	LM2_siGENOME_1B_A5																empty well					
LM2_siGENOME_1B	6	A6	LM2_siGENOME_1B_A6																empty well					
LM2_siGENOME_1B	7	A7	LM2_siGENOME_1B_A7																empty well					
LM2_siGENOME_1B	8	A8	LM2_siGENOME_1B_A8																empty well					
LM2_siGENOME_1B	9	A9	LM2_siGENOME_1B_A9																empty well					
LM2_siGENOME_1B	10	A10	LM2_siGENOME_1B_A10																empty well					
LM2_siGENOME_1B	11	A11	LM2_siGENOME_1B_A11																empty well					
LM2_siGENOME_1B	12	A12	LM2_siGENOME_1B_A12																empty well					
LM2_siGENOME_1B	13	A13	LM2_siGENOME_1B_A13																empty well					
LM2_siGENOME_1B	14	A14	LM2_siGENOME_1B_A14																empty well					
LM2_siGENOME_1B	15	A15	LM2_siGENOME_1B_A15																empty well					
LM2_siGENOME_1B	16	A16	LM2_siGENOME_1B_A16																empty well					
LM2_siGENOME_1B	17	A17	LM2_siGENOME_1B_A17																empty well					
LM2_siGENOME_1B	18	A18	LM2_siGENOME_1B_A18																empty well					
LM2_siGENOME_1B	19	A19	LM2_siGENOME_1B_A19																empty well					
LM2_siGENOME_1B	20	A20	LM2_siGENOME_1B_A20																empty well					
LM2_siGENOME_1B	21	A21	LM2_siGENOME_1B_A21																empty well					
LM2_siGENOME_1B	22	A22	LM2_siGENOME_1B_A22																empty well					
LM2_siGENOME_1B	23	A23	LM2_siGENOME_1B_A23																empty well					
LM2_siGENOME_1B	24	A24	LM2_siGENOME_1B_A24																empty well					
LM2_siGENOME_1B	25	B1	LM2_siGENOME_1B_B1																empty well					
LM2_siGENOME_1B	26	B2	LM2_siGENOME_1B_B2																empty well					
LM2_siGENOME_1B	27	B3	LM2_siGENOME_1B_B3																empty well					
LM2_siGENOME_1B	28	B4	LM2_siGENOME_1B_B4																empty well					
LM2_siGENOME_1B	29	B5	LM2_siGENOME_1B_B5																empty well					
LM2_siGENOME_1B	30	B6	LM2_siGENOME_1B_B6																empty well					
LM2_siGENOME_1B	31	B7	LM2_siGENOME_1B_B7																empty well					
LM2_siGENOME_1B	32	B8	LM2_siGENOME_1B_B8																empty well					
LM2_siGENOME_1B	33	B9	LM2_siGENOME_1B_B9																empty well					
LM2_siGENOME_1B	34	B10	LM2_siGENOME_1B_B10																empty well					
LM2_siGENOME_1B	35	B11	LM2_siGENOME_1B_B11																empty well					
LM2_siGENOME_1B	36	B12	LM2_siGENOME_1B_B12																empty well					
LM2_siGENOME_1B	37	B13	LM2_siGENOME_1B_B13																empty well					
LM2_siGENOME_1B	38	B14	LM2_siGENOME_1B_B14																empty well					
LM2_siGENOME_1B	39	B15	LM2_siGENOME_1B_B15																empty well					
LM2_siGENOME_1B	40	B16	LM2_siGENOME_1B_B16																empty well					
LM2_siGENOME_1B	41	B17	LM2_siGENOME_1B_B17																empty well					
LM2_siGENOME_1B	42	B18	LM2_siGENOME_1B_B18																empty well					
LM2_siGENOME_1B	43	B19	LM2_siGENOME_1B_B19																empty well					
LM2_siGENOME_1B	44	B20	LM2_siGENOME_1B_B20																empty well					
LM2_siGENOME_1B	45	B21	LM2_siGENOME_1B_B21																empty well					
LM2_siGENOME_1B	46	B22	LM2_siGENOME_1B_B22																empty well					
LM2_siGENOME_1B	47	B23	LM2_siGENOME_1B_B23																empty well					
LM2_siGENOME_1B	48	B24	LM2_siGENOME_1B_B24																empty well					
LM2_siGENOME_1B	49	C1	LM2_siGENOME_1B_C1																empty well					
LM2_siGENOME_1B	50	C2	LM2_siGENOME_1B_C2																empty well					
LM2_siGENOME_1B	51	C3	LM2_siGENOME_1B_C3	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231	M-008868-01	Dharmacon siGENOME		11214	AKAP13			NM_006738	31563329				pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1B	52	C4	LM2_siGENOME_1B_C4	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231	M-015006-01	Dharmacon siGENOME		84904	ARHGEF39	C9orf100		NM_032818	90652856				pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1B	53	C5	LM2_siGENOME_1B_C5	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231	M-005195-02	Dharmacon siGENOME		6655	SOS2			NM_006939	154689779				pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1B	54	C6	LM2_siGENOME_1B_C6	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231	M-008434-02	Dharmacon siGENOME		26230	TIAM2			NM_001010927	73695942				pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1B	55	C7	LM2_siGENOME_1B_C7	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231	M-008365-01	Dharmacon siGENOME		6453	ITSN1			NM_001001132	47717124				pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1B	56	C8	LM2_siGENOME_1B_C8	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231	M-003904-03	Dharmacon siGENOME		4168	MCF2			NM_005369	153791324				pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1B	57	C9	LM2_siGENOME_1B_C9	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231	M-003875-05	Dharmacon siGENOME		613	BCR			NM_021574	82546844				pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1B	58	C10	LM2_siGENOME_1B_C10	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231	M-010063-01	Dharmacon siGENOME		57580	PREX1			NM_020820	112789552				pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1B	59	C11	LM2_siGENOME_1B_C11	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231	M-013460-01	Dharmacon siGENOME		9639	ARHGEF10			NM_014629	62568863				pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1B	60	C12	LM2_siGENOME_1B_C12	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231											negative control	mock transfection	pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1B	61	C13	LM2_siGENOME_1B_C13	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231	M-017096-01	Dharmacon siGENOME		55160	ARHGEF10L	FLJ10521		NM_001011722	74136546				pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1B	62	C14	LM2_siGENOME_1B_C14	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231	M-010063-01	Dharmacon siGENOME		57580	PREX1			NM_020820	112789552				pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1B	63	C15	LM2_siGENOME_1B_C15	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231	M-008370-02	Dharmacon siGENOME		128272	ARHGEF19			NM_153213	141802042				pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1B	64	C16	LM2_siGENOME_1B_C16	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231	M-022051-01	Dharmacon siGENOME		26030	PLEKHG3			NM_015549	55749620				pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1B	65	C17	LM2_siGENOME_1B_C17	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231	M-024506-02	Dharmacon siGENOME		64283	ARHGEF28	RGNEF	Gene symbol updated by IDR curator to be consistent across plates.	NM_001080479	122937433				pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1B	66	C18	LM2_siGENOME_1B_C18	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231	M-009616-00	Dharmacon siGENOME		8874	ARHGEF7			NM_003899	22027526				pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1B	67	C19	LM2_siGENOME_1B_C19	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231	M-003915-02	Dharmacon siGENOME		10276	NET1			NM_005863	114145680				pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1B	68	C20	LM2_siGENOME_1B_C20	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231	M-014602-01	Dharmacon siGENOME		80243	PREX2	DEPDC2		NM_025170	47578116				pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1B	69	C21	LM2_siGENOME_1B_C21	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231	M-008519-02	Dharmacon siGENOME		10160	FARP1			NM_001001715	159032536				pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1B	70	C22	LM2_siGENOME_1B_C22	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231	M-023690-01	Dharmacon siGENOME		64857	PLEKHG2			NM_022835	45237196				pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1B	71	C23	LM2_siGENOME_1B_C23																empty well					
LM2_siGENOME_1B	72	C24	LM2_siGENOME_1B_C24																empty well					
LM2_siGENOME_1B	73	D1	LM2_siGENOME_1B_D1																empty well					
LM2_siGENOME_1B	74	D2	LM2_siGENOME_1B_D2																empty well					
LM2_siGENOME_1B	75	D3	LM2_siGENOME_1B_D3	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231	M-020314-01	Dharmacon siGENOME		23229	ARHGEF9			NM_015185	7662107				pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1B	76	D4	LM2_siGENOME_1B_D4	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231	M-004775-01	Dharmacon siGENOME		57584	ARHGAP21			NM_020824	50345878				pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1B	77	D5	LM2_siGENOME_1B_D5	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231	M-014170-00	Dharmacon siGENOME		57722	IGDCC4	NOPE	Gene symbol updated by IDR curator to be consistent across plates.	NM_020962	19882240				pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1B	78	D6	LM2_siGENOME_1B_D6	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231	M-009535-00	Dharmacon siGENOME		4650	MYO9B			NM_004145	33356169				pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1B	79	D7	LM2_siGENOME_1B_D7	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231	M-017968-01	Dharmacon siGENOME		9732	DOCK4			NM_014705	92091571				pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1B	80	D8	LM2_siGENOME_1B_D8	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231	M-009535-00	Dharmacon siGENOME		4650	MYO9B			NM_004145	33356169				pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1B	81	D9	LM2_siGENOME_1B_D9	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231	M-024733-01	Dharmacon siGENOME		345930	ECT2L	LOC345930	Gene symbol updated by IDR curator to be consistent across plates.	NM_001077706	118150677				pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
LM2_siGENOME_1B	82	D10	LM2_siGENOME_1B_D10	Homo sapiens	NCBITaxon	NCBITaxon_9606	LM2	LM2 is derived from MDA-MB-231	M-026304-01	Dharmacon siGENOME		23268	DNMBP			NM_015221	157426903				pass		AlexaFluor647:YAP/TAZ; AlexaFluor568:alphaTubulin;Phalloidin488: F-actin;Hoechst: nuclei	
