Replicate,Plate,Well,Gene Identifier %% url=http://www.pombase.org/spombe/result/%s,Gene Identifier Source Database,Strain Name,Gene Symbol,Control Type,Control Comments,Reproducibility of Shape Hits,Reproducibility of microtubule hits,Reproducibility of cell cycle progression hits,Visual Shape Hit,Visual Microtubule Hit,Conservation in S. cerevisiae,Conservation in Vertebrates,Conservation in H. sapiens,Phenotype 1,Ontology Term Name 1a,Term Source Accession 1a,Ontology Term Name 1b,Term Source Accession 1b,Phenotype 2,Ontology Term Name 2a,Term Source Accession 2a,Ontology Term Name 2b,Term Source Accession 2b,Phenotype 3,Ontology Term Name 3a,Term Source Accession 3a,Ontology Term Name 3b,Term Source Accession 3b,Phenotype 4,Ontology Term Name 4a,Term Source Accession 4a,Ontology Term Name 4b,Term Source Accession 4b,Phenotype 5,Ontology Term Name 5a,Term Source Accession 5a,Ontology Term Name 5b,Term Source Accession 5b,Phenotype 6,Ontology Term Name 6a,Term Source Accession 6a,Ontology Term Name 6b,Term Source Accession 6b,Phenotype 7,Ontology Term Name 7a,Term Source Accession 7a,Ontology Term Name 7b,Term Source Accession 7b
1,X_110401_S15,E10,SPCC1827.02c,Pombase,SPCC1827.02c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,E11,SPCC4F11.03c,Pombase,SPCC4F11.03c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,E12,SPCPB16A4.03c,Pombase,ade10,ade10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,E2,SPBC23G7.08c,Pombase,rga7,rga7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,E3,SPBC29B5.02c,Pombase,isp4,isp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,E4,SPBC32H8.02c,Pombase,nep2,nep2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,E5,SPBC3E7.16c,Pombase,leu3,leu3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,E6,SPBC725.14,Pombase,arg6,arg6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,E7,SPBP4H10.11c,Pombase,lcf2,lcf2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,E8,SPCC1235.12c,Pombase,mug146,mug146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,E9,SPCC1620.07c,Pombase,lnp1,lnp1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,F1,SPBC18A7.02c,Pombase,SPBC18A7.02c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,F10,SPCC1827.04,Pombase,vms1,vms1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,F11,SPCC4G3.10c,Pombase,rhp42,rhp42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,F12,SPCPB1C11.02,Pombase,SPCPB1C11.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,F2,SPBC23G7.12c,Pombase,rpt6,rpt6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,F3,SPBC2F12.03c,Pombase,ebs1,ebs1,,,,4/10,,yes,,yes,yes,,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,F4,SPBC337.11,Pombase,SPBC337.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,F5,SPBC428.14,Pombase,SPBC428.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,F6,SPBC776.15c,Pombase,kgd2,kgd2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,F7,SPBP8B7.10c,Pombase,utp16,utp16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,F8,SPCC1259.11c,Pombase,gyp2,gyp2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,F9,SPCC16A11.04,Pombase,snx12,snx12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,G1,SPBC18E5.11c,Pombase,edc3,edc3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,G10,SPCC1840.03,Pombase,sal3,sal3,,,5/5,4/4,,,,yes,yes,,viable elongated vegetative cell,elongated cell,CMPO_0000077,,,viable vegetative cell with abnormal cell shape,abnormal cell shape,CMPO_0000116,,,microtubule bundles present in greater numbers,increased number of microtubule bundles,CMPO_0000372,,,S-shaped cell,S-shaped cell,CMPO_0000364,,,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,,,,,,,,,,
1,X_110401_S15,G11,SPCC553.01c,Pombase,dbl2,dbl2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,G12,SPAC3A11.07,Pombase,nde2,nde2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,G2,SPBC24C6.04,Pombase,SPBC24C6.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,G3,SPBC2G2.01c,Pombase,liz1,liz1,,,,3/8,,,,yes,yes,,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,G4,SPBC354.05c,Pombase,sre2,sre2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,G5,SPBC4C3.06,Pombase,syp1,syp1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,G6,SPBC800.11,Pombase,SPBC800.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,G7,SPBPB2B2.19c,Pombase,SPBPB2B2.19c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,G8,SPCC126.04c,Pombase,sgf73,sgf73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,G9,SPCC16C4.06c,Pombase,pus3,pus3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,H1,SPBC1921.03c,Pombase,mex67,mex67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,H10,SPCC188.09c,Pombase,pfl4,pfl4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,H11,SPCC584.01c,Pombase,SPCC584.01c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,H12,,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,H2,,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,H3,,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,H4,SPBC354.08c,Pombase,SPBC354.08c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,H5,SPBC530.05,Pombase,prt1,prt1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,H6,SPBC839.06,Pombase,cta3,cta3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,H7,SPBPB7E8.01,Pombase,SPBPB7E8.01,,,,,,2/5,,,yes,,,IP increased,more cells with interphase microtubule arrays,CMPO_0000383,,,PAA reduced,not available yet,not available yet,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,H8,SPCC126.09,Pombase,zip2,zip2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,H9,SPCC1739.10,Pombase,mug33,mug33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,A1,SPAC20G4.08,Pombase,pdc1,pdc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,A10,SPBC8E4.04,Pombase,SPBC8E4.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,A11,SPAC13F5.04c,Pombase,vta1,vta1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,A12,SPAC1639.01c,Pombase,SPAC1639.01c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,A2,SPCC188.07,Pombase,ccq1,ccq1,,,8/8,6/6,,,,yes,,,viable elongated vegetative cell,elongated cell,CMPO_0000077,,,viable vegetative cell with abnormal cell shape,abnormal cell shape,CMPO_0000116,,,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,A3,SPAC13A11.06,Pombase,SPAC13A11.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,A4,SPAC4D7.10c,Pombase,spt20,spt20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,A5,SPBC32H8.07,Pombase,git5,git5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,A6,SPAC1006.04c,Pombase,mcp3,mcp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,A7,SPAC8E11.05c,Pombase,SPAC8E11.05c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,A8,SPBC3E7.15c,Pombase,lac1,lac1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,A9,SPCC364.07,Pombase,ser3,ser3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,B1,SPAC1B3.08,Pombase,SPAC1B3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,B10,SPAC1071.05,Pombase,SPAC1071.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,B11,SPAC13G7.04c,Pombase,mac1,mac1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,B12,SPAC1687.09,Pombase,SPAC1687.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,B2,SPCC550.07,Pombase,SPCC550.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,B3,SPBC21C3.02c,Pombase,dep1,dep1,,,7/9,8/8,,yes,,yes,yes,yes,viable elongated vegetative cell,elongated cell,CMPO_0000077,,,viable vegetative cell with abnormal cell shape,abnormal cell shape,CMPO_0000116,,,S-shaped cell,S-shaped cell,CMPO_0000364,,,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,,,,,,,,,,,,,,,
1,X_110401_S16,B4,,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,B5,SPAC11G7.06c,Pombase,mug132,mug132,,,6/7,,,,,,yes,yes,viable vegetative cell with abnormal cell shape,abnormal cell shape,CMPO_0000116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,B6,SPAC1B3.10c,Pombase,SPAC1B3.10c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,B7,SPBC12C2.03c,Pombase,SPBC12C2.03c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,B8,SPBC4.06,Pombase,SPBC4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,B9,SPCC548.07c,Pombase,ght1,ght1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,C1,SPAC1F5.07c,Pombase,hem14,hem14,,,6/8,3/7,,,,yes,yes,,viable vegetative cell with abnormal cell shape,abnormal cell shape,CMPO_0000116,,,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,C10,SPAC110.02,Pombase,pds5,pds5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,C11,SPAC13G7.05,Pombase,are1,are1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,C12,SPAC1687.13c,Pombase,csn5,csn5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,C2,SPAC25G10.04c,Pombase,rec10,rec10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,C3,SPBC2A9.11c,Pombase,iss9,iss9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,C4,SPAC4F10.16c,Pombase,SPAC4F10.16c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,C5,SPAC1556.02c,Pombase,sdh1,sdh1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,C6,SPAC1639.02c,Pombase,trk2,trk2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,C7,SPBC1652.01,Pombase,SPBC1652.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,C8,SPBC409.10,Pombase,ade7,ade7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,C9,SPCC584.15c,Pombase,SPCC584.15c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,D1,SPAC1952.15c,Pombase,rec24,rec24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,D10,SPAC11D3.06,Pombase,SPAC11D3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,D11,SPAC13G7.13c,Pombase,msa1,msa1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,D12,SPAC16E8.13,Pombase,SPAC16E8.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,D2,SPAC1F3.10c,Pombase,Oct-01,Oct-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,D3,SPBC725.07,Pombase,pex5,pex5,,,,4/10,,yes,,yes,,,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,D4,SPAC26F1.14c,Pombase,aif1,aif1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,D5,SPAC29B12.02c,Pombase,set2,set2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,D6,SPAC222.05c,Pombase,mss1,mss1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,D7,SPBC16C6.08c,Pombase,qcr6,qcr6,,,,3/8,,,,yes,yes,,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,D8,SPBC428.17c,Pombase,wpl1,wpl1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,D9,SPCC777.03c,Pombase,SPCC777.03c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,E1,SPBC16A3.10,Pombase,SPBC16A3.10,,,,,3/6,,,,yes,yes,yes,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,E10,SPAC11E3.04c,Pombase,ubc13,ubc13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,E11,SPAC1486.02c,Pombase,dsc2,dsc2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,E12,SPAC17A2.13c,Pombase,rad25,rad25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,E2,SPAC18B11.10,Pombase,tup11,tup11,,,,5/10,,,,yes,yes,,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,E3,SPBC947.04,Pombase,pfl3,pfl3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,E4,SPAC21E11.05c,Pombase,cyp8,cyp8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,E5,SPAC3A11.02,Pombase,cps3,cps3,,,5/9,4/9,,,,yes,,,viable stubby vegetative cell,stubby cell,CMPO_0000367,,,viable vegetative cell with abnormal cell shape,abnormal cell shape,CMPO_0000116,,,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,E6,SPAC24B11.07c,Pombase,SPAC24B11.07c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,E7,SPBC23G7.10c,Pombase,SPBC23G7.10c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,E8,SPCC1259.09c,Pombase,pdx1,pdx1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,E9,SPCPB16A4.05c,Pombase,SPCPB16A4.05c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,F1,SPBC1539.02,Pombase,SPBC1539.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,F10,SPAC11G7.01,Pombase,SPAC11G7.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,F11,SPAC14C4.15c,Pombase,SPAC14C4.15c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,F12,SPAC17A5.04c,Pombase,mde10,mde10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,F2,SPBC409.07c,Pombase,wis1,wis1,,,6/9,3/8,,,,yes,,,viable vegetative cell with abnormal cell shape,abnormal cell shape,CMPO_0000116,,,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,F3,SPBC646.08c,Pombase,SPBC646.08c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,F4,SPAC6C3.04,Pombase,cit1,cit1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,F5,SPAC1039.09,Pombase,isp5,isp5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,F6,SPAC25H1.05,Pombase,meu29,meu29,,,8/8,,,yes,,,yes,,viable vegetative cell with abnormal cell shape,abnormal cell shape,CMPO_0000116,,,viable pear-shaped vegetative cell,pear-shaped cell,CMPO_0000366,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,F7,SPBC27.02c,Pombase,ask1,ask1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,F8,SPCC132.01c,Pombase,mtr1,mtr1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,F9,SPCC4G3.08,Pombase,psk1,psk1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,G1,SPBC17D1.05,Pombase,SPBC17D1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,G10,SPAC1296.03c,Pombase,sxa2,sxa2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,G11,SPAC15A10.03c,Pombase,rad54,rad54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,G12,SPAC17H9.19c,Pombase,cdt2,cdt2,,,5/5,4/4,,yes,yes,yes,yes,yes,viable elongated vegetative cell,elongated cell,CMPO_0000077,,,viable vegetative cell with abnormal cell shape,abnormal cell shape,CMPO_0000116,,,microtubule bundles present in greater numbers,increased number of microtubule bundles,CMPO_0000372,,,S-shaped cell,S-shaped cell,CMPO_0000364,,,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,,,,,,,,,,
1,X_110401_S16,G2,SPAC343.16,Pombase,lys2,lys2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,G3,SPCC417.12,Pombase,SPCC417.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,G4,SPAC977.12,Pombase,SPAC977.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,G5,SPAC25A8.02,Pombase,atg14,atg14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,G6,SPAC26H5.08c,Pombase,bgl2,bgl2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,G7,SPBC337.07c,Pombase,ecm14,ecm14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,G8,SPCC16C4.14c,Pombase,sfc4,sfc4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,G9,SPCC285.05,Pombase,SPCC285.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,H1,SPBC18E5.01,Pombase,SPBC18E5.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,H10,SPAC12G12.09,Pombase,SPAC12G12.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,H11,SPAC15E1.05c,Pombase,ect1,ect1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,H12,,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,H2,,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,H3,,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,H4,SPBC342.03,Pombase,gas4,gas4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,H5,SPAC343.15,Pombase,tit1,tit1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,H6,SPAC824.09c,Pombase,SPAC824.09c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,H7,SPBC3B8.02,Pombase,php5,php5,,,3/7,,,,,yes,yes,,viable vegetative cell with abnormal cell shape,abnormal cell shape,CMPO_0000116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,H8,SPCC24B10.15,Pombase,SPCC24B10.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,H9,SPAC644.07,Pombase,SPAC644.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110406_S17,A1,SPAC186.01,Pombase,pfl9,pfl9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
