Gene Identifier	Gene Symbol	Reproducibility of Shape Hits	Reproducibility of microtubule hits	Reproducibility of cell cycle progression hits	Visual Shape Hit	Visual Microtubule Hit	Conservation in S. cerevisiae	Conservation in Vertebrates	Conservation in H. sapiens	Phenotype 1	Ontology Term Name 1a	Term Source Accession 1a	Ontology Term Name 1b	Term Source Accession 1b	Phenotype 2	Ontology Term Name 2a	Term Source Accession 2a	Ontology Term Name 2b	Term Source Accession 2b	Phenotype 3	Ontology Term Name 3a	Term Source Accession 3a	Ontology Term Name 3b	Term Source Accession 3b	Phenotype 4	Ontology Term Name 4a	Term Source Accession 4a	Ontology Term Name 4b	Term Source Accession 4b	Phenotype 5	Ontology Term Name 5a	Term Source Accession 5a	Ontology Term Name 5b	Term Source Accession 5b	Phenotype 6	Ontology Term Name 6a	Term Source Accession 6a	Ontology Term Name 6b	Term Source Accession 6b	Phenotype 7	Ontology Term Name 7a	Term Source Accession 7a	Ontology Term Name 7b	Term Source Accession 7b
SPCC970.10c	brl2	6/6					yes	yes	yes	viable elongated vegetative cell	elongated cell	CMPO_0000077			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			S-shaped cell	S-shaped cell	CMPO_0000364																						
SPAC11G7.02	pub1	8/9					yes	yes		viable stubby vegetative cell	stubby cell	CMPO_0000367			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			viable pear-shaped vegetative cell	pear-shaped cell	CMPO_0000366																						
SPAC688.11	end4	4/4				yes		yes		viable stubby vegetative cell	stubby cell	CMPO_0000367			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			viable pear-shaped vegetative cell	pear-shaped cell	CMPO_0000366																						
SPBC800.07c	tsf1		8/10				yes	yes	yes	long cytoplasmic microtubules	elongated cytoplasmic microtubules	CMPO_0000370			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																									
SPAC3C7.12	tip1		7/7				yes	yes	yes	short cytoplasmic microtubules	shortened cytoplasmic microtubules	CMPO_0000371			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																									
SPBC16G5.15c	fkh2		6/6				yes	yes	yes	short cytoplasmic microtubules	shortened cytoplasmic microtubules	CMPO_0000371			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																									
SPAC11G7.04	ubi1	4/7	4/6				yes	yes	yes	viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																									
SPAC1782.11	met14	5/7	4/5				yes	yes	yes	viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																									
SPAC1F3.03		5/9	3/5				yes			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																									
SPAC1F5.07c	hem14	6/8	3/7				yes	yes		viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																									
SPAC227.17c		5/9	4/8				yes	yes		viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																									
SPAC23C11.10	mpn1	3/7	4/7				yes	yes		viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																									
SPAC23D3.09	arp42	5/8	4/7				yes	yes	yes	viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																									
SPAC3F10.17		3/7	3/7		yes	yes	yes	yes		viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																									
SPAC3H8.09c	nab3	9/10	4/9				yes	yes	yes	viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																									
SPAC4F8.01	did4	5/10	4/10				yes	yes	yes	viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																									
SPAC630.10		3/7	6/6				yes			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																									
SPAC6G9.14		8/10	3/7				yes			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																									
SPAPB17E12.04c	csn2	6/8	5/7					yes		viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																									
SPBC106.10	pka1	5/7	3/6				yes			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																									
SPBC1539.08	arf6	6/8	6/7				yes	yes		viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																									
SPBC16G5.07c		5/9	9/9				yes	yes	yes	viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																									
SPBC1718.07c	zfs1	5/14	7/11				yes	yes	yes	viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																									
SPBC1734.15	rsc4	6/14	12/14				yes	yes		viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																									
SPBC18H10.04c	sce3	6/8	3/8		yes	yes	yes	yes		viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																									
SPBC18H10.07		7/10	3/7				yes	yes		viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																									
SPBC215.03c	csn1	8/8	5/7				yes	yes	yes	viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																									
SPBC27B12.10c	tom7	3/5	3/5				yes	yes	yes	viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																									
SPBC2F12.11c	rep2	4/5	3/4				yes	yes	yes	viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																									
SPBC3B9.09	vps36	9/14	6/14				yes	yes	yes	viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																									
SPBC409.07c	wis1	6/9	3/8				yes			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																									
SPBC4B4.06	vps25	4/5	2/4				yes	yes	yes	viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																									
SPCC1020.11c	ecm6	3/8	3/8			yes	yes	yes	yes	viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																									
SPCC1223.06	tea1	3/8	3/6				yes	yes	yes	viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																									
SPCC965.06		7/14	10/14				yes			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																									
SPAC140.02	gar2			3/8						IP increased	more cells with interphase microtubule arrays	CMPO_0000383			PAA reduced	not available yet	not available yet																											
SPAC3C7.08c	elf1			2/5			yes	yes	yes	IP increased	more cells with interphase microtubule arrays	CMPO_0000383			PAA reduced	not available yet	not available yet																											
SPAC5D6.07c	pxa1			2/4	yes		yes			IP increased	more cells with interphase microtubule arrays	CMPO_0000383			PAA reduced	not available yet	not available yet																											
SPBC11C11.09c	rpl502			3/8		yes	yes	yes		IP increased	more cells with interphase microtubule arrays	CMPO_0000383			PAA reduced	not available yet	not available yet																											
SPBC19G7.16	iws1			2/5		yes	yes	yes	yes	IP increased	more cells with interphase microtubule arrays	CMPO_0000383			PAA reduced	not available yet	not available yet																											
SPBC21H7.04	dbp7			3/7			yes			IP increased	more cells with interphase microtubule arrays	CMPO_0000383			PAA reduced	not available yet	not available yet																											
SPBC2D10.06	rep1			2/4		yes	yes	yes	yes	IP increased	more cells with interphase microtubule arrays	CMPO_0000383			PAA reduced	not available yet	not available yet																											
SPBC8D2.12c				3/8			yes	yes		IP increased	more cells with interphase microtubule arrays	CMPO_0000383			PAA reduced	not available yet	not available yet																											
SPBPB7E8.01				2/5			yes			IP increased	more cells with interphase microtubule arrays	CMPO_0000383			PAA reduced	not available yet	not available yet																											
SPCC126.06	twf1			3/7		yes				IP increased	more cells with interphase microtubule arrays	CMPO_0000383			PAA reduced	not available yet	not available yet																											
SPCC24B10.09	rps1702			3/5				yes	yes	IP increased	more cells with interphase microtubule arrays	CMPO_0000383			PAA reduced	not available yet	not available yet																											
SPCC24B10.12	cgi121			2/5			yes	yes		IP increased	more cells with interphase microtubule arrays	CMPO_0000383			PAA reduced	not available yet	not available yet																											
SPAC25H1.05	meu29	8/8			yes			yes		viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			viable pear-shaped vegetative cell	pear-shaped cell	CMPO_0000366																											
SPAC323.05c		3/8					yes	yes		viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			viable pear-shaped vegetative cell	pear-shaped cell	CMPO_0000366																											
SPBC776.04	sec2302	6/9					yes	yes	yes	viable elongated vegetative cell	elongated cell	CMPO_0000077			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																											
SPAC1782.05	ypa2	3/8			yes	yes	yes	yes	yes	viable stubby vegetative cell	stubby cell	CMPO_0000367			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																											
SPAC22H10.07	scd2	5/8					yes	yes	yes	viable stubby vegetative cell	stubby cell	CMPO_0000367			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																											
SPAC23H3.13c	gpa2	6/8			yes	yes	yes	yes		viable stubby vegetative cell	stubby cell	CMPO_0000367			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																											
SPAC26H5.05	mga2	7/8			yes	yes	yes	yes		viable stubby vegetative cell	stubby cell	CMPO_0000367			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																											
SPAC31A2.13c	sft1	6/6					yes	yes	yes	viable stubby vegetative cell	stubby cell	CMPO_0000367			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																											
SPAC4G9.16c	rpl901	9/9					yes	yes		viable stubby vegetative cell	stubby cell	CMPO_0000367			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																											
SPBC146.13c	myo1	8/8					yes	yes	yes	viable stubby vegetative cell	stubby cell	CMPO_0000367			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																											
SPBC21.05c	ral2	8/8					yes	yes	yes	viable stubby vegetative cell	stubby cell	CMPO_0000367			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																											
SPBC24C6.10c	dip1	8/8					yes			viable stubby vegetative cell	stubby cell	CMPO_0000367			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																											
SPBC336.14c	ppk26	4/6					yes			viable stubby vegetative cell	stubby cell	CMPO_0000367			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																											
SPCP1E11.05c	are2	2/5					yes	yes		viable stubby vegetative cell	stubby cell	CMPO_0000367			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																											
SPAC1006.03c	red1		3/8		yes		yes			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPAC11E3.13c	gas5		2/5				yes	yes	yes	abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPAC12B10.10			4/9				yes	yes	yes	abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPAC13G7.02c	ssa1		2/5				yes			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPAC13G7.03	upf3		3/8				yes			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPAC144.06	apl5		3/6				yes	yes		abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPAC1527.01	mok11		5/8				yes	yes		abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPAC15E1.02c			3/7				yes	yes	yes	abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPAC1687.08			3/8				yes			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPAC17A5.07c	ulp2		3/8				yes	yes	yes	abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPAC17A5.08	erp2		2/5					yes		abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPAC17A5.14	exo2		3/6				yes	yes	yes	abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPAC1834.08	mak1		4/9				yes	yes		abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPAC18B11.10	tup11		5/10				yes	yes		abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPAC1952.05	gcn5		5/10				yes	yes	yes	abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPAC20G4.07c	sts1		3/6				yes			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPAC227.10			7/7				yes	yes		abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPAC22F3.03c	rdh54		6/6				yes			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPAC22F3.06c	lon1		5/8				yes	yes	yes	abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPAC22H10.11c			6/8				yes	yes	yes	abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPAC27E2.03c			2/5				yes	yes		abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPAC29B12.08	clr5		3/7				yes	yes	yes	abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPAC30D11.05	aps3		4/7				yes	yes	yes	abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPAC343.20			2/5				yes	yes		abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPAC3A12.03c	meu34		3/8				yes	yes	yes	abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPAC3H1.13	ppk13		2/5				yes	yes		abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPAC4C5.02c	ryh1		4/7			yes	yes	yes	yes	abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPAC4G8.07c			2/5				yes	yes	yes	abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPAC589.09			4/8				yes	yes	yes	abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPAC5H10.04			3/8		yes	yes	yes	yes		abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPAC5H10.09c			3/8		yes		yes	yes	yes	abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPAC644.14c	rad51		4/9		yes		yes	yes	yes	abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPAC6C3.08			3/8				yes	yes		abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPAC6G9.04	spo7		2/5				yes	yes	yes	abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPAC767.01c	vps1		3/7				yes	yes		abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPAC823.05c	tlg2		4/6					yes		abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPAC890.05			3/7					yes	yes	abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPAC9G1.03c	rpl3001		6/10				yes	yes	yes	abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPAPB1A10.08			2/4				yes	yes	yes	abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPAPB21F2.03	slx9		2/4					yes	yes	abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPBC119.06	sco1		2/4				yes	yes	yes	abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPBC1289.16c	cao2		5/7		yes		yes	yes	yes	abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPBC13G1.02	mpg2		2/5		yes		yes			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPBC13G1.08c	ash2		4/9				yes	yes	yes	abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPBC13G1.10c	mug81		2/5					yes	yes	abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPBC15D4.06	naa30		4/7				yes	yes		abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPBC1604.12			3/8				yes			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPBC16A3.10			3/6				yes	yes	yes	abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPBC16C6.08c	qcr6		3/8				yes	yes		abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPBC16E9.15			5/6				yes	yes		abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPBC16G5.11c	bag101		4/10				yes	yes	yes	abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPBC1706.01	tea4		3/5				yes			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPBC1709.09	rrf1		6/10			yes	yes	yes	yes	abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPBC1734.07c			3/6				yes			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPBC1861.05			3/5				yes	yes	yes	abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPBC1D7.01	pfd1		7/7				yes	yes	yes	abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPBC20F10.07			2/5				yes			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPBC211.06	gfh1		4/5				yes	yes	yes	abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPBC215.02	bob1		8/8		yes	yes	yes			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPBC21B10.13c	yox1		2/5				yes	yes	yes	abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPBC23E6.02	rrp2		2/5				yes			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPBC23E6.08	sat1		3/7				yes	yes	yes	abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPBC23G7.04c	nif1		5/5			yes	yes	yes	yes	abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPBC29A10.12			2/4				yes	yes	yes	abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPBC29A10.16c			3/7				yes	yes	yes	abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPBC2F12.03c	ebs1		4/10		yes		yes	yes		abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
