Plate,Well Number,Well,Gene Identifier %%  url=http://www.ensembl.org/id/%s,Gene Symbol,Alias,Description,GO Biological Process,GO Molecular Function,GO Cellular Component,GO Term,Strain,Batch,Control Type,Control Comments,Quality Control,Comment,Number Of Cells,Number of Cells with Foci,Percentage Cells With Foci,Author Hit,Phenotype
P101,76,G4,YLL015W,BPT1,,"ABC type transmembrane transporter of MRP/CFTR family, found in vacuolar membrane, involved in the transport of unconjugated bilirubin and in heavy metal detoxification via glutathione conjugates, along with Ycf1p",transport,transporter activity,"membrane, vacuole, cytoplasm","cytoplasm, membrane, transport, transporter activity, vacuole",BY4742,12_1,,,,,270,0,0,no,
P101,77,G5,YLL016W,,,,,,,,BY4742,12_1,,,,,213,1,0.5,no,
P101,78,G6,YLL017W,,,,,,,,BY4742,12_1,,,,,190,21,11.1,no,
P101,79,G7,YLL019C,KNS1,L124,"Nonessential putative protein kinase of unknown cellular role; member of the LAMMER family of protein kinases, which are serine/threonine kinases also capable of phosphorylating tyrosine residues",protein modification process,"transferase activity, protein kinase activity",cellular_component,"cellular_component, protein kinase activity, protein modification process, transferase activity",BY4742,12_1,,,,,214,10,4.7,no,
P101,80,G8,YLL020C,,,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified gene KNS1",biological_process,molecular_function,cellular_component,"biological_process, cellular_component, molecular_function",BY4742,12_1,,,,,204,8,3.9,no,
P101,81,G9,YLL021W,SPA2,PEA1|FUS6,"Component of the polarisome, which functions in actin cytoskeletal organization during polarized growth; acts as a scaffold for Mkk1p and Mpk1p cell wall integrity signaling components; potential Cdc28p substrate","cell budding, signaling process, cytoskeleton organization, cytokinesis, response to chemical stimulus, conjugation, pseudohyphal growth, cellular component morphogenesis, cell cycle",protein binding,"cell cortex, cellular bud, site of polarized growth, cytoplasm","anatomical structure morphogenesis, cell budding, cell cortex, cellular bud, conjugation, cytokinesis, cytoplasm, cytoskeleton organization and biogenesis, organelle organization and biogenesis, other, protein binding, pseudohyphal growth, response to chemical stimulus, signal transduction, site of polarized growth",BY4742,12_1,,,,,252,8,3.2,no,
P101,82,G10,YLL023C,POM33,,"Transmembrane nucleoporin involved in nuclear pore complex (NPC) distribution, assembly or stabilization; highly conserved across species, orthologous to human TMEM33 and paralogous to Per33p",nucleus organization,molecular_function,"nucleus, endomembrane system, ribosome, membrane, endoplasmic reticulum, cytoplasm","biological_process, endoplasmic reticulum, molecular_function, ribosome",BY4742,12_1,,,,images not available,222,18,8.1,no,
P101,83,G11,YLL024C,SSA2,YG102,"ATP binding protein involved in protein folding and vacuolar import of proteins; member of heat shock protein 70 (HSP70) family; associated with the chaperonin-containing T-complex; present in the cytoplasm, vacuolar membrane and cell wall","transport, response to stress, protein folding","hydrolase activity, protein binding","membrane fraction, vacuole, mitochondrion, cell wall, membrane, cytoplasm","cell wall, cytoplasm, hydrolase activity, membrane, mitochondrion, other, protein binding, protein folding, response to stress, transport, vacuole",BY4742,12_1,,,,images not available,342,25,7.3,no,
P101,84,G12,YLL025W,PAU17,,"Protein of unknown function, member of the seripauperin multigene family encoded mainly in subtelomeric regions; YLL025W is not an essential gene",biological_process,molecular_function,cellular_component,"biological_process, cellular_component, molecular_function",BY4742,12_1,,,,images not available,175,7,4,no,
P101,85,H1,YLL026W,HSP104,,"Heat shock protein that cooperates with Ydj1p (Hsp40) and Ssa1p (Hsp70) to refold and reactivate previously denatured, aggregated proteins; responsive to stresses including: heat, ethanol, and sodium arsenite; involved in [PSI+] propagation","response to stress, cellular carbohydrate metabolic process, protein folding, response to chemical stimulus","protein binding, hydrolase activity","nucleus, cytoplasm","cytoplasm, hydrolase activity, nucleus, protein binding, protein folding, response to stress",BY4742,12_1,,,,,184,23,12.5,no,
P101,86,H2,YLL028W,TPO1,,"Polyamine transporter that recognizes spermine, putrescine, and spermidine; catalyzes uptake of polyamines at alkaline pH and excretion at acidic pH; phosphorylation enhances activity and sorting to the plasma membrane",transport,transporter activity,"cellular bud, membrane, vacuole, plasma membrane, cytoplasm","cellular bud, cytoplasm, membrane, plasma membrane, transport, transporter activity, vacuole",BY4742,12_1,,,,,174,20,11.5,no,
P101,87,H3,,empty/not available,,,,,,,,,empty/not available,,,images not available,,,,,
P101,88,H4,YLL029W,FRA1,RUP2,"Protein involved in negative regulation of transcription of iron regulon; forms an iron independent complex with Fra2p, Grx3p, and Grx4p; cytosolic; mutant fails to repress transcription of iron regulon and is defective in spore formation","transcription, response to chemical stimulus, RNA metabolic process",molecular_function,cytoplasm,"RNA metabolic process, cytoplasm, molecular_function, response to chemical stimulus, transcription",BY4742,12_1,,,,,210,6,2.9,no,
P101,89,H5,YLL032C,,,"Protein of unknown function that may interact with ribosomes, based on co-purification experiments; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YLL032C is not an essential gene",biological_process,molecular_function,"ribosome, cytoplasm","biological_process, cytoplasm, molecular_function, ribosome",BY4742,12_1,,,,,220,4,1.8,no,
P101,90,H6,YLL038C,ENT4,,"Protein of unknown function, contains an N-terminal epsin-like domain; proposed to be involved in the trafficking of Arn1p in the absence of ferrichrome","transport, cytoskeleton organization, vesicle-mediated transport, cellular membrane organization",protein binding,"cell cortex, cytoskeleton, cytoplasm","cell cortex, cytoplasm, cytoskeleton, cytoskeleton organization and biogenesis, membrane organization and biogenesis, organelle organization and biogenesis, protein binding, transport, vesicle-mediated transport",BY4742,12_1,,,,,180,13,7.2,no,
P101,91,H7,YLL039C,UBI4,UB14|SCD2,"Ubiquitin, becomes conjugated to proteins, marking them for selective degradation via the ubiquitin-26S proteasome system; essential for the cellular stress response; encoded as a polyubiquitin precursor comprised of 5 head-to-tail repeats","response to stress, sporulation resulting in formation of a cellular spore, protein modification process",protein binding,cytoplasm,"cytoplasm, other, protein binding, protein modification process, response to stress, sporulation",BY4742,12_1,,,,,272,4,1.5,no,
P101,92,H8,YLL040C,VPS13,VPT2|SOI1,"Protein of unknown function; heterooligomeric or homooligomeric complex; peripherally associated with membranes; homologous to human COH1; involved in sporulation, vacuolar protein sorting and protein-Golgi retention","transport, sporulation resulting in formation of a cellular spore, vesicle-mediated transport, cellular protein catabolic process",molecular_function,"mitochondrion, membrane, cytoplasm","cytoplasm, membrane, mitochondrion, molecular_function, other, protein catabolic process, sporulation, transport, vesicle-mediated transport",BY4742,12_1,,,,,224,2,0.9,no,
P101,93,H9,YLL041C,SDH2,SDHB|ACN17,"Iron-sulfur protein subunit of succinate dehydrogenase (Sdh1p, Sdh2p, Sdh3p, Sdh4p), which couples the oxidation of succinate to the transfer of electrons to ubiquinone as part of the TCA cycle and the mitochondrial respiratory chain","cofactor metabolic process, generation of precursor metabolites and energy, cellular respiration",oxidoreductase activity,"mitochondrion, membrane, mitochondrial envelope, cytoplasm","cellular respiration, cofactor metabolic process, cytoplasm, generation of precursor metabolites and energy, membrane, mitochondrial envelope, mitochondrion, oxidoreductase activity",BY4742,12_1,,,,,277,2,0.7,no,
P101,94,H10,YLL043W,FPS1,,"Plasma membrane channel, member of major intrinsic protein (MIP) family; involved in efflux of glycerol and in uptake of acetic acid and the trivalent metalloids arsenite and antimonite; phosphorylated by Hog1p MAPK under acetate stress","transport, response to chemical stimulus, conjugation",transporter activity,"vacuole, membrane, cytoplasm, plasma membrane","conjugation, cytoplasm, plasma membrane, response to chemical stimulus, transport, transporter activity, vacuole",BY4742,12_1,,,,images not available,284,6,2.1,no,
P101,95,H11,YLL045C,RPL8B,rp6|YL5|L8B|L4B|SCL41|KRB1,"Ribosomal protein L4 of the large (60S) ribosomal subunit, nearly identical to Rpl8Ap and has similarity to rat L7a ribosomal protein; mutation results in decreased amounts of free 60S subunits",translation,structural molecule activity,"ribosome, cytoplasm","cytoplasm, ribosome, structural molecule activity, translation",BY4742,12_1,,,,images not available,262,22,8.4,no,
P101,96,H12,YLL046C,RNP1,,Ribonucleoprotein that contains two RNA recognition motifs (RRM),ribosome biogenesis,RNA binding,cytoplasm,"RNA binding, cytoplasm, ribosome biogenesis",BY4742,12_1,,,,images not available,175,4,2.3,no,
