Plate	Well Number	Well	Experimental Condition [cell line]	"Cell Type/Genetic Subtype (Neve et al., Cancer Cell 2006)"	Experimental Condition [media]	Experimental Condition [compound]	Experimental Condition [dose]	Experimental Condition[time]	Control Type	Control Comment	Comments
22_lines_HI_comp_200145430	281	L17	MDA-MB-453	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	282	L18	HCC1954	Basal A breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	283	L19	HCC70	Basal A breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	284	L20	SUM149	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	285	L21	SUM159	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	286	L22	MCF10A	Basal B non-tumor	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	287	L23	MCF12A	Basal B non-tumor	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	288	L24							empty well		no images
22_lines_HI_comp_200145430	289	M1							empty well		no images
22_lines_HI_comp_200145430	290	M2	HeLa	cervical carcinoma	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	291	M3	Hep3B	hepatoma	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	292	M4	AG1573	primary fibroblast	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	293	M5	HS578T	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	294	M6	T47D	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	295	M7	MDA-MB-157	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	296	M8	HCC1143	Basal A breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	297	M9	AU565	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	298	M10	ZR75.1	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	299	M11	CAMA1	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	300	M12	BT474	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	301	M13	MDA-MB-231	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	302	M14	SKBR3	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	303	M15	JIMT1	Breast cancer (unknown genetic subtype)	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	304	M16	MCF7	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	305	M17	MDA-MB-453	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	306	M18	HCC1954	Basal A breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	307	M19	HCC70	Basal A breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	308	M20	SUM149	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	309	M21	SUM159	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	310	M22	MCF10A	Basal B non-tumor	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	311	M23	MCF12A	Basal B non-tumor	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	312	M24							empty well		no images
22_lines_HI_comp_200145430	313	N1							empty well		no images
22_lines_HI_comp_200145430	314	N2	HeLa	cervical carcinoma	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	315	N3	Hep3B	hepatoma	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	316	N4	AG1573	primary fibroblast	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	317	N5	HS578T	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	318	N6	T47D	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	319	N7	MDA-MB-157	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	320	N8	HCC1143	Basal A breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	321	N9	AU565	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	322	N10	ZR75.1	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	323	N11	CAMA1	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	324	N12	BT474	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	325	N13	MDA-MB-231	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	326	N14	SKBR3	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	327	N15	JIMT1	Breast cancer (unknown genetic subtype)	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	328	N16	MCF7	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	329	N17	MDA-MB-453	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	330	N18	HCC1954	Basal A breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	331	N19	HCC70	Basal A breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	332	N20	SUM149	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	333	N21	SUM159	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	334	N22	MCF10A	Basal B non-tumor	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	335	N23	MCF12A	Basal B non-tumor	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	336	N24							empty well		no images
22_lines_HI_comp_200145430	337	O1							empty well		no images
22_lines_HI_comp_200145430	338	O2	HeLa	cervical carcinoma	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	339	O3	Hep3B	hepatoma	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	340	O4	AG1573	primary fibroblast	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	341	O5	HS578T	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	342	O6	T47D	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	343	O7	MDA-MB-157	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	344	O8	HCC1143	Basal A breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	345	O9	AU565	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	346	O10	ZR75.1	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	347	O11	CAMA1	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	348	O12	BT474	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	349	O13	MDA-MB-231	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	350	O14	SKBR3	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	351	O15	JIMT1	Breast cancer (unknown genetic subtype)	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	352	O16	MCF7	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	353	O17	MDA-MB-453	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	354	O18	HCC1954	Basal A breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	355	O19	HCC70	Basal A breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	356	O20	SUM149	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	357	O21	SUM159	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	358	O22	MCF10A	Basal B non-tumor	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	359	O23	MCF12A	Basal B non-tumor	DMEM:F12 + 5% HI-FBS + 0.5 hydrocortisone + 10 ug/ml insulin + 20 ng/ml EGF + 100 ng/ml cholera toxin	none					
22_lines_HI_comp_200145430	360	O24							empty well		no images
22_lines_HI_comp_200145430	361	P1							empty well		no images
22_lines_HI_comp_200145430	362	P2							empty well		no images
22_lines_HI_comp_200145430	363	P3							empty well		no images
22_lines_HI_comp_200145430	364	P4							empty well		no images
22_lines_HI_comp_200145430	365	P5							empty well		no images
22_lines_HI_comp_200145430	366	P6							empty well		no images
22_lines_HI_comp_200145430	367	P7							empty well		no images
22_lines_HI_comp_200145430	368	P8							empty well		no images
22_lines_HI_comp_200145430	369	P9							empty well		no images
22_lines_HI_comp_200145430	370	P10							empty well		no images
22_lines_HI_comp_200145430	371	P11							empty well		no images
22_lines_HI_comp_200145430	372	P12							empty well		no images
22_lines_HI_comp_200145430	373	P13							empty well		no images
22_lines_HI_comp_200145430	374	P14							empty well		no images
22_lines_HI_comp_200145430	375	P15							empty well		no images
22_lines_HI_comp_200145430	376	P16							empty well		no images
22_lines_HI_comp_200145430	377	P17							empty well		no images
22_lines_HI_comp_200145430	378	P18							empty well		no images
22_lines_HI_comp_200145430	379	P19							empty well		no images
22_lines_HI_comp_200145430	380	P20							empty well		no images
22_lines_HI_comp_200145430	381	P21							empty well		no images
22_lines_HI_comp_200145430	382	P22							empty well		no images
22_lines_HI_comp_200145430	383	P23							empty well		no images
22_lines_HI_comp_200145430	384	P24							empty well		no images
22_lines_TNF_1h_200145914	1	A1							empty well		no images
22_lines_TNF_1h_200145914	2	A2							empty well		no images
22_lines_TNF_1h_200145914	3	A3							empty well		no images
22_lines_TNF_1h_200145914	4	A4							empty well		no images
22_lines_TNF_1h_200145914	5	A5							empty well		no images
22_lines_TNF_1h_200145914	6	A6							empty well		no images
22_lines_TNF_1h_200145914	7	A7							empty well		no images
22_lines_TNF_1h_200145914	8	A8							empty well		no images
22_lines_TNF_1h_200145914	9	A9							empty well		no images
22_lines_TNF_1h_200145914	10	A10							empty well		no images
22_lines_TNF_1h_200145914	11	A11							empty well		no images
22_lines_TNF_1h_200145914	12	A12							empty well		no images
22_lines_TNF_1h_200145914	13	A13							empty well		no images
22_lines_TNF_1h_200145914	14	A14							empty well		no images
22_lines_TNF_1h_200145914	15	A15							empty well		no images
22_lines_TNF_1h_200145914	16	A16							empty well		no images
22_lines_TNF_1h_200145914	17	A17							empty well		no images
22_lines_TNF_1h_200145914	18	A18							empty well		no images
22_lines_TNF_1h_200145914	19	A19							empty well		no images
22_lines_TNF_1h_200145914	20	A20							empty well		no images
22_lines_TNF_1h_200145914	21	A21							empty well		no images
22_lines_TNF_1h_200145914	22	A22							empty well		no images
22_lines_TNF_1h_200145914	23	A23							empty well		no images
22_lines_TNF_1h_200145914	24	A24							empty well		no images
22_lines_TNF_1h_200145914	25	B1							empty well		no images
22_lines_TNF_1h_200145914	26	B2	HeLa	cervical carcinoma	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	27	B3	Hep3B	hepatoma	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	28	B4	AG1573	primary fibroblast	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	29	B5	HS578T	Basal B breast cancer	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	30	B6	T47D	Luminal breast cancer	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	31	B7	MDA-MB-157	Basal B breast cancer	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	32	B8	HCC1143	Basal A breast cancer	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	33	B9	AU565	Luminal breast cancer	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	34	B10	ZR75.1	Luminal breast cancer	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	35	B11	CAMA1	Luminal breast cancer	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	36	B12	BT474	Luminal breast cancer	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	37	B13	MDA-MB-231	Basal B breast cancer	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	38	B14	SKBR3	Luminal breast cancer	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	39	B15	JIMT1	Breast cancer (unknown genetic subtype)	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	40	B16	MCF7	Luminal breast cancer	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	41	B17	MDA-MB-453	Luminal breast cancer	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	42	B18	HCC1954	Basal A breast cancer	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	43	B19	HCC70	Basal A breast cancer	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	44	B20	SUM149	Basal B breast cancer	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	45	B21	SUM159	Basal B breast cancer	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	46	B22	MCF10A	Basal B non-tumor	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	47	B23	MCF12A	Basal B non-tumor	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	48	B24							empty well		no images
22_lines_TNF_1h_200145914	49	C1							empty well		no images
22_lines_TNF_1h_200145914	50	C2	HeLa	cervical carcinoma	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	51	C3	Hep3B	hepatoma	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	52	C4	AG1573	primary fibroblast	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	53	C5	HS578T	Basal B breast cancer	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	54	C6	T47D	Luminal breast cancer	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	55	C7	MDA-MB-157	Basal B breast cancer	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	56	C8	HCC1143	Basal A breast cancer	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	57	C9	AU565	Luminal breast cancer	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	58	C10	ZR75.1	Luminal breast cancer	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	59	C11	CAMA1	Luminal breast cancer	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	60	C12	BT474	Luminal breast cancer	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	61	C13	MDA-MB-231	Basal B breast cancer	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	62	C14	SKBR3	Luminal breast cancer	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	63	C15	JIMT1	Breast cancer (unknown genetic subtype)	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	64	C16	MCF7	Luminal breast cancer	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	65	C17	MDA-MB-453	Luminal breast cancer	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	66	C18	HCC1954	Basal A breast cancer	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	67	C19	HCC70	Basal A breast cancer	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	68	C20	SUM149	Basal B breast cancer	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	69	C21	SUM159	Basal B breast cancer	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	70	C22	MCF10A	Basal B non-tumor	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	71	C23	MCF12A	Basal B non-tumor	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	72	C24							empty well		no images
22_lines_TNF_1h_200145914	73	D1							empty well		no images
22_lines_TNF_1h_200145914	74	D2	HeLa	cervical carcinoma	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	75	D3	Hep3B	hepatoma	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	76	D4	AG1573	primary fibroblast	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	77	D5	HS578T	Basal B breast cancer	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	78	D6	T47D	Luminal breast cancer	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	79	D7	MDA-MB-157	Basal B breast cancer	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	80	D8	HCC1143	Basal A breast cancer	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
22_lines_TNF_1h_200145914	81	D9	AU565	Luminal breast cancer	DMEM:F12 5% HI-FBS	TNF-alpha	10 nanogram per milliliter	1 hour			
