Plate	Well	Plate_Well	siRNA Identifier	siRNA Pool Name	Gene Identifier	Ensembl 56 Gene Symbol	Final Well Hit Status Actinome 1	Final Well Hit status Actinome 2	Overall Hit Gene Consensus	Has phenotypes	Phenotype 1	Term Source Accession 1	Ontology Term Name 1	Phenotype 2	Term Source Accession 2	Ontology Term Name 2	Phenotype 3	Term Source Accession 3	Ontology Term Name 3	Phenotype 4	Term Source Accession 4	Ontology Term Name 4	Phenotype 5	Term Source Accession 5	Ontology Term Name 5	Phenotype 6	Term Source Accession 6	Ontology Term Name 6	Phenotype 7	Term Source Accession 7	Ontology Term Name 7	Phenotype 8	Term Source Accession 8	Ontology Term Name 8	Phenotype 9	Term Source Accession 9	Ontology Term Name 9	Phenotype 10	Term Source Accession 10	Ontology Term Name 10	Phenotype 11	Term Source Accession 11	Ontology Term Name 11	Phenotype 12	Term Source Accession 12	Ontology Term Name 12	Phenotype 13	Term Source Accession 13	Ontology Term Name 13	Phenotype 14	Term Source Accession 14	Ontology Term Name 14	Phenotype 15	Term Source Accession 15	Ontology Term Name 15	Phenotype 16	Term Source Accession 16	Ontology Term Name 16	Phenotype 17	Term Source Accession 17	Ontology Term Name 17	Phenotype 18	Term Source Accession 18	Ontology Term Name 18	Phenotype 19	Term Source Accession 19	Ontology Term Name 19	Phenotype 20	Term Source Accession 20	Ontology Term Name 20	Phenotype 21	Term Source Accession 21	Ontology Term Name 21	Phenotype 22	Term Source Accession 22	Ontology Term Name 22	Phenotype 23	Term Source Accession 23	Ontology Term Name 23	Phenotype 24	Term Source Accession 24	Ontology Term Name 24	Phenotype 25	Term Source Accession 25	Ontology Term Name 25	Phenotype 26	Term Source Accession 26	Ontology Term Name 26	Phenotype 27	Term Source Accession 27	Ontology Term Name 27	Phenotype 28	Term Source Accession 28	Ontology Term Name 28	Phenotype 29	Term Source Accession 29	Ontology Term Name 29	Phenotype 30	Term Source Accession 30	Ontology Term Name 30	Phenotype 31	Term Source Accession 31	Ontology Term Name 31	Phenotype 32	Term Source Accession 32	Ontology Term Name 32	Phenotype 33	Term Source Accession 33	Ontology Term Name 33	Phenotype 34	Term Source Accession 34	Ontology Term Name 34	Phenotype 35	Term Source Accession 35	Ontology Term Name 35	Phenotype 36	Term Source Accession 36	Ontology Term Name 36	Phenotype 37	Term Source Accession 37	Ontology Term Name 37	Phenotype 38	Term Source Accession 38	Ontology Term Name 38	Phenotype 39	Term Source Accession 39	Ontology Term Name 39	Phenotype 40	Term Source Accession 40	Ontology Term Name 40
Plate3_Actinome1	G18	Plate3_Actinome1_G18	ADD3-01	ADD3	NM_016824		no	no	no	no																																																																																																																								
Plate3_Actinome1	G19	Plate3_Actinome1_G19	ACTG1-06	ACTG1	NM_001614		yes	yes	yes	yes	increased level of actin	CMPO_0000105	increased number of actin filament	increased peripheral actin	CMPO_0000272	increased cortical actin cytoskeleton mass										increased width of lamellae	CMPO_0000276	increased lamellipodia width phenotype																increased number of actin stress fibres	CMPO_0000291	increased amount of punctate actin foci	increased number of transverse actin stress fibres	CMPO_0000298	increased amount of transverse stress fibers	increased number of cortical actin stress fibres	CMPO_0000297	increased amount of stress fibers located in the cell cortex	increased number of zigzag actin stress fibres	CMPO_0000299	increased amount of zig-zag stress fibers				increased cell size	CMPO_0000128	increased cell size phenotype																cell shape geometric	CMPO_0000261	geometric cell				decreased cell number	CMPO_0000052	decreased cell numbers				increased number of multinucleate cells	CMPO_0000300	more multinucleate cells	increased DNA area	CMPO_0000140	increased nucleus size				misshapen DNA	CMPO_0000177	misshapen DNA																microtubule nuclear ring	CMPO_0000288	microtubules nuclear ring phenotype				increased level of microtubules	CMPO_0000097	increased number of microtubules						
Plate3_Actinome1	G2	Plate3_Actinome1_G2	INCENP-04	INCENP	NM_020238		no	no	no	no																																																																																																																								
Plate3_Actinome1	G20	Plate3_Actinome1_G20	ADD3-02	ADD3	NM_016824		no	yes	no	no																																																																																																																								
Plate3_Actinome1	G21	Plate3_Actinome1_G21	ACTG1-01	ACTG1	NM_001614		yes	no	yes	yes	increased level of actin	CMPO_0000105	increased number of actin filament	increased peripheral actin	CMPO_0000272	increased cortical actin cytoskeleton mass										increased width of lamellae	CMPO_0000276	increased lamellipodia width phenotype																increased number of actin stress fibres	CMPO_0000291	increased amount of punctate actin foci	increased number of transverse actin stress fibres	CMPO_0000298	increased amount of transverse stress fibers	increased number of cortical actin stress fibres	CMPO_0000297	increased amount of stress fibers located in the cell cortex	increased number of zigzag actin stress fibres	CMPO_0000299	increased amount of zig-zag stress fibers				increased cell size	CMPO_0000128	increased cell size phenotype																cell shape geometric	CMPO_0000261	geometric cell				decreased cell number	CMPO_0000052	decreased cell numbers				increased number of multinucleate cells	CMPO_0000300	more multinucleate cells	increased DNA area	CMPO_0000140	increased nucleus size				misshapen DNA	CMPO_0000177	misshapen DNA																microtubule nuclear ring	CMPO_0000288	microtubules nuclear ring phenotype				increased level of microtubules	CMPO_0000097	increased number of microtubules						
Plate3_Actinome1	G22	Plate3_Actinome1_G22	ADD3-03	ADD3	NM_016824		no	no	no	no																																																																																																																								
Plate3_Actinome1	G23	Plate3_Actinome1_G23	ACTG1-04	ACTG1	NM_001614		no	yes	yes	yes	increased level of actin	CMPO_0000105	increased number of actin filament	increased peripheral actin	CMPO_0000272	increased cortical actin cytoskeleton mass										increased width of lamellae	CMPO_0000276	increased lamellipodia width phenotype																increased number of actin stress fibres	CMPO_0000291	increased amount of punctate actin foci	increased number of transverse actin stress fibres	CMPO_0000298	increased amount of transverse stress fibers	increased number of cortical actin stress fibres	CMPO_0000297	increased amount of stress fibers located in the cell cortex	increased number of zigzag actin stress fibres	CMPO_0000299	increased amount of zig-zag stress fibers				increased cell size	CMPO_0000128	increased cell size phenotype																cell shape geometric	CMPO_0000261	geometric cell				decreased cell number	CMPO_0000052	decreased cell numbers				increased number of multinucleate cells	CMPO_0000300	more multinucleate cells	increased DNA area	CMPO_0000140	increased nucleus size				misshapen DNA	CMPO_0000177	misshapen DNA																microtubule nuclear ring	CMPO_0000288	microtubules nuclear ring phenotype				increased level of microtubules	CMPO_0000097	increased number of microtubules						
Plate3_Actinome1	G24	Plate3_Actinome1_G24	ADD3-04	ADD3	NM_016824		yes	yes	no	no																																																																																																																								
Plate3_Actinome1	G5	Plate3_Actinome1_G5	ACTB-07	ACTB	NM_001101		yes	yes	no	no																																																																																																																								
Plate3_Actinome1	G6	Plate3_Actinome1_G6	ADD1-03	ADD1	NM_001119		no	no	no	no																																																																																																																								
Plate3_Actinome1	G7	Plate3_Actinome1_G7	ACTB-01	ACTB	NM_001101		no	no	yes	yes	increased level of actin	CMPO_0000105	increased number of actin filament	increased peripheral actin	CMPO_0000272	increased cortical actin cytoskeleton mass										increased width of lamellae	CMPO_0000276	increased lamellipodia width phenotype													increased number of actin puncta or dots	CMPO_0000291	increased amount of punctate actin foci	increased number of actin stress fibres	CMPO_0000291	increased amount of punctate actin foci	increased number of transverse actin stress fibres	CMPO_0000298	increased amount of transverse stress fibers	increased number of cortical actin stress fibres	CMPO_0000297	increased amount of stress fibers located in the cell cortex	increased number of zigzag actin stress fibres	CMPO_0000299	increased amount of zig-zag stress fibers				increased cell size	CMPO_0000128	increased cell size phenotype													cell shape bipolar or elongated	CMPO_0000077	elongated cell	cell shape geometric	CMPO_0000261	geometric cell				decreased cell number	CMPO_0000052	decreased cell numbers																									microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype																motile lamellae	CMPO_0000278	fan-shaped lamellipodia
Plate3_Actinome1	G8	Plate3_Actinome1_G8	ADD1-04	ADD1	NM_001119		no	no	no	no																																																																																																																								
Plate3_Actinome1	G9	Plate3_Actinome1_G9	ACTC-01	ACTC	NM_005159		yes	yes	no	no																																																																																																																								
Plate3_Actinome1	H1	Plate3_Actinome1_H1	INCENP-04	INCENP	NM_020238		no	no	no	no																																																																																																																								
Plate3_Actinome1	H10	Plate3_Actinome1_H10	CAP2-01	CAP2	NM_006366		no	yes	no	no																																																																																																																								
Plate3_Actinome1	H11	Plate3_Actinome1_H11	CNN3-02	CNN3	NM_001839		no	yes	no	no																																																																																																																								
Plate3_Actinome1	H12	Plate3_Actinome1_H12	CAP2-02	CAP2	NM_006366		no	yes	no	no																																																																																																																								
Plate3_Actinome1	H13	Plate3_Actinome1_H13	CNN3-03	CNN3	NM_001839		no	yes	no	no																																																																																																																								
Plate3_Actinome1	H14	Plate3_Actinome1_H14	CAP2-03	CAP2	NM_006366		no	no	no	no																																																																																																																								
Plate3_Actinome1	H15	Plate3_Actinome1_H15	CNN3-04	CNN3	NM_001839		yes	yes	no	no																																																																																																																								
Plate3_Actinome1	H16	Plate3_Actinome1_H16	CAP2-04	CAP2	NM_006366		no	no	no	no																																																																																																																								
Plate3_Actinome1	H17	Plate3_Actinome1_H17	COBL-01	COBL	NM_015198		yes	yes	no	no																																																																																																																								
Plate3_Actinome1	H18	Plate3_Actinome1_H18	CAPG-01	CAPG	NM_001747		yes	yes	no	no																																																																																																																								
Plate3_Actinome1	H19	Plate3_Actinome1_H19	COBL-02	COBL	NM_015198		no	yes	no	no																																																																																																																								
Plate3_Actinome1	H2	Plate3_Actinome1_H2	INCENP-04	INCENP	NM_020238		no	no	no	no																																																																																																																								
Plate3_Actinome1	H20	Plate3_Actinome1_H20	CAPG-02	CAPG	NM_001747		no	no	no	no																																																																																																																								
Plate3_Actinome1	H21	Plate3_Actinome1_H21	COBL-03	COBL	NM_015198		no	yes	no	no																																																																																																																								
Plate3_Actinome1	H22	Plate3_Actinome1_H22	CAPG-03	CAPG	NM_001747		no	yes	no	no																																																																																																																								
Plate3_Actinome1	H23	Plate3_Actinome1_H23	COBL-04	COBL	NM_015198		no	yes	no	no																																																																																																																								
Plate3_Actinome1	H24	Plate3_Actinome1_H24	CAPG-04	CAPG	NM_001747		yes	yes	no	no																																																																																																																								
Plate3_Actinome1	H5	Plate3_Actinome1_H5	CNN2-03	CNN2	NM_004368		no	no	no	no																																																																																																																								
Plate3_Actinome1	H6	Plate3_Actinome1_H6	CAP1-03	CAP1	NM_006367		yes	yes	no	no																																																																																																																								
Plate3_Actinome1	H7	Plate3_Actinome1_H7	CNN2-04	CNN2	NM_004368		no	yes	no	no																																																																																																																								
Plate3_Actinome1	H8	Plate3_Actinome1_H8	CAP1-04	CAP1	NM_006367		no	yes	no	no																																																																																																																								
Plate3_Actinome1	H9	Plate3_Actinome1_H9	CNN3-01	CNN3	NM_001839		no	yes	no	no																																																																																																																								
Plate3_Actinome1	I1	Plate3_Actinome1_I1	KIF11-05	KIF11	NM_004523		no	no	no	no																																																																																																																								
Plate3_Actinome1	I10	Plate3_Actinome1_I10	AFAP-03	AFAP	NM_021638		no	no	no	no																																																																																																																								
Plate3_Actinome1	I11	Plate3_Actinome1_I11	ACTG2-04	ACTG2	NM_001615		no	yes	no	no																																																																																																																								
Plate3_Actinome1	I12	Plate3_Actinome1_I12	AFAP-04	AFAP	NM_021638		no	yes	no	no																																																																																																																								
Plate3_Actinome1	I13	Plate3_Actinome1_I13	BAF53A-01	BAF53A	NM_004301		no	no	yes	yes													increased number of filopodia	CMPO_0000076	increased number of filopodia	increased width of lamellae	CMPO_0000276	increased lamellipodia width phenotype													increased number of actin puncta or dots	CMPO_0000291	increased amount of punctate actin foci													disorganised peripheral actin	CMPO_0000274	disorganised cortical actin cytoskeleton	increased cell size	CMPO_0000128	increased cell size phenotype										cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell	cell shape bipolar or elongated	CMPO_0000077	elongated cell							decreased cell number	CMPO_0000052	decreased cell numbers				increased number of multinucleate cells	CMPO_0000300	more multinucleate cells																			microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype													loss of cell monolayer	CMPO_0000293	loss of cell monolayer	motile lamellae	CMPO_0000278	fan-shaped lamellipodia
Plate3_Actinome1	I14	Plate3_Actinome1_I14	ANLN-05	ANLN	NM_018685		yes	yes	yes	yes													increased number of filopodia	CMPO_0000076	increased number of filopodia	increased width of lamellae	CMPO_0000276	increased lamellipodia width phenotype													increased number of actin puncta or dots	CMPO_0000291	increased amount of punctate actin foci																increased cell size	CMPO_0000128	increased cell size phenotype													cell shape bipolar or elongated	CMPO_0000077	elongated cell							decreased cell number	CMPO_0000052	decreased cell numbers				increased number of multinucleate cells	CMPO_0000300	more multinucleate cells	increased DNA area	CMPO_0000140	increased nucleus size				misshapen DNA	CMPO_0000177	misshapen DNA													microtubule clumps	CMPO_0000286	aggregated microtubules phenotype							increased level of microtubules	CMPO_0000097	increased number of microtubules				motile lamellae	CMPO_0000278	fan-shaped lamellipodia
Plate3_Actinome1	I15	Plate3_Actinome1_I15	BAF53A-02	BAF53A	NM_004301		yes	yes	yes	yes													increased number of filopodia	CMPO_0000076	increased number of filopodia	increased width of lamellae	CMPO_0000276	increased lamellipodia width phenotype													increased number of actin puncta or dots	CMPO_0000291	increased amount of punctate actin foci													disorganised peripheral actin	CMPO_0000274	disorganised cortical actin cytoskeleton	increased cell size	CMPO_0000128	increased cell size phenotype										cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell	cell shape bipolar or elongated	CMPO_0000077	elongated cell							decreased cell number	CMPO_0000052	decreased cell numbers				increased number of multinucleate cells	CMPO_0000300	more multinucleate cells																			microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype													loss of cell monolayer	CMPO_0000293	loss of cell monolayer	motile lamellae	CMPO_0000278	fan-shaped lamellipodia
Plate3_Actinome1	I16	Plate3_Actinome1_I16	ANLN-01	ANLN	NM_018685		yes	yes	yes	yes													increased number of filopodia	CMPO_0000076	increased number of filopodia	increased width of lamellae	CMPO_0000276	increased lamellipodia width phenotype													increased number of actin puncta or dots	CMPO_0000291	increased amount of punctate actin foci																increased cell size	CMPO_0000128	increased cell size phenotype													cell shape bipolar or elongated	CMPO_0000077	elongated cell							decreased cell number	CMPO_0000052	decreased cell numbers				increased number of multinucleate cells	CMPO_0000300	more multinucleate cells	increased DNA area	CMPO_0000140	increased nucleus size				misshapen DNA	CMPO_0000177	misshapen DNA													microtubule clumps	CMPO_0000286	aggregated microtubules phenotype							increased level of microtubules	CMPO_0000097	increased number of microtubules				motile lamellae	CMPO_0000278	fan-shaped lamellipodia
Plate3_Actinome1	I17	Plate3_Actinome1_I17	BAF53A-03	BAF53A	NM_004301		yes	yes	yes	yes													increased number of filopodia	CMPO_0000076	increased number of filopodia	increased width of lamellae	CMPO_0000276	increased lamellipodia width phenotype													increased number of actin puncta or dots	CMPO_0000291	increased amount of punctate actin foci													disorganised peripheral actin	CMPO_0000274	disorganised cortical actin cytoskeleton	increased cell size	CMPO_0000128	increased cell size phenotype										cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell	cell shape bipolar or elongated	CMPO_0000077	elongated cell							decreased cell number	CMPO_0000052	decreased cell numbers				increased number of multinucleate cells	CMPO_0000300	more multinucleate cells																			microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype													loss of cell monolayer	CMPO_0000293	loss of cell monolayer	motile lamellae	CMPO_0000278	fan-shaped lamellipodia
Plate3_Actinome1	I18	Plate3_Actinome1_I18	ANLN-02	ANLN	NM_018685		yes	yes	yes	yes													increased number of filopodia	CMPO_0000076	increased number of filopodia	increased width of lamellae	CMPO_0000276	increased lamellipodia width phenotype													increased number of actin puncta or dots	CMPO_0000291	increased amount of punctate actin foci																increased cell size	CMPO_0000128	increased cell size phenotype													cell shape bipolar or elongated	CMPO_0000077	elongated cell							decreased cell number	CMPO_0000052	decreased cell numbers				increased number of multinucleate cells	CMPO_0000300	more multinucleate cells	increased DNA area	CMPO_0000140	increased nucleus size				misshapen DNA	CMPO_0000177	misshapen DNA													microtubule clumps	CMPO_0000286	aggregated microtubules phenotype							increased level of microtubules	CMPO_0000097	increased number of microtubules				motile lamellae	CMPO_0000278	fan-shaped lamellipodia
Plate3_Actinome1	I19	Plate3_Actinome1_I19	BAF53A-04	BAF53A	NM_004301		no	yes	yes	yes													increased number of filopodia	CMPO_0000076	increased number of filopodia	increased width of lamellae	CMPO_0000276	increased lamellipodia width phenotype													increased number of actin puncta or dots	CMPO_0000291	increased amount of punctate actin foci													disorganised peripheral actin	CMPO_0000274	disorganised cortical actin cytoskeleton	increased cell size	CMPO_0000128	increased cell size phenotype										cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell	cell shape bipolar or elongated	CMPO_0000077	elongated cell							decreased cell number	CMPO_0000052	decreased cell numbers				increased number of multinucleate cells	CMPO_0000300	more multinucleate cells																			microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype													loss of cell monolayer	CMPO_0000293	loss of cell monolayer	motile lamellae	CMPO_0000278	fan-shaped lamellipodia
Plate3_Actinome1	I2	Plate3_Actinome1_I2	KIF11-05	KIF11	NM_004523		no	no	no	no																																																																																																																								
Plate3_Actinome1	I20	Plate3_Actinome1_I20	ANLN-03	ANLN	NM_018685		no	no	yes	yes													increased number of filopodia	CMPO_0000076	increased number of filopodia	increased width of lamellae	CMPO_0000276	increased lamellipodia width phenotype													increased number of actin puncta or dots	CMPO_0000291	increased amount of punctate actin foci																increased cell size	CMPO_0000128	increased cell size phenotype													cell shape bipolar or elongated	CMPO_0000077	elongated cell							decreased cell number	CMPO_0000052	decreased cell numbers				increased number of multinucleate cells	CMPO_0000300	more multinucleate cells	increased DNA area	CMPO_0000140	increased nucleus size				misshapen DNA	CMPO_0000177	misshapen DNA													microtubule clumps	CMPO_0000286	aggregated microtubules phenotype							increased level of microtubules	CMPO_0000097	increased number of microtubules				motile lamellae	CMPO_0000278	fan-shaped lamellipodia
Plate3_Actinome1	I21	Plate3_Actinome1_I21	ACTL6-05	ACTL6	NM_016188		no	yes	no	no																																																																																																																								
Plate3_Actinome1	I22	Plate3_Actinome1_I22	ANXA2-05	ANXA2	NM_004039		no	yes	yes	yes													increased number of filopodia	CMPO_0000076	increased number of filopodia	increased width of lamellae	CMPO_0000276	increased lamellipodia width phenotype																increased number of actin stress fibres	CMPO_0000291	increased amount of punctate actin foci										disorganised peripheral actin	CMPO_0000274	disorganised cortical actin cytoskeleton													cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell	cell shape bipolar or elongated	CMPO_0000077	elongated cell							decreased cell number	CMPO_0000052	decreased cell numbers													misshapen DNA	CMPO_0000177	misshapen DNA										microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype				microtubule nuclear ring	CMPO_0000288	microtubules nuclear ring phenotype							loss of cell monolayer	CMPO_0000293	loss of cell monolayer	motile lamellae	CMPO_0000278	fan-shaped lamellipodia
Plate3_Actinome1	I23	Plate3_Actinome1_I23	ACTL6-01	ACTL6	NM_016188		yes	yes	no	no																																																																																																																								
Plate3_Actinome1	I24	Plate3_Actinome1_I24	ANXA2-06	ANXA2	NM_004039		no	no	yes	yes													increased number of filopodia	CMPO_0000076	increased number of filopodia	increased width of lamellae	CMPO_0000276	increased lamellipodia width phenotype																increased number of actin stress fibres	CMPO_0000291	increased amount of punctate actin foci										disorganised peripheral actin	CMPO_0000274	disorganised cortical actin cytoskeleton													cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell	cell shape bipolar or elongated	CMPO_0000077	elongated cell							decreased cell number	CMPO_0000052	decreased cell numbers													misshapen DNA	CMPO_0000177	misshapen DNA										microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype				microtubule nuclear ring	CMPO_0000288	microtubules nuclear ring phenotype							loss of cell monolayer	CMPO_0000293	loss of cell monolayer	motile lamellae	CMPO_0000278	fan-shaped lamellipodia
Plate3_Actinome1	I5	Plate3_Actinome1_I5	ACTG2-01	ACTG2	NM_001615		no	no	no	no																																																																																																																								
Plate3_Actinome1	I6	Plate3_Actinome1_I6	AFAP-01	AFAP	NM_021638		no	yes	no	no																																																																																																																								
Plate3_Actinome1	I7	Plate3_Actinome1_I7	ACTG2-02	ACTG2	NM_001615		no	yes	no	no																																																																																																																								
Plate3_Actinome1	I8	Plate3_Actinome1_I8	AFAP-02	AFAP	NM_021638		no	yes	no	no																																																																																																																								
Plate3_Actinome1	I9	Plate3_Actinome1_I9	ACTG2-03	ACTG2	NM_001615		no	yes	no	no																																																																																																																								
Plate3_Actinome1	J1	Plate3_Actinome1_J1	KIF11-05	KIF11	NM_004523		no	no	no	no																																																																																																																								
Plate3_Actinome1	J10	Plate3_Actinome1_J10	CAPZA1-03	CAPZA1	NM_006135		no	no	yes	yes	increased level of actin	CMPO_0000105	increased number of actin filament	increased peripheral actin	CMPO_0000272	increased cortical actin cytoskeleton mass	increased cytoplasmic actin	CMPO_0000296	increased actin localised to the cytoplasm																									increased number of actin stress fibres	CMPO_0000291	increased amount of punctate actin foci	increased number of transverse actin stress fibres	CMPO_0000298	increased amount of transverse stress fibers	increased number of cortical actin stress fibres	CMPO_0000297	increased amount of stress fibers located in the cell cortex							increased cell size	CMPO_0000128	increased cell size phenotype																cell shape geometric	CMPO_0000261	geometric cell																decreased DNA area	CMPO_0000141	decreased nucleus size																			microtubule nuclear ring	CMPO_0000288	microtubules nuclear ring phenotype	microtubule nuclear bracket	CMPO_0000287	microtubules nuclear bracket phenotype									
Plate3_Actinome1	J11	Plate3_Actinome1_J11	COBLL1-03	COBLL1	NM_014900		no	yes	no	no																																																																																																																								
Plate3_Actinome1	J12	Plate3_Actinome1_J12	CAPZA1-04	CAPZA1	NM_006135		yes	yes	yes	yes	increased level of actin	CMPO_0000105	increased number of actin filament	increased peripheral actin	CMPO_0000272	increased cortical actin cytoskeleton mass	increased cytoplasmic actin	CMPO_0000296	increased actin localised to the cytoplasm																									increased number of actin stress fibres	CMPO_0000291	increased amount of punctate actin foci	increased number of transverse actin stress fibres	CMPO_0000298	increased amount of transverse stress fibers	increased number of cortical actin stress fibres	CMPO_0000297	increased amount of stress fibers located in the cell cortex							increased cell size	CMPO_0000128	increased cell size phenotype																cell shape geometric	CMPO_0000261	geometric cell																decreased DNA area	CMPO_0000141	decreased nucleus size																			microtubule nuclear ring	CMPO_0000288	microtubules nuclear ring phenotype	microtubule nuclear bracket	CMPO_0000287	microtubules nuclear bracket phenotype									
Plate3_Actinome1	J13	Plate3_Actinome1_J13	CORO1A-01	CORO1A	NM_007074		no	no	no	no																																																																																																																								
Plate3_Actinome1	J14	Plate3_Actinome1_J14	CAPZA2-01	CAPZA2	NM_006136		no	no	no	no																																																																																																																								
Plate3_Actinome1	J15	Plate3_Actinome1_J15	CORO1A-02	CORO1A	NM_007074		no	yes	no	no																																																																																																																								
Plate3_Actinome1	J16	Plate3_Actinome1_J16	CAPZA2-02	CAPZA2	NM_006136		no	no	no	no																																																																																																																								
Plate3_Actinome1	J17	Plate3_Actinome1_J17	CORO1A-03	CORO1A	NM_007074		no	yes	no	no																																																																																																																								
Plate3_Actinome1	J18	Plate3_Actinome1_J18	CAPZA2-03	CAPZA2	NM_006136		no	yes	no	no																																																																																																																								
Plate3_Actinome1	J19	Plate3_Actinome1_J19	CORO1A-04	CORO1A	NM_007074		no	yes	no	no																																																																																																																								
Plate3_Actinome1	J2	Plate3_Actinome1_J2	KIF11-05	KIF11	NM_004523		no	no	no	no																																																																																																																								
Plate3_Actinome1	J20	Plate3_Actinome1_J20	CAPZA2-04	CAPZA2	NM_006136		no	yes	no	no																																																																																																																								
Plate3_Actinome1	J21	Plate3_Actinome1_J21	CORO2A-01	CORO2A	NM_003389		yes	yes	no	no																																																																																																																								
Plate3_Actinome1	J22	Plate3_Actinome1_J22	CAPZA3-01	CAPZA3	NM_033328		yes	yes	yes	yes																increased width of lamellae	CMPO_0000276	increased lamellipodia width phenotype													increased number of actin puncta or dots	CMPO_0000291	increased amount of punctate actin foci	increased number of actin stress fibres	CMPO_0000291	increased amount of punctate actin foci	increased number of transverse actin stress fibres	CMPO_0000298	increased amount of transverse stress fibers	increased number of cortical actin stress fibres	CMPO_0000297	increased amount of stress fibers located in the cell cortex	increased number of zigzag actin stress fibres	CMPO_0000299	increased amount of zig-zag stress fibers	disorganised peripheral actin	CMPO_0000274	disorganised cortical actin cytoskeleton													cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell	cell shape bipolar or elongated	CMPO_0000077	elongated cell				cell shape variable	CMPO_0000270	increased variability of cell shape in population																misshapen DNA	CMPO_0000177	misshapen DNA										microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype													loss of cell monolayer	CMPO_0000293	loss of cell monolayer	motile lamellae	CMPO_0000278	fan-shaped lamellipodia
Plate3_Actinome1	J23	Plate3_Actinome1_J23	CORO2A-02	CORO2A	NM_003389		no	yes	no	no																																																																																																																								
Plate3_Actinome1	J24	Plate3_Actinome1_J24	CAPZA3-02	CAPZA3	NM_033328		yes	yes	yes	yes																increased width of lamellae	CMPO_0000276	increased lamellipodia width phenotype													increased number of actin puncta or dots	CMPO_0000291	increased amount of punctate actin foci	increased number of actin stress fibres	CMPO_0000291	increased amount of punctate actin foci	increased number of transverse actin stress fibres	CMPO_0000298	increased amount of transverse stress fibers	increased number of cortical actin stress fibres	CMPO_0000297	increased amount of stress fibers located in the cell cortex	increased number of zigzag actin stress fibres	CMPO_0000299	increased amount of zig-zag stress fibers	disorganised peripheral actin	CMPO_0000274	disorganised cortical actin cytoskeleton													cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell	cell shape bipolar or elongated	CMPO_0000077	elongated cell				cell shape variable	CMPO_0000270	increased variability of cell shape in population																misshapen DNA	CMPO_0000177	misshapen DNA										microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype													loss of cell monolayer	CMPO_0000293	loss of cell monolayer	motile lamellae	CMPO_0000278	fan-shaped lamellipodia
Plate3_Actinome1	J5	Plate3_Actinome1_J5	COBLL1-04	COBLL1	NM_014900		no	yes	no	no																																																																																																																								
Plate3_Actinome1	J6	Plate3_Actinome1_J6	CAPZA1-01	CAPZA1	NM_006135	CAPZA1	yes	yes	yes	yes	increased level of actin	CMPO_0000105	increased number of actin filament	increased peripheral actin	CMPO_0000272	increased cortical actin cytoskeleton mass	increased cytoplasmic actin	CMPO_0000296	increased actin localised to the cytoplasm																									increased number of actin stress fibres	CMPO_0000291	increased amount of punctate actin foci	increased number of transverse actin stress fibres	CMPO_0000298	increased amount of transverse stress fibers	increased number of cortical actin stress fibres	CMPO_0000297	increased amount of stress fibers located in the cell cortex							increased cell size	CMPO_0000128	increased cell size phenotype																cell shape geometric	CMPO_0000261	geometric cell																decreased DNA area	CMPO_0000141	decreased nucleus size																			microtubule nuclear ring	CMPO_0000288	microtubules nuclear ring phenotype	microtubule nuclear bracket	CMPO_0000287	microtubules nuclear bracket phenotype									
Plate3_Actinome1	J7	Plate3_Actinome1_J7	COBLL1-01	COBLL1	NM_014900		no	no	no	no																																																																																																																								
Plate3_Actinome1	J8	Plate3_Actinome1_J8	CAPZA1-02	CAPZA1	NM_006135		no	yes	yes	yes	increased level of actin	CMPO_0000105	increased number of actin filament	increased peripheral actin	CMPO_0000272	increased cortical actin cytoskeleton mass	increased cytoplasmic actin	CMPO_0000296	increased actin localised to the cytoplasm																									increased number of actin stress fibres	CMPO_0000291	increased amount of punctate actin foci	increased number of transverse actin stress fibres	CMPO_0000298	increased amount of transverse stress fibers	increased number of cortical actin stress fibres	CMPO_0000297	increased amount of stress fibers located in the cell cortex							increased cell size	CMPO_0000128	increased cell size phenotype																cell shape geometric	CMPO_0000261	geometric cell																decreased DNA area	CMPO_0000141	decreased nucleus size																			microtubule nuclear ring	CMPO_0000288	microtubules nuclear ring phenotype	microtubule nuclear bracket	CMPO_0000287	microtubules nuclear bracket phenotype									
Plate3_Actinome1	J9	Plate3_Actinome1_J9	COBLL1-02	COBLL1	NM_014900		no	yes	no	no																																																																																																																								
Plate3_Actinome1	K1	Plate3_Actinome1_K1	KIF11-06	KIF11	NM_004523		no	no	no	no																																																																																																																								
