Plate	Plate Map Name	Well	Well Number	Compound Name	Compound Source	Compound SMILES	Compound Broad Identifier	Compound Broad Identifier Short	Compound Concentration (micromolar)	Control Type
20590	H-BIOA-005-1	N1	313	Gabexate mesilate	Prestwick Chemical Inc.	CCOC(=O)c1ccc(OC(=O)CCCCCNC(=N)N)cc1	BRD-K59256312-066-03-3	BRD-K59256312	2.395340507	
20590	H-BIOA-005-1	N2	314	NEOPINE	MicroSource Discovery Systems Inc.	COc1ccc2C[C@H]3N(C)CC[C@]4([C@H]5Oc1c24)C3=CC[C@@H]5O	BRD-K34252131-001-02-0	BRD-K34252131	5	
20590	H-BIOA-005-1	N3	315	HEXYLRESORCINOL	MicroSource Discovery Systems Inc.	CCCCCCc1ccc(O)cc1O	BRD-K99946902-001-02-6	BRD-K99946902	5	
20590	H-BIOA-005-1	N4	316	PIOGLITAZONE HYDROCHLORIDE	MicroSource Discovery Systems Inc.	CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1	BRD-A48430263-003-02-4	BRD-A48430263	5	
20590	H-BIOA-005-1	N5	317	Fluphenazine dihydrochloride	Prestwick Chemical Inc.	OCCN1CCN(CCCN2c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1	BRD-K55127134-300-05-4	BRD-K55127134	1.959080952	
20590	H-BIOA-005-1	N6	318	VALDECOXIB	MicroSource Discovery Systems Inc.	Cc1onc(c1c2ccc(cc2)S(=O)(=O)N)c3ccccc3	BRD-K12994359-001-02-8	BRD-K12994359	5	
20590	H-BIOA-005-1	N7	319	COMPACTIN	MicroSource Discovery Systems Inc.	CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)C(CCC3C[C@@H](O)CC(=O)O3)[C@@H]12	BRD-A83177971-001-02-4	BRD-A83177971	5	
20590	H-BIOA-005-1	N8	320	GATIFLOXACIN	MicroSource Discovery Systems Inc.	COc1c(N2CCNC(C)C2)c(F)cc3c(=O)c(cn(C4CC4)c13)C(=O)O	BRD-A74980173-001-02-8	BRD-A74980173	5	
20590	H-BIOA-005-1	N9	321	DMSO						negative control
20590	H-BIOA-005-1	N10	322	DMSO						negative control
20590	H-BIOA-005-1	N11	323	CLOPIDOGREL SULFATE	MicroSource Discovery Systems Inc.	COC(=O)[C@@H](N1CCc2sccc2C1)c3ccccc3Cl	BRD-K27721098-065-02-9	BRD-K27721098	5	
20590	H-BIOA-005-1	N12	324	ROSIGLITAZONE	MicroSource Discovery Systems Inc.	CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c3ccccn3	BRD-A97437073-001-02-3	BRD-A97437073	5	
20590	H-BIOA-005-1	N13	325	DMSO						negative control
20590	H-BIOA-005-1	N14	326	DMSO						negative control
20590	H-BIOA-005-1	N15	327	Syrosingopine	Prestwick Chemical Inc.	CCOC(=O)Oc1c(OC)cc(cc1OC)C(=O)O[C@@H]2C[C@@H]3CN4CCc5c([nH]c6cc(OC)ccc56)[C@H]4C[C@@H]3[C@@H]([C@H]2OC)C(=O)OC	BRD-K14200658-001-02-6	BRD-K14200658	1.499891753	
20590	H-BIOA-005-1	N16	328	IRBESARTAN	MicroSource Discovery Systems Inc.	CCCCC1=NC2(CCCC2)C(=O)N1Cc3ccc(cc3)c4ccccc4c5nnn[nH]5	BRD-K60038276-001-02-5	BRD-K60038276	5	
20590	H-BIOA-005-1	N17	329	VALYLTRYPTOPHAN	MicroSource Discovery Systems Inc.	CC(C)[C@H](N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O	BRD-K46272620-001-02-2	BRD-K46272620	5	
20590	H-BIOA-005-1	N18	330	ATOVAQUONE	MicroSource Discovery Systems Inc.	Clc1ccc(cc1)[C@H]2CC[C@@H](CC2)C3C(=O)C(=O)c4ccccc4C3=O	BRD-A19795905-001-02-3	BRD-A19795905	5	
20590	H-BIOA-005-1	N19	331	MEXICANOLIDE	MicroSource Discovery Systems Inc.	COC(=O)C[C@H]1C(C)(C)C(=O)[C@@H]2CC3=C4CC(=O)O[C@@H](c5ccoc5)[C@]4(C)CCC3[C@@]1(C)C2=O	BRD-A64523751-001-02-8	BRD-A64523751	5	
20590	H-BIOA-005-1	N20	332	VENLAFAXINE	MicroSource Discovery Systems Inc.	COc1ccc(cc1)C(CN(C)C)C2(O)CCCCC2	BRD-A51714012-001-02-3	BRD-A51714012	5	
20590	H-BIOA-005-1	N21	333	"EPIAFZELECHIN (2R,3R)(-)"	MicroSource Discovery Systems Inc.	O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c3ccc(O)cc3	BRD-K90607708-001-02-9	BRD-K90607708	5	
20590	H-BIOA-005-1	N22	334	DIOSMETIN	MicroSource Discovery Systems Inc.	COc1ccc(cc1O)c2cc(=O)c3c(O)cc(O)cc3o2	BRD-K26862302-001-02-9	BRD-K26862302	5	
20590	H-BIOA-005-1	N23	335	Hycanthone	Prestwick Chemical Inc.	CCN(CC)CCNc1ccc(CO)c2sc3ccccc3c(=O)c12	BRD-K50406511-001-06-2	BRD-K50406511	2.805192614	
20590	H-BIOA-005-1	N24	336	EVOXINE	MicroSource Discovery Systems Inc.	COc1c(OCC(O)C(C)(C)O)ccc2c(OC)c3ccoc3nc12	BRD-A99268498-001-03-5	BRD-A99268498	5	
20590	H-BIOA-005-1	O1	337	TETRAHYDROPALMATINE	MicroSource Discovery Systems Inc.	COc1ccc2CC3N(CCc4cc(OC)c(OC)cc34)Cc2c1OC	BRD-A43940795-001-03-6	BRD-A43940795	5	
20590	H-BIOA-005-1	O2	338	ESTRADIOL ACETATE	MicroSource Discovery Systems Inc.	CC(=O)OC1CCC2C3CCc4cc(O)ccc4C3CCC12C	BRD-A23226398-001-02-7	BRD-A23226398	5	
20590	H-BIOA-005-1	O3	339	PEUCEDANIN	MicroSource Discovery Systems Inc.	COc1c(oc2cc3oc(=O)ccc3cc12)C(C)C	BRD-K72034655-001-02-1	BRD-K72034655	5	
20590	H-BIOA-005-1	O4	340	ALACHLOR	MicroSource Discovery Systems Inc.	CCc1cccc(CC)c1N(COC)C(=O)CCl	BRD-K02548315-001-02-7	BRD-K02548315	5	
20590	H-BIOA-005-1	O5	341	URSINOIC ACID	MicroSource Discovery Systems Inc.	COc1ccc(C(=O)CC(=O)O)c2OC(C)(C)C=Cc12	BRD-K92405402-001-02-5	BRD-K92405402	5	
20590	H-BIOA-005-1	O6	342	Cinchonine	Prestwick Chemical Inc.	O[C@H]([C@H]1C[C@@H]2CCN1C[C@@H]2C=C)c3ccnc4ccccc34	BRD-K90268819-001-03-4	BRD-K90268819	3.396845513	
20590	H-BIOA-005-1	O7	343	OSTHOL	MicroSource Discovery Systems Inc.	COc1ccc2ccc(=O)oc2c1CC=C(C)C	BRD-K78294846-001-03-3	BRD-K78294846	5	
20590	H-BIOA-005-1	O8	344	PROPACHLOR	MicroSource Discovery Systems Inc.	CC(C)N(C(=O)CCl)c1ccccc1	BRD-K50343025-001-02-5	BRD-K50343025	5	
20590	H-BIOA-005-1	O9	345	MARMESIN ACETATE	MicroSource Discovery Systems Inc.	CC(=O)OC(C)(C)[C@@H]1Cc2cc3ccc(=O)oc3cc2O1	BRD-K57001030-001-02-5	BRD-K57001030	5	
20590	H-BIOA-005-1	O10	346	LYCORINE	MicroSource Discovery Systems Inc.	O[C@H]1C=C2CCN3Cc4cc5OCOc5cc4C(C32)[C@@H]1O	BRD-A10335634-001-02-5	BRD-A10335634	5	
20590	H-BIOA-005-1	O11	347	DMSO						negative control
20590	H-BIOA-005-1	O12	348	DMSO						negative control
20590	H-BIOA-005-1	O13	349	MARMESIN	MicroSource Discovery Systems Inc.	CC(C)(O)[C@@H]1Cc2cc3ccc(=O)oc3cc2O1	BRD-K36377456-001-02-0	BRD-K36377456	5	
20590	H-BIOA-005-1	O14	350	PRAVASTATIN SODIUM	MicroSource Discovery Systems Inc.	CCC(C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)C12	BRD-A71816415-236-02-7	BRD-A71816415	5	
20590	H-BIOA-005-1	O15	351	DIHYDROSAMIDIN	MicroSource Discovery Systems Inc.	CC(C)CC(=O)O[C@@H]1[C@H](OC(=O)C)c2c(OC1(C)C)ccc3ccc(=O)oc23	BRD-K63945320-001-03-2	BRD-K63945320	5	
20590	H-BIOA-005-1	O16	352	"8beta-HYDROXYCARAPIN, 3,8-HEMIACETAL"	MicroSource Discovery Systems Inc.	COC(=O)C[C@H]1C(C)(C)C2(O)OC34CC2C(=O)[C@]1(C)C4CC[C@@]5(C)[C@@H](OC(=O)C=C35)c6ccoc6	BRD-A17120244-001-02-6	BRD-A17120244	5	
20590	H-BIOA-005-1	O17	353	PTERYXIN	MicroSource Discovery Systems Inc.	C/C=C(\\C)/C(=O)O[C@H]1[C@@H](OC(=O)C)C(C)(C)Oc2ccc3ccc(=O)oc3c12	BRD-K92006759-001-02-0	BRD-K92006759	5	
20590	H-BIOA-005-1	O18	354	Trolox	Prestwick Chemical Inc.	Cc1c(C)c2OC(C)(CCc2c(C)c1O)C(=O)O	BRD-A17846016-001-03-0	BRD-A17846016	3.995360268	
20590	H-BIOA-005-1	O19	355	SELINIDIN	MicroSource Discovery Systems Inc.	C/C=C(/C)\\C(=O)O[C@@H]1Cc2c(OC1(C)C)ccc3ccc(=O)oc23	BRD-K07212038-001-02-1	BRD-K07212038	5	
20590	H-BIOA-005-1	O20	356	GOSSYPOL-ACETIC ACID COMPLEX	MicroSource Discovery Systems Inc.	CC(C)c1c(O)c(O)c(C=O)c2c(O)c(c(C)cc12)c3c(C)cc4c(C(C)C)c(O)c(O)c(C=O)c4c3O	BRD-K19295594-015-02-8	BRD-K19295594	5	
20590	H-BIOA-005-1	O21	357	PINOCEMBRIN	MicroSource Discovery Systems Inc.	Oc1cc(O)c2C(=O)C[C@H](Oc2c1)c3ccccc3	BRD-K94689771-001-02-5	BRD-K94689771	5	
20590	H-BIOA-005-1	O22	358	Methantheline bromide	Prestwick Chemical Inc.	CC[N+](C)(CC)CCOC(=O)C1c2ccccc2Oc3ccccc13	BRD-K09859624-004-03-9	BRD-K09859624	2.373335218	
20590	H-BIOA-005-1	O23	359	"6,3'-DIMETHOXYFLAVONE"	MicroSource Discovery Systems Inc.	COc1cccc(c1)c2cc(=O)c3cc(OC)ccc3o2	BRD-K47724892-001-02-2	BRD-K47724892	5	
20590	H-BIOA-005-1	O24	360	"1,3-DIDEACETYLKHIVORIN"	MicroSource Discovery Systems Inc.	CC(=O)O[C@@H]1CC2C(C)(C)[C@H](O)C[C@H](O)[C@]2(C)C3CC[C@@]4(C)[C@@H](OC(=O)[C@H]5O[C@]54[C@]13C)c6ccoc6	BRD-A67787745-001-02-5	BRD-A67787745	5	
20590	H-BIOA-005-1	P1	361	Thioproperazine dimesylate	Prestwick Chemical Inc.	CN(C)S(=O)(=O)c1ccc2Sc3ccccc3N(CCCN4CCN(C)CC4)c2c1	BRD-K08619574-334-03-9	BRD-K08619574	1.565335899	
20590	H-BIOA-005-1	P2	362	"LEVULINIC ACID,  3-BENZYLIDENYL-"	MicroSource Discovery Systems Inc.	CC(=O)/C(=C\\c1ccccc1)/CC(=O)O	BRD-K33104513-001-02-2	BRD-K33104513	5	
20590	H-BIOA-005-1	P3	363	SERICETIN DIMETHYL ETHER	MicroSource Discovery Systems Inc.	COc1c(oc2c(CC=C(C)C)c3OC(C)(C)C=Cc3c(OC)c2c1=O)c4ccccc4	BRD-K08714182-001-01-1	BRD-K08714182	5	
20590	H-BIOA-005-1	P4	364	NAPROXOL	MicroSource Discovery Systems Inc.	COc1ccc2cc(ccc2c1)[C@H](C)CO	BRD-K34014345-001-02-6	BRD-K34014345	5	
20590	H-BIOA-005-1	P5	365	Trimipramine maleate salt	Prestwick Chemical Inc.	CC(CN(C)C)CN1c2ccccc2CCc3ccccc13	BRD-A19195498-050-05-9	BRD-A19195498	2.436017988	
20590	H-BIOA-005-1	P6	366	N- (3-TRIFLUOROMETHYLPHENYL)PIPERAZINE HYDROCHLORIDE (TFMPP)	MicroSource Discovery Systems Inc.	FC(F)(F)c1cccc(c1)N2CCNCC2	BRD-K94887716-003-02-9	BRD-K94887716	5	
20590	H-BIOA-005-1	P7	367	Cefaclor	Prestwick Chemical Inc.	N[C@@H](C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)Cl)c3ccccc3	BRD-K20338176-002-03-5	BRD-K20338176	2.59186449	
20590	H-BIOA-005-1	P8	368	LEVAMISOLE HYDROCHLORIDE	MicroSource Discovery Systems Inc.	C1CN2C[C@@H](N=C2S1)c3ccccc3	BRD-K73107279-003-03-4	BRD-K73107279	5	
20590	H-BIOA-005-1	P9	369	Cefamandole sodium salt	Prestwick Chemical Inc.	Cn1nnnc1SCC2=C(N3[C@H](SC2)[C@H](NC(=O)[C@H](O)c4ccccc4)C3=O)C(=O)O	BRD-K27130738-236-03-4	BRD-K27130738	2.059764096	
20590	H-BIOA-005-1	P10	370	"1R,9S-HYDRASTINE"	MicroSource Discovery Systems Inc.	COc1ccc2[C@@H](OC(=O)c2c1OC)[C@@H]3N(C)CCc4cc5OCOc5cc34	BRD-K77435797-001-02-4	BRD-K77435797	5	
20590	H-BIOA-005-1	P11	371	DMSO						negative control
20590	H-BIOA-005-1	P12	372	DMSO						negative control
20590	H-BIOA-005-1	P13	373	"ANGOLENSIC ACID, METHYL ESTER"	MicroSource Discovery Systems Inc.	COC(=O)CC1C(C)(C)C(=O)C[C@@H]2O[C@@]34CC(=O)O[C@@H](c5ccoc5)[C@]4(C)CCC(C3=C)[C@]12C	BRD-A32349859-001-02-8	BRD-A32349859	5	
20590	H-BIOA-005-1	P14	374	AVERMECTIN B1	MicroSource Discovery Systems Inc.	CCC(C)[C@H]1O[C@@]2(C[C@@H]3C[C@@H](CC=C(C)[C@@H](OC4C[C@H](OC)C(O[C@H]5C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)[C@@H](C)C=CC=C6CO[C@@H]7[C@H](O)C(=C[C@@H](C(=O)O3)[C@@]76O)C)O2)C=C[C@@H]1C	BRD-A84689408-001-02-0	BRD-A84689408	5	
20590	H-BIOA-005-1	P15	375	"1,3-DIDEACETYL-7-DEACETOXY-7-OXOKHIVORIN"	MicroSource Discovery Systems Inc.	CC1(C)[C@H](O)C[C@H](O)[C@@]2(C)C1CC(=O)[C@]3(C)C2CC[C@@]4(C)[C@@H](OC(=O)C5OC543)c6ccoc6	BRD-A34891365-001-02-4	BRD-A34891365	5	
20590	H-BIOA-005-1	P16	376	BETAMETHASONE VALERATE	MicroSource Discovery Systems Inc.	CCCCC(=O)O[C@@]1([C@@H](C)CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)C(O)C[C@@]21C)C(=O)CO	BRD-A80594172-001-02-0	BRD-A80594172	5	
20590	H-BIOA-005-1	P17	377	3-DEOXY-3beta-HYDROXYANGOLENSIC ACID METHYL ESTER	MicroSource Discovery Systems Inc.	COC(=O)C[C@H]1C(C)(C)[C@@H](O)C[C@@H]2O[C@@]34CC(=O)O[C@@H](c5ccoc5)[C@]4(C)CC[C@H](C3=C)[C@]12C	BRD-K54554531-001-01-2	BRD-K54554531	5	
20590	H-BIOA-005-1	P18	378	2-HYDROXYXANTHONE	MicroSource Discovery Systems Inc.	Oc1ccc2oc3ccccc3c(=O)c2c1	BRD-K12336887-001-02-3	BRD-K12336887	5	
20590	H-BIOA-005-1	P19	379	Imipramine hydrochloride	Prestwick Chemical Inc.	CN(C)CCCN1c2ccccc2CCc3ccccc13	BRD-K38436528-003-05-5	BRD-K38436528	3.155886264	
20590	H-BIOA-005-1	P20	380	ESTRIOL METHYL ETHER	MicroSource Discovery Systems Inc.	COc1ccc2C3CCC4(C)C(O)[C@H](O)CC4C3CCc2c1	BRD-A84205515-001-02-5	BRD-A84205515	5	
20590	H-BIOA-005-1	P21	381	3-DEOXO-3beta-ACETOXYDEOXYDIHYDROGEDUNIN	MicroSource Discovery Systems Inc.	CC(=O)O[C@H]1CC[C@@]2(C)C(C[C@@H](OC(=O)C)[C@]3(C)C2CC[C@@]4(C)[C@@H](OC(=O)C=C43)c5ccoc5)C1(C)C	BRD-A20182314-001-02-6	BRD-A20182314	5	
20590	H-BIOA-005-1	P22	382	STICTIC ACID	MicroSource Discovery Systems Inc.	COc1cc(C)c2C(=O)Oc3c(C)c(O)c4C(=O)OC(O)c4c3Oc2c1C=O	BRD-A29578214-001-02-7	BRD-A29578214	5	
20590	H-BIOA-005-1	P23	383	PERUVOSIDE	MicroSource Discovery Systems Inc.	CO[C@@H]1[C@@H](O)[C@H](C)O[C@H](O[C@H]2CC[C@@]3(C=O)[C@H](CCC4C3CC[C@]5(C)[C@H](CC[C@]45O)C6=CC(=O)OC6)C2)[C@H]1O	BRD-A57089740-001-02-3	BRD-A57089740	5	
20590	H-BIOA-005-1	P24	384	CHRYSOPHANOL	MicroSource Discovery Systems Inc.	Cc1cc(O)c2C(=O)c3c(O)cccc3C(=O)c2c1	BRD-K59284035-001-02-0	BRD-K59284035	5	
20591	H-BIOA-006-1	A1	1	FENAMISAL	MicroSource Discovery Systems Inc.	Nc1ccc(C(=O)Oc2ccccc2)c(O)c1	BRD-K73157543-001-02-5	BRD-K73157543	5	
20591	H-BIOA-006-1	A2	2	CARVEDILOL TARTRATE	MicroSource Discovery Systems Inc.	COc1ccccc1OCCNCC(O)COc2cccc3[nH]c4ccccc4c23	BRD-A10977446-045-01-1	BRD-A10977446	5	
20591	H-BIOA-006-1	A3	3	DIBUTYL PHTHALATE	MicroSource Discovery Systems Inc.	CCCCOC(=O)c1ccccc1C(=O)OCCCC	BRD-K73477617-001-01-0	BRD-K73477617	5	
20591	H-BIOA-006-1	A4	4	LOBARIC ACID	MicroSource Discovery Systems Inc.	CCCCCc1c(C(=O)O)c(O)cc2OC(=O)c3c(cc(OC)cc3Oc12)C(=O)CCCC	BRD-K88849294-001-02-1	BRD-K88849294	5	
20591	H-BIOA-006-1	A5	5	BENZYLBUTYLPHTHALATE	MicroSource Discovery Systems Inc.	CCCCOC(=O)c1ccccc1C(=O)OCc2ccccc2	BRD-K34359596-001-02-1	BRD-K34359596	5	
20591	H-BIOA-006-1	A6	6	GITOXIGENIN	MicroSource Discovery Systems Inc.	C[C@@]12CCC3C(CC[C@@H]4C[C@@H](O)CC[C@@]43C)[C@@]2(O)C[C@H](O)[C@@H]1C5=CC(=O)OC5	BRD-A29082194-001-02-4	BRD-A29082194	5	
20591	H-BIOA-006-1	A7	7	DICHLORODIPHENYLTRICHLOROETHANE	MicroSource Discovery Systems Inc.	Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl	BRD-K51799616-001-02-2	BRD-K51799616	5	
20591	H-BIOA-006-1	A8	8	N- (9-FLUORENYLMETHOXYCARBONYL)-L-LEUCINE	MicroSource Discovery Systems Inc.	CC(C)C[C@@H](NC(=O)OCC1c2ccccc2-c3ccccc13)C(=O)O	BRD-K65275554-001-02-1	BRD-K65275554	5	
20591	H-BIOA-006-1	A9	9	ETHOPROP	MicroSource Discovery Systems Inc.	CCCSP(=O)(OCC)SCCC	BRD-K08556791-001-02-7	BRD-K08556791	5	
20591	H-BIOA-006-1	A10	10	ESTRADIOL BENZOATE	MicroSource Discovery Systems Inc.	CC12CCC3C(CCc4cc(OC(=O)c5ccccc5)ccc34)C2CCC1O	BRD-A36066264-001-02-3	BRD-A36066264	5	
20591	H-BIOA-006-1	A11	11	ALDICARB	MicroSource Discovery Systems Inc.	CNC(=O)O/N=C/C(C)(C)SC	BRD-K32595626-001-01-8	BRD-K32595626	5	
20591	H-BIOA-006-1	A12	12	ESTRADIOL METHYL ETHER	MicroSource Discovery Systems Inc.	COc1ccc2C3CC[C@]4(C)[C@@H](O)CCC4C3CCc2c1	BRD-A83613346-001-02-6	BRD-A83613346	5	
20591	H-BIOA-006-1	A13	13	DMSO						negative control
20591	H-BIOA-006-1	A14	14	DMSO						negative control
20591	H-BIOA-006-1	A15	15	METHOMYL	MicroSource Discovery Systems Inc.	CNC(=O)O/N=C(/C)\\SC	BRD-K87817668-001-02-7	BRD-K87817668	5	
20591	H-BIOA-006-1	A16	16	DESOXYPEGANINE HYDROCHLORIDE	MicroSource Discovery Systems Inc.	C1CN2Cc3ccccc3N=C2C1	BRD-K13819402-003-02-9	BRD-K13819402	5	
20591	H-BIOA-006-1	A17	17	PENTACHLOROPHENOL	MicroSource Discovery Systems Inc.	Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl	BRD-K50711164-001-02-4	BRD-K50711164	5	
20591	H-BIOA-006-1	A18	18	CRINAMINE	MicroSource Discovery Systems Inc.	COC1C[C@H]2N3C[C@@H](O)C2(C=C1)c4cc5OCOc5cc4C3	BRD-A08786049-001-01-4	BRD-A08786049	5	
20591	H-BIOA-006-1	A19	19	TRIALLATE	MicroSource Discovery Systems Inc.	CC(C)N(C(C)C)C(=O)SCC(=C(Cl)Cl)Cl	BRD-K64698045-001-02-2	BRD-K64698045	5	
20591	H-BIOA-006-1	A20	20	ROFECOXIB	MicroSource Discovery Systems Inc.	CS(=O)(=O)c1ccc(cc1)C2=C(C(=O)OC2)c3ccccc3	BRD-K21733600-001-02-6	BRD-K21733600	5	
20591	H-BIOA-006-1	A21	21	"S,S,S,-TRIBUTYLPHOSPHOROTRITHIOATE"	MicroSource Discovery Systems Inc.	CCCCSP(=O)(SCCCC)SCCCC	BRD-K02837237-001-02-9	BRD-K02837237	5	
20591	H-BIOA-006-1	A22	22	BROMHEXINE HYDROCHLORIDE	MicroSource Discovery Systems Inc.	CN(Cc1cc(Br)cc(Br)c1N)C2CCCCC2	BRD-K47631482-003-02-1	BRD-K47631482	5	
20591	H-BIOA-006-1	A23	23	CHLORPROPHAM	MicroSource Discovery Systems Inc.	CC(C)OC(=O)Nc1cccc(Cl)c1	BRD-K59590127-001-02-9	BRD-K59590127	5	
20591	H-BIOA-006-1	A24	24	MUNINGIN	MicroSource Discovery Systems Inc.	COc1cc2occ(c3ccc(O)cc3)c(=O)c2c(OC)c1O	BRD-K69654927-001-01-5	BRD-K69654927	5	
20591	H-BIOA-006-1	B1	25	"3,7-DIHYDROXYFLAVONE"	MicroSource Discovery Systems Inc.	Oc1ccc2c(=O)c(O)c(oc2c1)c3ccccc3	BRD-K35133923-001-02-3	BRD-K35133923	5	
20591	H-BIOA-006-1	B2	26	NORSTICTIC ACID	MicroSource Discovery Systems Inc.	Cc1cc(O)c(C=O)c2Oc3c4C(O)OC(=O)c4c(O)c(C)c3OC(=O)c12	BRD-A80079592-001-02-4	BRD-A80079592	5	
20591	H-BIOA-006-1	B3	27	CYTISINE	MicroSource Discovery Systems Inc.	O=c1cccc2C3CNC[C@@H](C3)Cn21	BRD-A55579717-001-02-4	BRD-A55579717	5	
20591	H-BIOA-006-1	B4	28	MAACKIAIN	MicroSource Discovery Systems Inc.	Oc1ccc2C3Oc4cc5OCOc5cc4C3COc2c1	BRD-A95445494-001-03-7	BRD-A95445494	5	
20591	H-BIOA-006-1	B5	29	SELAMECTIN	MicroSource Discovery Systems Inc.	CO[C@H]1CC(O[C@H]2[C@@H](C)C=CC=C3CO[C@@H]4/C(=N\\O)/C(=C[C@@H](C(=O)O[C@H]5C[C@@H](CC=C2C)O[C@@]6(CC[C@H](C)[C@H](O6)C7CCCCC7)C5)[C@@]43O)C)O[C@@H](C)C1O	BRD-A40622617-001-02-1	BRD-A40622617	5	
20591	H-BIOA-006-1	B6	30	DERRUBONE	MicroSource Discovery Systems Inc.	CC(=CCc1c(O)cc2occ(c3ccc4OCOc4c3)c(=O)c2c1O)C	BRD-K59272984-001-02-6	BRD-K59272984	5	
20591	H-BIOA-006-1	B7	31	1-PHENYLBIGUANIDE HYDROCHLORIDE	MicroSource Discovery Systems Inc.	NC(=N)NC(=N)Nc1ccccc1	BRD-K31491153-003-02-6	BRD-K31491153	5	
20591	H-BIOA-006-1	B8	32	FLAVOKAWAIN B	MicroSource Discovery Systems Inc.	COc1cc(O)c(C(=O)/C=C/c2ccccc2)c(OC)c1	BRD-K30296925-001-02-1	BRD-K30296925	5	
20591	H-BIOA-006-1	B9	33	VALSARTAN	MicroSource Discovery Systems Inc.	CCCCC(=O)N(Cc1ccc(cc1)c2ccccc2c3nn[nH]n3)[C@@H](C(C)C)C(=O)O	BRD-K45158365-001-02-3	BRD-K45158365	5	
20591	H-BIOA-006-1	B10	34	OSAJIN	MicroSource Discovery Systems Inc.	CC(=CCc1c(O)c2c(=O)c(coc2c3C=CC(C)(C)Oc13)c4ccc(O)cc4)C	BRD-K01836637-001-03-6	BRD-K01836637	5	
20591	H-BIOA-006-1	B11	35	ONONETIN	MicroSource Discovery Systems Inc.	COc1ccc(CC(=O)c2ccc(O)cc2O)cc1	BRD-K85385671-001-02-2	BRD-K85385671	5	
20591	H-BIOA-006-1	B12	36	NEOHESPERIDIN DIHYDROCHALCONE	MicroSource Discovery Systems Inc.	COc1ccc(CCC(=O)c2c(O)cc(O[C@@H]3O[C@H](CO)C(O)[C@H](O)C3O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)cc2O)cc1O	BRD-A84867566-001-02-0	BRD-A84867566	5	
20591	H-BIOA-006-1	B13	37	DMSO						negative control
20591	H-BIOA-006-1	B14	38	DMSO						negative control
20591	H-BIOA-006-1	B15	39	TELENZEPINE HYDROCHLORIDE	MicroSource Discovery Systems Inc.	CN1CCN(CC(=O)N2c3c(C)scc3C(=O)Nc4ccccc24)CC1	BRD-K06147391-003-01-9	BRD-K06147391	5	
20591	H-BIOA-006-1	B16	40	SERICETIN DIACETATE	MicroSource Discovery Systems Inc.	CC(=CCc1c2OC(C)(C)C=Cc2c(OC(=O)C)c3c(=O)c(OC(=O)C)c(oc13)c4ccccc4)C	BRD-K91347490-001-02-3	BRD-K91347490	5	
20591	H-BIOA-006-1	B17	41	2-MERCAPTOBENZOTHIAZOLE	MicroSource Discovery Systems Inc.	Sc1nc2ccccc2s1	BRD-K55160477-001-02-1	BRD-K55160477	5	
20591	H-BIOA-006-1	B18	42	"DUARTIN, DIMETHYL ETHER"	MicroSource Discovery Systems Inc.	COc1ccc([C@@H]2COc3c(OC)c(OC)ccc3C2)c(OC)c1OC	BRD-K87798455-001-02-6	BRD-K87798455	5	
20591	H-BIOA-006-1	B19	43	CHLOROXYLENOL	MicroSource Discovery Systems Inc.	Cc1cc(O)cc(C)c1Cl	BRD-K17223896-001-02-7	BRD-K17223896	5	
20591	H-BIOA-006-1	B20	44	DEOXYSAPPANONE B TRIMETHYL ETHER	MicroSource Discovery Systems Inc.	COc1ccc2C(=O)C(Cc3ccc(OC)c(OC)c3)COc2c1	BRD-A77164655-001-02-3	BRD-A77164655	5	
20591	H-BIOA-006-1	B21	45	LONIDAMINE	MicroSource Discovery Systems Inc.	OC(=O)c1nn(Cc2ccc(Cl)c(Cl)c2)c3ccccc13	BRD-K96670504-001-01-9	BRD-K96670504	5	
20591	H-BIOA-006-1	B22	46	"7-HYDROXY-8,4'-DIMETHOXYISOFLAVONE"	MicroSource Discovery Systems Inc.	COc1ccc(cc1)c2coc3c(OC)c(O)ccc3c2=O	BRD-K09100418-001-02-6	BRD-K09100418	5	
20591	H-BIOA-006-1	B23	47	LOMATIN	MicroSource Discovery Systems Inc.	CC1(C)Oc2ccc3ccc(=O)oc3c2CC1O	BRD-A19918940-001-03-6	BRD-A19918940	5	
20591	H-BIOA-006-1	B24	48	IRIGENOL	MicroSource Discovery Systems Inc.	Oc1cc(cc(O)c1O)c2coc3cc(O)c(O)c(O)c3c2=O	BRD-K57398215-001-02-2	BRD-K57398215	5	
